ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300620.SZ,20200110,42.18,42.96,41.52,42.29,42.0,0.29,0.6905,20322.0,85823.692
300620.SZ,20200109,40.64,42.4,40.45,42.0,40.1,1.9,4.7382,20409.29,85061.72
300620.SZ,20200108,40.88,42.0,40.02,40.1,41.03,-0.93,-2.2666,14517.29,59604.207
300620.SZ,20200107,40.51,41.03,40.3,41.03,40.75,0.28,0.6871,10314.34,41972.34
300620.SZ,20200106,39.88,40.99,39.28,40.75,40.18,0.57,1.4186,10760.76,43460.25
300620.SZ,20200103,40.3,40.89,39.92,40.18,40.31,-0.13,-0.3225,9176.76,37063.117
300620.SZ,20200102,39.8,40.49,39.16,40.31,39.43,0.88,2.2318,10571.31,42371.173
300620.SZ,20191231,39.84,39.84,38.86,39.43,39.61,-0.18,-0.4544,8446.57,33139.56
300620.SZ,20191230,39.55,39.85,38.65,39.61,39.84,-0.23,-0.5773,11257.37,44219.082
300620.SZ,20191227,41.29,41.41,39.75,39.84,41.0,-1.16,-2.8293,16116.12,65448.67
300620.SZ,20191226,41.83,43.0,40.9,41.0,42.17,-1.17,-2.7745,17849.72,73989.59
300620.SZ,20191225,42.05,42.45,41.33,42.17,42.32,-0.15,-0.3544,16612.36,69457.234
300620.SZ,20191224,40.5,42.73,40.2,42.32,40.88,1.44,3.5225,30518.47,128307.39
300620.SZ,20191223,39.6,41.48,39.01,40.88,40.0,0.88,2.2,21682.15,87532.902
300620.SZ,20191220,40.7,40.97,40.0,40.0,40.95,-0.95,-2.3199,11358.01,45979.706
300620.SZ,20191219,41.14,41.5,40.14,40.95,40.47,0.48,1.1861,12644.0,51653.676
300620.SZ,20191218,40.19,41.18,40.11,40.47,40.59,-0.12,-0.2956,12040.7,48978.309
300620.SZ,20191217,40.22,41.29,40.08,40.59,40.3,0.29,0.7196,15632.59,63648.562
300620.SZ,20191216,39.46,40.66,39.46,40.3,39.43,0.87,2.2064,14317.36,57561.376
300620.SZ,20191213,39.2,39.57,38.62,39.43,39.07,0.36,0.9214,10386.64,40530.389
300620.SZ,20191212,38.92,39.8,38.63,39.07,38.86,0.21,0.5404,13219.38,51833.961
300620.SZ,20191211,39.3,39.4,38.53,38.86,39.24,-0.38,-0.9684,9059.33,35226.788
300620.SZ,20191210,38.77,39.59,38.6,39.24,38.73,0.51,1.3168,13667.64,53512.907
300620.SZ,20191209,38.22,39.37,38.22,38.73,38.15,0.58,1.5203,13129.0,51181.372
300620.SZ,20191206,37.8,38.45,37.56,38.15,37.31,0.84,2.2514,10495.34,39935.313
300620.SZ,20191205,37.0,37.45,36.94,37.31,37.12,0.19,0.5119,9353.85,34858.561
300620.SZ,20191204,37.33,37.57,36.0,37.12,37.65,-0.53,-1.4077,8704.93,32212.099
