ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300383.SZ,20200110,21.04,21.41,20.87,21.08,21.01,0.07,0.3332,314462.68,665469.164
300383.SZ,20200109,20.9,21.27,20.7,21.01,20.44,0.57,2.7886,349511.37,732687.073
300383.SZ,20200108,20.89,21.04,20.35,20.44,21.06,-0.62,-2.944,334947.72,689071.824
300383.SZ,20200107,21.12,21.26,20.76,21.06,21.05,0.01,0.0475,257192.08,539091.12
300383.SZ,20200106,20.54,21.5,20.5,21.05,20.75,0.3,1.4458,394466.56,833653.639
300383.SZ,20200103,20.5,20.99,20.5,20.75,20.46,0.29,1.4174,306949.8,636190.216
300383.SZ,20200102,20.22,20.8,20.07,20.46,20.07,0.39,1.9432,324557.94,665675.621
300383.SZ,20191231,19.98,20.22,19.81,20.07,20.0,0.07,0.35,200155.31,400123.702
300383.SZ,20191230,19.39,20.08,19.07,20.0,19.44,0.56,2.8807,312342.03,613342.752
300383.SZ,20191227,19.89,20.07,19.44,19.44,19.85,-0.41,-2.0655,244970.09,483163.446
300383.SZ,20191226,19.68,20.02,19.56,19.85,19.72,0.13,0.6592,195071.67,386354.546
300383.SZ,20191225,19.5,19.88,19.4,19.72,19.49,0.23,1.1801,215313.65,423831.829
300383.SZ,20191224,19.11,19.58,19.11,19.49,19.1,0.39,2.0419,203382.84,394318.737
300383.SZ,20191223,19.63,19.82,18.99,19.1,19.74,-0.64,-3.2421,364174.48,706273.365
300383.SZ,20191220,20.63,20.72,19.72,19.74,20.71,-0.97,-4.6837,526464.26,1055646.823
300383.SZ,20191219,20.68,20.9,20.52,20.71,20.73,-0.02,-0.0965,216403.62,447603.127
300383.SZ,20191218,20.25,21.07,20.25,20.73,20.39,0.34,1.6675,399570.86,826825.385
300383.SZ,20191217,20.44,20.61,20.15,20.39,20.46,-0.07,-0.3421,372712.71,757904.428
300383.SZ,20191216,20.3,20.53,20.15,20.46,20.29,0.17,0.8379,369686.31,752624.792
300383.SZ,20191213,19.85,20.35,19.6,20.29,19.59,0.7,3.5733,406965.48,814140.553
300383.SZ,20191212,19.68,19.88,19.56,19.59,19.65,-0.06,-0.3053,221452.71,436612.049
300383.SZ,20191211,20.11,20.25,19.61,19.65,20.1,-0.45,-2.2388,289953.13,575361.181
300383.SZ,20191210,19.73,20.2,19.63,20.1,19.94,0.16,0.8024,313029.43,625104.89
300383.SZ,20191209,19.97,20.15,19.61,19.94,19.77,0.17,0.8599,381068.12,757233.503
300383.SZ,20191206,19.73,19.82,19.47,19.77,19.73,0.04,0.2027,324825.49,638540.137
300383.SZ,20191205,18.75,19.86,18.75,19.73,18.66,1.07,5.7342,587171.23,1139568.204
300383.SZ,20191204,18.91,18.94,18.57,18.66,19.08,-0.42,-2.2013,255591.58,478392.381
300383.SZ,20191203,18.93,19.36,18.73,19.08,18.85,0.23,1.2202,256129.36,486488.496
300383.SZ,20191202,19.29,19.39,18.81,18.85,19.15,-0.3,-1.5666,229844.0,438010.688
300383.SZ,20191129,19.04,19.28,18.81,19.15,19.05,0.1,0.5249,248652.13,473244.402
300383.SZ,20191128,19.2,19.39,19.0,19.05,19.3,-0.25,-1.2953,194834.48,372935.406
300383.SZ,20191127,19.06,19.58,18.92,19.3,19.03,0.27,1.4188,310695.79,599965.254
300383.SZ,20191126,18.57,19.39,18.43,19.03,18.5,0.53,2.8649,481370.17,918599.009
300383.SZ,20191125,18.77,18.83,18.1,18.5,18.85,-0.35,-1.8568,319529.48,589457.943
300383.SZ,20191122,19.07,19.42,18.61,18.85,19.03,-0.18,-0.9459,303475.87,575569.54
300383.SZ,20191121,18.75,19.19,18.72,19.03,18.87,0.16,0.8479,249640.15,472755.951
300383.SZ,20191120,18.85,19.44,18.8,18.87,18.78,0.09,0.4792,361668.04,691063.237
300383.SZ,20191119,18.58,18.8,18.48,18.78,18.6,0.18,0.9677,299192.98,557401.187
300383.SZ,20191118,18.12,18.67,17.88,18.6,18.22,0.38,2.0856,317128.22,580489.301
300383.SZ,20191115,18.28,18.56,18.08,18.22,18.25,-0.03,-0.1644,212014.52,388496.619
300383.SZ,20191114,18.18,18.42,18.0,18.25,18.17,0.08,0.4403,252015.29,459110.927
300383.SZ,20191113,17.6,18.27,17.55,18.17,17.69,0.48,2.7134,300230.21,539274.562
300383.SZ,20191112,17.62,17.87,17.52,17.69,17.39,0.3,1.7251,282861.66,500087.29
300383.SZ,20191111,17.26,17.88,17.06,17.39,17.27,0.12,0.6948,284744.01,500906.227
300383.SZ,20191108,17.29,17.54,17.19,17.27,17.15,0.12,0.6997,219385.39,381365.126
300383.SZ,20191107,17.25,17.3,16.93,17.15,17.38,-0.23,-1.3234,303274.35,518698.428
300383.SZ,20191106,17.75,17.92,17.29,17.38,17.79,-0.41,-2.3047,172839.15,303264.714
300383.SZ,20191105,17.81,17.99,17.55,17.79,17.73,0.06,0.3384,178598.52,317495.357
300383.SZ,20191104,17.61,18.0,17.56,17.73,17.6,0.13,0.7386,216129.2,385075.817
300383.SZ,20191101,17.46,17.78,17.31,17.6,17.44,0.16,0.9174,167170.85,294008.84
300383.SZ,20191031,17.66,17.81,17.32,17.44,17.64,-0.2,-1.1338,168396.18,295938.843
300383.SZ,20191030,18.0,18.08,17.51,17.64,17.97,-0.33,-1.8364,230357.97,408182.321
300383.SZ,20191029,18.77,18.86,17.97,17.97,18.85,-0.88,-4.6684,354547.25,651783.931
300383.SZ,20191028,19.2,19.2,18.45,18.85,18.0,0.85,4.7222,441337.59,828649.868
300383.SZ,20191025,17.78,18.0,17.2,18.0,17.8,0.2,1.1236,207171.45,366124.461
300383.SZ,20191024,18.36,18.36,17.56,17.8,18.38,-0.58,-3.1556,269613.53,482419.214
300383.SZ,20191023,18.72,18.73,18.38,18.38,18.79,-0.41,-2.182,170770.39,316076.001
300383.SZ,20191022,18.66,19.0,18.55,18.79,18.66,0.13,0.6967,163094.52,306109.504
300383.SZ,20191021,18.42,18.75,18.16,18.66,18.55,0.11,0.593,140320.7,259570.243
300383.SZ,20191018,18.78,18.91,18.31,18.55,18.74,-0.19,-1.0139,172184.54,319493.308
300383.SZ,20191017,18.68,18.9,18.41,18.74,18.68,0.06,0.3212,183065.41,342248.419
300383.SZ,20191016,18.53,18.81,18.46,18.68,18.49,0.19,1.0276,155060.92,288986.818
300383.SZ,20191015,18.98,18.98,18.29,18.49,19.05,-0.56,-2.9396,215782.72,399253.824
300383.SZ,20191014,19.45,19.5,18.93,19.05,19.05,0.0,0.0,260890.2,500144.854
300383.SZ,20191011,19.09,19.27,18.73,19.05,18.99,0.06,0.316,233862.43,444131.641
300383.SZ,20191010,18.49,19.12,18.39,18.99,18.34,0.65,3.5442,335573.28,630751.3
300383.SZ,20191009,18.15,18.38,18.06,18.34,18.26,0.08,0.4381,221014.15,403277.863
300383.SZ,20191008,18.75,18.8,18.18,18.26,18.58,-0.32,-1.7223,221232.68,408895.715
300383.SZ,20190930,19.49,19.5,18.56,18.58,19.23,-0.65,-3.3801,215542.97,406770.971
300383.SZ,20190927,19.38,19.76,19.15,19.23,19.22,0.01,0.052,251347.69,488340.556
300383.SZ,20190926,20.82,20.92,19.08,19.22,20.72,-1.5,-7.2394,436314.84,866902.002
300383.SZ,20190925,20.4,20.98,20.06,20.72,20.55,0.17,0.8273,309653.99,636518.44
300383.SZ,20190924,20.65,20.94,20.33,20.55,20.63,-0.08,-0.3878,227050.57,468595.563
300383.SZ,20190923,20.19,20.65,19.86,20.63,20.3,0.33,1.6256,201306.41,408132.323
300383.SZ,20190920,20.6,20.71,20.26,20.3,20.67,-0.37,-1.79,188928.07,386314.675
300383.SZ,20190919,20.34,20.79,20.11,20.67,20.19,0.48,2.3774,228728.94,468115.636
300383.SZ,20190918,20.65,20.73,19.94,20.19,20.62,-0.43,-2.0854,254809.24,513920.108
300383.SZ,20190917,21.13,21.25,20.34,20.62,21.35,-0.73,-3.4192,231935.8,480793.954
300383.SZ,20190916,21.0,21.5,20.59,21.35,20.96,0.39,1.8607,325050.07,686504.906
300383.SZ,20190912,20.96,21.05,20.45,20.96,20.8,0.16,0.7692,198249.61,411496.904
300383.SZ,20190911,21.09,21.57,20.74,20.8,21.11,-0.31,-1.4685,272481.1,574797.177
300383.SZ,20190910,21.99,22.12,20.85,21.11,21.69,-0.58,-2.674,454580.68,972279.865
300383.SZ,20190909,19.93,21.69,19.62,21.69,19.72,1.97,9.9899,492687.66,1027666.775
300383.SZ,20190906,19.98,20.21,19.46,19.72,19.79,-0.07,-0.3537,231972.27,459141.818
300383.SZ,20190905,19.4,20.2,19.3,19.79,19.35,0.44,2.2739,337300.41,666484.852
300383.SZ,20190904,19.11,19.42,18.9,19.35,19.23,0.12,0.624,202206.85,387571.379
300383.SZ,20190903,18.84,19.32,18.74,19.23,18.81,0.42,2.2329,256671.33,489245.275
300383.SZ,20190902,18.22,19.0,18.03,18.81,18.24,0.57,3.125,297067.58,554029.213
300383.SZ,20190830,18.85,18.94,18.07,18.24,18.71,-0.47,-2.512,233157.73,430805.453
300383.SZ,20190829,18.6,18.85,18.42,18.71,18.55,0.16,0.8625,208082.95,389083.701
300383.SZ,20190828,18.6,18.79,18.31,18.55,18.58,-0.03,-0.1615,212450.79,393847.806
300383.SZ,20190827,18.52,19.05,18.38,18.58,18.35,0.23,1.2534,350557.99,654690.853
300383.SZ,20190826,18.79,19.0,18.22,18.35,19.21,-0.86,-4.4768,307051.73,568421.23
300383.SZ,20190823,19.44,19.62,19.18,19.21,19.41,-0.2,-1.0304,203908.13,393888.986
300383.SZ,20190822,19.8,19.83,19.28,19.41,19.76,-0.35,-1.7713,272796.28,531574.791
300383.SZ,20190821,19.75,19.96,19.5,19.76,19.9,-0.14,-0.7035,246436.67,485444.843
300383.SZ,20190820,20.96,20.96,19.75,19.9,20.53,-0.63,-3.0687,395261.74,797830.665
300383.SZ,20190819,18.86,20.53,18.67,20.53,18.66,1.87,10.0214,430997.36,854450.37
300383.SZ,20190816,19.0,19.19,18.61,18.66,19.19,-0.53,-2.7619,178331.63,336154.147
300383.SZ,20190815,18.53,19.23,18.41,19.19,19.09,0.1,0.5238,141289.19,265881.857
300383.SZ,20190814,19.5,19.65,19.09,19.09,19.19,-0.1,-0.5211,162111.36,313465.005
300383.SZ,20190813,19.14,19.5,18.61,19.19,19.4,-0.21,-1.0825,173126.59,329729.26
300383.SZ,20190812,18.7,19.41,18.3,19.4,18.57,0.83,4.4696,144247.84,271325.964
300383.SZ,20190809,18.97,19.28,18.36,18.57,18.85,-0.28,-1.4854,131337.49,246786.211
300383.SZ,20190808,18.37,18.93,18.22,18.85,18.28,0.57,3.1182,148003.08,275809.549
300383.SZ,20190807,18.8,18.84,18.18,18.28,18.64,-0.36,-1.9313,161860.22,298128.638
300383.SZ,20190806,18.32,18.95,17.97,18.64,18.87,-0.23,-1.2189,232706.49,428093.923
300383.SZ,20190805,19.15,19.45,18.75,18.87,19.1,-0.23,-1.2042,176562.1,335748.006
300383.SZ,20190802,18.7,19.23,18.5,19.1,19.26,-0.16,-0.8307,220313.64,416908.59
300383.SZ,20190801,19.0,19.46,18.92,19.26,18.96,0.3,1.5823,194221.72,374289.534
300383.SZ,20190731,18.93,19.25,18.86,18.96,18.98,-0.02,-0.1054,208860.18,397969.599
300383.SZ,20190730,19.47,19.68,18.96,18.98,19.4,-0.42,-2.1649,194175.27,374641.783
300383.SZ,20190729,19.24,19.66,19.03,19.4,19.13,0.27,1.4114,182375.4,351574.716
300383.SZ,20190726,19.02,19.36,18.8,19.13,19.09,0.04,0.2095,163340.38,311123.332
300383.SZ,20190725,18.57,19.4,18.53,19.09,18.71,0.38,2.031,205454.5,390201.921
300383.SZ,20190724,18.2,18.8,18.11,18.71,18.08,0.63,3.4845,210942.82,392350.449
300383.SZ,20190723,17.98,18.13,17.7,18.08,17.7,0.38,2.1469,132400.8,237877.468
300383.SZ,20190722,18.12,18.28,17.68,17.7,17.89,-0.19,-1.062,118501.89,212418.198
300383.SZ,20190719,18.24,18.44,17.66,17.89,18.07,-0.18,-0.9961,154092.82,277309.935
300383.SZ,20190718,18.06,18.22,17.92,18.07,18.21,-0.14,-0.7688,132728.18,240075.865
300383.SZ,20190717,18.15,18.63,18.06,18.21,18.15,0.06,0.3306,233847.2,428501.467
