ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600218.SH,20200110,11.77,11.81,11.47,11.51,11.82,-0.31,-2.6227,152406.12,176540.806
600218.SH,20200109,11.93,12.04,11.61,11.82,11.78,0.04,0.3396,206051.78,243066.839
600218.SH,20200108,11.67,12.18,11.51,11.78,11.64,0.14,1.2027,377223.18,447782.571
600218.SH,20200107,11.47,11.74,11.42,11.64,11.41,0.23,2.0158,201811.89,234005.777
600218.SH,20200106,11.25,11.52,11.12,11.41,11.36,0.05,0.4401,184106.9,209150.553
600218.SH,20200103,11.56,11.56,11.35,11.36,11.45,-0.09,-0.786,126565.66,144549.615
600218.SH,20200102,11.3,11.57,11.24,11.45,11.18,0.27,2.415,179762.42,204878.271
600218.SH,20191231,11.26,11.35,11.14,11.18,11.24,-0.06,-0.5338,82682.82,92887.931
600218.SH,20191230,11.2,11.28,10.94,11.24,11.3,-0.06,-0.531,107107.23,119403.128
600218.SH,20191227,11.55,11.58,11.29,11.3,11.63,-0.33,-2.8375,216355.45,247199.694
600218.SH,20191226,11.18,11.78,11.04,11.63,11.14,0.49,4.3986,297786.48,340980.325
600218.SH,20191225,11.2,11.33,11.03,11.14,11.25,-0.11,-0.9778,123955.67,138586.04
600218.SH,20191224,11.01,11.26,10.96,11.25,11.04,0.21,1.9022,139754.12,156105.09
600218.SH,20191223,11.2,11.45,10.98,11.04,11.27,-0.23,-2.0408,129476.64,145135.19
600218.SH,20191220,11.65,11.66,11.25,11.27,11.66,-0.39,-3.3448,215466.16,246728.785
600218.SH,20191219,11.29,11.79,11.18,11.66,11.22,0.44,3.9216,338767.76,389881.911
600218.SH,20191218,11.2,11.56,11.19,11.22,11.22,0.0,0.0,255153.05,289074.239
600218.SH,20191217,11.18,11.32,11.02,11.22,11.22,0.0,0.0,300217.61,334972.906
600218.SH,20191216,10.59,11.31,10.51,11.22,10.54,0.68,6.4516,312487.91,342527.589
600218.SH,20191213,10.49,10.56,10.43,10.54,10.47,0.07,0.6686,90202.11,94698.132
600218.SH,20191212,10.7,10.72,10.39,10.47,10.73,-0.26,-2.4231,148900.54,156760.316
600218.SH,20191211,10.53,10.88,10.53,10.73,10.55,0.18,1.7062,204285.79,219480.83
600218.SH,20191210,10.51,10.61,10.38,10.55,10.55,0.0,0.0,98426.63,103280.426
600218.SH,20191209,10.5,10.61,10.49,10.55,10.52,0.03,0.2852,77879.49,82037.781
600218.SH,20191206,10.65,10.66,10.43,10.52,10.63,-0.11,-1.0348,98114.77,103114.284
600218.SH,20191205,10.6,10.68,10.52,10.63,10.62,0.01,0.0942,133546.61,141310.174
600218.SH,20191204,10.74,10.84,10.5,10.62,10.78,-0.16,-1.4842,197337.81,210173.95
600218.SH,20191203,10.2,10.9,10.19,10.78,10.25,0.53,5.1707,276627.07,294406.613
600218.SH,20191202,10.28,10.4,10.2,10.25,10.31,-0.06,-0.582,70494.06,72497.835
600218.SH,20191129,10.09,10.6,9.9,10.31,10.05,0.26,2.5871,117399.71,120381.967
600218.SH,20191128,10.08,10.2,9.97,10.05,10.09,-0.04,-0.3964,66642.03,67386.631
600218.SH,20191127,9.93,10.15,9.84,10.09,9.93,0.16,1.6113,66820.34,66928.69
600218.SH,20191126,10.13,10.13,9.82,9.93,10.1,-0.17,-1.6832,66090.93,65754.063
600218.SH,20191125,10.05,10.2,10.01,10.1,10.02,0.08,0.7984,70965.11,71639.938
600218.SH,20191122,10.24,10.47,10.01,10.02,10.24,-0.22,-2.1484,117477.86,120473.611
600218.SH,20191121,10.24,10.44,10.13,10.24,10.23,0.01,0.0978,88766.98,91464.626
600218.SH,20191120,10.41,10.49,10.18,10.23,10.6,-0.37,-3.4906,135040.71,139361.569
600218.SH,20191119,9.73,10.73,9.73,10.6,9.79,0.81,8.2737,166627.04,170278.367
600218.SH,20191118,9.71,9.79,9.61,9.79,9.75,0.04,0.4103,48077.19,46770.365
600218.SH,20191115,9.8,9.94,9.68,9.75,9.86,-0.11,-1.1156,54789.52,53624.721
600218.SH,20191114,9.86,9.9,9.74,9.86,9.86,0.0,0.0,51033.36,50250.689
600218.SH,20191113,9.9,9.95,9.76,9.86,9.9,-0.04,-0.404,51752.72,50957.554
600218.SH,20191112,10.0,10.13,9.6,9.9,10.08,-0.18,-1.7857,87512.92,86204.396
600218.SH,20191111,10.58,10.58,9.99,10.08,10.63,-0.55,-5.174,101529.15,103680.043
600218.SH,20191108,10.76,10.82,10.62,10.63,10.75,-0.12,-1.1163,56920.47,61037.61
600218.SH,20191107,10.75,10.84,10.68,10.75,10.68,0.07,0.6554,57999.81,62409.083
600218.SH,20191106,10.88,10.92,10.6,10.68,10.85,-0.17,-1.5668,77693.87,83506.225
600218.SH,20191105,10.68,10.85,10.6,10.85,10.65,0.2,1.8779,84136.42,90486.996
600218.SH,20191104,10.58,10.74,10.57,10.65,10.56,0.09,0.8523,63735.25,67977.222
600218.SH,20191101,10.45,10.64,10.36,10.56,10.5,0.06,0.5714,57874.39,60796.574
600218.SH,20191031,10.71,10.8,10.48,10.5,10.72,-0.22,-2.0522,62884.97,66821.287
600218.SH,20191030,10.82,10.94,10.65,10.72,10.73,-0.01,-0.0932,72451.25,78158.982
600218.SH,20191029,10.98,11.01,10.68,10.73,10.98,-0.25,-2.2769,80280.63,87004.731
600218.SH,20191028,10.83,11.02,10.76,10.98,10.83,0.15,1.385,90538.9,98840.915
600218.SH,20191025,10.91,10.91,10.63,10.83,10.85,-0.02,-0.1843,70499.66,75794.587
600218.SH,20191024,10.77,11.07,10.7,10.85,10.76,0.09,0.8364,85733.55,93498.292
600218.SH,20191023,11.05,11.05,10.75,10.76,10.99,-0.23,-2.0928,56632.29,61574.65
600218.SH,20191022,10.82,11.0,10.82,10.99,10.89,0.1,0.9183,62440.87,68143.113
