ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000929.SZ,20200110,7.17,7.24,7.07,7.12,7.17,-0.05,-0.6974,27916.83,19887.399
000929.SZ,20200109,7.1,7.35,7.08,7.17,7.02,0.15,2.1368,47164.03,33925.441
000929.SZ,20200108,7.13,7.15,6.98,7.02,7.15,-0.13,-1.8182,23540.45,16646.169
000929.SZ,20200107,7.1,7.16,7.09,7.15,7.12,0.03,0.4213,24269.89,17286.55
000929.SZ,20200106,7.13,7.16,7.06,7.12,7.12,0.0,0.0,13466.86,9577.36
000929.SZ,20200103,7.05,7.17,7.05,7.12,7.11,0.01,0.1406,15307.01,10883.118
000929.SZ,20200102,6.96,7.11,6.92,7.11,6.94,0.17,2.4496,28545.95,20132.616
000929.SZ,20191231,6.89,6.96,6.84,6.94,6.9,0.04,0.5797,11532.71,7961.292
000929.SZ,20191230,6.93,6.93,6.75,6.9,6.95,-0.05,-0.7194,15837.94,10883.1
000929.SZ,20191227,6.96,7.1,6.95,6.95,6.98,-0.03,-0.4298,12952.62,9081.037
000929.SZ,20191226,6.95,7.02,6.95,6.98,6.95,0.03,0.4317,12130.15,8454.854
000929.SZ,20191225,6.94,7.03,6.9,6.95,6.94,0.01,0.1441,18224.89,12709.22
000929.SZ,20191224,6.75,6.98,6.71,6.94,6.75,0.19,2.8148,19302.58,13255.783
000929.SZ,20191223,6.95,6.96,6.75,6.75,6.93,-0.18,-2.5974,13846.07,9452.758
000929.SZ,20191220,6.97,6.98,6.91,6.93,6.95,-0.02,-0.2878,10000.0,6951.316
000929.SZ,20191219,6.89,6.95,6.88,6.95,6.89,0.06,0.8708,7933.77,5491.71
000929.SZ,20191218,6.86,6.96,6.86,6.89,6.88,0.01,0.1453,13712.0,9476.741
000929.SZ,20191217,6.88,6.91,6.78,6.88,6.85,0.03,0.438,18780.86,12895.692
000929.SZ,20191216,6.72,6.85,6.71,6.85,6.74,0.11,1.632,17572.01,11939.027
000929.SZ,20191213,6.67,6.75,6.66,6.74,6.67,0.07,1.0495,10250.0,6870.099
000929.SZ,20191212,6.75,6.75,6.66,6.67,6.7,-0.03,-0.4478,5826.0,3899.27
000929.SZ,20191211,6.76,6.76,6.66,6.7,6.72,-0.02,-0.2976,5513.29,3694.91
000929.SZ,20191210,6.71,6.79,6.65,6.72,6.71,0.01,0.149,6859.04,4593.647
000929.SZ,20191209,6.7,6.72,6.65,6.71,6.68,0.03,0.4491,10166.41,6799.891
000929.SZ,20191206,6.65,6.7,6.63,6.68,6.69,-0.01,-0.1495,12558.89,8367.194
000929.SZ,20191205,6.63,6.72,6.58,6.69,6.62,0.07,1.0574,20622.38,13680.042
000929.SZ,20191204,6.54,6.79,6.51,6.62,6.56,0.06,0.9146,10314.75,6851.98
000929.SZ,20191203,6.49,6.57,6.46,6.56,6.51,0.05,0.768,7754.13,5043.629
000929.SZ,20191202,6.56,6.59,6.48,6.51,6.56,-0.05,-0.7622,11275.49,7358.648
000929.SZ,20191129,6.54,6.58,6.46,6.56,6.54,0.02,0.3058,15141.75,9855.979
000929.SZ,20191128,6.6,6.68,6.53,6.54,6.65,-0.11,-1.6541,6726.0,4438.833
000929.SZ,20191127,6.65,6.7,6.59,6.65,6.67,-0.02,-0.2999,5230.2,3484.373
000929.SZ,20191126,6.63,6.69,6.62,6.67,6.64,0.03,0.4518,5981.43,3983.452
000929.SZ,20191125,6.65,6.65,6.38,6.64,6.65,-0.01,-0.1504,7560.57,4971.475
000929.SZ,20191122,6.8,6.89,6.63,6.65,6.8,-0.15,-2.2059,12858.35,8666.618
000929.SZ,20191121,6.75,6.85,6.7,6.8,6.79,0.01,0.1473,7926.01,5370.455
000929.SZ,20191120,6.85,6.9,6.77,6.79,6.84,-0.05,-0.731,5491.0,3741.596
000929.SZ,20191119,6.75,6.87,6.75,6.84,6.75,0.09,1.3333,7195.0,4907.456
000929.SZ,20191118,6.75,6.84,6.71,6.75,6.8,-0.05,-0.7353,9655.43,6529.39
000929.SZ,20191115,6.75,7.0,6.72,6.8,6.77,0.03,0.4431,16581.45,11351.202
000929.SZ,20191114,6.77,6.82,6.73,6.77,6.77,0.0,0.0,6560.0,4441.178
000929.SZ,20191113,6.72,6.8,6.68,6.77,6.71,0.06,0.8942,8036.8,5422.121
000929.SZ,20191112,6.61,6.78,6.61,6.71,6.76,-0.05,-0.7396,10540.11,7059.68
000929.SZ,20191111,6.91,6.99,6.71,6.76,6.97,-0.21,-3.0129,13339.0,9093.857
000929.SZ,20191108,6.94,7.0,6.92,6.97,6.91,0.06,0.8683,10914.76,7600.601
000929.SZ,20191107,6.92,6.97,6.85,6.91,6.92,-0.01,-0.1445,10908.44,7547.132
000929.SZ,20191106,6.99,7.06,6.89,6.92,7.03,-0.11,-1.5647,15392.7,10721.057
000929.SZ,20191105,7.08,7.08,6.96,7.03,7.07,-0.04,-0.5658,15588.0,10952.135
000929.SZ,20191104,7.18,7.18,7.03,7.07,7.19,-0.12,-1.669,23467.16,16623.7
000929.SZ,20191101,7.11,7.23,6.99,7.19,7.09,0.1,1.4104,17891.08,12711.864
000929.SZ,20191031,7.15,7.3,7.06,7.09,7.16,-0.07,-0.9777,19236.0,13865.094
000929.SZ,20191030,7.24,7.24,7.1,7.16,7.19,-0.03,-0.4172,10629.86,7625.582
000929.SZ,20191029,7.39,7.41,7.17,7.19,7.32,-0.13,-1.776,16316.0,11915.977
000929.SZ,20191028,7.25,7.35,7.25,7.32,7.23,0.09,1.2448,12252.0,8967.127
000929.SZ,20191025,7.21,7.25,7.13,7.23,7.18,0.05,0.6964,7954.82,5721.333
000929.SZ,20191024,7.13,7.22,7.12,7.18,7.18,0.0,0.0,8877.65,6366.501
000929.SZ,20191023,7.17,7.25,7.11,7.18,7.19,-0.01,-0.1391,11884.0,8547.431
000929.SZ,20191022,7.07,7.2,7.03,7.19,7.07,0.12,1.6973,12852.0,9180.06
000929.SZ,20191021,7.04,7.16,6.99,7.07,7.05,0.02,0.2837,16117.98,11376.472
000929.SZ,20191018,7.1,7.15,6.89,7.05,7.14,-0.09,-1.2605,16756.0,11847.228
000929.SZ,20191017,7.14,7.3,7.08,7.14,7.17,-0.03,-0.4184,13469.34,9625.167
000929.SZ,20191016,7.34,7.38,7.17,7.17,7.34,-0.17,-2.3161,15552.1,11307.599
000929.SZ,20191015,7.3,7.42,7.26,7.34,7.36,-0.02,-0.2717,17371.42,12769.062
000929.SZ,20191014,7.35,7.44,7.27,7.36,7.25,0.11,1.5172,26237.51,19346.139
000929.SZ,20191011,7.19,7.3,7.19,7.25,7.2,0.05,0.6944,12834.08,9316.16
000929.SZ,20191010,7.14,7.25,7.08,7.2,7.17,0.03,0.4184,10926.35,7854.317
000929.SZ,20191009,7.11,7.18,7.01,7.17,7.11,0.06,0.8439,10414.37,7396.22
000929.SZ,20191008,7.14,7.25,7.05,7.11,7.13,-0.02,-0.2805,12912.08,9255.773
000929.SZ,20190930,7.21,7.37,7.08,7.13,7.25,-0.12,-1.6552,17687.96,12667.878
000929.SZ,20190927,7.2,7.34,7.03,7.25,7.2,0.05,0.6944,16138.75,11681.571
000929.SZ,20190926,7.45,7.54,7.13,7.2,7.43,-0.23,-3.0956,23253.91,16880.011
000929.SZ,20190925,7.58,7.64,7.41,7.43,7.62,-0.19,-2.4934,19862.39,14915.313
000929.SZ,20190924,7.52,7.66,7.47,7.62,7.47,0.15,2.008,26176.02,19860.703
000929.SZ,20190923,7.68,7.68,7.42,7.47,7.67,-0.2,-2.6076,22911.01,17187.66
000929.SZ,20190920,7.64,7.72,7.56,7.67,7.57,0.1,1.321,27241.53,20839.281
000929.SZ,20190919,7.59,7.61,7.42,7.57,7.67,-0.1,-1.3038,32602.23,24531.946
000929.SZ,20190918,7.69,7.71,7.5,7.67,7.67,0.0,0.0,32349.0,24635.412
000929.SZ,20190917,7.7,7.77,7.55,7.67,7.62,0.05,0.6562,41722.1,31975.568
000929.SZ,20190916,7.58,7.7,7.58,7.62,7.57,0.05,0.6605,23803.0,18213.074
000929.SZ,20190912,7.52,7.65,7.5,7.57,7.52,0.05,0.6649,18893.01,14268.339
000929.SZ,20190911,7.53,7.56,7.51,7.52,7.53,-0.01,-0.1328,12370.0,9316.74
000929.SZ,20190910,7.53,7.55,7.48,7.53,7.52,0.01,0.133,18056.0,13567.644
000929.SZ,20190909,7.54,7.58,7.45,7.52,7.5,0.02,0.2667,30129.96,22576.107
000929.SZ,20190906,7.42,7.51,7.4,7.5,7.47,0.03,0.4016,22299.01,16618.652
