ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
603928.SH,20200110,12.4,12.4,12.23,12.28,12.36,-0.08,-0.6472,9565.0,11754.761
603928.SH,20200109,12.31,12.44,12.25,12.36,12.28,0.08,0.6515,9079.0,11201.827
603928.SH,20200108,12.35,12.39,12.25,12.28,12.35,-0.07,-0.5668,12335.96,15211.63
603928.SH,20200107,12.39,12.43,12.28,12.35,12.3,0.05,0.4065,12140.41,15006.635
603928.SH,20200106,12.3,12.42,12.21,12.3,12.42,-0.12,-0.9662,17509.0,21551.514
603928.SH,20200103,12.37,12.59,12.33,12.42,12.4,0.02,0.1613,11174.0,13906.959
603928.SH,20200102,12.4,12.45,12.29,12.4,12.32,0.08,0.6494,11515.19,14231.074
603928.SH,20191231,12.39,12.45,12.21,12.32,12.42,-0.1,-0.8052,10303.9,12705.352
603928.SH,20191230,12.34,12.43,12.12,12.42,12.34,0.08,0.6483,12592.8,15502.796
603928.SH,20191227,12.34,12.52,12.25,12.34,12.33,0.01,0.0811,15639.4,19357.873
603928.SH,20191226,12.12,12.54,12.12,12.33,12.17,0.16,1.3147,17780.39,21981.305
603928.SH,20191225,12.17,12.36,12.05,12.17,12.16,0.01,0.0822,8233.6,10006.565
603928.SH,20191224,11.8,12.23,11.79,12.16,11.8,0.36,3.0508,10267.0,12384.042
603928.SH,20191223,12.1,12.1,11.78,11.8,12.05,-0.25,-2.0747,10242.14,12168.749
603928.SH,20191220,12.02,12.2,11.98,12.05,11.99,0.06,0.5004,12868.05,15553.191
603928.SH,20191219,12.03,12.03,11.9,11.99,12.02,-0.03,-0.2496,10272.27,12267.491
603928.SH,20191218,11.65,12.3,11.65,12.02,11.8,0.22,1.8644,23353.6,28113.71
603928.SH,20191217,11.72,11.82,11.63,11.8,11.74,0.06,0.5111,12728.0,14939.068
603928.SH,20191216,11.63,11.76,11.55,11.74,11.59,0.15,1.2942,7322.0,8555.977
603928.SH,20191213,11.5,11.7,11.41,11.59,11.48,0.11,0.9582,9077.98,10488.926
603928.SH,20191212,11.39,11.5,11.39,11.48,11.39,0.09,0.7902,5578.25,6379.106
603928.SH,20191211,11.4,11.45,11.33,11.39,11.4,-0.01,-0.0877,4493.45,5113.487
603928.SH,20191210,11.48,11.49,11.28,11.4,11.45,-0.05,-0.4367,7293.0,8286.569
603928.SH,20191209,11.58,11.58,11.43,11.45,11.58,-0.13,-1.1226,6396.0,7337.85
603928.SH,20191206,11.48,11.59,11.44,11.58,11.45,0.13,1.1354,6597.28,7601.676
603928.SH,20191205,11.4,11.49,11.35,11.45,11.37,0.08,0.7036,4869.51,5571.952
603928.SH,20191204,11.35,11.38,11.24,11.37,11.36,0.01,0.088,3238.51,3674.021
603928.SH,20191203,11.32,11.36,11.22,11.36,11.4,-0.04,-0.3509,3805.5,4288.552
603928.SH,20191202,11.32,11.42,11.24,11.4,11.32,0.08,0.7067,4662.0,5281.922
603928.SH,20191129,11.33,11.39,11.17,11.32,11.27,0.05,0.4437,5858.8,6620.171
603928.SH,20191128,11.32,11.4,11.27,11.27,11.32,-0.05,-0.4417,3554.0,4021.584
603928.SH,20191127,11.37,11.42,11.3,11.32,11.37,-0.05,-0.4398,5063.0,5748.432
603928.SH,20191126,11.41,11.42,11.29,11.37,11.33,0.04,0.353,3286.0,3730.304
603928.SH,20191125,11.42,11.42,11.24,11.33,11.29,0.04,0.3543,3366.0,3809.905
603928.SH,20191122,11.3,11.44,11.25,11.29,11.27,0.02,0.1775,6255.5,7093.17
603928.SH,20191121,11.35,11.35,11.18,11.27,11.3,-0.03,-0.2655,3267.0,3679.843
603928.SH,20191120,11.49,11.49,11.27,11.3,11.41,-0.11,-0.9641,3309.09,3760.458
603928.SH,20191119,11.28,11.41,11.22,11.41,11.25,0.16,1.4222,4621.14,5239.593
603928.SH,20191118,11.2,11.37,11.2,11.25,11.23,0.02,0.1781,4137.96,4654.45
603928.SH,20191115,11.55,11.55,11.23,11.23,11.48,-0.25,-2.1777,5319.0,6046.314
603928.SH,20191114,11.42,11.52,11.4,11.48,11.4,0.08,0.7018,3141.0,3597.238
603928.SH,20191113,11.53,11.53,11.37,11.4,11.41,-0.01,-0.0876,4163.0,4749.829
603928.SH,20191112,11.58,11.58,11.35,11.41,11.47,-0.06,-0.5231,3814.41,4350.303
603928.SH,20191111,11.84,11.84,11.41,11.47,11.81,-0.34,-2.8789,6913.0,7998.44
603928.SH,20191108,11.9,11.91,11.77,11.81,11.85,-0.04,-0.3376,5126.0,6077.64
603928.SH,20191107,11.75,11.9,11.61,11.85,11.73,0.12,1.023,5400.0,6374.212
603928.SH,20191106,11.95,11.95,11.69,11.73,11.86,-0.13,-1.0961,5783.0,6816.824
603928.SH,20191105,11.95,11.95,11.78,11.86,11.92,-0.06,-0.5034,7016.41,8315.319
603928.SH,20191104,11.87,12.12,11.81,11.92,11.85,0.07,0.5907,10652.1,12723.026
603928.SH,20191101,11.83,11.9,11.71,11.85,11.79,0.06,0.5089,4799.0,5665.656
603928.SH,20191031,11.99,11.99,11.79,11.79,11.9,-0.11,-0.9244,7990.14,9456.204
603928.SH,20191030,12.2,12.2,11.9,11.9,12.33,-0.43,-3.4874,13273.0,15927.753
603928.SH,20191029,12.31,12.59,12.24,12.33,12.28,0.05,0.4072,22616.35,28183.414
603928.SH,20191028,12.22,12.39,12.13,12.28,12.17,0.11,0.9039,9940.0,12192.064
603928.SH,20191025,12.2,12.23,12.06,12.17,12.19,-0.02,-0.1641,5913.0,7172.812
603928.SH,20191024,12.11,12.2,12.05,12.19,12.16,0.03,0.2467,5238.0,6352.206
603928.SH,20191023,12.16,12.22,12.11,12.16,12.15,0.01,0.0823,5496.0,6680.552
603928.SH,20191022,12.12,12.15,12.02,12.15,12.06,0.09,0.7463,5863.67,7094.786
603928.SH,20191021,12.19,12.19,11.96,12.06,12.2,-0.14,-1.1475,6307.21,7588.695
603928.SH,20191018,12.44,12.56,12.15,12.2,12.45,-0.25,-2.008,8616.79,10595.275
603928.SH,20191017,12.47,12.59,12.37,12.45,12.47,-0.02,-0.1604,4493.0,5600.043
603928.SH,20191016,12.72,12.72,12.41,12.47,12.55,-0.08,-0.6375,7640.8,9619.268
603928.SH,20191015,12.67,12.67,12.47,12.55,12.68,-0.13,-1.0252,8012.81,10058.116
603928.SH,20191014,12.57,12.68,12.47,12.68,12.45,0.23,1.8474,11843.0,14925.601
603928.SH,20191011,12.48,12.55,12.36,12.45,12.5,-0.05,-0.4,6171.53,7691.548
603928.SH,20191010,12.32,12.51,12.29,12.5,12.22,0.28,2.2913,12896.22,16001.145
603928.SH,20191009,12.22,12.3,12.1,12.22,12.22,0.0,0.0,8333.02,10145.27
603928.SH,20191008,12.33,12.48,12.2,12.22,12.28,-0.06,-0.4886,5747.94,7089.425
603928.SH,20190930,12.42,12.54,12.28,12.28,12.24,0.04,0.3268,8634.4,10718.341
603928.SH,20190927,12.19,12.32,12.17,12.24,12.19,0.05,0.4102,7362.4,9033.627
