ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002109.SZ,20200110,3.47,3.47,3.42,3.46,3.46,0.0,0.0,31441.52,10849.089
002109.SZ,20200109,3.45,3.48,3.44,3.46,3.44,0.02,0.5814,51164.02,17701.687
002109.SZ,20200108,3.49,3.5,3.41,3.44,3.49,-0.05,-1.4327,65670.18,22707.195
002109.SZ,20200107,3.45,3.5,3.45,3.49,3.45,0.04,1.1594,56083.0,19460.437
002109.SZ,20200106,3.43,3.48,3.42,3.45,3.44,0.01,0.2907,77393.0,26711.234
002109.SZ,20200103,3.43,3.45,3.41,3.44,3.43,0.01,0.2915,55216.0,18960.043
002109.SZ,20200102,3.4,3.44,3.39,3.43,3.38,0.05,1.4793,65103.51,22244.086
002109.SZ,20191231,3.38,3.39,3.35,3.38,3.35,0.03,0.8955,47566.28,16029.16
002109.SZ,20191230,3.34,3.36,3.31,3.35,3.34,0.01,0.2994,29438.65,9829.442
002109.SZ,20191227,3.33,3.38,3.33,3.34,3.34,0.0,0.0,52278.25,17494.477
002109.SZ,20191226,3.32,3.34,3.31,3.34,3.32,0.02,0.6024,35613.25,11833.848
002109.SZ,20191225,3.37,3.38,3.32,3.32,3.34,-0.02,-0.5988,40929.01,13650.958
002109.SZ,20191224,3.3,3.37,3.28,3.34,3.3,0.04,1.2121,63025.34,20927.932
002109.SZ,20191223,3.33,3.37,3.27,3.3,3.46,-0.16,-4.6243,119901.44,39691.512
002109.SZ,20191220,3.45,3.65,3.43,3.46,3.47,-0.01,-0.2882,210837.0,74589.868
002109.SZ,20191219,3.42,3.52,3.4,3.47,3.42,0.05,1.462,72531.36,24908.261
002109.SZ,20191218,3.4,3.44,3.4,3.42,3.41,0.01,0.2933,63266.17,21629.372
002109.SZ,20191217,3.37,3.45,3.34,3.41,3.35,0.06,1.791,93213.54,31802.969
002109.SZ,20191216,3.31,3.36,3.31,3.35,3.32,0.03,0.9036,35605.76,11859.79
002109.SZ,20191213,3.28,3.39,3.27,3.32,3.27,0.05,1.5291,67376.66,22422.925
002109.SZ,20191212,3.33,3.34,3.26,3.27,3.3,-0.03,-0.9091,42026.65,13847.975
002109.SZ,20191211,3.27,3.31,3.24,3.3,3.27,0.03,0.9174,36703.01,12023.744
002109.SZ,20191210,3.27,3.28,3.23,3.27,3.28,-0.01,-0.3049,35094.0,11419.897
002109.SZ,20191209,3.28,3.28,3.26,3.28,3.27,0.01,0.3058,23348.55,7639.54
002109.SZ,20191206,3.3,3.3,3.26,3.27,3.3,-0.03,-0.9091,23470.5,7688.832
002109.SZ,20191205,3.29,3.32,3.27,3.3,3.29,0.01,0.304,27777.5,9141.06
002109.SZ,20191204,3.32,3.33,3.28,3.29,3.33,-0.04,-1.2012,26840.5,8842.906
002109.SZ,20191203,3.27,3.33,3.25,3.33,3.25,0.08,2.4615,38703.0,12734.675
002109.SZ,20191202,3.25,3.29,3.24,3.25,3.24,0.01,0.3086,17757.68,5794.958
002109.SZ,20191129,3.24,3.27,3.22,3.24,3.24,0.0,0.0,26457.0,8571.311
002109.SZ,20191128,3.28,3.28,3.24,3.24,3.27,-0.03,-0.9174,21057.0,6868.24
