ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300573.SZ,20200110,77.38,79.35,77.38,78.01,77.8,0.21,0.2699,12033.97,94252.68
300573.SZ,20200109,77.47,78.9,77.04,77.8,77.38,0.42,0.5428,10253.15,79963.713
300573.SZ,20200108,78.87,79.17,76.88,77.38,79.0,-1.62,-2.0506,13210.0,102697.933
300573.SZ,20200107,77.01,79.66,77.0,79.0,76.85,2.15,2.7977,16106.14,126715.946
300573.SZ,20200106,78.8,79.95,75.75,76.85,78.88,-2.03,-2.5735,18290.7,142560.722
300573.SZ,20200103,75.0,79.69,74.0,78.88,75.3,3.58,4.7543,25131.68,195189.706
300573.SZ,20200102,71.53,76.98,71.53,75.3,73.36,1.94,2.6445,23519.03,175874.261
300573.SZ,20191231,72.62,74.44,72.11,73.36,72.66,0.7,0.9634,15182.95,111507.771
300573.SZ,20191230,70.39,72.92,68.27,72.66,70.88,1.78,2.5113,18451.58,131551.652
300573.SZ,20191227,72.2,72.33,70.5,70.88,72.4,-1.52,-2.0994,13956.36,99637.255
300573.SZ,20191226,72.0,74.43,71.51,72.4,71.87,0.53,0.7374,20538.31,149268.197
300573.SZ,20191225,72.39,73.93,71.22,71.87,73.95,-2.08,-2.8127,21282.39,153841.503
300573.SZ,20191224,76.2,76.7,73.5,73.95,77.38,-3.43,-4.4327,32208.68,240132.357
300573.SZ,20191223,78.42,79.49,77.0,77.38,78.6,-1.22,-1.5522,7908.12,61577.581
300573.SZ,20191220,78.71,79.89,77.78,78.6,78.58,0.02,0.0255,10120.26,79372.326
300573.SZ,20191219,78.55,80.0,77.77,78.58,79.76,-1.18,-1.4794,13583.12,106797.601
300573.SZ,20191218,82.4,83.82,78.42,79.76,82.47,-2.71,-3.286,22374.73,178894.636
300573.SZ,20191217,81.54,82.85,81.02,82.47,81.53,0.94,1.1529,13326.83,109274.31
300573.SZ,20191216,81.77,83.38,80.16,81.53,82.24,-0.71,-0.8633,11924.95,97255.245
300573.SZ,20191213,79.79,83.86,79.6,82.24,79.72,2.52,3.1611,16387.7,134764.229
300573.SZ,20191212,80.0,81.45,78.5,79.72,80.15,-0.43,-0.5365,9000.0,71423.82
300573.SZ,20191211,80.81,82.19,79.96,80.15,81.4,-1.25,-1.5356,10245.72,82351.2
300573.SZ,20191210,80.98,82.84,80.66,81.4,81.57,-0.17,-0.2084,9500.0,77561.01
