ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000856.SZ,20200110,11.06,11.35,10.93,11.2,11.06,0.14,1.2658,80311.23,89658.958
000856.SZ,20200109,11.0,11.16,10.91,11.06,10.86,0.2,1.8416,46525.61,51197.697
000856.SZ,20200108,11.08,11.18,10.83,10.86,11.34,-0.48,-4.2328,85935.02,94756.19
000856.SZ,20200107,11.17,11.61,11.1,11.34,11.11,0.23,2.0702,90415.74,102346.714
000856.SZ,20200106,10.99,11.24,10.92,11.11,11.09,0.02,0.1803,56799.01,63004.604
000856.SZ,20200103,11.01,11.13,10.89,11.09,11.02,0.07,0.6352,51856.02,57223.774
000856.SZ,20200102,10.85,11.07,10.82,11.02,10.77,0.25,2.3213,64301.38,70527.483
000856.SZ,20191231,10.77,10.81,10.65,10.77,10.75,0.02,0.186,30566.0,32822.88
000856.SZ,20191230,10.72,10.77,10.52,10.75,10.72,0.03,0.2799,35223.76,37553.668
000856.SZ,20191227,10.83,10.88,10.72,10.72,10.83,-0.11,-1.0157,39514.0,42699.898
000856.SZ,20191226,10.62,10.92,10.59,10.83,10.62,0.21,1.9774,51330.11,55469.836
000856.SZ,20191225,10.58,10.72,10.52,10.62,10.57,0.05,0.473,30116.0,32033.405
000856.SZ,20191224,10.4,10.61,10.4,10.57,10.41,0.16,1.537,29406.0,30915.013
000856.SZ,20191223,10.75,10.79,10.38,10.41,10.75,-0.34,-3.1628,49957.0,52777.491
000856.SZ,20191220,10.9,10.95,10.73,10.75,10.86,-0.11,-1.0129,39569.0,42877.764
000856.SZ,20191219,10.84,10.92,10.75,10.86,10.8,0.06,0.5556,32999.02,35727.107
000856.SZ,20191218,10.73,10.95,10.73,10.8,10.77,0.03,0.2786,42093.0,45551.959
000856.SZ,20191217,10.63,10.85,10.63,10.77,10.66,0.11,1.0319,54226.01,58396.295
000856.SZ,20191216,10.5,10.67,10.47,10.66,10.5,0.16,1.5238,35780.01,37969.106
000856.SZ,20191213,10.46,10.51,10.41,10.5,10.38,0.12,1.1561,25170.7,26370.162
000856.SZ,20191212,10.52,10.52,10.37,10.38,10.5,-0.12,-1.1429,25046.0,26110.326
000856.SZ,20191211,10.54,10.63,10.5,10.5,10.58,-0.08,-0.7561,22025.0,23234.183
000856.SZ,20191210,10.48,10.59,10.47,10.58,10.56,0.02,0.1894,27235.13,28676.66
000856.SZ,20191209,10.51,10.66,10.38,10.56,10.46,0.1,0.956,36171.13,38030.558
000856.SZ,20191206,10.4,10.54,10.38,10.46,10.4,0.06,0.5769,22769.0,23777.098
000856.SZ,20191205,10.41,10.5,10.35,10.4,10.41,-0.01,-0.0961,31626.13,32951.989
000856.SZ,20191204,10.18,10.69,10.12,10.41,10.27,0.14,1.3632,42407.95,44235.433
000856.SZ,20191203,10.22,10.28,10.1,10.27,10.27,0.0,0.0,22679.0,23087.202
000856.SZ,20191202,10.26,10.38,10.25,10.27,10.34,-0.07,-0.677,22419.0,23083.979
000856.SZ,20191129,10.38,10.53,10.28,10.34,10.5,-0.16,-1.5238,39186.0,40652.822
000856.SZ,20191128,10.25,11.15,10.24,10.5,10.22,0.28,2.7397,78205.22,83288.556
000856.SZ,20191127,10.3,10.39,10.2,10.22,10.3,-0.08,-0.7767,20539.96,21151.327
000856.SZ,20191126,10.4,10.42,10.26,10.3,10.4,-0.1,-0.9615,27847.0,28784.964
000856.SZ,20191125,10.1,10.47,10.1,10.4,10.1,0.3,2.9703,46688.0,48233.906
000856.SZ,20191122,10.25,10.28,10.06,10.1,10.22,-0.12,-1.1742,21499.42,21854.83
000856.SZ,20191121,10.12,10.28,10.12,10.22,10.2,0.02,0.1961,17753.0,18141.262
000856.SZ,20191120,10.21,10.33,10.18,10.2,10.27,-0.07,-0.6816,19575.4,20024.308
000856.SZ,20191119,10.11,10.28,10.07,10.27,10.1,0.17,1.6832,24059.0,24561.284
000856.SZ,20191118,10.08,10.16,10.05,10.1,10.09,0.01,0.0991,12795.22,12926.129
