ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600967.SH,20200110,11.09,11.24,11.08,11.12,11.1,0.02,0.1802,86673.41,96683.198
600967.SH,20200109,11.1,11.23,11.0,11.1,11.19,-0.09,-0.8043,142502.53,158577.41
600967.SH,20200108,11.26,11.45,11.09,11.19,11.17,0.02,0.1791,203146.93,228346.792
600967.SH,20200107,11.08,11.34,11.04,11.17,11.14,0.03,0.2693,146485.41,163872.473
600967.SH,20200106,11.03,11.2,10.94,11.14,10.93,0.21,1.9213,173614.9,192589.198
600967.SH,20200103,10.81,11.04,10.77,10.93,10.79,0.14,1.2975,177902.41,194289.772
600967.SH,20200102,10.66,10.89,10.65,10.79,10.63,0.16,1.5052,136137.94,146938.64
600967.SH,20191231,10.56,10.65,10.48,10.63,10.56,0.07,0.6629,82333.22,87183.793
600967.SH,20191230,10.48,10.57,10.31,10.56,10.5,0.06,0.5714,102588.94,107078.507
600967.SH,20191227,10.51,10.56,10.44,10.5,10.47,0.03,0.2865,87932.58,92308.989
600967.SH,20191226,10.55,10.57,10.42,10.47,10.53,-0.06,-0.5698,88196.58,92239.583
600967.SH,20191225,10.6,10.6,10.47,10.53,10.6,-0.07,-0.6604,59256.41,62459.699
600967.SH,20191224,10.54,10.7,10.54,10.6,10.54,0.06,0.5693,49132.57,52116.996
600967.SH,20191223,10.7,10.88,10.54,10.54,10.72,-0.18,-1.6791,89620.33,95493.497
600967.SH,20191220,10.83,10.89,10.7,10.72,10.87,-0.15,-1.3799,90152.41,97068.835
600967.SH,20191219,10.93,10.93,10.81,10.87,10.88,-0.01,-0.0919,84433.05,91642.769
600967.SH,20191218,10.78,11.02,10.75,10.88,10.75,0.13,1.2093,158354.08,172669.698
600967.SH,20191217,10.65,10.84,10.58,10.75,10.61,0.14,1.3195,153577.46,164966.837
600967.SH,20191216,10.42,10.68,10.34,10.61,10.39,0.22,2.1174,133472.24,140556.683
600967.SH,20191213,10.27,10.45,10.25,10.39,10.24,0.15,1.4648,125068.54,129266.416
600967.SH,20191212,10.23,10.3,10.16,10.24,10.23,0.01,0.0978,57743.81,59055.143
600967.SH,20191211,10.27,10.28,10.17,10.23,10.28,-0.05,-0.4864,47873.64,48876.478
600967.SH,20191210,10.31,10.38,10.27,10.28,10.37,-0.09,-0.8679,41745.68,42995.704
