ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
603601.SH,20200110,8.38,9.05,8.37,8.82,8.4,0.42,5.0,199443.37,175991.469
603601.SH,20200109,8.24,8.54,8.15,8.4,8.13,0.27,3.321,125517.75,105057.259
603601.SH,20200108,8.09,8.35,8.0,8.13,8.02,0.11,1.3716,121149.33,98617.809
603601.SH,20200107,8.12,8.12,7.97,8.02,8.09,-0.07,-0.8653,60727.08,48679.572
603601.SH,20200106,8.14,8.19,7.8,8.09,8.12,-0.03,-0.3695,146912.53,116895.701
603601.SH,20200103,7.7,8.45,7.6,8.12,7.71,0.41,5.3178,152912.5,124215.615
603601.SH,20200102,7.65,7.73,7.49,7.71,7.65,0.06,0.7843,99673.82,75878.697
603601.SH,20191231,7.23,7.65,7.19,7.65,7.2,0.45,6.25,100573.2,74917.978
603601.SH,20191230,7.16,7.24,7.1,7.2,7.13,0.07,0.9818,19971.4,14355.518
603601.SH,20191227,7.19,7.23,7.13,7.13,7.19,-0.06,-0.8345,19224.53,13813.22
603601.SH,20191226,7.13,7.21,7.05,7.19,7.14,0.05,0.7003,21450.34,15273.496
603601.SH,20191225,7.06,7.16,6.99,7.14,7.06,0.08,1.1331,23609.38,16777.386
603601.SH,20191224,7.01,7.08,6.93,7.06,7.02,0.04,0.5698,20853.23,14631.057
603601.SH,20191223,7.15,7.15,7.0,7.02,7.15,-0.13,-1.8182,23942.44,16870.298
603601.SH,20191220,7.26,7.26,7.15,7.15,7.25,-0.1,-1.3793,16622.02,11934.022
603601.SH,20191219,7.14,7.25,7.1,7.25,7.14,0.11,1.5406,21379.46,15382.816
603601.SH,20191218,7.24,7.3,7.12,7.14,7.23,-0.09,-1.2448,46032.23,33052.838
603601.SH,20191217,7.28,7.33,7.2,7.23,7.27,-0.04,-0.5502,40756.45,29571.152
603601.SH,20191216,7.24,7.32,7.12,7.27,7.24,0.03,0.4144,40979.68,29691.17
603601.SH,20191213,6.93,7.28,6.93,7.24,7.01,0.23,3.281,58006.63,41555.202
603601.SH,20191212,7.18,7.21,7.0,7.01,7.23,-0.22,-3.0429,52017.7,36768.416
603601.SH,20191211,7.1,7.5,7.0,7.23,6.98,0.25,3.5817,91678.23,66500.086
