ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
601288.SH,20200110,3.69,3.7,3.67,3.68,3.68,0.0,0.0,1027248.18,378111.731
601288.SH,20200109,3.7,3.71,3.67,3.68,3.69,-0.01,-0.271,1290993.47,476337.098
601288.SH,20200108,3.71,3.72,3.68,3.69,3.72,-0.03,-0.8065,1682148.84,621621.269
601288.SH,20200107,3.69,3.75,3.68,3.72,3.69,0.03,0.813,2912949.55,1084517.48
601288.SH,20200106,3.71,3.72,3.67,3.69,3.72,-0.03,-0.8065,2510802.18,928482.812
601288.SH,20200103,3.74,3.74,3.71,3.72,3.73,-0.01,-0.2681,1118142.76,416711.492
601288.SH,20200102,3.71,3.75,3.7,3.73,3.69,0.04,1.084,2055124.7,766905.878
601288.SH,20191231,3.71,3.72,3.68,3.69,3.72,-0.03,-0.8065,1967030.8,726579.621
601288.SH,20191230,3.73,3.73,3.68,3.72,3.73,-0.01,-0.2681,2160008.29,800089.493
601288.SH,20191227,3.7,3.75,3.7,3.73,3.71,0.02,0.5391,2160089.74,805405.646
601288.SH,20191226,3.67,3.71,3.66,3.71,3.67,0.04,1.0899,1276176.77,470280.665
601288.SH,20191225,3.68,3.69,3.66,3.67,3.68,-0.01,-0.2717,975581.03,358254.137
601288.SH,20191224,3.69,3.69,3.68,3.68,3.69,-0.01,-0.271,769698.96,283456.597
601288.SH,20191223,3.71,3.72,3.68,3.69,3.71,-0.02,-0.5391,1842624.26,681410.396
601288.SH,20191220,3.69,3.71,3.68,3.71,3.69,0.02,0.542,1320134.45,488142.707
601288.SH,20191219,3.68,3.7,3.67,3.69,3.68,0.01,0.2717,1662331.46,613298.436
601288.SH,20191218,3.66,3.68,3.66,3.68,3.66,0.02,0.5464,1592269.9,584517.501
601288.SH,20191217,3.65,3.69,3.63,3.66,3.64,0.02,0.5495,2077258.24,760747.304
601288.SH,20191216,3.65,3.66,3.63,3.64,3.66,-0.02,-0.5464,1526249.5,555984.379
601288.SH,20191213,3.62,3.67,3.61,3.66,3.61,0.05,1.385,2593158.28,944034.247
601288.SH,20191212,3.62,3.62,3.59,3.61,3.61,0.0,0.0,1961784.57,707307.067
601288.SH,20191211,3.62,3.62,3.6,3.61,3.61,0.0,0.0,1574843.84,568755.885
601288.SH,20191210,3.61,3.62,3.6,3.61,3.61,0.0,0.0,1527077.09,551363.339
601288.SH,20191209,3.61,3.62,3.59,3.61,3.61,0.0,0.0,1339847.69,483294.321
601288.SH,20191206,3.63,3.63,3.6,3.61,3.62,-0.01,-0.2762,917378.29,331591.719
601288.SH,20191205,3.63,3.63,3.61,3.62,3.61,0.01,0.277,1446622.03,524023.578
601288.SH,20191204,3.62,3.63,3.61,3.61,3.63,-0.02,-0.551,1165119.9,421969.317
601288.SH,20191203,3.62,3.64,3.61,3.63,3.62,0.01,0.2762,1263004.04,457965.705
