ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002823.SZ,20200110,10.61,10.93,10.55,10.74,10.97,-0.23,-2.0966,91951.55,98420.797
002823.SZ,20200109,11.3,11.45,10.85,10.97,11.5,-0.53,-4.6087,163897.79,181328.751
002823.SZ,20200108,10.69,12.0,10.55,11.5,10.99,0.51,4.6406,266042.57,302680.824
002823.SZ,20200107,11.46,11.46,10.85,10.99,10.42,0.57,5.4702,285184.31,321288.36
002823.SZ,20200106,9.99,10.42,9.99,10.42,9.47,0.95,10.0317,52418.28,54453.565
002823.SZ,20200103,9.45,9.55,9.38,9.47,9.45,0.02,0.2116,24358.47,23061.29
002823.SZ,20200102,9.38,9.49,9.27,9.45,9.32,0.13,1.3948,32307.19,30348.701
002823.SZ,20191231,9.3,9.44,9.18,9.32,9.29,0.03,0.3229,31104.66,28885.491
002823.SZ,20191230,9.02,9.36,8.85,9.29,9.02,0.27,2.9933,41643.26,38067.515
002823.SZ,20191227,9.02,9.28,8.96,9.02,9.04,-0.02,-0.2212,31050.43,28277.18
002823.SZ,20191226,8.96,9.06,8.93,9.04,8.96,0.08,0.8929,18944.78,17017.378
002823.SZ,20191225,9.09,9.1,8.9,8.96,9.03,-0.07,-0.7752,23102.01,20760.74
002823.SZ,20191224,8.7,9.03,8.67,9.03,8.7,0.33,3.7931,28496.51,25348.657
002823.SZ,20191223,8.82,8.87,8.62,8.7,8.83,-0.13,-1.4723,14654.47,12803.911
002823.SZ,20191220,8.87,8.96,8.82,8.83,8.87,-0.04,-0.451,18874.76,16812.732
002823.SZ,20191219,8.82,8.88,8.77,8.87,8.82,0.05,0.5669,15851.84,13994.552
002823.SZ,20191218,8.78,8.91,8.78,8.82,8.8,0.02,0.2273,24973.43,22066.621
002823.SZ,20191217,8.65,8.85,8.63,8.8,8.65,0.15,1.7341,29003.59,25438.481
002823.SZ,20191216,8.56,8.66,8.55,8.65,8.56,0.09,1.0514,20562.9,17705.623
002823.SZ,20191213,8.54,8.61,8.48,8.56,8.5,0.06,0.7059,12695.11,10835.952
002823.SZ,20191212,8.6,8.65,8.49,8.5,8.62,-0.12,-1.3921,12503.82,10721.056
002823.SZ,20191211,8.65,8.71,8.57,8.62,8.69,-0.07,-0.8055,9930.54,8575.611
002823.SZ,20191210,8.58,8.75,8.58,8.69,8.61,0.08,0.9292,11593.98,10052.119
002823.SZ,20191209,8.66,8.69,8.6,8.61,8.67,-0.06,-0.692,12213.92,10550.028
002823.SZ,20191206,8.68,8.75,8.59,8.67,8.78,-0.11,-1.2528,21250.93,18408.111
002823.SZ,20191205,8.74,9.05,8.71,8.78,8.75,0.03,0.3429,33215.85,29386.976
002823.SZ,20191204,8.73,8.79,8.66,8.75,8.76,-0.01,-0.1142,10447.89,9127.527
002823.SZ,20191203,8.68,8.77,8.59,8.76,8.69,0.07,0.8055,9413.79,8158.858
002823.SZ,20191202,8.78,8.81,8.58,8.69,8.76,-0.07,-0.7991,12185.0,10584.324
002823.SZ,20191129,8.82,8.87,8.65,8.76,8.78,-0.02,-0.2278,22955.06,20124.937
002823.SZ,20191128,8.36,8.95,8.32,8.78,8.37,0.41,4.8984,48675.89,42350.132
