ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300715.SZ,20200110,21.68,21.68,21.19,21.22,21.72,-0.5,-2.302,23172.62,49410.58
300715.SZ,20200109,21.6,22.15,21.51,21.72,21.5,0.22,1.0233,13193.01,28825.598
300715.SZ,20200108,21.51,22.04,21.29,21.5,21.51,-0.01,-0.0465,9445.0,20391.49
300715.SZ,20200107,21.32,21.57,21.2,21.51,21.5,0.01,0.0465,9065.6,19422.024
300715.SZ,20200106,21.35,21.69,21.3,21.5,21.46,0.04,0.1864,10495.4,22531.461
300715.SZ,20200103,21.41,21.62,21.24,21.46,21.64,-0.18,-0.8318,10093.8,21625.499
300715.SZ,20200102,20.78,21.87,20.78,21.64,20.81,0.83,3.9885,17920.99,38475.193
300715.SZ,20191231,20.47,20.86,20.47,20.81,20.6,0.21,1.0194,11392.2,23508.915
300715.SZ,20191230,20.87,20.87,20.14,20.6,20.86,-0.26,-1.2464,14826.17,30511.222
300715.SZ,20191219,23.88,23.88,23.24,23.3,24.14,-0.84,-3.4797,39794.85,93649.944
300715.SZ,20191218,22.91,24.86,22.28,24.14,22.89,1.25,5.4609,57539.54,134859.949
300715.SZ,20191217,23.41,23.61,22.78,22.89,23.65,-0.76,-3.2135,36664.62,84527.263
300715.SZ,20191216,23.74,23.9,23.32,23.65,23.61,0.04,0.1694,18819.77,44340.047
300715.SZ,20191213,22.95,23.66,22.66,23.61,23.1,0.51,2.2078,28390.78,66085.857
300715.SZ,20191212,22.7,23.74,22.7,23.1,22.53,0.57,2.53,22427.07,52152.588
300715.SZ,20191211,22.9,23.03,22.5,22.53,22.98,-0.45,-1.9582,8535.0,19421.033
300715.SZ,20191210,23.09,23.26,22.7,22.98,23.19,-0.21,-0.9056,11325.0,25986.354
300715.SZ,20191209,22.82,23.29,22.5,23.19,22.82,0.37,1.6214,15600.98,35902.322
300715.SZ,20191206,23.05,23.2,22.62,22.82,23.05,-0.23,-0.9978,13996.6,31973.477
300715.SZ,20191205,22.49,23.18,22.49,23.05,22.67,0.38,1.6762,10955.0,25117.339
300715.SZ,20191204,22.69,22.88,22.44,22.67,22.9,-0.23,-1.0044,7381.0,16712.797
300715.SZ,20191203,22.7,22.91,22.15,22.9,22.96,-0.06,-0.2613,11309.98,25562.249
300715.SZ,20191202,22.7,23.15,22.44,22.96,22.64,0.32,1.4134,14514.4,33044.609
300715.SZ,20191129,21.49,22.66,21.49,22.64,21.64,1.0,4.6211,15874.79,35417.48
300715.SZ,20191128,22.01,22.05,21.6,21.64,21.94,-0.3,-1.3674,4645.0,10113.587
300715.SZ,20191127,21.86,22.35,21.74,21.94,22.0,-0.06,-0.2727,6444.4,14205.017
300715.SZ,20191126,21.82,22.29,21.61,22.0,21.69,0.31,1.4292,9577.8,21082.488
300715.SZ,20191125,21.44,21.98,21.22,21.69,21.48,0.21,0.9777,8773.0,18965.136
300715.SZ,20191122,21.83,21.98,21.35,21.48,21.67,-0.19,-0.8768,6387.0,13766.211
300715.SZ,20191121,21.86,22.0,21.52,21.67,21.74,-0.07,-0.322,5457.0,11847.074
300715.SZ,20191120,22.33,22.47,21.74,21.74,22.33,-0.59,-2.6422,6515.0,14359.303
300715.SZ,20191119,22.19,22.38,21.85,22.33,22.02,0.31,1.4078,7324.8,16287.098
300715.SZ,20191118,21.88,22.15,21.54,22.02,21.87,0.15,0.6859,7474.2,16379.995
300715.SZ,20191115,22.14,22.32,21.51,21.87,22.33,-0.46,-2.06,8045.0,17615.328
300715.SZ,20191114,22.33,22.95,22.1,22.33,22.53,-0.2,-0.8877,9458.4,21127.863
300715.SZ,20191113,22.12,22.56,22.12,22.53,22.35,0.18,0.8054,7110.0,15891.414
300715.SZ,20191112,22.01,22.44,21.7,22.35,22.14,0.21,0.9485,7170.0,15848.994
300715.SZ,20191111,22.5,22.82,22.01,22.14,22.76,-0.62,-2.7241,9843.0,22010.051
300715.SZ,20191108,23.5,23.5,22.68,22.76,23.01,-0.25,-1.0865,10855.8,24941.196
300715.SZ,20191107,22.52,23.19,22.45,23.01,22.74,0.27,1.1873,12221.02,28136.151
300715.SZ,20191106,23.06,23.49,22.65,22.74,23.38,-0.64,-2.7374,14403.8,33059.843
300715.SZ,20191105,23.01,23.55,22.9,23.38,23.44,-0.06,-0.256,15089.0,35060.27
300715.SZ,20191104,23.23,23.78,22.77,23.44,23.23,0.21,0.904,19633.99,45667.326
300715.SZ,20191101,22.62,23.24,22.31,23.23,22.5,0.73,3.2444,26883.0,61239.408
300715.SZ,20191031,21.5,22.54,21.0,22.5,21.2,1.3,6.1321,22147.82,48698.698
300715.SZ,20191030,21.95,22.08,21.2,21.2,22.17,-0.97,-4.3753,13143.85,28433.948
300715.SZ,20191029,22.98,23.78,22.08,22.17,22.98,-0.81,-3.5248,15220.43,34330.578
