ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002173.SZ,20200110,6.05,6.05,5.89,5.97,5.98,-0.01,-0.1672,32193.42,19179.213
002173.SZ,20200109,6.05,6.12,5.95,5.98,6.05,-0.07,-1.157,39457.0,23751.078
002173.SZ,20200108,6.09,6.2,6.05,6.05,6.14,-0.09,-1.4658,32108.42,19694.424
002173.SZ,20200107,6.1,6.17,6.1,6.14,6.1,0.04,0.6557,17976.42,11022.497
002173.SZ,20200106,6.09,6.14,5.98,6.1,6.09,0.01,0.1642,32744.34,19916.492
002173.SZ,20200103,6.14,6.27,6.06,6.09,6.18,-0.09,-1.4563,38070.42,23338.138
002173.SZ,20200102,6.13,6.26,6.11,6.18,6.24,-0.06,-0.9615,33253.41,20580.266
002173.SZ,20191231,6.23,6.32,6.21,6.24,6.28,-0.04,-0.6369,16938.0,10593.139
002173.SZ,20191230,6.08,6.32,6.06,6.28,6.13,0.15,2.447,30278.68,18786.054
002173.SZ,20191227,6.21,6.25,6.13,6.13,6.24,-0.11,-1.7628,26828.0,16572.949
002173.SZ,20191226,6.26,6.4,6.16,6.24,6.24,0.0,0.0,44845.0,28045.982
002173.SZ,20191225,6.08,6.29,6.08,6.24,6.17,0.07,1.1345,41888.46,26014.036
002173.SZ,20191224,5.99,6.22,5.99,6.17,5.97,0.2,3.3501,64495.6,39466.761
002173.SZ,20191223,5.95,6.08,5.94,5.97,5.97,0.0,0.0,45726.7,27499.159
002173.SZ,20191220,6.02,6.06,5.85,5.97,5.99,-0.02,-0.3339,41337.12,24614.015
002173.SZ,20191219,5.9,6.15,5.86,5.99,5.94,0.05,0.8418,74011.02,44365.2
002173.SZ,20191218,5.75,6.06,5.72,5.94,5.71,0.23,4.028,87307.0,51939.459
002173.SZ,20191217,5.56,5.75,5.51,5.71,5.55,0.16,2.8829,56318.02,31944.3
002173.SZ,20191216,5.41,5.62,5.37,5.55,5.4,0.15,2.7778,53870.0,29687.25
002173.SZ,20191213,5.36,5.41,5.34,5.4,5.34,0.06,1.1236,26933.01,14485.411
002173.SZ,20191212,5.36,5.38,5.31,5.34,5.38,-0.04,-0.7435,10122.0,5417.776
002173.SZ,20191211,5.4,5.4,5.31,5.38,5.4,-0.02,-0.3704,19508.0,10458.684
002173.SZ,20191210,5.35,5.45,5.31,5.4,5.37,0.03,0.5587,19728.0,10652.35
002173.SZ,20191209,5.4,5.4,5.34,5.37,5.39,-0.02,-0.3711,12310.0,6607.821
002173.SZ,20191206,5.42,5.42,5.33,5.39,5.43,-0.04,-0.7366,13799.0,7422.123
002173.SZ,20191205,5.38,5.46,5.35,5.43,5.42,0.01,0.1845,12389.0,6717.902
002173.SZ,20191204,5.33,5.46,5.3,5.42,5.33,0.09,1.6886,14250.0,7704.901
002173.SZ,20191203,5.26,5.34,5.22,5.33,5.31,0.02,0.3766,10641.01,5605.991
002173.SZ,20191202,5.39,5.41,5.3,5.31,5.38,-0.07,-1.3011,8480.0,4525.784
002173.SZ,20191129,5.49,5.49,5.35,5.38,5.47,-0.09,-1.6453,13092.51,7052.899
002173.SZ,20191128,5.36,5.48,5.3,5.47,5.38,0.09,1.6729,13159.49,7126.048
002173.SZ,20191127,5.39,5.46,5.37,5.38,5.45,-0.07,-1.2844,6901.0,3730.056
002173.SZ,20191126,5.45,5.53,5.42,5.45,5.45,0.0,0.0,23075.49,12620.55
002173.SZ,20191125,5.43,5.5,5.37,5.45,5.4,0.05,0.9259,13396.49,7283.27
002173.SZ,20191122,5.47,5.52,5.3,5.4,5.45,-0.05,-0.9174,16085.0,8687.332
002173.SZ,20191121,5.48,5.52,5.43,5.45,5.54,-0.09,-1.6245,13608.14,7440.584
002173.SZ,20191120,5.36,5.65,5.36,5.54,5.42,0.12,2.214,38987.02,21462.892
002173.SZ,20191119,5.55,5.56,5.41,5.42,5.33,0.09,1.6886,18077.02,9868.144
002173.SZ,20191118,5.23,5.45,5.21,5.33,5.27,0.06,1.1385,16272.0,8722.711
002173.SZ,20191115,5.33,5.36,5.26,5.27,5.33,-0.06,-1.1257,9481.58,5031.749
002173.SZ,20191114,5.34,5.38,5.29,5.33,5.38,-0.05,-0.9294,16616.0,8855.982
002173.SZ,20191113,5.24,5.58,5.24,5.38,5.31,0.07,1.3183,33812.07,18307.018
002173.SZ,20191112,5.49,5.49,5.27,5.31,5.51,-0.2,-3.6298,24666.26,13132.162
002173.SZ,20191111,5.69,5.7,5.43,5.51,5.69,-0.18,-3.1634,12380.01,6873.138
002173.SZ,20191108,5.69,5.78,5.66,5.69,5.69,0.0,0.0,10065.0,5758.756
002173.SZ,20191107,5.61,5.75,5.55,5.69,5.65,0.04,0.708,13458.0,7627.579
002173.SZ,20191106,5.65,5.86,5.6,5.65,5.65,0.0,0.0,26268.49,15076.962
002173.SZ,20191105,5.66,5.69,5.6,5.65,5.65,0.0,0.0,10007.01,5653.327
002173.SZ,20191104,5.58,5.67,5.53,5.65,5.54,0.11,1.9856,26164.38,14643.127
002173.SZ,20191101,5.6,5.6,5.39,5.54,5.61,-0.07,-1.2478,34818.48,19180.278
002173.SZ,20191031,5.84,5.84,5.49,5.61,5.84,-0.23,-3.9384,77726.68,43601.607
002173.SZ,20191030,6.0,6.06,5.59,5.84,5.99,-0.15,-2.5042,49559.49,28823.811
002173.SZ,20191029,6.11,6.12,5.94,5.99,6.12,-0.13,-2.1242,20453.0,12310.845
002173.SZ,20191028,5.96,6.12,5.96,6.12,6.05,0.07,1.157,21694.11,13154.649
002173.SZ,20191025,6.09,6.09,5.99,6.05,6.1,-0.05,-0.8197,21156.58,12768.573
002173.SZ,20191024,6.15,6.23,6.05,6.1,6.18,-0.08,-1.2945,24809.26,15226.197
002173.SZ,20191023,6.25,6.28,6.16,6.18,6.3,-0.12,-1.9048,23032.68,14267.982
002173.SZ,20191022,6.14,6.59,6.1,6.3,6.14,0.16,2.6059,31823.01,20015.016
002173.SZ,20191021,6.27,6.32,6.09,6.14,6.28,-0.14,-2.2293,21063.49,12930.135
002173.SZ,20191018,6.45,6.45,6.24,6.28,6.41,-0.13,-2.0281,22658.0,14314.515
002173.SZ,20191017,6.4,6.46,6.38,6.41,6.44,-0.03,-0.4658,12049.0,7729.635
002173.SZ,20191016,6.57,6.66,6.42,6.44,6.58,-0.14,-2.1277,22563.49,14747.135
002173.SZ,20191015,6.57,6.63,6.53,6.58,6.63,-0.05,-0.7541,14273.0,9378.27
002173.SZ,20191014,6.52,6.66,6.5,6.63,6.52,0.11,1.6871,45311.87,29905.7
002173.SZ,20191011,6.33,6.64,6.24,6.52,6.33,0.19,3.0016,47263.77,30465.285
002173.SZ,20191010,6.36,6.39,6.31,6.33,6.36,-0.03,-0.4717,16727.01,10593.595
002173.SZ,20191009,6.3,6.39,6.29,6.36,6.33,0.03,0.4739,14086.01,8939.768
002173.SZ,20191008,6.3,6.42,6.28,6.33,6.33,0.0,0.0,10551.0,6702.707
002173.SZ,20190930,6.34,6.42,6.3,6.33,6.33,0.0,0.0,14396.59,9144.118
002173.SZ,20190927,6.34,6.35,6.18,6.33,6.34,-0.01,-0.1577,17673.01,11131.008
