ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002858.SZ,20200110,15.93,16.09,15.69,16.03,15.86,0.17,1.0719,19021.38,30330.215
002858.SZ,20200109,15.85,15.99,15.7,15.86,15.68,0.18,1.148,12943.27,20472.358
002858.SZ,20200108,15.89,15.96,15.63,15.68,15.96,-0.28,-1.7544,18736.31,29570.571
002858.SZ,20200107,16.0,16.1,15.82,15.96,16.11,-0.15,-0.9311,25186.59,40194.661
002858.SZ,20200106,15.88,16.13,15.65,16.11,16.12,-0.01,-0.062,37621.25,59781.282
002858.SZ,20200103,15.55,16.15,15.46,16.12,15.49,0.63,4.0671,48488.55,77280.855
002858.SZ,20200102,15.11,15.59,15.11,15.49,15.05,0.44,2.9236,25975.0,39982.648
002858.SZ,20191231,14.93,15.27,14.93,15.05,14.93,0.12,0.8038,13823.45,20840.241
002858.SZ,20191230,14.92,15.04,14.3,14.93,14.92,0.01,0.067,17077.45,25225.847
002858.SZ,20191227,15.55,15.55,14.92,14.92,15.27,-0.35,-2.2921,12174.0,18426.736
002858.SZ,20191226,15.06,15.32,15.03,15.27,15.07,0.2,1.3271,13454.24,20456.019
002858.SZ,20191225,15.08,15.16,14.96,15.07,15.0,0.07,0.4667,9586.24,14466.456
002858.SZ,20191224,14.82,15.08,14.82,15.0,14.82,0.18,1.2146,11955.0,17885.979
002858.SZ,20191223,15.27,15.32,14.81,14.82,15.27,-0.45,-2.947,17122.38,25766.956
002858.SZ,20191220,15.57,15.82,15.27,15.27,15.57,-0.3,-1.9268,21831.18,33729.192
002858.SZ,20191219,15.56,15.71,15.42,15.57,15.42,0.15,0.9728,13112.18,20440.62
002858.SZ,20191218,15.31,15.7,15.31,15.42,15.29,0.13,0.8502,17545.56,27185.415
002858.SZ,20191217,15.1,15.4,15.08,15.29,15.09,0.2,1.3254,16384.0,25035.599
002858.SZ,20191216,14.76,15.1,14.7,15.09,14.78,0.31,2.0974,17279.45,25831.399
002858.SZ,20191213,14.55,14.8,14.53,14.78,14.49,0.29,2.0014,12149.0,17864.019
002858.SZ,20191212,14.8,14.82,14.43,14.49,14.8,-0.31,-2.0946,10102.0,14734.429
002858.SZ,20191211,15.11,15.12,14.67,14.8,14.91,-0.11,-0.7378,14313.0,21128.561
002858.SZ,20191210,14.49,15.03,14.39,14.91,14.49,0.42,2.8986,16000.0,23617.671
002858.SZ,20191209,14.62,14.75,14.45,14.49,14.62,-0.13,-0.8892,10059.0,14645.78
002858.SZ,20191206,14.43,14.67,14.42,14.62,14.56,0.06,0.4121,11475.0,16731.376
002858.SZ,20191205,14.46,14.63,14.46,14.56,14.4,0.16,1.1111,10742.0,15624.896
002858.SZ,20191204,14.23,14.47,14.23,14.4,14.26,0.14,0.9818,9465.0,13608.433
002858.SZ,20191203,14.15,14.27,14.06,14.26,14.18,0.08,0.5642,8158.0,11558.262
002858.SZ,20191202,14.16,14.28,14.03,14.18,14.16,0.02,0.1412,7531.0,10686.327
