ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002148.SZ,20200110,5.57,5.62,5.44,5.5,5.54,-0.04,-0.722,73178.57,40413.163
002148.SZ,20200109,5.53,5.63,5.51,5.54,5.46,0.08,1.4652,77570.53,43122.487
002148.SZ,20200108,5.57,5.62,5.44,5.46,5.57,-0.11,-1.9749,110113.1,60961.264
002148.SZ,20200107,5.59,5.59,5.5,5.57,5.55,0.02,0.3604,96786.17,53703.563
002148.SZ,20200106,5.44,5.58,5.4,5.55,5.48,0.07,1.2774,144261.92,79613.282
002148.SZ,20200103,5.33,5.49,5.3,5.48,5.33,0.15,2.8143,144324.15,78235.125
002148.SZ,20200102,5.18,5.35,5.16,5.33,5.16,0.17,3.2946,106669.55,56156.0
002148.SZ,20191231,5.16,5.22,5.13,5.16,5.16,0.0,0.0,71087.6,36727.466
002148.SZ,20191230,5.23,5.23,5.06,5.16,5.36,-0.2,-3.7313,127309.45,65522.353
002148.SZ,20191227,5.44,5.5,5.34,5.36,5.45,-0.09,-1.6514,80206.64,43607.375
002148.SZ,20191226,5.43,5.46,5.34,5.45,5.4,0.05,0.9259,94674.33,51124.667
002148.SZ,20191225,5.29,5.43,5.26,5.4,5.26,0.14,2.6616,111580.38,59818.516
002148.SZ,20191224,5.17,5.28,5.13,5.26,5.17,0.09,1.7408,60793.93,31735.521
002148.SZ,20191223,5.37,5.37,5.15,5.17,5.37,-0.2,-3.7244,89253.0,46836.049
002148.SZ,20191220,5.56,5.59,5.36,5.37,5.55,-0.18,-3.2432,121213.11,66133.74
002148.SZ,20191219,5.45,5.62,5.45,5.55,5.45,0.1,1.8349,147011.23,81388.073
002148.SZ,20191218,5.4,5.63,5.35,5.45,5.36,0.09,1.6791,200180.41,109236.38
002148.SZ,20191217,5.28,5.37,5.26,5.36,5.3,0.06,1.1321,122978.14,65617.121
002148.SZ,20191216,5.22,5.35,5.21,5.3,5.2,0.1,1.9231,106960.02,56391.671
002148.SZ,20191213,5.19,5.22,5.16,5.2,5.16,0.04,0.7752,62825.82,32587.699
002148.SZ,20191212,5.18,5.23,5.14,5.16,5.17,-0.01,-0.1934,66962.14,34714.642
002148.SZ,20191211,5.15,5.24,5.15,5.17,5.17,0.0,0.0,56553.22,29362.256
002148.SZ,20191210,5.18,5.19,5.09,5.17,5.15,0.02,0.3883,64617.8,33280.256
002148.SZ,20191209,5.19,5.22,5.14,5.15,5.19,-0.04,-0.7707,65033.02,33637.05
002148.SZ,20191206,5.12,5.24,5.11,5.19,5.12,0.07,1.3672,78827.4,40816.554
002148.SZ,20191205,5.09,5.15,5.08,5.12,5.09,0.03,0.5894,59205.22,30300.198
002148.SZ,20191204,5.1,5.12,5.05,5.09,5.12,-0.03,-0.5859,40559.54,20607.107
002148.SZ,20191203,5.06,5.13,5.04,5.12,5.1,0.02,0.3922,61506.11,31316.435
002148.SZ,20191202,5.01,5.12,5.01,5.1,5.03,0.07,1.3917,66261.32,33630.35
002148.SZ,20191129,5.03,5.05,4.96,5.03,5.03,0.0,0.0,40644.6,20340.353
002148.SZ,20191128,4.98,5.05,4.95,5.03,5.0,0.03,0.6,47359.0,23666.408
002148.SZ,20191127,5.02,5.05,4.97,5.0,5.01,-0.01,-0.1996,51074.8,25600.69
002148.SZ,20191126,5.19,5.19,5.01,5.01,5.2,-0.19,-3.6538,98432.6,50061.471
002148.SZ,20191125,5.11,5.2,4.96,5.2,5.12,0.08,1.5625,113848.56,58089.458
002148.SZ,20191122,5.24,5.26,5.07,5.12,5.26,-0.14,-2.6616,145756.6,75261.938
002148.SZ,20191121,5.33,5.37,5.19,5.26,5.44,-0.18,-3.3088,210012.02,110356.228
002148.SZ,20191120,5.5,5.78,5.39,5.44,5.39,0.05,0.9276,421494.84,234296.206
002148.SZ,20191119,4.88,5.39,4.88,5.39,4.9,0.49,10.0,142024.02,75388.417
002148.SZ,20191118,4.84,4.92,4.82,4.9,4.86,0.04,0.823,22347.14,10919.424
002148.SZ,20191115,4.95,4.98,4.86,4.86,4.96,-0.1,-2.0161,36989.2,18157.109
002148.SZ,20191114,4.96,5.02,4.92,4.96,4.95,0.01,0.202,27194.0,13500.155
002148.SZ,20191113,5.0,5.0,4.92,4.95,5.02,-0.07,-1.3944,28921.73,14341.373
002148.SZ,20191112,5.0,5.03,4.95,5.02,5.01,0.01,0.1996,33893.0,16908.933
002148.SZ,20191111,5.15,5.15,5.0,5.01,5.16,-0.15,-2.907,45841.2,23132.817
002148.SZ,20191108,5.21,5.25,5.15,5.16,5.17,-0.01,-0.1934,38046.4,19812.143
002148.SZ,20191107,5.15,5.22,5.15,5.17,5.13,0.04,0.7797,29135.14,15090.678
002148.SZ,20191106,5.22,5.25,5.13,5.13,5.22,-0.09,-1.7241,29689.34,15383.235
002148.SZ,20191105,5.25,5.26,5.17,5.22,5.23,-0.01,-0.1912,35340.75,18418.813
002148.SZ,20191104,5.28,5.29,5.22,5.23,5.21,0.02,0.3839,36220.19,19029.458
002148.SZ,20191101,5.12,5.22,5.06,5.21,5.12,0.09,1.7578,40703.08,21043.103
002148.SZ,20191031,5.28,5.28,5.1,5.12,5.24,-0.12,-2.2901,63568.94,32924.935
002148.SZ,20191030,5.33,5.41,5.22,5.24,5.42,-0.18,-3.321,56936.09,30181.821
002148.SZ,20191029,5.55,5.57,5.42,5.42,5.51,-0.09,-1.6334,69182.26,37980.834
002148.SZ,20191028,5.32,5.57,5.3,5.51,5.28,0.23,4.3561,106216.02,58102.461
002148.SZ,20191025,5.28,5.31,5.16,5.28,5.32,-0.04,-0.7519,68229.6,35620.314
002148.SZ,20191024,5.33,5.36,5.27,5.32,5.33,-0.01,-0.1876,30852.62,16402.557
002148.SZ,20191023,5.38,5.45,5.33,5.33,5.36,-0.03,-0.5597,41062.6,22094.072
002148.SZ,20191022,5.31,5.38,5.28,5.36,5.3,0.06,1.1321,38453.44,20490.283
002148.SZ,20191021,5.32,5.35,5.2,5.3,5.3,0.0,0.0,36265.2,19100.02
002148.SZ,20191018,5.43,5.47,5.28,5.3,5.43,-0.13,-2.3941,55949.39,29947.173
002148.SZ,20191017,5.44,5.47,5.41,5.43,5.41,0.02,0.3697,33571.31,18262.815
002148.SZ,20191016,5.5,5.53,5.4,5.41,5.49,-0.08,-1.4572,46149.1,25252.648
002148.SZ,20191015,5.58,5.59,5.43,5.49,5.58,-0.09,-1.6129,61792.74,33960.88
002148.SZ,20191014,5.53,5.62,5.53,5.58,5.5,0.08,1.4545,79029.76,44095.973
002148.SZ,20191011,5.51,5.57,5.42,5.5,5.5,0.0,0.0,61121.76,33552.08
002148.SZ,20191010,5.4,5.5,5.4,5.5,5.42,0.08,1.476,63471.53,34651.192
002148.SZ,20191009,5.34,5.42,5.26,5.42,5.36,0.06,1.1194,41245.07,22106.755
002148.SZ,20191008,5.42,5.48,5.35,5.36,5.38,-0.02,-0.3717,47958.6,25967.317
002148.SZ,20190930,5.51,5.6,5.37,5.38,5.51,-0.13,-2.3593,53873.94,29349.916
002148.SZ,20190927,5.48,5.58,5.44,5.51,5.48,0.03,0.5474,66085.78,36551.389
002148.SZ,20190926,5.84,5.85,5.47,5.48,5.78,-0.3,-5.1903,137884.0,76926.04
002148.SZ,20190925,5.81,5.96,5.72,5.78,5.88,-0.1,-1.7007,135719.8,78984.869
