ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600479.SH,20200110,8.95,9.02,8.89,8.98,8.93,0.05,0.5599,50947.08,45633.212
600479.SH,20200109,8.85,8.94,8.83,8.93,8.79,0.14,1.5927,48494.07,43078.235
600479.SH,20200108,8.95,8.96,8.78,8.79,8.97,-0.18,-2.0067,48820.81,43276.125
600479.SH,20200107,8.91,8.97,8.87,8.97,8.91,0.06,0.6734,48292.64,43082.617
600479.SH,20200106,8.83,8.97,8.8,8.91,8.86,0.05,0.5643,50798.65,45200.121
600479.SH,20200103,8.83,8.92,8.81,8.86,8.83,0.03,0.3398,69074.78,61239.789
600479.SH,20200102,8.79,8.91,8.74,8.83,8.77,0.06,0.6842,134444.11,118510.923
600479.SH,20191231,8.61,8.85,8.58,8.77,8.61,0.16,1.8583,69042.83,60328.575
600479.SH,20191230,8.65,8.66,8.48,8.61,8.66,-0.05,-0.5774,61815.09,53003.108
600479.SH,20191227,8.65,8.72,8.62,8.66,8.64,0.02,0.2315,37638.55,32653.475
600479.SH,20191226,8.64,8.66,8.59,8.64,8.66,-0.02,-0.2309,36900.28,31861.858
600479.SH,20191225,8.62,8.68,8.62,8.66,8.65,0.01,0.1156,25628.48,22160.293
600479.SH,20191224,8.63,8.67,8.59,8.65,8.61,0.04,0.4646,27673.0,23910.924
600479.SH,20191223,8.75,8.75,8.6,8.61,8.75,-0.14,-1.6,41531.15,36066.495
600479.SH,20191220,8.81,8.82,8.75,8.75,8.79,-0.04,-0.4551,32464.95,28505.75
600479.SH,20191219,8.73,8.81,8.69,8.79,8.7,0.09,1.0345,29505.61,25853.664
600479.SH,20191218,8.73,8.77,8.69,8.7,8.75,-0.05,-0.5714,28535.22,24884.374
600479.SH,20191217,8.65,8.78,8.63,8.75,8.68,0.07,0.8065,45074.82,39337.669
600479.SH,20191216,8.56,8.7,8.55,8.68,8.56,0.12,1.4019,41711.85,36049.383
600479.SH,20191213,8.44,8.59,8.41,8.56,8.41,0.15,1.7836,43511.38,37097.095
600479.SH,20191212,8.4,8.44,8.39,8.41,8.43,-0.02,-0.2372,20876.23,17577.048
600479.SH,20191211,8.51,8.52,8.4,8.43,8.51,-0.08,-0.9401,34606.0,29189.164
600479.SH,20191210,8.5,8.53,8.46,8.51,8.53,-0.02,-0.2345,18314.4,15550.708
600479.SH,20191209,8.55,8.57,8.5,8.53,8.54,-0.01,-0.1171,22642.71,19317.278
600479.SH,20191206,8.52,8.55,8.48,8.54,8.51,0.03,0.3525,23671.25,20151.711
600479.SH,20191205,8.5,8.55,8.47,8.51,8.51,0.0,0.0,33514.68,28517.988
600479.SH,20191204,8.49,8.53,8.45,8.51,8.52,-0.01,-0.1174,17823.72,15150.165
600479.SH,20191203,8.5,8.55,8.4,8.52,8.52,0.0,0.0,27872.0,23662.782
600479.SH,20191202,8.49,8.56,8.46,8.52,8.49,0.03,0.3534,24385.38,20765.919
600479.SH,20191129,8.45,8.57,8.4,8.49,8.41,0.08,0.9512,27707.83,23526.681
600479.SH,20191128,8.5,8.51,8.41,8.41,8.48,-0.07,-0.8255,24250.6,20531.245
600479.SH,20191127,8.44,8.56,8.39,8.48,8.46,0.02,0.2364,29128.8,24693.78
600479.SH,20191126,8.43,8.54,8.37,8.46,8.42,0.04,0.4751,30771.27,26057.017
600479.SH,20191125,8.39,8.44,8.32,8.42,8.37,0.05,0.5974,34037.87,28536.299
600479.SH,20191122,8.55,8.62,8.29,8.37,8.56,-0.19,-2.2196,53669.74,45324.165
600479.SH,20191121,8.54,8.58,8.5,8.56,8.58,-0.02,-0.2331,29298.45,25001.058
600479.SH,20191120,8.68,8.68,8.56,8.58,8.68,-0.1,-1.1521,44938.57,38771.764
600479.SH,20191119,8.63,8.74,8.61,8.68,8.63,0.05,0.5794,60369.8,52271.314
600479.SH,20191118,8.66,8.71,8.61,8.63,8.66,-0.03,-0.3464,39378.6,34059.657
600479.SH,20191115,8.78,8.78,8.65,8.66,8.76,-0.1,-1.1416,23852.2,20746.483
600479.SH,20191114,8.76,8.81,8.68,8.76,8.75,0.01,0.1143,34932.6,30574.705
600479.SH,20191113,8.83,8.83,8.73,8.75,8.84,-0.09,-1.0181,23656.6,20763.268
600479.SH,20191112,8.88,8.9,8.74,8.84,8.83,0.01,0.1133,30672.77,26993.844
600479.SH,20191111,9.02,9.14,8.81,8.83,9.03,-0.2,-2.2148,56195.95,50265.168
600479.SH,20191108,9.03,9.19,9.03,9.03,9.0,0.03,0.3333,59594.12,54262.664
600479.SH,20191107,8.92,9.04,8.88,9.0,8.9,0.1,1.1236,51591.31,46218.957
600479.SH,20191106,8.96,9.06,8.88,8.9,8.97,-0.07,-0.7804,39632.41,35455.644
600479.SH,20191105,8.88,9.03,8.8,8.97,8.85,0.12,1.3559,36925.57,32915.655
600479.SH,20191104,8.83,8.94,8.82,8.85,8.81,0.04,0.454,52358.02,46473.326
600479.SH,20191101,8.78,8.87,8.73,8.81,8.83,-0.02,-0.2265,47761.23,42049.211
600479.SH,20191031,9.1,9.11,8.63,8.83,9.09,-0.26,-2.8603,64726.93,57438.191
600479.SH,20191030,9.1,9.21,9.05,9.09,9.03,0.06,0.6645,56803.03,51796.185
600479.SH,20191029,9.08,9.14,9.02,9.03,9.07,-0.04,-0.441,35928.62,32560.209
600479.SH,20191028,9.04,9.09,8.9,9.07,9.02,0.05,0.5543,38718.64,34973.527
600479.SH,20191025,8.88,9.09,8.78,9.02,8.88,0.14,1.5766,39093.83,34893.139
600479.SH,20191024,8.93,8.94,8.82,8.88,8.94,-0.06,-0.6711,24293.48,21538.506
600479.SH,20191023,9.02,9.08,8.88,8.94,9.01,-0.07,-0.7769,20790.4,18688.752
600479.SH,20191022,8.92,9.04,8.85,9.01,8.89,0.12,1.3498,28222.4,25261.731
