ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000069.SZ,20200110,7.78,7.81,7.64,7.66,7.76,-0.1,-1.2887,421105.88,323691.763
000069.SZ,20200109,7.71,7.83,7.71,7.76,7.63,0.13,1.7038,433821.92,336465.191
000069.SZ,20200108,7.81,7.81,7.58,7.63,7.84,-0.21,-2.6786,438992.53,337071.568
000069.SZ,20200107,7.79,7.84,7.72,7.84,7.77,0.07,0.9009,299663.84,233394.948
000069.SZ,20200106,7.71,7.85,7.69,7.77,7.75,0.02,0.2581,470015.24,366139.107
000069.SZ,20200103,7.79,7.81,7.71,7.75,7.78,-0.03,-0.3856,471068.19,365253.38
000069.SZ,20200102,7.86,7.93,7.74,7.78,7.79,-0.01,-0.1284,779758.69,610356.161
000069.SZ,20191231,7.81,7.83,7.69,7.79,7.78,0.01,0.1285,476532.77,369031.003
000069.SZ,20191230,7.61,7.83,7.57,7.78,7.59,0.19,2.5033,525442.99,407212.374
000069.SZ,20191227,7.52,7.66,7.5,7.59,7.53,0.06,0.7968,496020.56,376647.869
000069.SZ,20191226,7.39,7.61,7.39,7.53,7.37,0.16,2.171,458646.32,345283.721
000069.SZ,20191225,7.42,7.45,7.34,7.37,7.41,-0.04,-0.5398,164637.48,121462.583
000069.SZ,20191224,7.4,7.45,7.36,7.41,7.39,0.02,0.2706,270365.33,200359.32
000069.SZ,20191223,7.53,7.62,7.35,7.39,7.57,-0.18,-2.3778,591348.76,440163.977
000069.SZ,20191220,7.52,7.66,7.5,7.57,7.51,0.06,0.7989,348817.95,264693.693
000069.SZ,20191219,7.56,7.61,7.48,7.51,7.49,0.02,0.267,306010.83,230285.898
000069.SZ,20191218,7.46,7.64,7.42,7.49,7.46,0.03,0.4021,356164.55,268860.294
000069.SZ,20191217,7.34,7.62,7.32,7.46,7.36,0.1,1.3587,658913.34,491877.449
000069.SZ,20191216,7.3,7.38,7.25,7.36,7.29,0.07,0.9602,423434.72,309666.885
000069.SZ,20191213,7.26,7.33,7.22,7.29,7.16,0.13,1.8156,436587.66,318229.692
000069.SZ,20191212,7.21,7.23,7.15,7.16,7.2,-0.04,-0.5556,220949.84,158823.079
000069.SZ,20191211,7.13,7.28,7.11,7.2,7.09,0.11,1.5515,609489.07,438841.652
000069.SZ,20191210,7.1,7.11,7.05,7.09,7.1,-0.01,-0.1408,249868.71,176971.672
000069.SZ,20191209,6.96,7.12,6.94,7.1,6.92,0.18,2.6012,838907.6,592757.973
000069.SZ,20191206,6.95,6.97,6.89,6.92,6.95,-0.03,-0.4317,267173.97,184778.942
000069.SZ,20191205,6.97,6.99,6.91,6.95,6.96,-0.01,-0.1437,224447.33,155893.018
000069.SZ,20191204,7.02,7.05,6.95,6.96,7.04,-0.08,-1.1364,219337.06,153222.482
000069.SZ,20191203,6.97,7.04,6.94,7.04,6.99,0.05,0.7153,279223.84,195810.951
000069.SZ,20191202,6.9,7.02,6.9,6.99,6.89,0.1,1.4514,371011.81,259186.312
000069.SZ,20191129,6.94,6.95,6.86,6.89,6.92,-0.03,-0.4335,193783.0,133728.215
000069.SZ,20191128,6.97,7.01,6.88,6.92,6.97,-0.05,-0.7174,193038.13,133743.073
000069.SZ,20191127,7.08,7.09,6.96,6.97,7.08,-0.11,-1.5537,307415.19,215600.5
000069.SZ,20191126,6.98,7.12,6.96,7.08,6.97,0.11,1.5782,640454.93,450886.058
000069.SZ,20191125,6.8,7.03,6.78,6.97,6.77,0.2,2.9542,469092.88,325623.583
000069.SZ,20191122,6.87,6.9,6.75,6.77,6.84,-0.07,-1.0234,260947.17,177690.432
000069.SZ,20191121,6.85,6.9,6.82,6.84,6.86,-0.02,-0.2915,206478.28,141444.916
