ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600156.SH,20200110,4.56,4.59,4.45,4.48,4.55,-0.07,-1.5385,52970.92,23783.138
600156.SH,20200109,4.54,4.58,4.52,4.55,4.5,0.05,1.1111,44306.27,20124.684
600156.SH,20200108,4.6,4.61,4.5,4.5,4.62,-0.12,-2.5974,58352.0,26553.918
600156.SH,20200107,4.51,4.63,4.51,4.62,4.51,0.11,2.439,90358.4,41516.737
600156.SH,20200106,4.47,4.54,4.47,4.51,4.53,-0.02,-0.4415,55477.7,25002.98
600156.SH,20200103,4.58,4.59,4.53,4.53,4.57,-0.04,-0.8753,59507.89,27050.274
600156.SH,20200102,4.55,4.59,4.48,4.57,4.47,0.1,2.2371,89690.01,40772.173
600156.SH,20191231,4.54,4.56,4.46,4.47,4.52,-0.05,-1.1062,62843.71,28240.392
600156.SH,20191230,4.44,4.55,4.36,4.52,4.52,0.0,0.0,82898.71,36947.766
600156.SH,20191227,4.51,4.58,4.48,4.52,4.54,-0.02,-0.4405,100295.55,45474.794
600156.SH,20191226,4.5,4.55,4.43,4.54,4.5,0.04,0.8889,84730.1,37992.331
600156.SH,20191225,4.54,4.55,4.47,4.5,4.57,-0.07,-1.5317,112725.8,50802.214
600156.SH,20191224,4.45,4.6,4.39,4.57,4.72,-0.15,-3.178,200074.73,89823.774
600156.SH,20191223,5.0,5.17,4.72,4.72,5.24,-0.52,-9.9237,234017.11,114729.092
600156.SH,20191220,5.24,5.24,5.24,5.24,4.76,0.48,10.084,84893.0,44483.932
600156.SH,20191219,4.46,4.76,4.39,4.76,4.33,0.43,9.9307,91372.85,42738.806
600156.SH,20191218,4.34,4.39,4.26,4.33,4.38,-0.05,-1.1416,74373.56,32023.744
600156.SH,20191217,4.22,4.44,4.19,4.38,4.23,0.15,3.5461,80927.25,35076.222
600156.SH,20191216,4.17,4.23,4.16,4.23,4.17,0.06,1.4388,19255.1,8087.933
600156.SH,20191213,4.13,4.18,4.1,4.17,4.1,0.07,1.7073,24572.1,10223.353
600156.SH,20191212,4.12,4.15,4.1,4.1,4.13,-0.03,-0.7264,13553.0,5596.495
600156.SH,20191211,4.16,4.17,4.11,4.13,4.16,-0.03,-0.7212,14253.0,5884.227
600156.SH,20191210,4.13,4.16,4.1,4.16,4.13,0.03,0.7264,17214.06,7105.853
600156.SH,20191209,4.15,4.18,4.1,4.13,4.15,-0.02,-0.4819,16125.43,6655.322
600156.SH,20191206,4.16,4.18,4.12,4.15,4.16,-0.01,-0.2404,14695.0,6091.957
600156.SH,20191205,4.1,4.16,4.09,4.16,4.1,0.06,1.4634,18680.0,7732.785
600156.SH,20191204,4.07,4.12,4.06,4.1,4.1,0.0,0.0,16979.0,6948.612
600156.SH,20191203,4.04,4.1,4.0,4.1,4.05,0.05,1.2346,16180.0,6560.572
600156.SH,20191202,4.06,4.1,4.03,4.05,4.06,-0.01,-0.2463,12760.65,5182.774
600156.SH,20191129,4.12,4.14,4.03,4.06,4.1,-0.04,-0.9756,19840.11,8082.321
600156.SH,20191128,4.15,4.15,4.08,4.1,4.12,-0.02,-0.4854,14720.06,6045.68
600156.SH,20191127,4.13,4.19,4.1,4.12,4.14,-0.02,-0.4831,24646.67,10180.568
600156.SH,20191126,4.06,4.18,4.03,4.14,4.03,0.11,2.7295,40455.0,16675.935
600156.SH,20191125,4.04,4.07,3.98,4.03,4.03,0.0,0.0,12675.0,5105.398
600156.SH,20191122,4.06,4.12,3.99,4.03,4.07,-0.04,-0.9828,19342.0,7830.53
600156.SH,20191121,4.09,4.12,4.05,4.07,4.07,0.0,0.0,12360.0,5041.552
600156.SH,20191120,4.1,4.18,4.07,4.07,4.09,-0.02,-0.489,20875.0,8584.004
600156.SH,20191119,3.98,4.11,3.95,4.09,3.98,0.11,2.7638,27690.06,11217.833
600156.SH,20191118,3.92,4.0,3.88,3.98,3.91,0.07,1.7903,19368.29,7656.865
600156.SH,20191115,4.0,4.0,3.9,3.91,4.0,-0.09,-2.25,13610.0,5365.991
600156.SH,20191114,4.04,4.04,3.99,4.0,4.0,0.0,0.0,11571.0,4635.675
600156.SH,20191113,3.99,4.04,3.94,4.0,3.97,0.03,0.7557,15773.0,6281.872
600156.SH,20191112,3.92,4.0,3.9,3.97,3.95,0.02,0.5063,15776.6,6222.542
600156.SH,20191111,4.04,4.07,3.91,3.95,4.09,-0.14,-3.423,30218.0,12037.433
600156.SH,20191108,4.17,4.19,4.07,4.09,4.15,-0.06,-1.4458,21791.8,8998.031
600156.SH,20191107,4.12,4.18,4.11,4.15,4.14,0.01,0.2415,11521.65,4776.972
600156.SH,20191106,4.16,4.19,4.11,4.14,4.18,-0.04,-0.9569,19948.94,8287.508
600156.SH,20191105,4.23,4.24,4.16,4.18,4.23,-0.05,-1.182,30806.0,12900.13
600156.SH,20191104,4.25,4.28,4.22,4.23,4.25,-0.02,-0.4706,17957.64,7623.899
600156.SH,20191101,4.17,4.3,4.11,4.25,4.17,0.08,1.9185,33809.42,14223.709
600156.SH,20191031,4.22,4.28,4.15,4.17,4.24,-0.07,-1.6509,26648.0,11223.112
600156.SH,20191030,4.29,4.3,4.2,4.24,4.29,-0.05,-1.1655,34390.0,14561.775
600156.SH,20191029,4.31,4.36,4.28,4.29,4.35,-0.06,-1.3793,34808.0,15054.785
600156.SH,20191028,4.28,4.38,4.25,4.35,4.27,0.08,1.8735,37885.67,16430.781
600156.SH,20191025,4.27,4.29,4.21,4.27,4.27,0.0,0.0,33478.64,14222.381
600156.SH,20191024,4.33,4.33,4.25,4.27,4.32,-0.05,-1.1574,27429.91,11750.29
600156.SH,20191023,4.38,4.4,4.3,4.32,4.34,-0.02,-0.4608,31276.07,13544.275
600156.SH,20191022,4.27,4.42,4.21,4.34,4.3,0.04,0.9302,69613.77,29982.318
600156.SH,20191021,4.48,4.49,4.3,4.3,4.66,-0.36,-7.7253,123700.09,54173.241
600156.SH,20191018,4.46,4.66,4.19,4.66,4.46,0.2,4.4843,150596.04,65349.195
600156.SH,20191017,4.35,4.58,4.32,4.46,4.37,0.09,2.0595,71652.44,31717.23
600156.SH,20191016,4.36,4.4,4.3,4.37,4.36,0.01,0.2294,34224.96,14919.432
600156.SH,20191015,4.41,4.42,4.33,4.36,4.41,-0.05,-1.1338,25137.47,10959.741
600156.SH,20191014,4.35,4.44,4.34,4.41,4.34,0.07,1.6129,38716.38,17041.284
600156.SH,20191011,4.32,4.35,4.26,4.34,4.32,0.02,0.463,30291.48,13058.987
600156.SH,20191010,4.29,4.5,4.24,4.32,4.28,0.04,0.9346,51459.46,22351.615
600156.SH,20191009,4.22,4.29,4.16,4.28,4.22,0.06,1.4218,25273.09,10706.109
600156.SH,20191008,4.21,4.26,4.15,4.22,4.19,0.03,0.716,34236.0,14420.509
600156.SH,20190930,4.3,4.33,4.17,4.19,4.28,-0.09,-2.1028,27608.93,11710.448
600156.SH,20190927,4.25,4.33,4.15,4.28,4.24,0.04,0.9434,42353.56,18063.401
600156.SH,20190926,4.34,4.45,4.22,4.24,4.32,-0.08,-1.8519,53957.0,23203.829
600156.SH,20190925,4.51,4.51,4.29,4.32,4.49,-0.17,-3.7862,47220.0,20688.794
600156.SH,20190924,4.53,4.57,4.47,4.49,4.51,-0.02,-0.4435,30802.0,13920.226
600156.SH,20190923,4.65,4.68,4.47,4.51,4.65,-0.14,-3.0108,44461.0,20096.395
600156.SH,20190920,4.7,4.77,4.63,4.65,4.69,-0.04,-0.8529,44105.0,20675.281
600156.SH,20190919,4.72,4.74,4.64,4.69,4.72,-0.03,-0.6356,34236.31,16008.214
600156.SH,20190918,4.65,4.77,4.62,4.72,4.65,0.07,1.5054,41304.0,19506.739
600156.SH,20190917,4.84,4.84,4.57,4.65,4.81,-0.16,-3.3264,59705.16,27893.806
600156.SH,20190916,4.82,4.87,4.78,4.81,4.81,0.0,0.0,41970.89,20262.989
600156.SH,20190912,4.76,4.82,4.75,4.81,4.76,0.05,1.0504,39884.38,19100.445
600156.SH,20190911,4.83,4.85,4.75,4.76,4.79,-0.03,-0.6263,53883.28,25821.125
600156.SH,20190910,4.71,4.82,4.66,4.79,4.72,0.07,1.4831,61410.01,29247.103
600156.SH,20190909,4.74,4.74,4.63,4.72,4.68,0.04,0.8547,66485.65,31123.287
600156.SH,20190906,4.59,4.68,4.58,4.68,4.6,0.08,1.7391,55340.52,25628.521
600156.SH,20190905,4.58,4.69,4.53,4.6,4.55,0.05,1.0989,81708.31,37754.458
600156.SH,20190904,4.54,4.6,4.48,4.55,4.53,0.02,0.4415,49946.46,22645.335
600156.SH,20190903,4.57,4.64,4.51,4.53,4.57,-0.04,-0.8753,39876.97,18136.239
600156.SH,20190902,4.45,4.57,4.45,4.57,4.44,0.13,2.9279,56515.0,25639.128
600156.SH,20190830,4.61,4.61,4.39,4.44,4.56,-0.12,-2.6316,52516.01,23601.774
600156.SH,20190829,4.53,4.62,4.5,4.56,4.53,0.03,0.6623,58168.0,26531.124
600156.SH,20190828,4.48,4.54,4.45,4.53,4.5,0.03,0.6667,44441.85,19969.515
600156.SH,20190827,4.37,4.54,4.37,4.5,4.37,0.13,2.9748,69888.52,31305.071
600156.SH,20190826,4.39,4.44,4.34,4.37,4.49,-0.12,-2.6726,51347.61,22556.652
600156.SH,20190823,4.42,4.53,4.4,4.49,4.46,0.03,0.6726,66495.31,29590.436
600156.SH,20190822,4.39,4.47,4.35,4.46,4.36,0.1,2.2936,56723.86,25033.127
600156.SH,20190821,4.43,4.43,4.32,4.36,4.39,-0.03,-0.6834,35946.31,15722.116
600156.SH,20190820,4.4,4.45,4.35,4.39,4.41,-0.02,-0.4535,42335.01,18661.873
600156.SH,20190819,4.49,4.49,4.31,4.41,4.3,0.11,2.5581,53668.32,23527.101
600156.SH,20190816,4.28,4.36,4.28,4.3,4.32,-0.02,-0.463,31983.0,13825.785
600156.SH,20190815,4.13,4.33,4.09,4.32,4.25,0.07,1.6471,45044.16,19003.714
600156.SH,20190814,4.34,4.4,4.23,4.25,4.29,-0.04,-0.9324,36959.81,15892.826
600156.SH,20190813,4.33,4.34,4.28,4.29,4.36,-0.07,-1.6055,26453.0,11381.169
600156.SH,20190812,4.34,4.38,4.3,4.36,4.34,0.02,0.4608,36246.64,15722.279
600156.SH,20190809,4.46,4.54,4.32,4.34,4.47,-0.13,-2.9083,39402.94,17391.777
600156.SH,20190808,4.36,4.51,4.35,4.47,4.39,0.08,1.8223,48684.01,21744.54
600156.SH,20190807,4.36,4.44,4.35,4.39,4.34,0.05,1.1521,48245.0,21232.073
600156.SH,20190806,4.6,4.65,4.24,4.34,4.7,-0.36,-7.6596,83946.03,36849.619
600156.SH,20190805,4.7,4.85,4.66,4.7,4.58,0.12,2.6201,68073.99,32258.006
600156.SH,20190802,4.54,4.63,4.52,4.58,4.71,-0.13,-2.7601,37908.94,17356.134
600156.SH,20190801,4.76,4.76,4.69,4.71,4.77,-0.06,-1.2579,22874.01,10783.139
600156.SH,20190731,4.76,4.82,4.68,4.77,4.8,-0.03,-0.625,28914.0,13689.171
600156.SH,20190730,4.74,4.85,4.74,4.8,4.76,0.04,0.8403,28804.0,13844.145
600156.SH,20190729,4.86,4.86,4.74,4.76,4.83,-0.07,-1.4493,26303.31,12565.927
600156.SH,20190726,4.78,4.85,4.75,4.83,4.82,0.01,0.2075,27628.63,13289.601
600156.SH,20190725,4.78,4.88,4.77,4.82,4.83,-0.01,-0.207,26491.01,12757.403
600156.SH,20190724,4.71,4.84,4.7,4.83,4.7,0.13,2.766,36564.62,17531.53
600156.SH,20190723,4.64,4.71,4.63,4.7,4.66,0.04,0.8584,29285.99,13703.627
600156.SH,20190722,4.89,4.92,4.62,4.66,4.87,-0.21,-4.3121,48031.61,22500.541
600156.SH,20190719,4.88,4.93,4.83,4.87,4.85,0.02,0.4124,23283.31,11380.829
600156.SH,20190718,4.93,4.93,4.84,4.85,4.96,-0.11,-2.2177,42462.87,20664.247
600156.SH,20190717,5.01,5.01,4.92,4.96,5.01,-0.05,-0.998,54480.63,26969.201
600156.SH,20190716,5.05,5.07,4.97,5.01,5.08,-0.07,-1.378,42739.0,21402.135
600156.SH,20190715,4.98,5.09,4.86,5.08,4.99,0.09,1.8036,41917.0,20959.872
600156.SH,20190712,5.03,5.06,4.96,4.99,5.0,-0.01,-0.2,40635.56,20329.19
600156.SH,20190711,4.99,5.1,4.96,5.0,4.98,0.02,0.4016,44117.63,22193.188
600156.SH,20190710,5.12,5.13,4.92,4.98,5.13,-0.15,-2.924,70147.1,35283.293
600156.SH,20190709,5.14,5.2,5.01,5.13,5.19,-0.06,-1.1561,80003.05,40961.712
600156.SH,20190708,5.5,5.55,5.19,5.19,5.56,-0.37,-6.6547,163691.55,86560.866
600156.SH,20190705,5.41,5.75,5.41,5.56,5.39,0.17,3.154,214550.19,119651.153
600156.SH,20190704,5.52,5.62,5.31,5.39,5.5,-0.11,-2.0,125171.49,67617.684
600156.SH,20190703,5.35,5.56,5.16,5.5,5.36,0.14,2.6119,207260.16,111361.467
600156.SH,20190702,5.56,5.73,5.33,5.36,5.4,-0.04,-0.7407,202067.0,111650.457
600156.SH,20190701,5.34,5.45,5.25,5.4,5.2,0.2,3.8462,118073.7,63429.806
600156.SH,20190628,5.35,5.35,5.13,5.2,5.34,-0.14,-2.6217,76076.3,39588.115
600156.SH,20190627,5.29,5.37,5.29,5.34,5.32,0.02,0.3759,63792.31,34013.476
600156.SH,20190626,5.29,5.37,5.21,5.32,5.34,-0.02,-0.3745,69851.32,37175.993
600156.SH,20190625,5.47,5.5,5.23,5.34,5.58,-0.24,-4.3011,152200.7,81280.179
600156.SH,20190624,5.33,5.65,5.27,5.58,5.31,0.27,5.0847,239768.0,131551.366
600156.SH,20190621,5.21,5.36,5.12,5.31,5.34,-0.03,-0.5618,209317.66,110439.129
600156.SH,20190620,5.22,5.7,4.98,5.34,5.21,0.13,2.4952,325917.02,170974.474
600156.SH,20190619,5.21,5.21,5.14,5.21,4.74,0.47,9.9156,158527.98,82533.522
600156.SH,20190618,4.8,4.81,4.68,4.74,4.77,-0.03,-0.6289,35101.0,16632.972
600156.SH,20190617,4.77,4.82,4.74,4.77,4.77,0.0,0.0,43764.85,20870.273
600156.SH,20190614,4.99,5.05,4.74,4.77,5.01,-0.24,-4.7904,96644.56,47117.671
600156.SH,20190613,5.05,5.12,4.9,5.01,5.11,-0.1,-1.9569,163863.29,82277.247
600156.SH,20190612,5.2,5.35,5.09,5.11,5.2,-0.09,-1.7308,225456.33,116833.674
600156.SH,20190611,4.89,5.21,4.81,5.2,4.89,0.31,6.3395,120283.17,60692.633
600156.SH,20190610,4.8,4.89,4.71,4.89,4.84,0.05,1.0331,69798.3,33486.5
600156.SH,20190606,4.89,4.94,4.78,4.84,4.86,-0.02,-0.4115,65247.69,31838.371
600156.SH,20190605,5.11,5.14,4.8,4.86,5.04,-0.18,-3.5714,80814.0,39964.447
600156.SH,20190604,4.99,5.1,4.95,5.04,5.03,0.01,0.1988,56895.26,28663.809
600156.SH,20190603,5.15,5.3,4.96,5.03,5.25,-0.22,-4.1905,126561.8,64283.284
600156.SH,20190531,5.26,5.43,5.15,5.25,5.2,0.05,0.9615,207304.18,110177.194
600156.SH,20190530,5.37,5.37,5.11,5.2,5.32,-0.12,-2.2556,118703.77,61721.743
