ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002035.SZ,20200110,13.24,13.3,13.03,13.16,13.18,-0.02,-0.1517,134163.17,176600.17
002035.SZ,20200109,13.26,13.31,13.03,13.18,13.06,0.12,0.9188,126065.57,165936.737
002035.SZ,20200108,13.31,13.31,13.02,13.06,13.32,-0.26,-1.952,117310.46,153810.095
002035.SZ,20200107,13.2,13.36,13.14,13.32,13.21,0.11,0.8327,129612.1,172006.216
002035.SZ,20200106,13.46,13.55,13.04,13.21,13.52,-0.31,-2.2929,200147.19,265374.602
002035.SZ,20200103,13.63,13.75,13.25,13.52,13.62,-0.1,-0.7342,176156.54,236863.465
002035.SZ,20200102,13.53,14.13,13.45,13.62,13.42,0.2,1.4903,222970.35,307388.652
002035.SZ,20191231,13.5,13.71,13.19,13.42,13.5,-0.08,-0.5926,177769.09,238857.242
002035.SZ,20191230,13.36,13.88,13.23,13.5,13.33,0.17,1.2753,273959.6,372994.337
002035.SZ,20191227,12.8,13.38,12.78,13.33,12.87,0.46,3.5742,292087.93,385284.605
002035.SZ,20191226,12.42,12.91,12.3,12.87,12.4,0.47,3.7903,184799.6,234883.018
002035.SZ,20191225,12.25,12.53,12.22,12.4,12.27,0.13,1.0595,133739.24,165433.524
002035.SZ,20191224,12.12,12.34,12.09,12.27,12.12,0.15,1.2376,116468.75,142731.912
002035.SZ,20191223,12.2,12.44,12.12,12.12,12.29,-0.17,-1.3832,150576.76,185086.751
002035.SZ,20191220,12.18,12.53,12.14,12.29,12.21,0.08,0.6552,148941.73,184480.953
002035.SZ,20191219,12.39,12.39,12.13,12.21,12.4,-0.19,-1.5323,126787.91,154953.46
002035.SZ,20191218,12.4,12.64,12.28,12.4,12.48,-0.08,-0.641,146746.61,182321.461
002035.SZ,20191217,12.2,12.58,12.0,12.48,12.21,0.27,2.2113,254479.25,313484.979
002035.SZ,20191216,12.19,12.32,12.1,12.21,12.2,0.01,0.082,153550.64,187281.608
002035.SZ,20191213,11.98,12.46,11.97,12.2,11.85,0.35,2.9536,174591.6,213648.925
002035.SZ,20191212,12.0,12.04,11.78,11.85,12.0,-0.15,-1.25,82126.65,97493.977
002035.SZ,20191211,12.11,12.18,11.92,12.0,12.18,-0.18,-1.4778,94453.33,113622.926
002035.SZ,20191210,12.25,12.33,12.01,12.18,12.28,-0.1,-0.8143,136121.44,165550.572
002035.SZ,20191209,12.0,12.35,11.92,12.28,11.9,0.38,3.1933,206449.54,251634.823
002035.SZ,20191206,11.43,11.98,11.42,11.9,11.42,0.48,4.2032,185804.62,218944.4
002035.SZ,20191205,11.54,11.58,11.32,11.42,11.41,0.01,0.0876,93263.96,106516.634
002035.SZ,20191204,11.53,11.63,11.33,11.41,11.59,-0.18,-1.5531,95392.45,109445.618
002035.SZ,20191203,11.32,11.62,11.18,11.59,11.35,0.24,2.1145,90440.73,103375.873
002035.SZ,20191202,11.26,11.48,11.23,11.35,11.31,0.04,0.3537,94817.14,107699.902
002035.SZ,20191129,11.46,11.5,11.08,11.31,11.46,-0.15,-1.3089,111864.69,125590.106
002035.SZ,20191128,11.38,11.74,11.33,11.46,11.42,0.04,0.3503,90776.2,104331.515
002035.SZ,20191127,11.64,11.71,11.35,11.42,11.64,-0.22,-1.89,131747.87,151843.332
002035.SZ,20191126,11.95,12.14,11.5,11.64,11.95,-0.31,-2.5941,163551.48,192299.881
002035.SZ,20191125,11.7,11.96,11.41,11.95,11.65,0.3,2.5751,134058.03,157041.157
