ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000156.SZ,20200110,10.73,10.85,10.38,10.46,10.72,-0.26,-2.4254,147971.23,155700.325
000156.SZ,20200109,10.99,11.05,10.59,10.72,10.79,-0.07,-0.6487,183905.47,197692.007
000156.SZ,20200108,11.12,11.3,10.76,10.79,11.3,-0.51,-4.5133,210742.66,231459.94
000156.SZ,20200107,10.77,11.45,10.67,11.3,10.74,0.56,5.2142,280974.51,313408.155
000156.SZ,20200106,10.44,10.85,10.26,10.74,10.5,0.24,2.2857,191084.52,203848.895
000156.SZ,20200103,10.67,10.87,10.42,10.5,10.65,-0.15,-1.4085,175627.76,186164.555
000156.SZ,20200102,10.45,10.99,10.41,10.65,10.44,0.21,2.0115,217875.03,233853.962
000156.SZ,20191231,10.5,10.58,10.33,10.44,10.68,-0.24,-2.2472,141461.13,147623.608
000156.SZ,20191230,9.91,11.0,9.83,10.68,10.01,0.67,6.6933,267911.1,279695.416
000156.SZ,20191227,10.25,10.34,9.99,10.01,10.33,-0.32,-3.0978,162177.06,164544.786
000156.SZ,20191226,9.85,10.45,9.76,10.33,9.93,0.4,4.0282,236176.52,238412.559
000156.SZ,20191225,9.88,10.06,9.72,9.93,9.96,-0.03,-0.3012,155342.75,153878.899
000156.SZ,20191224,9.8,9.97,9.69,9.96,9.82,0.14,1.4257,170387.54,167573.39
000156.SZ,20191223,10.0,10.08,9.75,9.82,10.12,-0.3,-2.9644,223468.03,220638.224
000156.SZ,20191220,10.45,10.49,10.07,10.12,10.6,-0.48,-4.5283,325656.14,332853.562
000156.SZ,20191219,10.63,10.97,10.25,10.6,10.62,-0.02,-0.1883,634034.86,670948.949
000156.SZ,20191218,9.95,10.62,9.95,10.62,9.65,0.97,10.0518,537982.37,564419.9
000156.SZ,20191217,8.8,9.65,8.77,9.65,8.77,0.88,10.0342,340703.94,316743.755
000156.SZ,20191216,8.71,8.8,8.63,8.77,8.76,0.01,0.1142,112306.37,98125.984
000156.SZ,20191213,8.74,8.81,8.6,8.76,8.65,0.11,1.2717,69221.01,60241.657
000156.SZ,20191212,8.84,8.86,8.6,8.65,8.76,-0.11,-1.2557,65507.78,56920.462
000156.SZ,20191211,8.8,8.98,8.71,8.76,8.81,-0.05,-0.5675,70220.4,61794.203
000156.SZ,20191210,8.54,8.9,8.48,8.81,8.55,0.26,3.0409,112286.19,98178.413
000156.SZ,20191209,8.44,8.57,8.39,8.55,8.42,0.13,1.5439,58023.53,49390.821
000156.SZ,20191206,8.3,8.42,8.27,8.42,8.34,0.08,0.9592,52546.73,43877.919
000156.SZ,20191205,8.32,8.35,8.27,8.34,8.28,0.06,0.7246,32362.01,26928.194
000156.SZ,20191204,8.26,8.34,8.25,8.28,8.33,-0.05,-0.6002,28857.99,23911.686
000156.SZ,20191203,8.36,8.36,8.24,8.33,8.36,-0.03,-0.3589,39244.08,32516.371
