ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002787.SZ,20200110,8.08,8.23,7.91,8.11,8.05,0.06,0.7453,43225.0,34917.452
002787.SZ,20200109,7.76,8.12,7.75,8.05,7.73,0.32,4.1397,52608.01,41679.55
002787.SZ,20200108,7.82,7.91,7.66,7.73,7.86,-0.13,-1.6539,42643.5,33114.491
002787.SZ,20200107,7.69,7.93,7.66,7.86,7.81,0.05,0.6402,68706.96,53655.398
002787.SZ,20200106,7.4,7.89,7.31,7.81,7.27,0.54,7.4278,103517.97,79397.358
002787.SZ,20200103,7.26,7.31,7.22,7.27,7.31,-0.04,-0.5472,23705.02,17194.703
002787.SZ,20200102,7.32,7.34,7.2,7.31,7.29,0.02,0.2743,38391.03,27946.316
002787.SZ,20191231,7.08,7.5,7.08,7.29,7.14,0.15,2.1008,38157.0,27771.576
002787.SZ,20191230,6.99,7.16,6.91,7.14,7.08,0.06,0.8475,25968.92,18281.36
002787.SZ,20191227,7.21,7.25,7.08,7.08,7.2,-0.12,-1.6667,29995.0,21511.969
002787.SZ,20191226,7.14,7.25,7.09,7.2,7.19,0.01,0.1391,26030.29,18656.988
002787.SZ,20191225,7.19,7.27,7.11,7.19,7.15,0.04,0.5594,30785.0,22178.857
002787.SZ,20191224,7.2,7.2,7.03,7.15,7.15,0.0,0.0,29334.88,20896.582
002787.SZ,20191223,7.27,7.32,7.03,7.15,7.28,-0.13,-1.7857,36739.0,26422.33
002787.SZ,20191220,7.42,7.47,7.26,7.28,7.44,-0.16,-2.1505,47882.7,35056.564
002787.SZ,20191219,7.12,7.65,7.11,7.44,7.21,0.23,3.19,100698.58,75088.451
002787.SZ,20191218,7.1,7.27,7.08,7.21,7.22,-0.01,-0.1385,77255.39,55272.567
002787.SZ,20191217,7.48,7.48,7.15,7.22,7.19,0.03,0.4172,158372.89,115758.765
002787.SZ,20191216,6.7,7.19,6.7,7.19,6.54,0.65,9.9388,51793.01,36718.647
002787.SZ,20191213,6.45,6.57,6.39,6.54,6.39,0.15,2.3474,20339.4,13195.675
002787.SZ,20191212,6.44,6.47,6.34,6.39,6.37,0.02,0.314,11622.0,7447.535
