ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000036.SZ,20200110,4.23,4.26,4.2,4.24,4.23,0.01,0.2364,38588.74,16286.423
000036.SZ,20200109,4.21,4.26,4.21,4.23,4.19,0.04,0.9547,47694.4,20210.085
000036.SZ,20200108,4.27,4.29,4.19,4.19,4.3,-0.11,-2.5581,82223.2,34835.64
000036.SZ,20200107,4.28,4.31,4.25,4.3,4.28,0.02,0.4673,88857.44,38048.465
000036.SZ,20200106,4.28,4.32,4.24,4.28,4.29,-0.01,-0.2331,78800.83,33656.348
000036.SZ,20200103,4.32,4.34,4.24,4.29,4.32,-0.03,-0.6944,83268.64,35642.781
000036.SZ,20200102,4.35,4.37,4.32,4.32,4.31,0.01,0.232,81550.67,35373.354
000036.SZ,20191231,4.24,4.33,4.21,4.31,4.22,0.09,2.1327,127611.14,54723.424
000036.SZ,20191230,4.18,4.24,4.17,4.22,4.2,0.02,0.4762,57028.57,24021.897
000036.SZ,20191227,4.25,4.28,4.2,4.2,4.26,-0.06,-1.4085,57782.0,24459.403
000036.SZ,20191226,4.15,4.26,4.14,4.26,4.14,0.12,2.8986,90117.42,37865.338
000036.SZ,20191225,4.17,4.17,4.11,4.14,4.16,-0.02,-0.4808,41206.4,17047.425
000036.SZ,20191224,4.14,4.18,4.13,4.16,4.13,0.03,0.7264,31558.06,13091.506
000036.SZ,20191223,4.26,4.26,4.11,4.13,4.22,-0.09,-2.1327,78996.57,33002.238
000036.SZ,20191220,4.28,4.31,4.22,4.22,4.28,-0.06,-1.4019,64078.9,27305.398
000036.SZ,20191219,4.26,4.31,4.25,4.28,4.27,0.01,0.2342,82718.35,35366.138
000036.SZ,20191218,4.29,4.43,4.26,4.27,4.29,-0.02,-0.4662,143142.58,61976.761
000036.SZ,20191217,4.2,4.31,4.18,4.29,4.21,0.08,1.9002,104250.57,44577.89
000036.SZ,20191216,4.16,4.23,4.15,4.21,4.14,0.07,1.6908,99429.37,41651.962
000036.SZ,20191213,4.12,4.16,4.08,4.14,4.09,0.05,1.2225,86311.9,35588.303
000036.SZ,20191212,4.08,4.11,4.06,4.09,4.08,0.01,0.2451,52761.38,21614.079
000036.SZ,20191211,4.04,4.11,4.03,4.08,4.04,0.04,0.9901,45391.31,18525.736
000036.SZ,20191210,4.06,4.09,4.03,4.04,4.07,-0.03,-0.7371,40143.96,16269.696
000036.SZ,20191209,4.01,4.12,4.0,4.07,4.0,0.07,1.75,66103.53,26861.853
000036.SZ,20191206,3.96,4.01,3.95,4.0,3.98,0.02,0.5025,39124.98,15585.953
000036.SZ,20191205,3.96,3.99,3.93,3.98,3.95,0.03,0.7595,37465.11,14866.477
000036.SZ,20191204,3.96,3.96,3.94,3.95,3.96,-0.01,-0.2525,32204.04,12716.424
000036.SZ,20191203,3.93,3.98,3.92,3.96,3.94,0.02,0.5076,40744.4,16132.722
000036.SZ,20191202,3.91,3.98,3.91,3.94,3.93,0.01,0.2545,43958.44,17378.135
000036.SZ,20191129,3.93,3.97,3.92,3.93,3.92,0.01,0.2551,48459.4,19099.961
000036.SZ,20191128,3.88,3.95,3.88,3.92,3.9,0.02,0.5128,45281.67,17773.163
000036.SZ,20191127,3.92,3.96,3.88,3.9,3.92,-0.02,-0.5102,53746.29,21058.419
000036.SZ,20191126,3.9,3.95,3.88,3.92,3.93,-0.01,-0.2545,52560.88,20576.027
000036.SZ,20191125,3.81,3.96,3.78,3.93,3.8,0.13,3.4211,92704.75,36115.737
000036.SZ,20191122,3.79,3.82,3.77,3.8,3.77,0.03,0.7958,34830.88,13207.823
000036.SZ,20191121,3.77,3.79,3.76,3.77,3.77,0.0,0.0,24069.96,9081.945
000036.SZ,20191120,3.83,3.85,3.77,3.77,3.85,-0.08,-2.0779,33112.73,12614.931
000036.SZ,20191119,3.81,3.86,3.8,3.85,3.82,0.03,0.7853,44218.8,16949.263
000036.SZ,20191118,3.72,3.82,3.72,3.82,3.75,0.07,1.8667,40494.29,15254.822
000036.SZ,20191115,3.81,3.81,3.75,3.75,3.81,-0.06,-1.5748,29187.67,11039.831
000036.SZ,20191114,3.81,3.85,3.78,3.81,3.81,0.0,0.0,23706.72,9040.398
000036.SZ,20191113,3.88,3.89,3.8,3.81,3.88,-0.07,-1.8041,47999.97,18343.159
000036.SZ,20191112,3.87,3.92,3.84,3.88,3.89,-0.01,-0.2571,33199.08,12868.454
000036.SZ,20191111,3.97,3.97,3.88,3.89,3.96,-0.07,-1.7677,51031.6,19948.559
000036.SZ,20191108,4.01,4.01,3.96,3.96,3.98,-0.02,-0.5025,32166.2,12831.942
000036.SZ,20191107,4.0,4.01,3.93,3.98,3.99,-0.01,-0.2506,39259.87,15582.14
000036.SZ,20191106,4.05,4.05,3.97,3.99,4.04,-0.05,-1.2376,39368.13,15756.753
000036.SZ,20191105,4.06,4.06,4.02,4.04,4.05,-0.01,-0.2469,33275.29,13448.428
000036.SZ,20191104,4.06,4.08,4.04,4.05,4.05,0.0,0.0,33644.03,13665.7
000036.SZ,20191101,4.02,4.06,3.91,4.05,4.0,0.05,1.25,45675.77,18343.074
000036.SZ,20191031,4.11,4.11,3.95,4.0,4.14,-0.14,-3.3816,126545.61,51025.637
000036.SZ,20191030,4.14,4.16,4.1,4.14,4.14,0.0,0.0,42019.75,17330.24
000036.SZ,20191029,4.19,4.19,4.14,4.14,4.19,-0.05,-1.1933,32006.8,13317.432
000036.SZ,20191028,4.14,4.19,4.14,4.19,4.17,0.02,0.4796,50750.47,21178.006
000036.SZ,20191025,4.13,4.17,4.11,4.17,4.13,0.04,0.9685,27434.2,11366.323
000036.SZ,20191024,4.13,4.15,4.1,4.13,4.13,0.0,0.0,34549.33,14219.671
