ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600361.SH,20200110,3.94,4.15,3.87,3.97,3.9,0.07,1.7949,110582.91,44220.647
600361.SH,20200109,3.83,3.9,3.83,3.9,3.81,0.09,2.3622,33805.94,13093.615
600361.SH,20200108,3.9,3.9,3.8,3.81,3.9,-0.09,-2.3077,37390.2,14345.577
600361.SH,20200107,3.84,3.9,3.84,3.9,3.85,0.05,1.2987,30443.93,11789.945
600361.SH,20200106,3.83,3.88,3.81,3.85,3.84,0.01,0.2604,31404.79,12081.494
600361.SH,20200103,3.83,3.86,3.8,3.84,3.82,0.02,0.5236,24132.79,9249.54
600361.SH,20200102,3.8,3.85,3.78,3.82,3.78,0.04,1.0582,31282.0,11940.396
600361.SH,20191231,3.74,3.79,3.72,3.78,3.74,0.04,1.0695,15107.71,5674.11
600361.SH,20191230,3.74,3.74,3.64,3.74,3.75,-0.01,-0.2667,20810.71,7731.08
600361.SH,20191227,3.77,3.82,3.75,3.75,3.78,-0.03,-0.7937,20003.2,7563.1
600361.SH,20191226,3.73,3.79,3.72,3.78,3.74,0.04,1.0695,14108.2,5293.986
600361.SH,20191225,3.77,3.79,3.7,3.74,3.78,-0.04,-1.0582,19347.24,7250.323
600361.SH,20191224,3.71,3.79,3.7,3.78,3.72,0.06,1.6129,23918.37,8990.842
600361.SH,20191223,3.8,3.81,3.68,3.72,3.8,-0.08,-2.1053,24511.04,9176.613
600361.SH,20191220,3.81,3.88,3.77,3.8,3.81,-0.01,-0.2625,39453.33,15143.49
600361.SH,20191219,3.76,3.83,3.75,3.81,3.76,0.05,1.3298,30380.93,11548.251
600361.SH,20191218,3.74,3.8,3.74,3.76,3.77,-0.01,-0.2653,31669.0,11941.884
600361.SH,20191217,3.73,3.78,3.71,3.77,3.73,0.04,1.0724,32840.93,12328.382
600361.SH,20191216,3.69,3.74,3.67,3.73,3.67,0.06,1.6349,34737.76,12919.334
600361.SH,20191213,3.62,3.68,3.62,3.67,3.62,0.05,1.3812,21387.91,7822.605
600361.SH,20191212,3.68,3.71,3.62,3.62,3.69,-0.07,-1.897,36467.11,13317.724
600361.SH,20191211,3.66,3.7,3.63,3.69,3.65,0.04,1.0959,27185.41,9991.518
600361.SH,20191210,3.64,3.66,3.61,3.65,3.65,0.0,0.0,13939.68,5067.183
600361.SH,20191209,3.69,3.69,3.63,3.65,3.7,-0.05,-1.3514,27416.11,10021.602
600361.SH,20191206,3.62,3.73,3.61,3.7,3.64,0.06,1.6484,48318.47,17741.732
600361.SH,20191205,3.59,3.65,3.57,3.64,3.6,0.04,1.1111,29584.17,10695.855
600361.SH,20191204,3.56,3.61,3.56,3.6,3.58,0.02,0.5587,15034.3,5400.641
600361.SH,20191203,3.55,3.59,3.51,3.58,3.55,0.03,0.8451,16296.3,5783.57
600361.SH,20191202,3.57,3.6,3.54,3.55,3.59,-0.04,-1.1142,14089.0,5028.049
600361.SH,20191129,3.52,3.59,3.48,3.59,3.52,0.07,1.9886,21328.79,7524.897
600361.SH,20191128,3.58,3.59,3.51,3.52,3.55,-0.03,-0.8451,8934.42,3161.486
600361.SH,20191127,3.54,3.6,3.53,3.55,3.55,0.0,0.0,15512.0,5527.607
600361.SH,20191126,3.54,3.58,3.54,3.55,3.56,-0.01,-0.2809,13619.93,4840.692
600361.SH,20191125,3.52,3.56,3.51,3.56,3.51,0.05,1.4245,13821.0,4888.674
600361.SH,20191122,3.51,3.55,3.49,3.51,3.51,0.0,0.0,16945.45,5974.82
600361.SH,20191121,3.51,3.53,3.49,3.51,3.52,-0.01,-0.2841,15627.92,5478.754
600361.SH,20191120,3.55,3.56,3.5,3.52,3.56,-0.04,-1.1236,16284.42,5742.593
600361.SH,20191119,3.51,3.57,3.49,3.56,3.5,0.06,1.7143,13557.13,4793.879
600361.SH,20191118,3.49,3.51,3.45,3.5,3.49,0.01,0.2865,11080.0,3871.454
600361.SH,20191115,3.53,3.56,3.48,3.49,3.56,-0.07,-1.9663,19026.87,6684.776
600361.SH,20191114,3.57,3.59,3.53,3.56,3.55,0.01,0.2817,10791.0,3848.316
600361.SH,20191113,3.58,3.59,3.54,3.55,3.58,-0.03,-0.838,9858.0,3504.511
