ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300490.SZ,20200110,11.56,11.6,11.26,11.29,11.55,-0.26,-2.2511,55375.0,63031.924
300490.SZ,20200109,11.5,11.65,11.29,11.55,11.42,0.13,1.1384,86604.15,99269.555
300490.SZ,20200108,11.37,11.75,11.28,11.42,11.42,0.0,0.0,113145.58,130214.931
300490.SZ,20200107,11.41,11.56,11.22,11.42,11.36,0.06,0.5282,85648.95,97233.392
300490.SZ,20200106,11.09,11.36,10.96,11.36,11.15,0.21,1.8834,89102.21,100082.045
300490.SZ,20200103,11.14,11.43,11.03,11.15,11.19,-0.04,-0.3575,81954.36,91856.575
300490.SZ,20200102,11.11,11.2,11.01,11.19,11.08,0.11,0.9928,72032.02,80193.473
300490.SZ,20191231,11.17,11.2,10.9,11.08,11.25,-0.17,-1.5111,52788.0,58221.077
300490.SZ,20191230,10.61,11.25,10.51,11.25,10.83,0.42,3.8781,82242.0,90956.718
300490.SZ,20191227,10.96,11.12,10.83,10.83,10.91,-0.08,-0.7333,59675.0,65468.652
300490.SZ,20191226,10.71,10.92,10.65,10.91,10.64,0.27,2.5376,43598.02,47055.888
300490.SZ,20191225,10.64,10.87,10.57,10.64,10.58,0.06,0.5671,32923.0,35140.902
300490.SZ,20191224,10.43,10.7,10.25,10.58,10.38,0.2,1.9268,34343.0,36098.41
300490.SZ,20191223,10.9,10.93,10.37,10.38,10.9,-0.52,-4.7706,43675.0,46339.801
300490.SZ,20191220,11.07,11.14,10.87,10.9,11.04,-0.14,-1.2681,43678.0,48006.699
300490.SZ,20191219,11.02,11.09,10.86,11.04,10.98,0.06,0.5464,44112.36,48460.654
300490.SZ,20191218,11.17,11.18,10.94,10.98,11.04,-0.06,-0.5435,58602.21,64612.212
300490.SZ,20191217,10.98,11.15,10.82,11.04,10.95,0.09,0.8219,72085.0,79050.201
300490.SZ,20191216,11.0,11.0,10.8,10.95,10.91,0.04,0.3666,73970.55,80600.42
300490.SZ,20191213,10.77,11.15,10.71,10.91,10.66,0.25,2.3452,113988.0,124904.569
300490.SZ,20191212,10.38,10.69,10.3,10.66,10.32,0.34,3.2946,57030.0,60069.737
300490.SZ,20191211,10.32,10.45,10.25,10.32,10.28,0.04,0.3891,23801.0,24624.398
300490.SZ,20191210,10.37,10.37,10.13,10.28,10.36,-0.08,-0.7722,32970.98,33787.785
300490.SZ,20191209,10.45,10.45,10.3,10.36,10.39,-0.03,-0.2887,25781.0,26697.569
300490.SZ,20191206,10.48,10.48,10.35,10.39,10.39,0.0,0.0,29012.09,30169.828
300490.SZ,20191205,10.4,10.46,10.25,10.39,10.34,0.05,0.4836,39780.0,41160.591
300490.SZ,20191204,10.5,10.58,10.31,10.34,10.68,-0.34,-3.1835,43683.36,45525.981
300490.SZ,20191203,10.49,10.85,10.47,10.68,10.48,0.2,1.9084,41223.0,43922.119
300490.SZ,20191202,10.7,10.73,10.48,10.48,10.72,-0.24,-2.2388,32532.5,34399.814
300490.SZ,20191129,10.83,11.08,10.46,10.72,10.87,-0.15,-1.3799,49698.0,53003.583
300490.SZ,20191128,10.8,10.98,10.6,10.87,10.88,-0.01,-0.0919,50230.0,54155.082
300490.SZ,20191127,10.52,11.2,10.35,10.88,10.81,0.07,0.6475,71131.12,77156.569
300490.SZ,20191126,10.57,10.87,10.02,10.81,10.82,-0.01,-0.0924,60704.9,64131.798
300490.SZ,20191125,10.66,11.23,10.55,10.82,10.72,0.1,0.9328,70032.9,75936.202
300490.SZ,20191122,10.34,11.28,10.34,10.72,10.29,0.43,4.1788,70748.91,76354.012
300490.SZ,20191121,10.34,10.38,10.21,10.29,10.47,-0.18,-1.7192,30454.0,31316.383
300490.SZ,20191120,10.17,10.57,10.0,10.47,10.42,0.05,0.4798,57301.0,59047.054
300490.SZ,20191119,10.28,10.45,10.11,10.42,10.26,0.16,1.5595,38661.71,39873.553
300490.SZ,20191118,10.76,10.76,10.0,10.26,10.68,-0.42,-3.9326,54511.21,55922.332
300490.SZ,20191115,11.14,11.25,10.65,10.68,11.28,-0.6,-5.3191,50908.66,55842.337
300490.SZ,20191114,11.15,11.28,10.9,11.28,11.23,0.05,0.4452,51871.4,57672.075
300490.SZ,20191113,11.5,11.58,11.02,11.23,11.59,-0.36,-3.1061,62050.71,69639.632
300490.SZ,20191112,11.34,11.65,11.11,11.59,11.33,0.26,2.2948,85161.16,97376.115
300490.SZ,20191111,11.11,11.46,11.01,11.33,11.3,0.03,0.2655,68847.08,77229.042
300490.SZ,20191108,11.0,11.48,10.85,11.3,11.2,0.1,0.8929,83797.96,93201.507
300490.SZ,20191107,10.99,11.69,10.99,11.2,10.9,0.3,2.7523,131165.23,148470.233
300490.SZ,20191106,9.88,10.9,9.88,10.9,9.91,0.99,9.9899,47943.71,50653.691
300490.SZ,20191105,10.01,10.04,9.78,9.91,10.03,-0.12,-1.1964,13302.41,13183.044
300490.SZ,20191104,10.05,10.11,9.97,10.03,10.02,0.01,0.0998,13204.0,13247.953
300490.SZ,20191101,10.28,10.28,9.97,10.02,10.3,-0.28,-2.7184,20523.13,20633.998
300490.SZ,20191031,10.59,10.59,9.93,10.3,10.64,-0.34,-3.1955,35264.97,36084.257
300490.SZ,20191030,10.39,10.85,10.3,10.64,10.48,0.16,1.5267,33791.01,35666.239
300490.SZ,20191029,10.58,10.63,10.35,10.48,10.58,-0.1,-0.9452,23790.0,24846.36
300490.SZ,20191028,10.63,10.67,10.48,10.58,10.61,-0.03,-0.2828,26526.02,28049.609
300490.SZ,20191025,10.31,10.65,10.31,10.61,10.37,0.24,2.3144,20055.0,21155.045
300490.SZ,20191024,10.36,10.53,10.32,10.37,10.36,0.01,0.0965,10559.18,10984.174
300490.SZ,20191023,10.4,10.45,10.32,10.36,10.41,-0.05,-0.4803,8759.0,9083.051
300490.SZ,20191022,10.11,10.46,10.11,10.41,10.18,0.23,2.2593,12867.98,13298.091
300490.SZ,20191021,10.06,10.21,9.96,10.18,10.15,0.03,0.2956,12209.82,12356.396
300490.SZ,20191018,10.43,10.54,10.06,10.15,10.47,-0.32,-3.0564,17247.01,17748.752
300490.SZ,20191017,10.44,10.65,10.41,10.47,10.45,0.02,0.1914,14472.0,15240.63
300490.SZ,20191016,10.56,10.61,10.42,10.45,10.56,-0.11,-1.0417,13485.21,14163.373
300490.SZ,20191015,10.74,10.84,10.51,10.56,10.7,-0.14,-1.3084,14762.0,15706.736
300490.SZ,20191014,10.64,10.72,10.62,10.7,10.57,0.13,1.2299,13216.0,14099.197
300490.SZ,20191011,10.8,10.84,10.56,10.57,10.79,-0.22,-2.0389,13121.0,13944.481
300490.SZ,20191010,11.0,11.07,10.64,10.79,10.75,0.04,0.3721,14677.68,15835.888
300490.SZ,20191009,10.53,10.75,10.45,10.75,10.61,0.14,1.3195,12540.89,13353.276
300490.SZ,20191008,10.45,10.69,10.45,10.61,10.45,0.16,1.5311,14446.0,15325.79
300490.SZ,20190930,10.6,10.78,10.45,10.45,10.69,-0.24,-2.2451,16264.72,17285.133
300490.SZ,20190927,10.37,10.97,10.3,10.69,10.3,0.39,3.7864,28216.76,30094.91
300490.SZ,20190926,10.58,10.85,10.21,10.3,10.64,-0.34,-3.1955,21702.0,22852.662
300490.SZ,20190925,10.99,10.99,10.6,10.64,11.07,-0.43,-3.8844,23096.53,24863.138
