ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600743.SH,20200110,2.49,2.5,2.45,2.48,2.49,-0.01,-0.4016,56931.81,14058.539
600743.SH,20200109,2.49,2.51,2.47,2.49,2.48,0.01,0.4032,63027.01,15685.012
600743.SH,20200108,2.52,2.53,2.45,2.48,2.54,-0.06,-2.3622,100935.0,25177.119
600743.SH,20200107,2.52,2.54,2.51,2.54,2.51,0.03,1.1952,98607.07,24914.517
600743.SH,20200106,2.51,2.53,2.49,2.51,2.54,-0.03,-1.1811,106828.64,26827.62
600743.SH,20200103,2.56,2.56,2.51,2.54,2.55,-0.01,-0.3922,116335.14,29393.443
600743.SH,20200102,2.5,2.56,2.5,2.55,2.49,0.06,2.4096,163400.08,41429.303
600743.SH,20191231,2.47,2.51,2.45,2.49,2.48,0.01,0.4032,116149.69,28617.197
600743.SH,20191230,2.5,2.52,2.43,2.48,2.53,-0.05,-1.9763,253319.48,62427.457
600743.SH,20191227,2.48,2.6,2.47,2.53,2.47,0.06,2.4291,245997.03,62414.563
600743.SH,20191226,2.46,2.5,2.46,2.47,2.46,0.01,0.4065,144826.55,35844.306
600743.SH,20191225,2.5,2.5,2.46,2.46,2.49,-0.03,-1.2048,15862.51,3922.425
600743.SH,20191224,2.47,2.5,2.46,2.49,2.47,0.02,0.8097,36939.03,9163.516
600743.SH,20191223,2.52,2.52,2.45,2.47,2.51,-0.04,-1.5936,44016.36,10936.55
600743.SH,20191220,2.51,2.55,2.51,2.51,2.52,-0.01,-0.3968,50053.35,12640.857
600743.SH,20191219,2.48,2.52,2.47,2.52,2.49,0.03,1.2048,34354.39,8603.993
600743.SH,20191218,2.49,2.52,2.47,2.49,2.49,0.0,0.0,43914.91,10967.937
600743.SH,20191217,2.44,2.51,2.44,2.49,2.44,0.05,2.0492,83095.04,20645.351
600743.SH,20191216,2.43,2.44,2.41,2.44,2.42,0.02,0.8264,53917.9,13070.166
600743.SH,20191213,2.41,2.44,2.4,2.42,2.4,0.02,0.8333,49426.26,11949.314
600743.SH,20191212,2.41,2.43,2.4,2.4,2.41,-0.01,-0.4149,45533.09,11008.873
600743.SH,20191211,2.42,2.42,2.4,2.41,2.42,-0.01,-0.4132,27308.31,6585.25
600743.SH,20191210,2.4,2.42,2.39,2.42,2.41,0.01,0.4149,20414.89,4910.816
600743.SH,20191209,2.4,2.42,2.4,2.41,2.4,0.01,0.4167,30374.87,7319.015
600743.SH,20191206,2.43,2.43,2.39,2.4,2.44,-0.04,-1.6393,88956.35,21385.911
600743.SH,20191205,2.44,2.45,2.42,2.44,2.45,-0.01,-0.4082,37347.17,9087.006
600743.SH,20191204,2.47,2.5,2.42,2.45,2.47,-0.02,-0.8097,57019.23,14033.831
600743.SH,20191203,2.43,2.47,2.41,2.47,2.42,0.05,2.0661,66795.07,16306.704
600743.SH,20191202,2.41,2.44,2.4,2.42,2.4,0.02,0.8333,51804.08,12540.011
600743.SH,20191129,2.35,2.41,2.33,2.4,2.36,0.04,1.6949,93076.85,22112.955
600743.SH,20191128,2.34,2.36,2.32,2.36,2.35,0.01,0.4255,34915.4,8172.388
600743.SH,20191127,2.33,2.35,2.32,2.35,2.35,0.0,0.0,25632.43,5994.13
600743.SH,20191126,2.33,2.35,2.32,2.35,2.35,0.0,0.0,26979.24,6296.711
600743.SH,20191125,2.3,2.38,2.29,2.35,2.31,0.04,1.7316,51210.15,12001.701
600743.SH,20191122,2.3,2.34,2.29,2.31,2.3,0.01,0.4348,36634.5,8493.071
600743.SH,20191121,2.26,2.31,2.25,2.3,2.26,0.04,1.7699,52245.73,11981.219
600743.SH,20191120,2.28,2.29,2.25,2.26,2.28,-0.02,-0.8772,25096.5,5696.226
600743.SH,20191119,2.27,2.29,2.25,2.28,2.27,0.01,0.4405,34280.52,7791.604
600743.SH,20191118,2.22,2.27,2.22,2.27,2.23,0.04,1.7937,42260.9,9490.687
