ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000793.SZ,20200110,3.51,3.52,3.38,3.38,3.52,-0.14,-3.9773,386294.5,132406.022
000793.SZ,20200109,3.5,3.56,3.45,3.52,3.45,0.07,2.029,385648.11,135007.026
000793.SZ,20200108,3.52,3.54,3.43,3.45,3.57,-0.12,-3.3613,526318.52,183013.952
000793.SZ,20200107,3.45,3.62,3.45,3.57,3.45,0.12,3.4783,722456.21,256135.121
000793.SZ,20200106,3.5,3.56,3.43,3.45,3.58,-0.13,-3.6313,694222.53,242714.507
000793.SZ,20200103,3.55,3.61,3.47,3.58,3.58,0.0,0.0,744897.34,263136.497
000793.SZ,20200102,3.4,3.67,3.4,3.58,3.37,0.21,6.2315,1029932.39,365542.968
000793.SZ,20191231,3.35,3.47,3.33,3.37,3.4,-0.03,-0.8824,481135.6,162788.407
000793.SZ,20191230,3.25,3.44,3.2,3.4,3.33,0.07,2.1021,726661.89,243149.502
000793.SZ,20191227,3.31,3.51,3.27,3.33,3.3,0.03,0.9091,756307.69,255063.054
000793.SZ,20191226,3.16,3.38,3.14,3.3,3.16,0.14,4.4304,693948.87,227119.211
000793.SZ,20191225,3.2,3.22,3.14,3.16,3.23,-0.07,-2.1672,292303.55,92799.898
000793.SZ,20191224,3.05,3.28,3.04,3.23,3.06,0.17,5.5556,517084.37,163787.52
000793.SZ,20191223,3.16,3.19,3.03,3.06,3.16,-0.1,-3.1646,354137.87,109723.874
000793.SZ,20191220,3.21,3.27,3.15,3.16,3.28,-0.12,-3.6585,541975.72,174076.735
000793.SZ,20191219,3.07,3.37,3.06,3.28,3.06,0.22,7.1895,875226.91,283085.27
000793.SZ,20191218,3.06,3.08,3.04,3.06,3.06,0.0,0.0,212863.85,65133.327
000793.SZ,20191217,3.01,3.08,3.0,3.06,3.01,0.05,1.6611,316455.27,96339.936
000793.SZ,20191216,2.97,3.02,2.96,3.01,2.96,0.05,1.6892,192366.95,57558.717
000793.SZ,20191213,2.94,2.97,2.93,2.96,2.94,0.02,0.6803,144140.7,42550.96
000793.SZ,20191212,2.97,2.98,2.93,2.94,2.97,-0.03,-1.0101,140848.14,41628.273
000793.SZ,20191211,2.97,3.04,2.95,2.97,2.98,-0.01,-0.3356,214356.09,64236.304
000793.SZ,20191210,2.94,2.98,2.92,2.98,2.94,0.04,1.3605,165261.52,48840.053
000793.SZ,20191209,2.96,2.96,2.93,2.94,2.96,-0.02,-0.6757,137678.66,40556.551
000793.SZ,20191206,2.92,2.96,2.9,2.96,2.94,0.02,0.6803,153501.0,45017.376
000793.SZ,20191205,2.9,2.96,2.89,2.94,2.9,0.04,1.3793,158517.26,46258.881
000793.SZ,20191204,2.88,2.91,2.87,2.9,2.9,0.0,0.0,84201.42,24324.759
000793.SZ,20191203,2.89,2.9,2.86,2.9,2.9,0.0,0.0,114803.27,33022.903
000793.SZ,20191202,2.89,2.91,2.88,2.9,2.9,0.0,0.0,69610.32,20176.364
000793.SZ,20191129,2.9,2.91,2.87,2.9,2.91,-0.01,-0.3436,95973.62,27719.065
000793.SZ,20191128,2.91,2.92,2.89,2.91,2.92,-0.01,-0.3425,92822.96,26942.052
000793.SZ,20191127,2.94,2.96,2.91,2.92,2.94,-0.02,-0.6803,95387.24,27983.749
000793.SZ,20191126,2.93,2.97,2.93,2.94,2.93,0.01,0.3413,111694.44,32964.641
000793.SZ,20191125,2.97,2.97,2.88,2.93,2.98,-0.05,-1.6779,152825.65,44734.129
000793.SZ,20191122,3.05,3.05,2.95,2.98,3.04,-0.06,-1.9737,234649.72,70364.226
000793.SZ,20191121,2.99,3.09,2.98,3.04,2.97,0.07,2.3569,275934.74,83903.833
000793.SZ,20191120,2.96,3.01,2.95,2.97,2.96,0.01,0.3378,182501.14,54454.276
000793.SZ,20191119,2.9,2.97,2.88,2.96,2.9,0.06,2.069,179260.79,52819.683
000793.SZ,20191118,2.91,2.92,2.85,2.9,2.9,0.0,0.0,117433.63,33889.394
000793.SZ,20191115,2.97,2.97,2.89,2.9,2.97,-0.07,-2.3569,153591.29,44926.724
000793.SZ,20191114,2.95,3.01,2.93,2.97,2.95,0.02,0.678,137190.08,40631.806
000793.SZ,20191113,2.99,3.0,2.94,2.95,3.01,-0.06,-1.9934,119481.9,35337.437
000793.SZ,20191112,2.97,3.02,2.92,3.01,2.99,0.02,0.6689,148483.38,44005.357
000793.SZ,20191111,2.99,3.07,2.96,2.99,2.98,0.01,0.3356,239697.13,72164.511
000793.SZ,20191108,2.99,3.03,2.98,2.98,2.99,-0.01,-0.3344,178232.84,53589.973
000793.SZ,20191107,2.93,3.01,2.92,2.99,2.92,0.07,2.3973,193504.26,57511.412
000793.SZ,20191106,2.97,2.98,2.91,2.92,3.0,-0.08,-2.6667,242065.63,71144.569
000793.SZ,20191105,2.99,3.04,2.96,3.0,2.99,0.01,0.3344,198742.13,59605.289
000793.SZ,20191104,3.07,3.09,2.98,2.99,3.06,-0.07,-2.2876,307938.43,93348.089
000793.SZ,20191101,3.04,3.09,3.0,3.06,3.04,0.02,0.6579,217524.14,66418.253
000793.SZ,20191031,3.12,3.16,3.02,3.04,3.09,-0.05,-1.6181,313689.25,96627.345
000793.SZ,20191030,3.14,3.23,3.09,3.09,3.27,-0.18,-5.5046,587955.66,185101.417
000793.SZ,20191029,3.65,3.65,3.25,3.27,3.45,-0.18,-5.2174,1458183.16,504937.483
000793.SZ,20191028,3.45,3.45,3.33,3.45,3.14,0.31,9.8726,669869.07,230824.612
000793.SZ,20191025,2.97,3.23,2.93,3.14,2.95,0.19,6.4407,677857.25,211037.833
000793.SZ,20191024,3.02,3.02,2.93,2.95,3.03,-0.08,-2.6403,200668.0,59458.971
000793.SZ,20191023,2.95,3.09,2.91,3.03,2.94,0.09,3.0612,277580.02,83271.122
000793.SZ,20191022,2.95,2.96,2.92,2.94,2.93,0.01,0.3413,80116.52,23520.982
000793.SZ,20191021,2.96,2.97,2.91,2.93,2.96,-0.03,-1.0135,106630.19,31233.088
000793.SZ,20191018,3.01,3.04,2.94,2.96,3.01,-0.05,-1.6611,153432.94,45871.78
000793.SZ,20191017,2.99,3.05,2.99,3.01,3.0,0.01,0.3333,117500.43,35585.973
000793.SZ,20191016,3.02,3.06,3.0,3.0,3.0,0.0,0.0,133249.83,40320.173
000793.SZ,20191015,3.05,3.05,2.99,3.0,3.06,-0.06,-1.9608,162309.01,48907.799
000793.SZ,20191014,2.96,3.07,2.96,3.06,2.96,0.1,3.3784,248855.09,75255.988
000793.SZ,20191011,2.95,2.97,2.91,2.96,2.94,0.02,0.6803,125421.17,36876.585
000793.SZ,20191010,2.9,2.95,2.89,2.94,2.9,0.04,1.3793,106723.54,31201.477
000793.SZ,20191009,2.9,2.9,2.84,2.9,2.91,-0.01,-0.3436,100393.29,28899.213
000793.SZ,20191008,2.89,2.94,2.87,2.91,2.89,0.02,0.692,98723.42,28640.76
000793.SZ,20190930,2.95,2.98,2.88,2.89,2.97,-0.08,-2.6936,173678.11,50754.05
000793.SZ,20190927,2.86,3.05,2.84,2.97,2.85,0.12,4.2105,260767.39,76905.286
000793.SZ,20190926,2.93,2.95,2.85,2.85,2.94,-0.09,-3.0612,218407.0,63237.373
000793.SZ,20190925,3.01,3.01,2.92,2.94,3.03,-0.09,-2.9703,188185.92,55596.099
000793.SZ,20190924,3.02,3.08,3.01,3.03,3.04,-0.01,-0.3289,155890.15,47430.164
000793.SZ,20190923,3.1,3.1,3.01,3.04,3.11,-0.07,-2.2508,156292.9,47464.409
000793.SZ,20190920,3.11,3.13,3.08,3.11,3.11,0.0,0.0,137158.14,42590.173
000793.SZ,20190919,3.12,3.13,3.07,3.11,3.11,0.0,0.0,157601.86,48753.557
000793.SZ,20190918,3.17,3.19,3.1,3.11,3.16,-0.05,-1.5823,185633.32,58196.198
000793.SZ,20190917,3.3,3.3,3.14,3.16,3.3,-0.14,-4.2424,255152.91,81585.184
000793.SZ,20190916,3.3,3.33,3.27,3.3,3.28,0.02,0.6098,207089.42,68351.041
000793.SZ,20190912,3.31,3.34,3.26,3.28,3.29,-0.01,-0.304,243794.21,80318.388
000793.SZ,20190911,3.29,3.32,3.25,3.29,3.28,0.01,0.3049,228793.21,75233.9
000793.SZ,20190910,3.3,3.33,3.23,3.28,3.29,-0.01,-0.304,254935.07,83563.768
000793.SZ,20190909,3.23,3.32,3.22,3.29,3.21,0.08,2.4922,251443.28,82045.94
000793.SZ,20190906,3.23,3.24,3.17,3.21,3.23,-0.02,-0.6192,152015.69,48743.725
000793.SZ,20190905,3.22,3.27,3.19,3.23,3.19,0.04,1.2539,248977.62,80592.473
000793.SZ,20190904,3.17,3.24,3.15,3.19,3.18,0.01,0.3145,144192.1,45983.276
000793.SZ,20190903,3.22,3.22,3.16,3.18,3.22,-0.04,-1.2422,145077.59,46207.406
000793.SZ,20190902,3.13,3.23,3.12,3.22,3.14,0.08,2.5478,126021.42,40315.982
000793.SZ,20190830,3.23,3.27,3.11,3.14,3.22,-0.08,-2.4845,216299.6,69151.413
000793.SZ,20190829,3.2,3.26,3.16,3.22,3.18,0.04,1.2579,252539.56,81433.223
000793.SZ,20190828,3.14,3.21,3.12,3.18,3.14,0.04,1.2739,217808.82,69091.205
000793.SZ,20190827,3.08,3.17,3.07,3.14,3.06,0.08,2.6144,150369.21,47039.438
000793.SZ,20190826,3.02,3.08,3.01,3.06,3.11,-0.05,-1.6077,121066.25,36963.448
000793.SZ,20190823,3.13,3.16,3.1,3.11,3.13,-0.02,-0.639,138362.23,43277.568
000793.SZ,20190822,3.14,3.18,3.11,3.13,3.1,0.03,0.9677,159695.82,50162.337
000793.SZ,20190821,3.1,3.15,3.08,3.1,3.11,-0.01,-0.3215,159630.9,49726.693
000793.SZ,20190820,3.05,3.18,3.04,3.11,3.05,0.06,1.9672,289281.39,90260.226
