ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600713.SH,20200110,4.57,4.59,4.55,4.57,4.55,0.02,0.4396,66601.87,30466.042
600713.SH,20200109,4.55,4.58,4.53,4.55,4.51,0.04,0.8869,70588.82,32141.731
600713.SH,20200108,4.61,4.61,4.48,4.51,4.63,-0.12,-2.5918,158470.0,71885.234
600713.SH,20200107,4.61,4.64,4.58,4.63,4.61,0.02,0.4338,80234.65,37054.075
600713.SH,20200106,4.62,4.65,4.56,4.61,4.63,-0.02,-0.432,98596.47,45391.859
600713.SH,20200103,4.64,4.66,4.59,4.63,4.64,-0.01,-0.2155,101860.81,47051.418
600713.SH,20200102,4.7,4.74,4.61,4.64,4.68,-0.04,-0.8547,212141.01,98752.887
600713.SH,20191231,4.65,4.74,4.63,4.68,4.65,0.03,0.6452,104336.47,48848.734
600713.SH,20191230,4.56,4.68,4.52,4.65,4.56,0.09,1.9737,111409.56,51472.356
600713.SH,20191227,4.61,4.64,4.55,4.56,4.61,-0.05,-1.0846,95781.58,43973.116
600713.SH,20191226,4.64,4.67,4.56,4.61,4.64,-0.03,-0.6466,116286.12,53520.328
600713.SH,20191225,4.57,4.71,4.52,4.64,4.54,0.1,2.2026,186935.87,86302.624
600713.SH,20191224,4.4,4.55,4.39,4.54,4.39,0.15,3.4169,80464.37,36013.901
600713.SH,20191223,4.46,4.47,4.38,4.39,4.47,-0.08,-1.7897,57702.0,25565.456
600713.SH,20191220,4.58,4.59,4.47,4.47,4.54,-0.07,-1.5419,98276.0,44434.553
600713.SH,20191219,4.45,4.56,4.42,4.54,4.44,0.1,2.2523,117710.94,53096.522
600713.SH,20191218,4.4,4.45,4.4,4.44,4.43,0.01,0.2257,46721.82,20690.898
600713.SH,20191217,4.35,4.44,4.32,4.43,4.35,0.08,1.8391,69458.11,30553.831
600713.SH,20191216,4.32,4.35,4.31,4.35,4.31,0.04,0.9281,56486.5,24491.34
600713.SH,20191213,4.29,4.32,4.28,4.31,4.27,0.04,0.9368,30314.08,13026.981
600713.SH,20191212,4.25,4.28,4.24,4.27,4.27,0.0,0.0,24878.01,10620.802
600713.SH,20191211,4.28,4.29,4.24,4.27,4.27,0.0,0.0,34684.3,14773.248
600713.SH,20191210,4.34,4.35,4.25,4.27,4.34,-0.07,-1.6129,68701.78,29402.692
600713.SH,20191209,4.33,4.36,4.33,4.34,4.34,0.0,0.0,32082.01,13926.442
600713.SH,20191206,4.36,4.37,4.32,4.34,4.36,-0.02,-0.4587,29020.62,12606.613
600713.SH,20191205,4.35,4.36,4.33,4.36,4.35,0.01,0.2299,32571.84,14158.763
600713.SH,20191204,4.33,4.36,4.31,4.35,4.36,-0.01,-0.2294,20961.0,9089.373
600713.SH,20191203,4.35,4.36,4.31,4.36,4.36,0.0,0.0,19251.58,8339.105
600713.SH,20191202,4.39,4.39,4.33,4.36,4.36,0.0,0.0,27517.14,11982.03
600713.SH,20191129,4.35,4.38,4.32,4.36,4.34,0.02,0.4608,24113.58,10478.135
600713.SH,20191128,4.39,4.39,4.33,4.34,4.38,-0.04,-0.9132,30495.0,13261.89
600713.SH,20191127,4.42,4.42,4.37,4.38,4.43,-0.05,-1.1287,29513.0,12951.752
600713.SH,20191126,4.38,4.45,4.38,4.43,4.41,0.02,0.4535,34526.0,15243.287
600713.SH,20191125,4.36,4.41,4.33,4.41,4.37,0.04,0.9153,34527.0,15097.788
600713.SH,20191122,4.41,4.48,4.34,4.37,4.42,-0.05,-1.1312,44932.13,19808.519
600713.SH,20191121,4.38,4.42,4.33,4.42,4.38,0.04,0.9132,32606.0,14306.54
600713.SH,20191120,4.41,4.45,4.37,4.38,4.41,-0.03,-0.6803,43912.62,19354.43
600713.SH,20191119,4.34,4.42,4.33,4.41,4.36,0.05,1.1468,34451.52,15098.527
600713.SH,20191118,4.32,4.36,4.3,4.36,4.34,0.02,0.4608,27714.02,12012.968
600713.SH,20191115,4.4,4.4,4.32,4.34,4.38,-0.04,-0.9132,22135.02,9625.181
600713.SH,20191114,4.34,4.4,4.33,4.38,4.33,0.05,1.1547,32637.71,14261.178
600713.SH,20191113,4.35,4.36,4.29,4.33,4.33,0.0,0.0,26397.57,11437.226
600713.SH,20191112,4.31,4.36,4.27,4.33,4.34,-0.01,-0.2304,32213.92,13918.372
600713.SH,20191111,4.44,4.44,4.31,4.34,4.45,-0.11,-2.4719,46554.0,20328.799
600713.SH,20191108,4.49,4.52,4.44,4.45,4.47,-0.02,-0.4474,39764.0,17810.144
