ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
601990.SH,20200110,12.83,12.89,12.2,12.28,12.7,-0.42,-3.3071,1543356.27,1921583.453
601990.SH,20200109,12.92,13.2,12.57,12.7,12.55,0.15,1.1952,1450077.59,1863458.554
601990.SH,20200108,12.79,13.1,12.28,12.55,13.19,-0.64,-4.8522,2158303.34,2762733.155
601990.SH,20200107,12.58,13.77,12.18,13.19,12.52,0.67,5.3514,2910202.08,3740854.576
601990.SH,20200106,12.36,12.94,12.3,12.52,12.7,-0.18,-1.4173,1672285.02,2104949.755
601990.SH,20200103,12.88,13.33,12.58,12.7,13.16,-0.46,-3.4954,2224976.45,2873931.506
601990.SH,20200102,13.5,13.65,13.04,13.16,12.91,0.25,1.9365,2844673.09,3788059.782
601990.SH,20191231,12.3,13.13,12.2,12.91,12.67,0.24,1.8942,2451658.19,3118277.972
601990.SH,20191230,12.06,13.24,11.51,12.67,12.6,0.07,0.5556,3374549.36,4216175.95
601990.SH,20191227,13.15,13.98,12.54,12.6,12.71,-0.11,-0.8655,4682790.72,6284500.38
601990.SH,20191226,11.55,12.71,11.35,12.71,11.55,1.16,10.0433,3269380.92,3899060.232
601990.SH,20191225,11.14,11.96,10.97,11.55,11.35,0.2,1.7621,3151256.6,3601758.73
601990.SH,20191224,11.21,11.45,10.76,11.35,11.21,0.14,1.2489,2668335.15,2958397.535
601990.SH,20191223,11.8,11.88,11.11,11.21,12.0,-0.79,-6.5833,3102592.33,3568974.337
601990.SH,20191220,11.65,12.56,11.55,12.0,11.42,0.58,5.0788,3883737.52,4747523.734
601990.SH,20191219,11.54,11.94,11.12,11.42,11.21,0.21,1.8733,3491037.39,3996171.91
601990.SH,20191218,10.71,11.21,10.68,11.21,10.19,1.02,10.0098,3080801.48,3406762.246
601990.SH,20191217,9.39,10.19,9.35,10.19,9.26,0.93,10.0432,2227128.82,2183275.301
601990.SH,20191216,8.68,9.26,8.57,9.26,8.42,0.84,9.9762,2406740.75,2160411.68
601990.SH,20191213,7.76,8.42,7.72,8.42,7.65,0.77,10.0654,1428346.38,1163891.101
601990.SH,20191212,7.63,7.67,7.59,7.65,7.66,-0.01,-0.1305,185553.36,141544.567
601990.SH,20191211,7.58,7.74,7.54,7.66,7.59,0.07,0.9223,337128.33,258032.833
601990.SH,20191210,7.59,7.6,7.53,7.59,7.61,-0.02,-0.2628,163927.43,123963.642
601990.SH,20191209,7.65,7.67,7.58,7.61,7.61,0.0,0.0,152535.67,116138.054
601990.SH,20191206,7.64,7.67,7.54,7.61,7.64,-0.03,-0.3927,210554.54,159853.381
601990.SH,20191205,7.58,7.66,7.58,7.64,7.54,0.1,1.3263,260003.63,198046.137
601990.SH,20191204,7.55,7.59,7.52,7.54,7.6,-0.06,-0.7895,136059.26,102703.572
601990.SH,20191203,7.53,7.61,7.48,7.6,7.65,-0.05,-0.6536,222109.18,167921.51
601990.SH,20191202,7.8,7.84,7.64,7.65,7.67,-0.02,-0.2608,259509.7,200381.257
601990.SH,20191129,7.6,7.7,7.53,7.67,7.62,0.05,0.6562,177773.98,135579.219
601990.SH,20191128,7.67,7.73,7.58,7.62,7.71,-0.09,-1.1673,192999.72,147534.371
601990.SH,20191127,7.75,7.79,7.69,7.71,7.74,-0.03,-0.3876,126261.5,97654.799
601990.SH,20191126,7.76,7.82,7.74,7.74,7.77,-0.03,-0.3861,247744.14,192568.658
601990.SH,20191125,7.7,7.77,7.63,7.77,7.69,0.08,1.0403,181011.5,139476.794
601990.SH,20191122,7.78,7.85,7.65,7.69,7.77,-0.08,-1.0296,216706.18,167765.624
601990.SH,20191121,7.75,7.85,7.73,7.77,7.79,-0.02,-0.2567,161693.27,125743.267
601990.SH,20191120,7.93,7.96,7.79,7.79,7.95,-0.16,-2.0126,212896.77,167456.868
