ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300417.SZ,20200110,44.46,46.8,44.45,46.04,44.7,1.34,2.9978,26212.38,120634.634
300417.SZ,20200109,43.34,45.18,42.96,44.7,42.93,1.77,4.123,24302.9,107790.336
300417.SZ,20200108,43.8,43.82,42.6,42.93,43.81,-0.88,-2.0087,13968.55,60383.157
300417.SZ,20200107,43.0,43.87,42.7,43.81,42.77,1.04,2.4316,18610.9,80909.657
300417.SZ,20200106,42.41,43.29,42.3,42.77,43.04,-0.27,-0.6273,18330.16,78614.171
300417.SZ,20200103,42.39,43.43,41.5,43.04,42.6,0.44,1.0329,23398.19,99164.16
300417.SZ,20200102,42.66,42.8,42.11,42.6,42.15,0.45,1.0676,18855.82,80036.786
300417.SZ,20191231,41.89,42.87,41.51,42.15,42.2,-0.05,-0.1185,14247.1,59880.465
300417.SZ,20191230,43.0,43.31,40.2,42.2,43.31,-1.11,-2.5629,22640.12,94531.068
300417.SZ,20191227,44.68,44.96,43.16,43.31,45.07,-1.76,-3.905,28727.76,126265.553
300417.SZ,20191226,43.82,45.55,43.81,45.07,43.97,1.1,2.5017,31774.57,142408.078
300417.SZ,20191225,44.35,44.43,43.56,43.97,44.8,-0.83,-1.8527,30111.76,132305.802
300417.SZ,20191224,46.01,46.11,43.5,44.8,46.55,-1.75,-3.7594,53453.13,237456.127
300417.SZ,20191223,43.08,46.55,42.28,46.55,42.32,4.23,9.9953,52505.72,238473.875
300417.SZ,20191220,43.5,43.89,42.3,42.32,43.4,-1.08,-2.4885,13423.88,57486.114
300417.SZ,20191219,43.22,44.35,42.82,43.4,42.99,0.41,0.9537,21187.46,92246.48
300417.SZ,20191218,42.95,43.41,42.42,42.99,43.0,-0.01,-0.0233,14014.46,60193.285
300417.SZ,20191217,43.29,43.48,42.38,43.0,42.65,0.35,0.8206,18343.79,78674.696
300417.SZ,20191216,42.08,42.68,41.33,42.65,41.45,1.2,2.8951,19830.56,83328.713
300417.SZ,20191213,41.39,41.88,41.18,41.45,41.37,0.08,0.1934,18783.4,77975.837
300417.SZ,20191212,42.21,42.6,41.36,41.37,42.39,-1.02,-2.4062,12161.0,50980.999
300417.SZ,20191211,42.57,43.19,42.05,42.39,42.7,-0.31,-0.726,11736.05,49910.343
300417.SZ,20191210,43.05,43.33,41.5,42.7,42.87,-0.17,-0.3965,16839.47,71283.229
300417.SZ,20191209,42.9,44.58,42.28,42.87,42.26,0.61,1.4434,25881.64,112524.964
300417.SZ,20191206,41.97,42.64,41.62,42.26,41.69,0.57,1.3672,16517.32,69667.7
300417.SZ,20191205,41.09,42.03,40.72,41.69,40.89,0.8,1.9565,15276.6,63492.197
300417.SZ,20191204,39.83,41.8,39.6,40.89,39.93,0.96,2.4042,16731.63,68573.568
300417.SZ,20191203,40.41,40.98,38.81,39.93,40.81,-0.88,-2.1563,14483.07,57331.607
300417.SZ,20191202,40.01,41.3,40.01,40.81,40.65,0.16,0.3936,9379.38,38170.502
300417.SZ,20191129,40.77,41.01,40.07,40.65,41.02,-0.37,-0.902,7772.91,31497.693
300417.SZ,20191128,40.98,41.5,40.37,41.02,40.56,0.46,1.1341,8600.76,35289.474
300417.SZ,20191127,40.77,41.15,40.32,40.56,40.92,-0.36,-0.8798,9846.31,40068.803
300417.SZ,20191126,40.61,41.19,40.2,40.92,40.91,0.01,0.0244,9542.0,38910.504
300417.SZ,20191125,40.5,41.33,40.49,40.91,40.99,-0.08,-0.1952,11413.46,46718.741
300417.SZ,20191122,41.93,42.45,40.05,40.99,42.13,-1.14,-2.7059,16257.42,67091.704
300417.SZ,20191121,42.0,42.42,41.12,42.13,41.72,0.41,0.9827,16102.0,67583.66
300417.SZ,20191120,42.47,42.7,41.38,41.72,43.35,-1.63,-3.7601,24745.0,103527.468
300417.SZ,20191119,42.0,43.39,42.0,43.35,42.99,0.36,0.8374,17305.48,74400.421
300417.SZ,20191118,46.44,46.44,42.3,42.99,46.41,-3.42,-7.3691,32562.57,141167.869
300417.SZ,20191115,44.66,47.38,44.59,46.41,44.5,1.91,4.2921,26892.49,124637.914
300417.SZ,20191114,44.7,45.1,44.16,44.5,44.36,0.14,0.3156,10241.25,45727.287
300417.SZ,20191113,45.04,45.2,44.02,44.36,45.04,-0.68,-1.5098,9847.25,43704.799
300417.SZ,20191112,44.2,45.39,43.05,45.04,44.51,0.53,1.1907,14678.0,64729.506
300417.SZ,20191111,45.09,45.38,44.0,44.51,45.13,-0.62,-1.3738,11499.0,51227.084
300417.SZ,20191108,45.12,46.0,44.91,45.13,45.12,0.01,0.0222,13532.0,61330.621
300417.SZ,20191107,45.43,45.79,44.75,45.12,45.12,0.0,0.0,10305.02,46566.65
300417.SZ,20191106,45.15,46.77,44.9,45.12,45.4,-0.28,-0.6167,16792.0,77042.356
300417.SZ,20191105,46.1,46.49,44.6,45.4,46.0,-0.6,-1.3043,16175.71,73345.283
300417.SZ,20191104,46.2,46.39,45.53,46.0,45.95,0.05,0.1088,15610.0,71651.527
300417.SZ,20191101,46.21,46.4,43.29,45.95,46.05,-0.1,-0.2172,26091.0,117247.871
300417.SZ,20191031,45.98,46.64,45.52,46.05,45.41,0.64,1.4094,19025.0,88025.756
300417.SZ,20191030,46.0,46.75,45.33,45.41,46.19,-0.78,-1.6887,18765.6,86317.602
300417.SZ,20191029,48.76,48.76,45.3,46.19,48.8,-2.61,-5.3484,33154.28,154219.001
300417.SZ,20191028,48.56,49.08,47.82,48.8,49.22,-0.42,-0.8533,19251.0,93347.662
300417.SZ,20191025,48.46,49.69,47.5,49.22,48.34,0.88,1.8204,16681.0,81254.923
300417.SZ,20191024,47.94,48.99,47.94,48.34,48.09,0.25,0.5199,13359.0,64765.108
300417.SZ,20191023,48.4,49.27,47.81,48.09,48.99,-0.9,-1.8371,15185.7,73554.74
300417.SZ,20191022,48.55,49.77,47.91,48.99,48.36,0.63,1.3027,20535.0,100199.201
300417.SZ,20191021,48.1,48.93,45.4,48.36,48.1,0.26,0.5405,32329.0,153086.704
300417.SZ,20191018,50.09,50.73,47.7,48.1,50.01,-1.91,-3.8192,29579.0,144819.021
300417.SZ,20191017,50.29,50.93,49.59,50.01,50.31,-0.3,-0.5963,24779.0,124176.86
300417.SZ,20191016,51.01,51.9,49.0,50.31,53.19,-2.88,-5.4146,51790.01,261622.752
300417.SZ,20191015,59.55,60.0,53.19,53.19,59.1,-5.91,-10.0,29499.0,161680.951
