ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002314.SZ,20200110,3.1,3.11,3.08,3.08,3.1,-0.02,-0.6452,39903.94,12321.537
002314.SZ,20200109,3.08,3.12,3.08,3.1,3.07,0.03,0.9772,51166.91,15853.379
002314.SZ,20200108,3.13,3.13,3.06,3.07,3.14,-0.07,-2.2293,73352.07,22677.023
002314.SZ,20200107,3.11,3.15,3.1,3.14,3.11,0.03,0.9646,71095.84,22208.888
002314.SZ,20200106,3.09,3.12,3.07,3.11,3.11,0.0,0.0,65834.04,20396.607
002314.SZ,20200103,3.11,3.12,3.09,3.11,3.11,0.0,0.0,50215.65,15600.942
002314.SZ,20200102,3.09,3.13,3.08,3.11,3.07,0.04,1.3029,90798.44,28272.076
002314.SZ,20191231,3.05,3.07,3.04,3.07,3.06,0.01,0.3268,37066.26,11321.982
002314.SZ,20191230,3.06,3.06,3.01,3.06,3.06,0.0,0.0,46641.41,14178.816
002314.SZ,20191227,3.04,3.09,3.04,3.06,3.04,0.02,0.6579,66249.3,20317.204
002314.SZ,20191226,3.04,3.05,3.02,3.04,3.02,0.02,0.6623,36993.0,11224.508
002314.SZ,20191225,3.04,3.04,3.01,3.02,3.03,-0.01,-0.33,26528.24,8018.523
002314.SZ,20191224,3.01,3.04,3.0,3.03,3.01,0.02,0.6645,30712.45,9269.674
002314.SZ,20191223,3.07,3.07,3.0,3.01,3.06,-0.05,-1.634,56673.41,17197.546
002314.SZ,20191220,3.07,3.12,3.06,3.06,3.08,-0.02,-0.6494,53489.9,16513.387
002314.SZ,20191219,3.06,3.08,3.05,3.08,3.06,0.02,0.6536,42512.19,13027.426
002314.SZ,20191218,3.08,3.09,3.05,3.06,3.07,-0.01,-0.3257,55299.01,16963.6
002314.SZ,20191217,3.05,3.12,3.01,3.07,3.05,0.02,0.6557,111738.08,34183.428
002314.SZ,20191216,3.03,3.06,3.02,3.05,3.02,0.03,0.9934,39287.53,11929.3
002314.SZ,20191213,3.02,3.04,3.01,3.02,3.0,0.02,0.6667,42491.64,12837.057
002314.SZ,20191212,3.06,3.07,3.0,3.0,3.05,-0.05,-1.6393,45285.0,13704.033
002314.SZ,20191211,3.02,3.08,3.01,3.05,3.01,0.04,1.3289,55228.82,16875.159
002314.SZ,20191210,3.02,3.03,2.99,3.01,3.02,-0.01,-0.3311,39565.9,11896.789
002314.SZ,20191209,3.0,3.05,2.98,3.02,2.98,0.04,1.3423,47400.74,14303.342
002314.SZ,20191206,2.94,3.05,2.93,2.98,2.95,0.03,1.0169,51089.46,15237.305
002314.SZ,20191205,2.93,2.95,2.91,2.95,2.93,0.02,0.6826,33685.64,9899.591
002314.SZ,20191204,2.92,2.93,2.91,2.93,2.93,0.0,0.0,22315.0,6517.604
002314.SZ,20191203,2.9,2.94,2.9,2.93,2.93,0.0,0.0,23801.0,6956.029
002314.SZ,20191202,2.9,2.94,2.9,2.93,2.93,0.0,0.0,23430.05,6833.636
002314.SZ,20191129,2.94,2.94,2.89,2.93,2.93,0.0,0.0,26519.22,7704.908
002314.SZ,20191128,2.95,2.97,2.92,2.93,2.96,-0.03,-1.0135,27996.41,8220.714
002314.SZ,20191127,2.96,2.98,2.95,2.96,2.98,-0.02,-0.6711,35487.0,10524.342
002314.SZ,20191126,3.03,3.05,2.96,2.98,3.06,-0.08,-2.6144,97692.0,29253.734
002314.SZ,20191125,2.89,3.18,2.88,3.06,2.89,0.17,5.8824,228518.75,70820.99
002314.SZ,20191122,2.92,2.96,2.88,2.89,2.93,-0.04,-1.3652,29387.03,8545.576
002314.SZ,20191121,2.88,2.93,2.87,2.93,2.9,0.03,1.0345,22380.09,6514.865
002314.SZ,20191120,2.94,2.94,2.89,2.9,2.94,-0.04,-1.3605,26151.69,7617.636
