ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
688029.SH,20200110,170.18,175.84,168.88,171.81,170.46,1.35,0.792,12810.62,221931.01
688029.SH,20200109,162.0,172.7,161.81,170.46,160.3,10.16,6.3381,17505.62,294186.148
688029.SH,20200108,159.68,160.99,155.61,160.3,159.68,0.62,0.3883,9155.75,145039.244
688029.SH,20200107,154.93,159.89,154.88,159.68,156.12,3.56,2.2803,8682.4,136964.101
688029.SH,20200106,158.03,158.8,155.8,156.12,159.19,-3.07,-1.9285,10749.46,168656.937
688029.SH,20200103,162.09,162.45,158.2,159.19,162.09,-2.9,-1.7891,6956.45,111307.227
688029.SH,20200102,160.81,162.66,159.71,162.09,160.6,1.49,0.9278,7223.3,116633.421
688029.SH,20191231,156.03,162.75,156.03,160.6,156.13,4.47,2.863,8496.23,136557.013
688029.SH,20191230,157.8,158.68,153.36,156.13,157.25,-1.12,-0.7122,6851.3,107038.202
688029.SH,20191227,157.05,160.69,156.5,157.25,156.41,0.84,0.5371,7663.84,121476.839
688029.SH,20191226,157.7,158.8,155.82,156.41,157.36,-0.95,-0.6037,6716.16,105349.681
688029.SH,20191225,155.99,160.63,155.55,157.36,156.0,1.36,0.8718,7584.08,120158.522
688029.SH,20191224,153.8,156.88,153.39,156.0,153.16,2.84,1.8543,5384.87,83707.27
688029.SH,20191223,158.62,158.95,152.8,153.16,159.6,-6.44,-4.0351,9749.19,151066.596
688029.SH,20191220,163.01,163.69,159.6,159.6,163.4,-3.8,-2.3256,8126.57,130948.125
688029.SH,20191219,165.99,168.2,162.0,163.4,166.2,-2.8,-1.6847,9082.28,149400.27
688029.SH,20191218,163.0,166.66,162.5,166.2,162.91,3.29,2.0195,14145.04,232661.283
688029.SH,20191217,163.51,164.9,159.72,162.91,163.2,-0.29,-0.1777,13330.41,215502.21
688029.SH,20191216,163.5,163.68,160.88,163.2,162.98,0.22,0.135,6811.25,110430.051
688029.SH,20191213,159.93,163.18,159.93,162.98,159.91,3.07,1.9198,7242.17,117339.831
688029.SH,20191212,161.99,164.5,159.3,159.91,161.77,-1.86,-1.1498,6785.89,109814.255
688029.SH,20191211,163.97,165.98,160.5,161.77,164.6,-2.83,-1.7193,10200.93,165909.919
688029.SH,20191210,160.0,168.51,160.0,164.6,160.78,3.82,2.3759,17538.42,290118.964
688029.SH,20191209,160.79,162.01,156.3,160.78,160.78,0.0,0.0,13049.13,207700.765
688029.SH,20191206,161.39,162.51,158.45,160.78,161.2,-0.42,-0.2605,8970.5,143831.49
688029.SH,20191205,152.6,162.56,151.88,161.2,153.0,8.2,5.3595,20840.29,330960.286
688029.SH,20191204,149.9,154.8,149.21,153.0,152.24,0.76,0.4992,9591.69,146645.695
688029.SH,20191203,152.4,152.8,145.24,152.24,152.05,0.19,0.125,19137.77,285127.485
688029.SH,20191202,155.68,157.37,151.3,152.05,156.52,-4.47,-2.8559,14620.11,225095.711
688029.SH,20191129,160.9,160.98,154.0,156.52,160.69,-4.17,-2.5951,17315.93,271484.31
688029.SH,20191128,163.9,166.0,160.57,160.69,163.5,-2.81,-1.7187,11966.2,194745.027
688029.SH,20191127,163.49,165.18,161.2,163.5,162.16,1.34,0.8263,9854.84,160832.528
688029.SH,20191126,167.7,171.47,161.68,162.16,168.88,-6.72,-3.9792,14321.63,236308.709
688029.SH,20191125,168.05,172.4,163.33,168.88,169.2,-0.32,-0.1891,12529.99,210910.649
688029.SH,20191122,179.92,179.98,162.69,169.2,178.95,-9.75,-5.4484,23757.77,403934.167
688029.SH,20191121,178.7,185.25,175.91,178.95,177.3,1.65,0.9306,17494.39,317337.201
688029.SH,20191120,180.9,182.7,176.4,177.3,180.99,-3.69,-2.0388,12617.74,225834.183
688029.SH,20191119,175.5,181.99,173.03,180.99,173.99,7.0,4.0232,15873.89,283053.7
688029.SH,20191118,171.8,179.6,171.2,173.99,171.98,2.01,1.1687,13487.64,237456.137
688029.SH,20191115,173.0,177.8,171.2,171.98,175.03,-3.05,-1.7426,10636.63,185114.03
688029.SH,20191114,170.88,178.78,169.22,175.03,170.38,4.65,2.7292,17773.65,311488.685
688029.SH,20191113,162.22,172.2,160.43,170.38,162.97,7.41,4.5468,18809.28,313413.885
688029.SH,20191112,162.05,164.91,159.8,162.97,161.8,1.17,0.7231,11783.01,191648.444
688029.SH,20191111,175.5,175.5,160.33,161.8,177.5,-15.7,-8.8451,26801.49,450415.257
688029.SH,20191108,176.5,180.89,175.21,177.5,176.25,1.25,0.7092,12287.61,218421.047
688029.SH,20191107,179.96,180.3,173.0,176.25,180.12,-3.87,-2.1486,15936.94,280582.125
