ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002282.SZ,20200110,8.58,8.62,8.5,8.53,8.58,-0.05,-0.5828,10634.58,9079.979
002282.SZ,20200109,8.44,8.59,8.44,8.58,8.41,0.17,2.0214,21769.54,18576.392
002282.SZ,20200108,8.51,8.54,8.37,8.41,8.55,-0.14,-1.6374,16489.28,13944.536
002282.SZ,20200107,8.52,8.56,8.47,8.55,8.5,0.05,0.5882,16521.25,14086.276
002282.SZ,20200106,8.4,8.55,8.4,8.5,8.48,0.02,0.2358,17203.92,14601.585
002282.SZ,20200103,8.5,8.5,8.41,8.48,8.47,0.01,0.1181,12718.0,10754.01
002282.SZ,20200102,8.48,8.51,8.41,8.47,8.38,0.09,1.074,18160.4,15392.156
002282.SZ,20191231,8.3,8.41,8.26,8.38,8.38,0.0,0.0,9037.02,7559.566
002282.SZ,20191230,8.21,8.41,8.21,8.38,8.23,0.15,1.8226,14904.8,12443.353
002282.SZ,20191227,8.34,8.5,8.23,8.23,8.34,-0.11,-1.3189,15191.01,12711.599
002282.SZ,20191226,8.26,8.36,8.26,8.34,8.29,0.05,0.6031,11896.0,9885.741
002282.SZ,20191225,8.31,8.37,8.26,8.29,8.33,-0.04,-0.4802,10162.0,8437.107
002282.SZ,20191224,8.18,8.36,8.12,8.33,8.22,0.11,1.3382,11195.86,9278.172
002282.SZ,20191223,8.5,8.54,8.18,8.22,8.48,-0.26,-3.066,18138.0,15167.161
002282.SZ,20191220,8.66,8.66,8.47,8.48,8.64,-0.16,-1.8519,25518.02,21766.294
002282.SZ,20191219,8.52,8.88,8.47,8.64,8.54,0.1,1.171,42947.15,37208.657
002282.SZ,20191218,8.53,8.59,8.49,8.54,8.61,-0.07,-0.813,25479.5,21738.164
002282.SZ,20191217,8.51,8.63,8.42,8.61,8.56,0.05,0.5841,45584.99,38664.608
002282.SZ,20191216,8.85,8.89,8.37,8.56,8.72,-0.16,-1.8349,74376.76,63814.545
002282.SZ,20191213,8.5,8.72,8.39,8.72,7.93,0.79,9.9622,30181.0,26178.619
002282.SZ,20191212,7.98,8.0,7.91,7.93,8.0,-0.07,-0.875,7022.5,5589.637
002282.SZ,20191211,8.03,8.08,7.98,8.0,8.04,-0.04,-0.4975,6913.0,5535.963
002282.SZ,20191210,8.07,8.18,8.0,8.04,8.1,-0.06,-0.7407,13481.75,10846.153
002282.SZ,20191209,8.13,8.18,8.05,8.1,8.03,0.07,0.8717,7409.0,5990.923
002282.SZ,20191206,8.07,8.08,8.0,8.03,8.05,-0.02,-0.2484,7342.5,5905.522
002282.SZ,20191205,8.03,8.07,8.0,8.05,7.99,0.06,0.7509,6702.0,5385.364
002282.SZ,20191204,8.01,8.03,7.94,7.99,8.01,-0.02,-0.2497,3996.48,3191.807
002282.SZ,20191203,7.97,8.02,7.92,8.01,7.96,0.05,0.6281,3908.7,3115.418
002282.SZ,20191202,8.05,8.14,7.95,7.96,7.96,0.0,0.0,4207.0,3368.254
002282.SZ,20191129,7.91,8.0,7.9,7.96,7.96,0.0,0.0,5863.0,4655.732
002282.SZ,20191128,7.95,8.08,7.93,7.96,7.94,0.02,0.2519,4547.77,3634.508
002282.SZ,20191127,7.9,8.03,7.9,7.94,7.92,0.02,0.2525,4061.0,3233.516
002282.SZ,20191126,8.06,8.06,7.88,7.92,7.99,-0.07,-0.8761,4539.16,3616.368
002282.SZ,20191125,7.98,8.02,7.92,7.99,7.97,0.02,0.2509,5660.66,4520.754
002282.SZ,20191122,8.08,8.1,7.92,7.97,8.03,-0.06,-0.7472,8058.0,6439.328
002282.SZ,20191121,8.2,8.2,7.99,8.03,8.14,-0.11,-1.3514,10514.5,8464.949
002282.SZ,20191120,8.18,8.24,8.1,8.14,8.23,-0.09,-1.0936,4715.0,3852.481
002282.SZ,20191119,8.15,8.27,8.14,8.23,8.14,0.09,1.1057,8132.92,6693.831
002282.SZ,20191118,8.08,8.18,8.08,8.14,8.08,0.06,0.7426,3518.75,2861.739
002282.SZ,20191115,8.18,8.18,8.06,8.08,8.17,-0.09,-1.1016,5684.03,4606.789
002282.SZ,20191114,8.03,8.21,8.03,8.17,8.02,0.15,1.8703,9303.33,7573.978
002282.SZ,20191113,8.09,8.09,7.99,8.02,8.03,-0.01,-0.1245,5467.5,4395.577
002282.SZ,20191112,8.0,8.1,7.99,8.03,8.02,0.01,0.1247,4709.0,3782.547
002282.SZ,20191111,8.26,8.28,8.02,8.02,8.24,-0.22,-2.6699,9511.0,7697.327
002282.SZ,20191108,8.39,8.39,8.21,8.24,8.33,-0.09,-1.0804,5956.01,4949.004
002282.SZ,20191107,8.32,8.4,8.26,8.33,8.33,0.0,0.0,4414.0,3679.149
002282.SZ,20191106,8.37,8.48,8.29,8.33,8.44,-0.11,-1.3033,6226.0,5210.758
002282.SZ,20191105,8.48,8.48,8.33,8.44,8.42,0.02,0.2375,6945.95,5834.525
002282.SZ,20191104,8.39,8.48,8.36,8.42,8.36,0.06,0.7177,5074.0,4280.435
002282.SZ,20191101,8.3,8.38,8.24,8.36,8.26,0.1,1.2107,6132.24,5106.132
002282.SZ,20191031,8.43,8.54,8.24,8.26,8.47,-0.21,-2.4793,8091.0,6790.122
002282.SZ,20191030,8.6,8.6,8.43,8.47,8.6,-0.13,-1.5116,7383.0,6289.475
002282.SZ,20191029,8.81,8.81,8.6,8.6,8.77,-0.17,-1.9384,12220.5,10585.312
002282.SZ,20191028,8.71,8.78,8.65,8.77,8.67,0.1,1.1534,9844.5,8592.498
002282.SZ,20191025,8.69,8.7,8.56,8.67,8.67,0.0,0.0,6795.24,5863.098
002282.SZ,20191024,8.68,8.74,8.64,8.67,8.69,-0.02,-0.2301,4534.0,3934.059
002282.SZ,20191023,8.82,8.82,8.69,8.69,8.73,-0.04,-0.4582,5859.0,5121.534
002282.SZ,20191022,8.7,8.79,8.65,8.73,8.7,0.03,0.3448,7145.0,6234.61
002282.SZ,20191021,8.63,8.81,8.51,8.7,8.63,0.07,0.8111,12224.61,10600.954
002282.SZ,20191018,8.87,8.87,8.61,8.63,8.83,-0.2,-2.265,13597.0,11853.156
002282.SZ,20191017,8.85,8.9,8.81,8.83,8.84,-0.01,-0.1131,5816.82,5146.14
002282.SZ,20191016,8.92,9.02,8.83,8.84,8.92,-0.08,-0.8969,9456.03,8425.491
002282.SZ,20191015,9.08,9.08,8.91,8.92,9.08,-0.16,-1.7621,10910.0,9775.309
002282.SZ,20191014,9.05,9.17,8.91,9.08,9.03,0.05,0.5537,17222.02,15604.814
002282.SZ,20191011,8.9,9.3,8.87,9.03,8.88,0.15,1.6892,20623.5,18795.064
002282.SZ,20191010,8.86,8.95,8.85,8.88,8.9,-0.02,-0.2247,11381.0,10132.11
002282.SZ,20191009,8.86,8.95,8.8,8.9,8.87,0.03,0.3382,6990.0,6213.513
002282.SZ,20191008,8.81,8.94,8.81,8.87,8.8,0.07,0.7955,8324.75,7381.079
002282.SZ,20190930,8.76,8.85,8.71,8.8,8.77,0.03,0.3421,7457.02,6558.456
002282.SZ,20190927,8.73,8.83,8.73,8.77,8.72,0.05,0.5734,9476.26,8331.448
002282.SZ,20190926,8.96,9.01,8.69,8.72,8.91,-0.19,-2.1324,19934.0,17531.796
002282.SZ,20190925,9.16,9.24,8.87,8.91,9.16,-0.25,-2.7293,24895.16,22405.539
002282.SZ,20190924,9.16,9.3,9.15,9.16,9.23,-0.07,-0.7584,21178.02,19529.523
002282.SZ,20190923,9.35,9.44,9.1,9.23,9.46,-0.23,-2.4313,35939.16,33202.599
002282.SZ,20190920,9.43,9.77,9.41,9.46,9.34,0.12,1.2848,61957.16,59311.072
002282.SZ,20190919,9.18,9.46,9.1,9.34,9.19,0.15,1.6322,31755.31,29527.735
002282.SZ,20190918,9.15,9.27,9.1,9.19,9.15,0.04,0.4372,21655.64,19925.551
002282.SZ,20190917,9.32,9.32,9.06,9.15,9.32,-0.17,-1.824,30045.0,27532.181
002282.SZ,20190916,9.38,9.45,9.29,9.32,9.41,-0.09,-0.9564,31243.0,29279.186
002282.SZ,20190912,9.4,9.47,9.25,9.41,9.39,0.02,0.213,37195.17,34821.316
002282.SZ,20190911,9.53,9.7,9.34,9.39,9.74,-0.35,-3.5934,86199.32,82010.611
002282.SZ,20190910,10.34,10.37,9.68,9.74,9.79,-0.05,-0.5107,174935.9,176257.383
002282.SZ,20190909,9.79,9.79,9.79,9.79,8.9,0.89,10.0,26739.75,26178.215
002282.SZ,20190823,8.97,9.04,8.9,8.9,9.01,-0.11,-1.2209,10652.0,9538.773
002282.SZ,20190822,9.01,9.08,8.95,9.01,8.99,0.02,0.2225,8480.0,7647.576
002282.SZ,20190821,8.9,9.05,8.9,8.99,8.95,0.04,0.4469,8033.0,7242.237
002282.SZ,20190820,9.01,9.14,8.95,8.95,9.01,-0.06,-0.6659,12716.0,11496.834
002282.SZ,20190819,8.84,9.21,8.84,9.01,8.76,0.25,2.8539,19950.02,17943.23
002282.SZ,20190816,8.75,8.91,8.7,8.76,8.76,0.0,0.0,6216.0,5466.806
002282.SZ,20190815,8.71,8.78,8.61,8.76,8.81,-0.05,-0.5675,7855.0,6821.47
002282.SZ,20190814,8.9,8.96,8.76,8.81,8.72,0.09,1.0321,11866.0,10532.944
002282.SZ,20190813,8.77,8.81,8.71,8.72,8.85,-0.13,-1.4689,5102.0,4468.608
002282.SZ,20190812,8.68,8.98,8.61,8.85,8.7,0.15,1.7241,8781.67,7756.039
002282.SZ,20190809,8.75,8.89,8.63,8.7,8.81,-0.11,-1.2486,8743.75,7655.096
002282.SZ,20190808,8.97,8.97,8.75,8.81,8.73,0.08,0.9164,9171.0,8079.475
002282.SZ,20190807,8.93,8.98,8.71,8.73,8.86,-0.13,-1.4673,8655.0,7634.204
002282.SZ,20190806,9.0,9.0,8.53,8.86,9.16,-0.3,-3.2751,24779.22,21716.331
002282.SZ,20190805,9.36,9.36,9.15,9.16,9.4,-0.24,-2.5532,15479.9,14279.992
002282.SZ,20190802,9.17,9.5,9.17,9.4,9.53,-0.13,-1.3641,18224.5,17020.843
002282.SZ,20190801,9.5,9.59,9.34,9.53,9.54,-0.01,-0.1048,14812.8,14015.722
002282.SZ,20190731,9.63,9.75,9.45,9.54,9.63,-0.09,-0.9346,25614.35,24546.469
002282.SZ,20190730,9.6,9.76,9.6,9.63,9.68,-0.05,-0.5165,25531.0,24665.042
002282.SZ,20190729,9.35,9.79,9.35,9.68,9.45,0.23,2.4339,34106.48,32848.907
002282.SZ,20190726,9.4,9.54,9.38,9.45,9.63,-0.18,-1.8692,25830.93,24396.992
002282.SZ,20190725,9.28,10.0,9.21,9.63,9.38,0.25,2.6652,46539.78,44679.301
002282.SZ,20190724,9.3,9.55,9.27,9.38,9.27,0.11,1.1866,20183.75,18938.296
002282.SZ,20190723,9.35,9.35,9.12,9.27,9.35,-0.08,-0.8556,25449.0,23434.543
002282.SZ,20190722,9.6,9.74,9.31,9.35,9.86,-0.51,-5.1724,46536.27,43916.395
002282.SZ,20190719,9.35,9.93,9.35,9.86,9.33,0.53,5.6806,68059.07,65869.071
002282.SZ,20190718,9.39,9.65,9.31,9.33,9.48,-0.15,-1.5823,33555.08,31790.216
002282.SZ,20190717,9.65,9.65,9.43,9.48,9.58,-0.1,-1.0438,25706.1,24418.721
002282.SZ,20190716,9.48,9.61,9.43,9.58,9.55,0.03,0.3141,32821.66,31218.464
002282.SZ,20190715,9.52,9.57,9.3,9.55,9.64,-0.09,-0.9336,38310.16,36231.871
002282.SZ,20190712,9.77,9.77,9.45,9.64,9.89,-0.25,-2.5278,78453.65,75079.461
002282.SZ,20190711,9.39,10.2,9.39,9.89,9.52,0.37,3.8866,93346.91,91363.943
002282.SZ,20190710,9.38,9.97,9.25,9.52,9.31,0.21,2.2556,86777.18,83125.844
002282.SZ,20190709,8.78,9.37,8.78,9.31,8.87,0.44,4.9605,52322.87,47895.115
002282.SZ,20190708,9.22,9.22,8.86,8.9,9.24,-0.34,-3.6797,25062.61,22638.33
002282.SZ,20190705,9.03,9.35,8.95,9.24,9.03,0.21,2.3256,31187.0,28640.285
002282.SZ,20190704,9.03,9.14,9.0,9.03,9.03,0.0,0.0,13253.9,12011.755
002282.SZ,20190703,9.09,9.09,8.98,9.03,9.05,-0.02,-0.221,12893.0,11626.247
002282.SZ,20190702,8.99,9.18,8.94,9.05,8.95,0.1,1.1173,23883.0,21672.617
002282.SZ,20190701,9.0,9.09,8.91,8.95,8.78,0.17,1.9362,19277.0,17340.598
002282.SZ,20190628,9.04,9.04,8.73,8.78,8.94,-0.16,-1.7897,11332.0,9998.308
002282.SZ,20190627,9.06,9.06,8.77,8.94,8.94,0.0,0.0,15502.0,13918.201
002282.SZ,20190626,8.85,8.98,8.73,8.94,8.81,0.13,1.4756,15673.24,13963.058
002282.SZ,20190625,8.89,8.93,8.5,8.81,8.9,-0.09,-1.0112,21029.79,18394.085
002282.SZ,20190624,8.98,9.06,8.87,8.9,8.98,-0.08,-0.8909,16697.0,14929.452
002282.SZ,20190621,9.0,9.07,8.92,8.98,8.94,0.04,0.4474,20491.6,18469.506
002282.SZ,20190620,8.82,8.97,8.76,8.94,8.84,0.1,1.1312,20537.6,18271.048
002282.SZ,20190619,8.89,8.92,8.78,8.84,8.73,0.11,1.26,15382.61,13585.627
002282.SZ,20190618,8.8,8.85,8.71,8.73,8.85,-0.12,-1.3559,11936.46,10469.223
002282.SZ,20190617,8.65,8.86,8.64,8.85,8.67,0.18,2.0761,13395.5,11743.167
002282.SZ,20190614,8.7,8.93,8.65,8.67,8.79,-0.12,-1.3652,16810.5,14763.327
002282.SZ,20190613,8.7,8.88,8.65,8.79,8.75,0.04,0.4571,14766.0,12982.398
002282.SZ,20190612,8.85,8.95,8.75,8.75,8.79,-0.04,-0.4551,23910.0,21117.495
002282.SZ,20190611,8.6,8.81,8.52,8.79,8.54,0.25,2.9274,25596.06,22317.91
