ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600059.SH,20200110,8.63,8.75,8.56,8.74,8.62,0.12,1.3921,60621.48,52639.732
600059.SH,20200109,8.58,8.68,8.56,8.62,8.54,0.08,0.9368,34661.62,29918.96
600059.SH,20200108,8.62,8.7,8.54,8.54,8.76,-0.22,-2.5114,56130.85,48396.914
600059.SH,20200107,8.54,8.97,8.51,8.76,8.54,0.22,2.5761,95586.14,83093.754
600059.SH,20200106,8.54,8.58,8.49,8.54,8.55,-0.01,-0.117,42494.96,36256.694
600059.SH,20200103,8.55,8.58,8.46,8.55,8.53,0.02,0.2345,42682.96,36360.156
600059.SH,20200102,8.53,8.56,8.47,8.53,8.51,0.02,0.235,42658.04,36359.863
600059.SH,20191231,8.46,8.54,8.39,8.51,8.46,0.05,0.591,42848.72,36248.723
600059.SH,20191230,8.27,8.47,8.23,8.46,8.32,0.14,1.6827,42819.42,35788.588
600059.SH,20191227,8.38,8.44,8.31,8.32,8.37,-0.05,-0.5974,32765.18,27465.977
600059.SH,20191226,8.31,8.37,8.26,8.37,8.33,0.04,0.4802,25844.66,21485.788
600059.SH,20191225,8.32,8.36,8.26,8.33,8.31,0.02,0.2407,26900.12,22339.846
600059.SH,20191224,8.33,8.33,8.28,8.31,8.31,0.0,0.0,24873.38,20664.591
600059.SH,20191223,8.38,8.41,8.27,8.31,8.38,-0.07,-0.8353,40395.2,33635.505
600059.SH,20191220,8.52,8.54,8.37,8.38,8.51,-0.13,-1.5276,53423.35,45062.236
600059.SH,20191219,8.61,8.63,8.46,8.51,8.58,-0.07,-0.8159,53091.06,45120.758
600059.SH,20191218,8.57,8.72,8.51,8.58,8.55,0.03,0.3509,68019.39,58529.047
600059.SH,20191217,8.53,8.59,8.46,8.55,8.52,0.03,0.3521,101253.77,86243.877
600059.SH,20191216,8.56,8.58,8.39,8.52,8.54,-0.02,-0.2342,65060.78,55044.747
600059.SH,20191213,8.67,8.68,8.5,8.54,8.63,-0.09,-1.0429,46400.58,39748.465
600059.SH,20191212,8.72,8.76,8.58,8.63,8.71,-0.08,-0.9185,25272.07,21863.635
