ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
603055.SH,20200110,6.9,6.91,6.71,6.81,6.88,-0.07,-1.0174,24921.8,16891.445
603055.SH,20200109,6.85,6.91,6.85,6.88,6.83,0.05,0.7321,18861.5,12977.837
603055.SH,20200108,6.94,6.95,6.8,6.83,6.97,-0.14,-2.0086,19104.8,13127.204
603055.SH,20200107,6.93,6.98,6.9,6.97,6.94,0.03,0.4323,21011.0,14558.626
603055.SH,20200106,6.92,6.96,6.85,6.94,6.94,0.0,0.0,20897.2,14414.202
603055.SH,20200103,7.05,7.07,6.91,6.94,7.05,-0.11,-1.5603,27368.2,19048.752
603055.SH,20200102,6.85,7.07,6.83,7.05,6.83,0.22,3.2211,43780.89,30340.787
603055.SH,20191231,6.96,6.97,6.79,6.83,6.93,-0.1,-1.443,22870.0,15654.628
603055.SH,20191230,6.87,6.93,6.77,6.93,6.88,0.05,0.7267,11872.0,8157.025
603055.SH,20191227,6.89,6.94,6.83,6.88,6.87,0.01,0.1456,15496.5,10661.321
603055.SH,20191226,6.95,6.95,6.82,6.87,6.92,-0.05,-0.7225,13514.0,9273.27
603055.SH,20191225,6.86,6.94,6.79,6.92,6.85,0.07,1.0219,10871.36,7445.212
603055.SH,20191224,6.89,6.89,6.78,6.85,6.84,0.01,0.1462,12132.92,8294.373
603055.SH,20191223,6.98,6.98,6.75,6.84,6.95,-0.11,-1.5827,15150.6,10391.13
603055.SH,20191220,6.9,6.98,6.89,6.95,6.92,0.03,0.4335,20389.19,14131.4
603055.SH,20191219,6.82,6.96,6.82,6.92,6.84,0.08,1.1696,25145.82,17356.826
603055.SH,20191218,6.83,6.91,6.83,6.84,6.82,0.02,0.2933,18905.69,12952.517
603055.SH,20191217,6.69,6.88,6.69,6.82,6.7,0.12,1.791,28959.01,19686.559
603055.SH,20191216,6.63,6.75,6.62,6.7,6.63,0.07,1.0558,30694.0,20484.501
603055.SH,20191213,6.63,6.7,6.58,6.63,6.59,0.04,0.607,12900.0,8531.344
603055.SH,20191212,6.67,6.67,6.54,6.59,6.61,-0.02,-0.3026,8099.8,5327.43
603055.SH,20191211,6.69,6.83,6.6,6.61,6.64,-0.03,-0.4518,12530.79,8334.671
603055.SH,20191210,6.64,6.69,6.56,6.64,6.65,-0.01,-0.1504,10740.3,7126.077
603055.SH,20191209,6.66,6.67,6.57,6.65,6.66,-0.01,-0.1502,11004.78,7266.28
603055.SH,20191206,6.73,6.79,6.62,6.66,6.69,-0.03,-0.4484,11140.46,7433.802
603055.SH,20191205,6.7,6.84,6.61,6.69,6.66,0.03,0.4505,20635.24,13823.625
603055.SH,20191204,6.64,6.72,6.57,6.66,6.68,-0.02,-0.2994,23463.13,15578.405
603055.SH,20191203,6.35,6.75,6.34,6.68,6.38,0.3,4.7022,42999.44,28229.161
603055.SH,20191202,6.34,6.4,6.3,6.38,6.33,0.05,0.7899,10283.8,6543.689
603055.SH,20191129,6.26,6.34,6.22,6.33,6.27,0.06,0.9569,5892.6,3708.748
603055.SH,20191128,6.25,6.33,6.25,6.27,6.27,0.0,0.0,5503.8,3454.09
603055.SH,20191127,6.36,6.39,6.24,6.27,6.37,-0.1,-1.5699,7810.54,4935.759
603055.SH,20191126,6.42,6.44,6.35,6.37,6.38,-0.01,-0.1567,4271.0,2719.443
603055.SH,20191125,6.39,6.39,6.31,6.38,6.36,0.02,0.3145,7065.31,4488.3
603055.SH,20191122,6.4,6.46,6.33,6.36,6.41,-0.05,-0.78,7325.04,4676.117
603055.SH,20191121,6.52,6.52,6.4,6.41,6.51,-0.1,-1.5361,7683.6,4951.514
603055.SH,20191120,6.54,6.58,6.5,6.51,6.56,-0.05,-0.7622,5691.2,3721.508
603055.SH,20191119,6.48,6.56,6.45,6.56,6.52,0.04,0.6135,7900.64,5159.198
603055.SH,20191118,6.45,6.52,6.29,6.52,6.51,0.01,0.1536,17450.27,11147.263
603055.SH,20191115,6.48,6.53,6.43,6.51,6.53,-0.02,-0.3063,7833.13,5079.235
603055.SH,20191114,6.58,6.58,6.49,6.53,6.53,0.0,0.0,5673.0,3695.83
603055.SH,20191113,6.53,6.57,6.48,6.53,6.52,0.01,0.1534,6481.0,4221.569
603055.SH,20191112,6.53,6.62,6.45,6.52,6.53,-0.01,-0.1531,7713.2,5006.567
603055.SH,20191111,6.63,6.63,6.5,6.53,6.63,-0.1,-1.5083,9827.2,6445.862
603055.SH,20191108,6.68,6.68,6.6,6.63,6.6,0.03,0.4545,9495.32,6289.527
603055.SH,20191107,6.64,6.64,6.57,6.6,6.61,-0.01,-0.1513,9332.2,6151.806
603055.SH,20191106,6.66,6.7,6.58,6.61,6.7,-0.09,-1.3433,10453.4,6931.94
603055.SH,20191105,6.8,6.8,6.69,6.7,6.74,-0.04,-0.5935,8522.37,5719.04
603055.SH,20191104,6.72,6.77,6.7,6.74,6.7,0.04,0.597,7180.2,4824.019
603055.SH,20191101,6.76,6.76,6.64,6.7,6.72,-0.02,-0.2976,12970.89,8681.418
603055.SH,20191031,6.8,6.86,6.72,6.72,6.83,-0.11,-1.6105,9257.2,6286.34
603055.SH,20191030,6.94,6.98,6.83,6.83,6.96,-0.13,-1.8678,9303.2,6394.487
603055.SH,20191029,6.99,7.04,6.94,6.96,7.01,-0.05,-0.7133,15954.77,11113.743
603055.SH,20191028,6.98,7.02,6.91,7.01,6.92,0.09,1.3006,17227.69,12007.674
603055.SH,20191025,6.87,6.92,6.8,6.92,6.87,0.05,0.7278,10958.8,7526.727
603055.SH,20191024,6.81,6.98,6.75,6.87,6.81,0.06,0.8811,14271.83,9729.583
603055.SH,20191023,6.88,6.88,6.78,6.81,6.85,-0.04,-0.5839,11039.2,7541.495
603055.SH,20191022,6.75,6.87,6.75,6.85,6.84,0.01,0.1462,14251.23,9727.789
603055.SH,20191021,6.91,6.91,6.8,6.84,6.87,-0.03,-0.4367,11005.81,7530.032
603055.SH,20191018,7.0,7.02,6.83,6.87,7.0,-0.13,-1.8571,21189.09,14656.501
603055.SH,20191017,6.93,7.0,6.9,7.0,6.96,0.04,0.5747,18365.95,12739.111
603055.SH,20191016,7.15,7.17,6.95,6.96,7.13,-0.17,-2.3843,41962.9,29573.846
603055.SH,20191015,7.28,7.28,7.13,7.13,7.36,-0.23,-3.125,47347.71,34001.626
603055.SH,20191014,7.23,7.43,7.09,7.36,7.45,-0.09,-1.2081,85995.24,62311.964
603055.SH,20191011,8.02,8.18,7.33,7.45,8.07,-0.62,-7.6828,196657.87,153501.096
603055.SH,20191010,7.7,8.1,7.63,8.07,7.75,0.32,4.129,92286.94,72591.212
603055.SH,20191009,7.5,7.75,7.47,7.75,7.6,0.15,1.9737,58405.01,44626.091
603055.SH,20191008,7.17,7.7,7.17,7.6,7.23,0.37,5.1176,73951.09,55303.922
603055.SH,20190930,7.32,7.35,7.15,7.23,7.31,-0.08,-1.0944,20948.01,15111.951
603055.SH,20190927,7.3,7.36,7.23,7.31,7.34,-0.03,-0.4087,34081.0,24864.634
603055.SH,20190926,7.32,7.4,7.12,7.34,7.4,-0.06,-0.8108,53605.13,39005.033
603055.SH,20190925,7.31,7.53,7.21,7.4,7.31,0.09,1.2312,82800.33,61109.076
603055.SH,20190924,7.28,7.45,7.2,7.31,7.32,-0.01,-0.1366,50311.0,36732.851
603055.SH,20190923,7.1,7.34,6.99,7.32,7.11,0.21,2.9536,75147.81,54244.117
603055.SH,20190920,6.92,7.19,6.89,7.11,6.92,0.19,2.7457,48584.94,34364.046
603055.SH,20190919,6.9,6.92,6.85,6.92,6.87,0.05,0.7278,9486.15,6526.401
603055.SH,20190918,6.89,6.92,6.83,6.87,6.87,0.0,0.0,11039.61,7580.256
603055.SH,20190917,7.09,7.09,6.81,6.87,7.08,-0.21,-2.9661,25680.6,17722.409
603055.SH,20190916,7.09,7.11,7.05,7.08,7.06,0.02,0.2833,16675.2,11805.201
603055.SH,20190912,7.14,7.14,7.02,7.06,7.07,-0.01,-0.1414,11373.0,8018.081
603055.SH,20190911,7.05,7.13,7.03,7.07,7.06,0.01,0.1416,20891.2,14783.815
603055.SH,20190910,7.04,7.07,6.95,7.06,7.01,0.05,0.7133,17269.0,12081.832
603055.SH,20190909,6.95,7.06,6.92,7.01,6.91,0.1,1.4472,21090.01,14719.881
603055.SH,20190906,6.9,6.93,6.85,6.91,6.87,0.04,0.5822,14246.49,9816.073
603055.SH,20190905,6.88,6.98,6.85,6.87,6.85,0.02,0.292,27134.6,18761.728
603055.SH,20190904,6.81,6.85,6.75,6.85,6.81,0.04,0.5874,14190.95,9665.161
603055.SH,20190903,6.85,6.85,6.77,6.81,6.78,0.03,0.4425,10566.2,7184.073
603055.SH,20190902,6.7,6.78,6.65,6.78,6.7,0.08,1.194,11183.51,7536.972
603055.SH,20190830,6.84,6.89,6.64,6.7,6.85,-0.15,-2.1898,13597.4,9210.227
603055.SH,20190829,6.8,6.86,6.79,6.85,6.82,0.03,0.4399,11789.9,8043.386
603055.SH,20190828,6.81,6.83,6.75,6.82,6.79,0.03,0.4418,13822.8,9408.951
603055.SH,20190827,6.78,6.8,6.7,6.79,6.7,0.09,1.3433,12339.2,8351.384
603055.SH,20190826,6.65,6.73,6.61,6.7,6.79,-0.09,-1.3255,7112.4,4752.588
603055.SH,20190823,6.79,6.83,6.76,6.79,6.79,0.0,0.0,6732.2,4564.643
603055.SH,20190822,6.77,6.83,6.76,6.79,6.78,0.01,0.1475,8515.42,5771.262
603055.SH,20190821,6.8,6.83,6.74,6.78,6.77,0.01,0.1477,9928.21,6740.347
603055.SH,20190820,6.84,6.84,6.75,6.77,6.79,-0.02,-0.2946,11306.2,7680.317
603055.SH,20190819,6.7,6.79,6.65,6.79,6.64,0.15,2.259,15284.42,10288.415
603055.SH,20190816,6.64,6.69,6.59,6.64,6.65,-0.01,-0.1504,8553.2,5690.321
