ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002588.SZ,20200110,4.13,4.13,4.07,4.1,4.13,-0.03,-0.7264,39055.5,15988.816
002588.SZ,20200109,4.15,4.17,4.09,4.13,4.1,0.03,0.7317,54362.33,22445.968
002588.SZ,20200108,4.2,4.21,4.09,4.1,4.22,-0.12,-2.8436,94269.1,39142.274
002588.SZ,20200107,4.2,4.27,4.17,4.22,4.32,-0.1,-2.3148,145519.58,61242.201
002588.SZ,20200106,4.13,4.35,4.04,4.32,4.17,0.15,3.5971,294985.27,124522.848
002588.SZ,20200103,3.96,4.2,3.96,4.17,3.95,0.22,5.5696,230537.96,94582.533
002588.SZ,20200102,3.92,3.98,3.91,3.95,3.91,0.04,1.023,88421.32,34973.045
002588.SZ,20191231,3.86,3.92,3.85,3.91,3.84,0.07,1.8229,55858.02,21757.062
002588.SZ,20191230,3.83,3.86,3.8,3.84,3.85,-0.01,-0.2597,65418.5,25024.767
002588.SZ,20191227,3.84,3.89,3.83,3.85,3.84,0.01,0.2604,35242.95,13583.101
002588.SZ,20191226,3.84,3.84,3.81,3.84,3.82,0.02,0.5236,15449.96,5912.13
002588.SZ,20191225,3.84,3.85,3.8,3.82,3.84,-0.02,-0.5208,20810.11,7966.064
002588.SZ,20191224,3.81,3.85,3.81,3.84,3.81,0.03,0.7874,19051.05,7304.456
002588.SZ,20191223,3.92,3.93,3.81,3.81,3.91,-0.1,-2.5575,39099.0,15138.562
002588.SZ,20191220,3.94,3.95,3.91,3.91,3.94,-0.03,-0.7614,28825.8,11335.673
002588.SZ,20191219,3.89,3.95,3.89,3.94,3.91,0.03,0.7673,48640.63,19095.892
002588.SZ,20191218,3.93,3.96,3.89,3.91,3.94,-0.03,-0.7614,49912.0,19596.852
002588.SZ,20191217,3.88,3.96,3.87,3.94,3.91,0.03,0.7673,67643.18,26525.394
002588.SZ,20191216,3.92,3.92,3.85,3.91,3.96,-0.05,-1.2626,84467.32,32786.583
002588.SZ,20191213,4.13,4.13,3.91,3.96,4.03,-0.07,-1.737,173126.28,69896.601
002588.SZ,20191212,3.88,4.04,3.83,4.03,3.88,0.15,3.866,45780.24,18064.564
002588.SZ,20191211,3.9,3.91,3.85,3.88,3.9,-0.02,-0.5128,10361.28,4017.765
002588.SZ,20191210,3.89,3.9,3.83,3.9,3.89,0.01,0.2571,23009.23,8883.596
002588.SZ,20191209,3.86,3.9,3.85,3.89,3.86,0.03,0.7772,15666.96,6076.011
002588.SZ,20191206,3.9,3.92,3.84,3.86,3.89,-0.03,-0.7712,24575.0,9494.577
002588.SZ,20191205,3.9,3.93,3.87,3.89,3.9,-0.01,-0.2564,20405.0,7973.509
002588.SZ,20191204,3.87,3.93,3.86,3.9,3.88,0.02,0.5155,19106.0,7434.918
002588.SZ,20191203,3.87,3.9,3.84,3.88,3.87,0.01,0.2584,17266.75,6687.013
002588.SZ,20191202,3.87,3.89,3.84,3.87,3.86,0.01,0.2591,26311.0,10190.871
002588.SZ,20191129,3.78,3.86,3.78,3.86,3.8,0.06,1.5789,27322.66,10451.071
002588.SZ,20191128,3.77,3.81,3.77,3.8,3.78,0.02,0.5291,19199.0,7283.902
002588.SZ,20191127,3.76,3.8,3.76,3.78,3.78,0.0,0.0,12519.72,4742.033
002588.SZ,20191126,3.82,3.84,3.75,3.78,3.81,-0.03,-0.7874,16098.0,6077.253
002588.SZ,20191125,3.76,3.82,3.72,3.81,3.75,0.06,1.6,20329.66,7698.211
002588.SZ,20191122,3.78,3.8,3.72,3.75,3.76,-0.01,-0.266,15403.0,5782.333
002588.SZ,20191121,3.76,3.79,3.74,3.76,3.78,-0.02,-0.5291,7473.91,2814.526
002588.SZ,20191120,3.79,3.81,3.76,3.78,3.8,-0.02,-0.5263,12213.63,4623.151
002588.SZ,20191119,3.75,3.81,3.73,3.8,3.74,0.06,1.6043,18025.16,6831.36
002588.SZ,20191118,3.66,3.76,3.66,3.74,3.66,0.08,2.1858,24120.87,8990.677
002588.SZ,20191115,3.69,3.7,3.65,3.66,3.67,-0.01,-0.2725,13126.75,4828.019
002588.SZ,20191114,3.7,3.71,3.64,3.67,3.69,-0.02,-0.542,10683.0,3928.831
002588.SZ,20191113,3.7,3.71,3.68,3.69,3.7,-0.01,-0.2703,11781.5,4354.33
002588.SZ,20191112,3.7,3.7,3.66,3.7,3.69,0.01,0.271,10015.89,3684.862
002588.SZ,20191111,3.8,3.8,3.67,3.69,3.8,-0.11,-2.8947,25966.0,9659.098
002588.SZ,20191108,3.8,3.83,3.78,3.8,3.8,0.0,0.0,23438.32,8927.024
002588.SZ,20191107,3.8,3.81,3.78,3.8,3.8,0.0,0.0,10204.08,3870.938
002588.SZ,20191106,3.83,3.84,3.78,3.8,3.84,-0.04,-1.0417,24340.93,9247.893
002588.SZ,20191105,3.87,3.87,3.81,3.84,3.87,-0.03,-0.7752,17672.0,6773.452
002588.SZ,20191104,3.83,3.87,3.83,3.87,3.83,0.04,1.0444,11608.16,4474.157
