ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600640.SH,20200110,27.0,27.0,25.03,25.3,26.85,-1.55,-5.7728,201340.61,518013.668
600640.SH,20200109,27.23,27.3,25.68,26.85,26.63,0.22,0.8261,162615.96,432004.83
600640.SH,20200108,27.99,28.19,26.63,26.63,28.36,-1.73,-6.1001,156578.93,429506.288
600640.SH,20200107,26.98,28.55,26.51,28.36,27.08,1.28,4.7267,255263.56,707358.657
600640.SH,20200106,25.79,27.7,25.45,27.08,25.87,1.21,4.6772,212908.7,569702.114
600640.SH,20200103,26.68,27.13,25.21,25.87,26.9,-1.03,-3.829,167903.11,437497.694
600640.SH,20200102,26.0,27.41,25.62,26.9,25.81,1.09,4.2232,247704.63,660017.465
600640.SH,20191231,25.7,26.25,25.4,25.81,25.98,-0.17,-0.6543,137251.26,354074.737
600640.SH,20191230,26.21,26.83,24.2,25.98,26.51,-0.53,-1.9992,236023.76,600761.632
600640.SH,20191227,27.6,28.83,26.4,26.51,27.93,-1.42,-5.0841,230684.48,631039.412
600640.SH,20191226,28.59,30.02,27.3,27.93,28.85,-0.92,-3.1889,260887.81,745458.784
600640.SH,20191225,26.51,29.11,26.32,28.85,26.92,1.93,7.1694,217873.84,607792.191
600640.SH,20191224,26.4,26.97,25.3,26.92,26.4,0.52,1.9697,158382.92,413062.103
600640.SH,20191223,24.65,27.16,24.65,26.4,25.1,1.3,5.1793,202473.64,526385.72
600640.SH,20191220,24.8,25.98,24.33,25.1,25.0,0.1,0.4,164134.66,416534.915
600640.SH,20191219,24.9,26.69,24.3,25.0,24.75,0.25,1.0101,201412.03,511075.364
600640.SH,20191218,22.7,25.08,22.51,24.75,22.8,1.95,8.5526,202793.99,487682.358
600640.SH,20191217,22.61,23.23,22.25,22.8,22.84,-0.04,-0.1751,159394.56,362695.698
600640.SH,20191216,20.74,22.84,20.72,22.84,20.76,2.08,10.0193,281135.36,617675.313
600640.SH,20191213,20.95,21.14,20.0,20.76,20.82,-0.06,-0.2882,119542.73,245682.108
600640.SH,20191212,20.8,21.36,20.44,20.82,20.79,0.03,0.1443,134272.09,279719.249
600640.SH,20191211,20.5,21.77,20.37,20.79,20.59,0.2,0.9713,208405.19,438765.126
600640.SH,20191210,20.06,20.8,19.8,20.59,20.18,0.41,2.0317,145206.03,295167.255
