ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
603885.SH,20200110,15.58,15.58,15.21,15.4,15.48,-0.08,-0.5168,102974.64,159027.595
603885.SH,20200109,14.93,15.67,14.93,15.48,14.63,0.85,5.81,142488.09,219296.579
603885.SH,20200108,14.66,14.96,14.58,14.63,15.0,-0.37,-2.4667,99874.65,147038.562
603885.SH,20200107,14.59,15.11,14.51,15.0,14.6,0.4,2.7397,93644.04,139381.175
603885.SH,20200106,14.56,14.73,14.2,14.6,14.79,-0.19,-1.2847,219513.89,316554.623
603885.SH,20200103,15.17,15.34,14.7,14.79,15.17,-0.38,-2.5049,120431.8,179733.3
603885.SH,20200102,15.13,15.18,14.81,15.17,15.0,0.17,1.1333,119852.55,179929.38
603885.SH,20191231,15.3,15.38,14.86,15.0,15.3,-0.3,-1.9608,135883.31,204613.769
603885.SH,20191230,14.75,15.36,14.75,15.3,14.81,0.49,3.3086,130021.2,196365.946
603885.SH,20191227,14.43,14.94,14.41,14.81,14.4,0.41,2.8472,150992.8,223362.558
603885.SH,20191226,14.21,14.57,14.21,14.4,14.21,0.19,1.3371,74735.72,107731.114
603885.SH,20191225,14.11,14.27,13.99,14.21,14.11,0.1,0.7087,64486.53,91187.589
603885.SH,20191224,14.09,14.21,13.82,14.11,14.1,0.01,0.0709,82937.73,116304.263
603885.SH,20191223,13.9,14.3,13.77,14.1,13.92,0.18,1.2931,112020.33,158265.581
603885.SH,20191220,14.24,14.43,13.89,13.92,14.22,-0.3,-2.1097,90771.31,127530.61
603885.SH,20191219,14.0,14.35,13.98,14.22,13.96,0.26,1.8625,102275.48,145170.745
603885.SH,20191218,13.86,14.12,13.78,13.96,13.71,0.25,1.8235,150195.71,209677.923
603885.SH,20191217,13.3,13.89,13.25,13.71,13.35,0.36,2.6966,198662.67,270962.143
603885.SH,20191216,13.2,13.35,13.06,13.35,13.19,0.16,1.213,108685.84,143716.38
603885.SH,20191213,13.31,13.64,13.08,13.19,13.04,0.15,1.1503,222407.21,295560.098
603885.SH,20191212,13.32,13.32,12.96,13.04,13.34,-0.3,-2.2489,167550.77,219503.833
603885.SH,20191211,13.2,13.46,13.15,13.34,13.19,0.15,1.1372,99614.65,132774.864
603885.SH,20191210,13.3,13.38,13.09,13.19,13.33,-0.14,-1.0503,127341.59,168214.45
603885.SH,20191209,13.32,13.54,13.1,13.33,13.35,-0.02,-0.1498,139405.24,185491.608
603885.SH,20191206,13.41,13.49,13.0,13.35,13.4,-0.05,-0.3731,120209.06,159295.938
603885.SH,20191205,13.43,13.52,13.22,13.4,13.39,0.01,0.0747,94374.05,125986.701
603885.SH,20191204,13.51,13.59,13.33,13.39,13.62,-0.23,-1.6887,96834.19,130304.76
603885.SH,20191203,14.02,14.06,13.47,13.62,13.98,-0.36,-2.5751,95911.48,130720.959
603885.SH,20191202,13.98,14.28,13.85,13.98,13.98,0.0,0.0,56974.51,79931.343
603885.SH,20191129,13.86,13.99,13.79,13.98,13.89,0.09,0.6479,35108.85,48779.663
603885.SH,20191128,14.04,14.13,13.81,13.89,14.01,-0.12,-0.8565,37173.86,51881.631
603885.SH,20191127,14.38,14.38,13.91,14.01,14.15,-0.14,-0.9894,60045.85,84812.625
603885.SH,20191126,14.28,14.77,14.15,14.15,14.29,-0.14,-0.9797,125267.01,180372.811
603885.SH,20191125,14.22,14.38,14.0,14.29,14.22,0.07,0.4923,52416.28,74340.757
603885.SH,20191122,14.34,14.48,14.08,14.22,14.26,-0.04,-0.2805,44392.78,63356.918
603885.SH,20191121,14.46,14.52,14.15,14.26,14.54,-0.28,-1.9257,58351.83,83342.916
603885.SH,20191120,15.0,15.02,14.49,14.54,14.92,-0.38,-2.5469,49490.55,72605.019
603885.SH,20191119,14.61,15.05,14.53,14.92,14.7,0.22,1.4966,100583.4,149685.658
603885.SH,20191118,14.24,14.75,14.0,14.7,14.34,0.36,2.5105,88967.75,128010.022
603885.SH,20191115,14.6,14.75,14.28,14.34,14.64,-0.3,-2.0492,49003.74,70851.764
603885.SH,20191114,14.62,14.8,14.39,14.64,14.59,0.05,0.3427,56820.25,82933.681
603885.SH,20191113,14.75,14.78,14.49,14.59,14.67,-0.08,-0.5453,72946.74,106755.5
603885.SH,20191112,15.01,15.01,14.54,14.67,14.94,-0.27,-1.8072,62393.17,91495.347
603885.SH,20191111,14.93,15.23,14.8,14.94,15.2,-0.26,-1.7105,62049.3,93441.28
603885.SH,20191108,15.82,15.95,15.15,15.2,15.51,-0.31,-1.9987,75213.22,115539.479
