ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
601929.SH,20200110,2.26,2.28,2.21,2.24,2.27,-0.03,-1.3216,159957.74,35758.227
601929.SH,20200109,2.26,2.29,2.25,2.27,2.24,0.03,1.3393,178967.53,40529.513
601929.SH,20200108,2.28,2.34,2.23,2.24,2.3,-0.06,-2.6087,603741.55,138117.095
601929.SH,20200107,2.22,2.34,2.22,2.3,2.23,0.07,3.139,614433.79,140500.949
601929.SH,20200106,2.18,2.24,2.16,2.23,2.19,0.04,1.8265,266181.47,58754.138
601929.SH,20200103,2.17,2.2,2.17,2.19,2.17,0.02,0.9217,166840.4,36412.506
601929.SH,20200102,2.16,2.19,2.14,2.17,2.13,0.04,1.8779,206017.55,44661.724
601929.SH,20191231,2.13,2.14,2.11,2.13,2.13,0.0,0.0,93804.0,19933.228
601929.SH,20191230,2.11,2.14,2.08,2.13,2.12,0.01,0.4717,135321.99,28584.424
601929.SH,20191227,2.12,2.15,2.11,2.12,2.12,0.0,0.0,138240.58,29489.545
601929.SH,20191226,2.09,2.13,2.08,2.12,2.09,0.03,1.4354,102076.11,21499.719
601929.SH,20191225,2.09,2.12,2.08,2.09,2.1,-0.01,-0.4762,101232.38,21244.811
601929.SH,20191224,2.08,2.1,2.07,2.1,2.07,0.03,1.4493,91884.51,19166.965
601929.SH,20191223,2.14,2.15,2.06,2.07,2.15,-0.08,-3.7209,280152.87,58698.587
601929.SH,20191220,2.18,2.21,2.14,2.15,2.19,-0.04,-1.8265,247494.0,53590.315
601929.SH,20191219,2.16,2.27,2.15,2.19,2.15,0.04,1.8605,363338.52,79895.976
601929.SH,20191218,2.16,2.17,2.13,2.15,2.15,0.0,0.0,156964.94,33727.499
601929.SH,20191217,2.11,2.17,2.11,2.15,2.11,0.04,1.8957,236388.44,50677.556
601929.SH,20191216,2.08,2.12,2.08,2.11,2.08,0.03,1.4423,137044.02,28829.53
601929.SH,20191213,2.07,2.09,2.07,2.08,2.06,0.02,0.9709,85241.0,17712.936
601929.SH,20191212,2.09,2.1,2.06,2.06,2.1,-0.04,-1.9048,128599.51,26691.606
601929.SH,20191211,2.09,2.14,2.08,2.1,2.1,0.0,0.0,176409.25,37167.381
601929.SH,20191210,2.06,2.11,2.05,2.1,2.07,0.03,1.4493,145788.2,30349.814
601929.SH,20191209,2.06,2.08,2.04,2.07,2.05,0.02,0.9756,93087.6,19196.294
601929.SH,20191206,2.05,2.06,2.03,2.05,2.04,0.01,0.4902,56382.6,11528.879
601929.SH,20191205,2.03,2.05,2.03,2.04,2.03,0.01,0.4926,59568.12,12155.324
601929.SH,20191204,2.02,2.04,2.01,2.03,2.03,0.0,0.0,52896.94,10736.251
601929.SH,20191203,2.01,2.04,2.0,2.03,2.02,0.01,0.495,57258.15,11568.855
601929.SH,20191202,2.02,2.03,2.01,2.02,2.02,0.0,0.0,45097.33,9108.006
601929.SH,20191129,2.04,2.04,2.0,2.02,2.04,-0.02,-0.9804,68562.86,13854.693
601929.SH,20191128,2.05,2.05,2.02,2.04,2.04,0.0,0.0,62483.26,12724.996
601929.SH,20191127,2.04,2.07,2.03,2.04,2.04,0.0,0.0,77370.09,15845.613
601929.SH,20191126,2.07,2.07,2.03,2.04,2.07,-0.03,-1.4493,81518.0,16704.175
601929.SH,20191125,2.03,2.08,2.02,2.07,2.03,0.04,1.9704,138577.38,28512.356
601929.SH,20191122,2.03,2.06,2.01,2.03,2.04,-0.01,-0.4902,76821.12,15634.543
601929.SH,20191121,2.02,2.04,2.0,2.04,2.02,0.02,0.9901,80470.75,16275.991
601929.SH,20191120,2.04,2.04,2.01,2.02,2.04,-0.02,-0.9804,94411.57,19085.612
601929.SH,20191119,1.97,2.08,1.96,2.04,1.97,0.07,3.5533,188159.15,38228.138
601929.SH,20191118,1.97,1.98,1.95,1.97,1.97,0.0,0.0,83666.0,16444.913
601929.SH,20191115,1.99,2.01,1.97,1.97,1.99,-0.02,-1.005,71917.58,14312.654
601929.SH,20191114,1.99,2.0,1.98,1.99,1.99,0.0,0.0,43767.08,8714.938
601929.SH,20191113,2.01,2.01,1.99,1.99,2.0,-0.01,-0.5,44746.27,8937.39
601929.SH,20191112,1.99,2.01,1.98,2.0,1.99,0.01,0.5025,73503.39,14651.702
601929.SH,20191111,2.06,2.06,1.98,1.99,2.07,-0.08,-3.8647,169566.39,34150.976
601929.SH,20191108,2.08,2.09,2.06,2.07,2.07,0.0,0.0,56447.88,11701.722
601929.SH,20191107,2.06,2.08,2.05,2.07,2.06,0.01,0.4854,55800.95,11545.879
601929.SH,20191106,2.07,2.07,2.05,2.06,2.07,-0.01,-0.4831,83940.56,17318.752
601929.SH,20191105,2.06,2.08,2.05,2.07,2.06,0.01,0.4854,58514.0,12079.858
601929.SH,20191104,2.08,2.08,2.05,2.06,2.07,-0.01,-0.4831,70548.0,14591.2
601929.SH,20191101,2.06,2.08,2.04,2.07,2.05,0.02,0.9756,78426.0,16181.651
