ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002835.SZ,20200110,13.28,13.38,13.05,13.07,13.03,0.04,0.307,52074.25,68593.717
002835.SZ,20200109,13.03,13.13,12.85,13.03,12.77,0.26,2.036,44146.09,57357.054
002835.SZ,20200108,13.34,13.34,12.75,12.77,13.22,-0.45,-3.4039,72418.5,93847.638
002835.SZ,20200107,12.9,13.33,12.9,13.22,12.85,0.37,2.8794,80223.37,105643.546
002835.SZ,20200106,12.62,12.93,12.41,12.85,12.57,0.28,2.2275,63154.26,80362.818
002835.SZ,20200103,12.63,12.92,12.37,12.57,12.48,0.09,0.7212,63636.0,80323.451
002835.SZ,20200102,12.37,12.55,12.17,12.48,12.23,0.25,2.0442,54485.19,67856.124
002835.SZ,20191231,12.2,12.49,12.02,12.23,12.1,0.13,1.0744,40356.23,49447.878
002835.SZ,20191230,11.86,12.14,11.31,12.1,11.94,0.16,1.34,42470.0,50177.461
002835.SZ,20191227,12.33,12.38,11.93,11.94,12.38,-0.44,-3.5541,45788.19,55743.88
002835.SZ,20191226,12.53,12.53,12.2,12.38,12.5,-0.12,-0.96,47529.07,58618.864
002835.SZ,20191225,11.82,12.59,11.82,12.5,12.0,0.5,4.1667,67102.07,83130.703
002835.SZ,20191224,11.75,12.05,11.74,12.0,11.78,0.22,1.8676,32260.0,38388.502
002835.SZ,20191223,12.08,12.28,11.76,11.78,12.12,-0.34,-2.8053,40074.0,48097.951
002835.SZ,20191220,12.3,12.54,12.11,12.12,12.36,-0.24,-1.9417,39572.0,48531.482
002835.SZ,20191219,12.46,12.47,12.27,12.36,12.48,-0.12,-0.9615,40977.42,50654.929
002835.SZ,20191218,12.3,12.65,12.22,12.48,12.3,0.18,1.4634,65650.29,81792.76
002835.SZ,20191217,12.28,12.38,12.19,12.3,12.26,0.04,0.3263,55226.42,67890.696
002835.SZ,20191216,11.89,12.28,11.77,12.26,11.89,0.37,3.1119,55881.48,67657.15
002835.SZ,20191213,11.93,12.0,11.68,11.89,11.81,0.08,0.6774,43936.69,51940.541
002835.SZ,20191212,11.7,12.08,11.56,11.81,11.62,0.19,1.6351,57205.0,68006.972
002835.SZ,20191211,11.8,11.88,11.6,11.62,11.75,-0.13,-1.1064,34644.0,40582.75
002835.SZ,20191210,11.7,11.83,11.5,11.75,11.76,-0.01,-0.085,38203.82,44637.377
002835.SZ,20191209,11.74,11.89,11.64,11.76,11.71,0.05,0.427,40800.78,48010.252
002835.SZ,20191206,11.58,11.76,11.51,11.71,11.58,0.13,1.1226,40296.97,47012.869
002835.SZ,20191205,11.45,11.64,11.33,11.58,11.38,0.2,1.7575,40907.0,47163.861
002835.SZ,20191204,11.3,11.42,11.18,11.38,11.4,-0.02,-0.1754,30043.42,33974.409
002835.SZ,20191203,11.14,11.4,10.98,11.4,11.11,0.29,2.6103,41890.05,47169.247
002835.SZ,20191202,11.13,11.25,11.03,11.11,11.13,-0.02,-0.1797,28484.0,31770.619
002835.SZ,20191129,11.22,11.28,11.0,11.13,11.3,-0.17,-1.5044,29437.0,32722.374
002835.SZ,20191128,11.34,11.37,11.05,11.3,11.28,0.02,0.1773,31687.3,35572.024
002835.SZ,20191127,11.21,11.36,11.1,11.28,11.2,0.08,0.7143,31355.72,35273.799
002835.SZ,20191126,11.42,11.56,11.15,11.2,11.41,-0.21,-1.8405,34610.0,39136.422
002835.SZ,20191125,11.69,11.77,11.18,11.41,11.73,-0.32,-2.728,45034.0,51236.687
002835.SZ,20191122,11.98,12.17,11.69,11.73,11.99,-0.26,-2.1685,38915.3,46143.871
002835.SZ,20191121,12.19,12.23,11.92,11.99,12.11,-0.12,-0.9909,29949.05,36104.806
002835.SZ,20191120,12.33,12.38,12.01,12.11,12.32,-0.21,-1.7045,41912.72,51100.413
002835.SZ,20191119,12.27,12.46,12.2,12.32,12.29,0.03,0.2441,37897.42,46765.184
002835.SZ,20191118,12.38,12.54,12.05,12.29,12.46,-0.17,-1.3644,48554.68,59787.283
002835.SZ,20191115,12.36,12.65,12.08,12.46,12.24,0.22,1.7974,71393.74,88589.969
002835.SZ,20191114,11.99,12.51,11.82,12.24,11.96,0.28,2.3411,65914.56,80375.46
002835.SZ,20191113,11.82,11.96,11.41,11.96,12.32,-0.36,-2.9221,67667.0,79200.137
002835.SZ,20191112,12.82,12.88,12.13,12.32,12.91,-0.59,-4.5701,56168.99,69681.038
002835.SZ,20191111,13.2,13.23,12.6,12.91,13.24,-0.33,-2.4924,62025.89,79240.004
002835.SZ,20191108,12.98,13.35,12.93,13.24,12.86,0.38,2.9549,82196.32,108519.355
002835.SZ,20191107,12.76,12.9,12.62,12.86,12.67,0.19,1.4996,52964.42,67698.971
002835.SZ,20191106,13.08,13.08,12.6,12.67,13.02,-0.35,-2.6882,67361.42,85804.833
002835.SZ,20191105,13.29,13.29,12.89,13.02,13.24,-0.22,-1.6616,63448.0,82760.528
002835.SZ,20191104,13.39,13.65,13.13,13.24,13.39,-0.15,-1.1202,65901.0,87735.289
002835.SZ,20191101,13.42,13.62,13.2,13.39,13.4,-0.01,-0.0746,53602.3,72092.065
002835.SZ,20191031,13.6,13.98,13.34,13.4,13.54,-0.14,-1.034,65230.0,89587.031
002835.SZ,20191030,14.28,14.28,13.51,13.54,14.4,-0.86,-5.9722,80006.36,110825.451
002835.SZ,20191029,14.73,14.8,14.14,14.4,14.87,-0.47,-3.1607,100667.84,145311.067
002835.SZ,20191028,13.99,14.99,13.81,14.87,13.77,1.1,7.9884,141389.92,204354.046
002835.SZ,20191025,13.8,13.85,13.0,13.77,13.93,-0.16,-1.1486,102136.9,137380.724
002835.SZ,20191024,13.74,14.1,13.68,13.93,13.75,0.18,1.3091,74847.42,103974.21
002835.SZ,20191023,14.08,14.19,13.7,13.75,14.09,-0.34,-2.4131,81652.42,113636.603
002835.SZ,20191022,13.9,14.26,13.85,14.09,13.9,0.19,1.3669,92284.92,129647.146
002835.SZ,20191021,14.68,14.7,13.32,13.9,14.79,-0.89,-6.0176,139126.71,192051.492
002835.SZ,20191018,15.26,15.31,14.48,14.79,15.34,-0.55,-3.5854,127156.05,188704.412
002835.SZ,20191017,15.52,15.97,15.06,15.34,16.28,-0.94,-5.774,209013.17,324698.037
002835.SZ,20191016,14.84,16.28,14.75,16.28,14.8,1.48,10.0,262705.05,416958.547
002835.SZ,20191015,14.22,15.49,13.7,14.8,14.64,0.16,1.0929,202912.35,297903.0
002835.SZ,20191014,14.15,14.89,13.99,14.64,13.93,0.71,5.0969,188304.15,273329.714
002835.SZ,20191011,14.1,14.92,13.85,13.93,14.42,-0.49,-3.3981,193002.14,275472.923
002835.SZ,20191010,14.2,15.52,14.0,14.42,14.17,0.25,1.7643,261320.71,382533.259
002835.SZ,20191009,12.75,14.17,12.6,14.17,12.88,1.29,10.0155,173144.96,234155.377
002835.SZ,20191008,12.51,13.3,12.4,12.88,12.11,0.77,6.3584,121133.0,155676.151
