ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300302.SZ,20200110,15.7,16.13,14.45,14.47,14.71,-0.24,-1.6315,372817.86,568668.814
300302.SZ,20200109,13.53,14.71,13.42,14.71,13.37,1.34,10.0224,247594.73,348528.756
300302.SZ,20200108,13.01,13.75,12.93,13.37,13.18,0.19,1.4416,226078.15,303834.091
300302.SZ,20200107,12.42,13.6,12.28,13.18,12.51,0.67,5.3557,237159.69,306944.081
300302.SZ,20200106,12.79,12.79,12.47,12.51,12.64,-0.13,-1.0285,141716.45,178809.166
300302.SZ,20200103,12.61,12.76,12.43,12.64,12.61,0.03,0.2379,118151.29,148749.041
300302.SZ,20200102,12.42,12.64,12.27,12.61,12.24,0.37,3.0229,160656.89,201042.973
300302.SZ,20191231,12.43,12.45,12.08,12.24,12.44,-0.2,-1.6077,134321.81,164790.947
300302.SZ,20191230,12.29,12.49,11.69,12.44,12.2,0.24,1.9672,195731.34,237925.941
300302.SZ,20191227,12.58,12.6,12.14,12.2,12.52,-0.32,-2.5559,150392.33,185659.353
300302.SZ,20191226,12.75,12.79,12.24,12.52,12.69,-0.17,-1.3396,157484.43,196729.32
300302.SZ,20191225,12.69,13.07,12.57,12.69,12.65,0.04,0.3162,155481.33,198786.931
300302.SZ,20191224,12.67,12.89,12.45,12.65,12.45,0.2,1.6064,128163.4,162124.583
300302.SZ,20191223,12.98,12.98,12.4,12.45,13.06,-0.61,-4.6708,189791.88,239905.197
300302.SZ,20191220,13.56,13.82,12.93,13.06,13.58,-0.52,-3.8292,245618.06,324277.213
300302.SZ,20191219,13.43,14.28,13.4,13.58,13.17,0.41,3.1131,283112.77,389176.126
300302.SZ,20191218,13.17,13.83,13.0,13.17,13.23,-0.06,-0.4535,254170.51,339535.531
300302.SZ,20191217,12.35,13.55,12.2,13.23,12.32,0.91,7.3864,272729.98,354608.636
300302.SZ,20191216,11.72,12.59,11.59,12.32,11.65,0.67,5.7511,228660.3,278672.476
300302.SZ,20191213,11.72,11.78,11.38,11.65,11.54,0.11,0.9532,135550.92,156894.469
300302.SZ,20191212,11.54,11.9,11.35,11.54,11.47,0.07,0.6103,147341.69,171477.161
300302.SZ,20191211,11.5,11.78,11.39,11.47,11.59,-0.12,-1.0354,83892.28,96635.946
300302.SZ,20191210,11.39,11.66,11.25,11.59,11.41,0.18,1.5776,112345.64,129078.866
300302.SZ,20191209,11.24,11.6,11.06,11.41,11.19,0.22,1.966,161089.19,182975.052
300302.SZ,20191206,10.69,11.25,10.61,11.19,10.67,0.52,4.8735,149080.71,164449.189
300302.SZ,20191205,10.49,10.76,10.35,10.67,10.39,0.28,2.6949,100614.14,106576.834
300302.SZ,20191204,10.46,10.58,10.32,10.39,10.52,-0.13,-1.2357,72960.58,75847.831
300302.SZ,20191203,10.39,10.57,10.3,10.52,10.44,0.08,0.7663,55186.86,57598.497
300302.SZ,20191202,10.28,10.62,10.28,10.44,10.27,0.17,1.6553,91445.38,95562.779
300302.SZ,20191129,10.01,10.32,10.01,10.27,10.17,0.1,0.9833,66315.96,67592.172
