ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300506.SZ,20200110,8.83,8.86,8.71,8.74,8.82,-0.08,-0.907,29734.05,26029.311
300506.SZ,20200109,8.7,8.85,8.68,8.82,8.65,0.17,1.9653,60416.8,52925.48
300506.SZ,20200108,8.83,8.83,8.57,8.65,8.86,-0.21,-2.3702,62467.9,54331.436
300506.SZ,20200107,8.82,8.89,8.76,8.86,8.83,0.03,0.3398,47126.55,41569.928
300506.SZ,20200106,8.65,8.88,8.6,8.83,8.74,0.09,1.0297,82393.6,72391.105
300506.SZ,20200103,8.64,8.97,8.63,8.74,8.64,0.1,1.1574,70352.79,61720.737
300506.SZ,20200102,8.57,8.66,8.57,8.64,8.57,0.07,0.8168,62500.9,53921.716
300506.SZ,20191231,8.48,8.59,8.48,8.57,8.49,0.08,0.9423,25702.05,21956.955
300506.SZ,20191230,8.46,8.56,8.34,8.49,8.52,-0.03,-0.3521,44871.3,37910.835
300506.SZ,20191227,8.58,8.68,8.45,8.52,8.58,-0.06,-0.6993,94310.3,80835.415
300506.SZ,20191226,8.67,8.67,8.48,8.58,8.65,-0.07,-0.8092,49984.85,42823.396
300506.SZ,20191225,8.77,8.77,8.6,8.65,8.78,-0.13,-1.4806,53170.8,46075.994
300506.SZ,20191224,8.75,8.9,8.57,8.78,8.82,-0.04,-0.4535,65321.27,57128.21
300506.SZ,20191223,9.01,9.25,8.81,8.82,8.92,-0.1,-1.1211,93397.1,84158.292
300506.SZ,20191220,8.69,9.17,8.62,8.92,8.69,0.23,2.6467,114216.58,102529.636
300506.SZ,20191219,8.5,8.74,8.47,8.69,8.53,0.16,1.8757,66496.75,57378.448
300506.SZ,20191218,8.51,8.64,8.44,8.53,8.55,-0.02,-0.2339,64558.41,55193.716
300506.SZ,20191217,8.4,8.73,8.35,8.55,8.32,0.23,2.7644,91481.73,78116.601
300506.SZ,20191216,8.18,8.36,8.18,8.32,8.18,0.14,1.7115,46082.32,38218.052
300506.SZ,20191213,8.36,8.36,8.15,8.18,8.11,0.07,0.8631,30892.5,25326.393
300506.SZ,20191212,8.25,8.26,8.08,8.11,8.21,-0.1,-1.218,32163.69,26227.109
300506.SZ,20191211,8.33,8.4,8.1,8.21,8.24,-0.03,-0.3641,50567.96,41601.707
300506.SZ,20191210,7.93,8.79,7.85,8.24,8.0,0.24,3.0,161579.51,134093.094
300506.SZ,20191209,8.04,8.1,7.96,8.0,8.04,-0.04,-0.4975,22268.2,17836.3
300506.SZ,20191206,8.0,8.09,7.96,8.04,8.01,0.03,0.3745,17943.6,14437.337
300506.SZ,20191205,8.03,8.14,7.99,8.01,8.0,0.01,0.125,30094.49,24243.012
300506.SZ,20191204,7.84,8.08,7.75,8.0,7.92,0.08,1.0101,36089.55,28785.819
300506.SZ,20191203,7.5,7.94,7.5,7.92,7.92,0.0,0.0,39402.5,30653.116
300506.SZ,20191202,8.0,8.04,7.9,7.92,7.99,-0.07,-0.8761,20529.29,16296.689
300506.SZ,20191129,8.13,8.13,7.87,7.99,8.02,-0.03,-0.3741,27607.59,21973.06
300506.SZ,20191128,8.22,8.31,8.0,8.02,8.18,-0.16,-1.956,26207.5,21325.988
300506.SZ,20191127,8.17,8.23,8.14,8.18,8.17,0.01,0.1224,24347.1,19937.32
300506.SZ,20191126,8.22,8.32,8.17,8.17,8.24,-0.07,-0.8495,23668.75,19441.038
300506.SZ,20191125,8.08,8.34,8.0,8.24,8.07,0.17,2.1066,57337.85,47159.001
300506.SZ,20191122,8.02,8.15,8.0,8.07,8.01,0.06,0.7491,36626.53,29560.084
300506.SZ,20191121,7.98,8.05,7.9,8.01,7.98,0.03,0.3759,34984.29,27937.873
300506.SZ,20191120,8.11,8.17,7.95,7.98,8.13,-0.15,-1.845,31928.05,25637.936
300506.SZ,20191119,8.0,8.15,7.95,8.13,8.01,0.12,1.4981,32933.29,26638.079
300506.SZ,20191118,7.97,8.01,7.86,8.01,7.88,0.13,1.6497,33806.2,26866.994
300506.SZ,20191115,7.94,8.01,7.86,7.88,7.92,-0.04,-0.5051,34977.7,27713.93
300506.SZ,20191114,8.11,8.11,7.92,7.92,8.03,-0.11,-1.3699,59974.51,47847.378
300506.SZ,20191113,8.18,8.25,7.99,8.03,8.25,-0.22,-2.6667,57597.56,46458.402
300506.SZ,20191112,8.42,8.64,8.19,8.25,8.58,-0.33,-3.8462,108208.1,90061.677
300506.SZ,20191111,8.35,8.59,8.16,8.58,8.38,0.2,2.3866,74815.0,62691.985
300506.SZ,20191108,8.56,8.65,8.38,8.38,8.52,-0.14,-1.6432,38791.1,33056.047
300506.SZ,20191107,8.56,8.62,8.26,8.52,8.52,0.0,0.0,47625.6,40304.869
300506.SZ,20191106,8.78,8.78,8.5,8.52,8.85,-0.33,-3.7288,55803.3,47972.269
300506.SZ,20191105,8.94,9.02,8.6,8.85,8.94,-0.09,-1.0067,90061.1,79049.8
300506.SZ,20191104,8.97,9.02,8.88,8.94,8.96,-0.02,-0.2232,22219.6,19879.044
300506.SZ,20191101,8.81,9.1,8.77,8.96,9.04,-0.08,-0.885,57827.7,51658.268
300506.SZ,20191031,8.8,9.05,8.65,9.04,8.86,0.18,2.0316,74367.05,65878.774
300506.SZ,20191030,9.1,9.28,8.65,8.86,9.13,-0.27,-2.9573,78624.65,70417.652
300506.SZ,20191029,9.85,9.85,9.06,9.13,9.86,-0.73,-7.4037,126960.5,118907.709
300506.SZ,20191028,9.96,10.01,9.78,9.86,10.07,-0.21,-2.0854,58331.61,57629.749
300506.SZ,20191025,10.06,10.14,9.83,10.07,10.15,-0.08,-0.7882,67206.2,66814.84
300506.SZ,20191024,10.0,10.27,9.83,10.15,10.06,0.09,0.8946,87705.32,88250.13
300506.SZ,20191023,9.9,10.07,9.59,10.06,9.84,0.22,2.2358,80931.13,79973.168
300506.SZ,20191022,9.93,10.05,9.77,9.84,9.93,-0.09,-0.9063,46673.5,46181.298
300506.SZ,20191021,10.12,10.12,9.83,9.93,10.04,-0.11,-1.0956,48318.1,48020.09
300506.SZ,20191018,9.99,10.25,9.99,10.04,9.95,0.09,0.9045,102051.26,103408.189
300506.SZ,20191017,9.98,10.11,9.86,9.95,9.98,-0.03,-0.3006,43142.12,43093.372
300506.SZ,20191016,10.16,10.35,9.98,9.98,10.24,-0.26,-2.5391,63788.4,64596.54
300506.SZ,20191015,10.01,10.29,9.8,10.24,10.05,0.19,1.8905,132764.27,133802.865
300506.SZ,20191014,10.04,10.19,9.96,10.05,9.87,0.18,1.8237,82230.18,82868.432
300506.SZ,20191011,10.13,10.23,9.87,9.87,10.15,-0.28,-2.7586,87531.15,87258.784
300506.SZ,20191010,10.2,10.28,9.91,10.15,10.15,0.0,0.0,102560.42,103319.666
300506.SZ,20191009,9.61,10.2,9.61,10.15,9.76,0.39,3.9959,157934.62,157952.844
300506.SZ,20191008,9.27,9.85,9.26,9.76,9.24,0.52,5.6277,128478.15,124353.879
300506.SZ,20190930,9.16,9.6,9.16,9.24,9.15,0.09,0.9836,81725.91,76569.965
300506.SZ,20190927,9.26,9.26,8.98,9.15,9.12,0.03,0.3289,53768.08,49217.541
300506.SZ,20190926,9.49,9.7,9.1,9.12,9.26,-0.14,-1.5119,101529.11,95527.308
300506.SZ,20190925,9.76,9.79,9.26,9.26,9.83,-0.57,-5.7986,83520.56,79601.52
300506.SZ,20190924,9.83,9.99,9.68,9.83,9.88,-0.05,-0.5061,80793.22,79413.156
300506.SZ,20190923,9.54,9.95,9.34,9.88,9.69,0.19,1.9608,134025.27,129555.514
300506.SZ,20190920,9.97,9.97,9.61,9.69,10.01,-0.32,-3.1968,140916.7,137591.286
300506.SZ,20190919,10.1,10.17,9.78,10.01,10.08,-0.07,-0.6944,111898.06,111385.775
300506.SZ,20190918,9.79,10.38,9.51,10.08,9.75,0.33,3.3846,230838.66,230114.468
300506.SZ,20190917,9.38,9.88,9.24,9.75,9.39,0.36,3.8339,191718.38,184228.822
300506.SZ,20190916,9.38,9.65,9.35,9.39,9.5,-0.11,-1.1579,107256.02,101262.713
300506.SZ,20190912,8.94,9.55,8.94,9.5,8.93,0.57,6.383,247895.26,231565.348
300506.SZ,20190911,8.87,9.05,8.8,8.93,8.87,0.06,0.6764,86468.73,77027.481
300506.SZ,20190910,8.57,9.26,8.44,8.87,8.56,0.31,3.6215,124111.7,109526.993
300506.SZ,20190909,8.59,8.63,8.47,8.56,8.5,0.06,0.7059,68531.85,58604.066
300506.SZ,20190906,8.47,8.58,8.42,8.5,8.49,0.01,0.1178,44494.98,37744.864
300506.SZ,20190905,8.52,8.64,8.44,8.49,8.47,0.02,0.2361,73160.15,62298.417
300506.SZ,20190904,8.21,8.57,8.21,8.47,8.19,0.28,3.4188,74717.91,63103.829
300506.SZ,20190903,8.25,8.25,8.1,8.19,8.2,-0.01,-0.122,35905.66,29333.973
300506.SZ,20190902,8.07,8.24,8.04,8.2,8.07,0.13,1.6109,38042.48,31099.55
