ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300279.SZ,20200110,5.95,6.09,5.88,5.93,5.99,-0.06,-1.0017,111589.6,66730.678
300279.SZ,20200109,5.93,6.03,5.88,5.99,5.86,0.13,2.2184,124746.4,74298.403
300279.SZ,20200108,6.04,6.04,5.78,5.86,6.11,-0.25,-4.0917,204924.46,121192.181
300279.SZ,20200107,6.03,6.18,5.95,6.11,5.95,0.16,2.6891,225187.61,136845.576
300279.SZ,20200106,5.95,6.15,5.88,5.95,6.08,-0.13,-2.1382,235268.14,141042.699
300279.SZ,20200103,6.03,6.2,5.92,6.08,6.05,0.03,0.4959,232599.08,141007.125
300279.SZ,20200102,6.06,6.23,5.86,6.05,6.0,0.05,0.8333,266985.97,162371.62
300279.SZ,20191231,6.22,6.55,5.95,6.0,6.22,-0.22,-3.537,396608.09,245813.706
300279.SZ,20191230,5.98,6.22,5.71,6.22,5.65,0.57,10.0885,413957.86,249913.614
300279.SZ,20191227,5.69,5.79,5.6,5.65,5.8,-0.15,-2.5862,224081.71,127924.352
300279.SZ,20191226,5.44,5.87,5.32,5.8,5.49,0.31,5.6466,323453.5,180490.411
300279.SZ,20191225,5.6,5.84,5.42,5.49,5.6,-0.11,-1.9643,353708.86,198826.238
300279.SZ,20191224,5.1,5.6,5.1,5.6,5.09,0.51,10.0196,189917.48,105045.45
300279.SZ,20191223,5.24,5.32,5.06,5.09,5.32,-0.23,-4.3233,88588.05,45941.138
300279.SZ,20191220,5.6,5.62,5.31,5.32,5.56,-0.24,-4.3165,124749.07,67536.918
300279.SZ,20191219,5.4,5.59,5.37,5.56,5.37,0.19,3.5382,131443.8,72051.217
300279.SZ,20191218,5.38,5.54,5.33,5.37,5.36,0.01,0.1866,111662.3,60611.024
300279.SZ,20191217,5.28,5.38,5.24,5.36,5.29,0.07,1.3233,84084.18,44734.773
300279.SZ,20191216,5.2,5.33,5.15,5.29,5.17,0.12,2.3211,75480.25,39736.965
300279.SZ,20191213,5.15,5.21,5.12,5.17,5.15,0.02,0.3883,59160.85,30564.716
300279.SZ,20191212,5.1,5.21,5.06,5.15,5.1,0.05,0.9804,68345.85,35207.247
300279.SZ,20191211,5.14,5.22,5.07,5.1,5.11,-0.01,-0.1957,48004.63,24630.532
300279.SZ,20191210,5.14,5.14,5.05,5.11,5.13,-0.02,-0.3899,59029.42,30116.676
300279.SZ,20191209,5.11,5.19,5.08,5.13,5.12,0.01,0.1953,60538.55,31143.524
300279.SZ,20191206,5.02,5.14,5.01,5.12,5.02,0.1,1.992,62324.79,31657.085
300279.SZ,20191205,4.87,5.07,4.85,5.02,4.9,0.12,2.449,72727.85,36349.036
300279.SZ,20191204,4.81,4.92,4.79,4.9,4.84,0.06,1.2397,46442.8,22608.21
300279.SZ,20191203,4.73,4.85,4.67,4.84,4.77,0.07,1.4675,49549.8,23683.689
300279.SZ,20191202,4.98,4.98,4.65,4.77,4.95,-0.18,-3.6364,97949.2,46961.016
300279.SZ,20191129,4.92,4.96,4.83,4.95,4.86,0.09,1.8519,50775.4,24950.351
300279.SZ,20191128,4.93,4.97,4.8,4.86,4.95,-0.09,-1.8182,42852.6,20917.788
300279.SZ,20191127,4.98,4.98,4.9,4.95,4.94,0.01,0.2024,27234.44,13452.782
300279.SZ,20191126,4.91,5.0,4.91,4.94,4.93,0.01,0.2028,31269.8,15458.538
300279.SZ,20191125,4.98,5.06,4.89,4.93,5.05,-0.12,-2.3762,50636.64,25118.407
300279.SZ,20191122,5.04,5.18,5.01,5.05,5.04,0.01,0.1984,59637.07,30291.002
300279.SZ,20191121,5.01,5.08,4.98,5.04,5.02,0.02,0.3984,32499.0,16372.78
300279.SZ,20191120,5.1,5.15,5.0,5.02,5.13,-0.11,-2.1442,44508.07,22571.007
300279.SZ,20191119,5.2,5.2,5.06,5.13,5.04,0.09,1.7857,57238.0,29301.688
300279.SZ,20191118,5.0,5.08,4.95,5.04,4.94,0.1,2.0243,48375.31,24334.118
300279.SZ,20191115,5.06,5.1,4.93,4.94,5.06,-0.12,-2.3715,48470.03,24250.038
300279.SZ,20191114,4.97,5.08,4.9,5.06,4.96,0.1,2.0161,60203.8,30140.017
300279.SZ,20191113,5.04,5.12,4.92,4.96,5.06,-0.1,-1.9763,46904.89,23460.953
300279.SZ,20191112,4.95,5.09,4.91,5.06,4.98,0.08,1.6064,65446.05,32783.438
300279.SZ,20191111,5.13,5.13,4.96,4.98,5.14,-0.16,-3.1128,50489.84,25387.822
300279.SZ,20191108,5.2,5.24,5.1,5.14,5.17,-0.03,-0.5803,58049.92,30014.987
300279.SZ,20191107,5.23,5.26,5.13,5.17,5.2,-0.03,-0.5769,57374.23,29731.074
300279.SZ,20191106,5.34,5.4,5.17,5.2,5.34,-0.14,-2.6217,63032.96,33123.554
300279.SZ,20191105,5.35,5.4,5.31,5.34,5.32,0.02,0.3759,49849.4,26723.241
300279.SZ,20191104,5.37,5.43,5.3,5.32,5.34,-0.02,-0.3745,53361.0,28701.79
300279.SZ,20191101,5.22,5.35,5.14,5.34,5.14,0.2,3.8911,68814.82,36326.836
300279.SZ,20191031,5.39,5.39,5.12,5.14,5.32,-0.18,-3.3835,68018.4,35574.0
300279.SZ,20191030,5.52,5.52,5.31,5.32,5.48,-0.16,-2.9197,76275.36,41096.385
300279.SZ,20191029,5.64,5.75,5.46,5.48,5.7,-0.22,-3.8596,89145.34,49907.264
300279.SZ,20191028,5.53,5.75,5.49,5.7,5.48,0.22,4.0146,116590.2,65957.056
300279.SZ,20191025,5.48,5.51,5.37,5.48,5.48,0.0,0.0,50666.56,27548.543
300279.SZ,20191024,5.51,5.53,5.4,5.48,5.57,-0.09,-1.6158,55776.94,30504.559
300279.SZ,20191023,5.53,5.62,5.48,5.57,5.54,0.03,0.5415,62723.8,34945.957
300279.SZ,20191022,5.48,5.55,5.44,5.54,5.46,0.08,1.4652,47714.8,26242.681
300279.SZ,20191021,5.52,5.55,5.38,5.46,5.42,0.04,0.738,59754.24,32651.386
300279.SZ,20191018,5.51,5.65,5.35,5.42,5.5,-0.08,-1.4545,89659.35,49050.476
300279.SZ,20191017,5.52,5.62,5.45,5.5,5.58,-0.08,-1.4337,72489.43,40038.456
300279.SZ,20191016,5.77,5.79,5.56,5.58,5.77,-0.19,-3.2929,84164.0,47727.115
300279.SZ,20191015,5.66,5.85,5.58,5.77,5.66,0.11,1.9435,136636.09,78244.478
300279.SZ,20191014,5.62,5.67,5.54,5.66,5.57,0.09,1.6158,84602.8,47602.477
300279.SZ,20191011,5.58,5.59,5.5,5.57,5.58,-0.01,-0.1792,49752.48,27600.93
300279.SZ,20191010,5.57,5.61,5.51,5.58,5.57,0.01,0.1795,55316.68,30756.158
300279.SZ,20191009,5.41,5.58,5.38,5.57,5.41,0.16,2.9575,70042.03,38622.008
300279.SZ,20191008,5.47,5.51,5.38,5.41,5.47,-0.06,-1.0969,44694.56,24352.893
300279.SZ,20190930,5.47,5.62,5.38,5.47,5.5,-0.03,-0.5455,53011.84,29100.197
300279.SZ,20190927,5.4,5.56,5.39,5.5,5.42,0.08,1.476,61328.4,33743.455
300279.SZ,20190926,5.57,5.67,5.36,5.42,5.54,-0.12,-2.1661,94368.0,51959.61
300279.SZ,20190925,5.72,5.76,5.54,5.54,5.8,-0.26,-4.4828,104581.0,58895.684
300279.SZ,20190924,5.87,5.88,5.76,5.8,5.87,-0.07,-1.1925,83813.8,48759.558
300279.SZ,20190923,5.7,5.9,5.65,5.87,5.77,0.1,1.7331,111412.73,64222.036
300279.SZ,20190920,5.9,5.9,5.75,5.77,5.89,-0.12,-2.0374,79456.25,46200.251
300279.SZ,20190919,5.79,5.92,5.73,5.89,5.82,0.07,1.2027,93827.09,54651.559
300279.SZ,20190918,5.85,5.91,5.77,5.82,5.83,-0.01,-0.1715,83463.0,48775.419
300279.SZ,20190917,6.03,6.05,5.78,5.83,6.11,-0.28,-4.5827,139100.03,82045.202
300279.SZ,20190916,6.0,6.15,5.91,6.11,5.95,0.16,2.6891,197196.13,119514.232
300279.SZ,20190912,6.0,6.03,5.85,5.95,5.91,0.04,0.6768,152542.47,90773.521
300279.SZ,20190911,6.08,6.15,5.91,5.91,6.21,-0.3,-4.8309,292094.56,176084.67
300279.SZ,20190910,6.35,6.66,6.16,6.21,6.11,0.1,1.6367,627509.98,400464.243
300279.SZ,20190909,5.55,6.11,5.53,6.11,5.55,0.56,10.0901,123094.8,72717.537
300279.SZ,20190906,5.44,5.69,5.44,5.55,5.45,0.1,1.8349,146757.87,81346.192
