ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600664.SH,20200110,3.78,3.83,3.77,3.8,3.78,0.02,0.5291,167222.74,63605.181
600664.SH,20200109,3.76,3.8,3.75,3.78,3.73,0.05,1.3405,126312.72,47725.531
600664.SH,20200108,3.79,3.8,3.73,3.73,3.8,-0.07,-1.8421,147826.08,55562.139
600664.SH,20200107,3.76,3.81,3.76,3.8,3.76,0.04,1.0638,175394.94,66439.934
600664.SH,20200106,3.77,3.81,3.73,3.76,3.78,-0.02,-0.5291,209725.03,79146.167
600664.SH,20200103,3.8,3.82,3.77,3.78,3.8,-0.02,-0.5263,131244.83,49699.973
600664.SH,20200102,3.8,3.83,3.76,3.8,3.79,0.01,0.2639,241167.34,91515.029
600664.SH,20191231,3.68,3.89,3.67,3.79,3.68,0.11,2.9891,390014.13,148100.421
600664.SH,20191230,3.67,3.7,3.62,3.68,3.67,0.01,0.2725,94405.2,34588.248
600664.SH,20191227,3.71,3.73,3.66,3.67,3.7,-0.03,-0.8108,100192.29,36970.382
600664.SH,20191226,3.71,3.71,3.68,3.7,3.71,-0.01,-0.2695,89564.92,33087.895
600664.SH,20191225,3.65,3.75,3.61,3.71,3.65,0.06,1.6438,174229.23,64049.964
600664.SH,20191224,3.64,3.66,3.62,3.65,3.65,0.0,0.0,104793.55,38081.509
600664.SH,20191223,3.73,3.74,3.64,3.65,3.72,-0.07,-1.8817,127719.56,47011.05
600664.SH,20191220,3.76,3.8,3.71,3.72,3.76,-0.04,-1.0638,141613.81,53140.905
600664.SH,20191219,3.69,3.8,3.68,3.76,3.7,0.06,1.6216,214921.63,80367.678
600664.SH,20191218,3.71,3.74,3.68,3.7,3.72,-0.02,-0.5376,164988.53,61126.845
600664.SH,20191217,3.58,3.73,3.56,3.72,3.58,0.14,3.9106,313565.26,114776.537
600664.SH,20191216,3.54,3.59,3.52,3.58,3.55,0.03,0.8451,191694.15,68099.201
600664.SH,20191213,3.58,3.6,3.51,3.55,3.58,-0.03,-0.838,293311.77,103739.929
