ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600273.SH,20200110,10.72,10.86,10.52,10.68,10.65,0.03,0.2817,238968.98,255358.164
600273.SH,20200109,10.74,10.89,10.61,10.65,10.58,0.07,0.6616,311031.98,332870.015
600273.SH,20200108,11.28,11.32,10.42,10.58,11.34,-0.76,-6.7019,701464.55,756808.059
600273.SH,20200107,11.36,11.42,11.21,11.34,11.36,-0.02,-0.1761,266991.97,301721.554
600273.SH,20200106,11.49,11.54,11.29,11.36,11.49,-0.13,-1.1314,293957.85,335456.197
600273.SH,20200103,11.31,11.65,11.31,11.49,11.33,0.16,1.4122,337397.16,388794.093
600273.SH,20200102,11.25,11.52,11.25,11.33,11.25,0.08,0.7111,301130.61,342785.816
600273.SH,20191231,11.16,11.46,11.09,11.25,11.19,0.06,0.5362,218663.9,246631.598
600273.SH,20191230,11.1,11.27,10.9,11.19,11.01,0.18,1.6349,272430.41,302741.997
600273.SH,20191227,11.28,11.47,11.0,11.01,11.41,-0.4,-3.5057,369219.17,415191.278
600273.SH,20191226,11.1,11.88,10.85,11.41,10.9,0.51,4.6789,490459.77,555133.496
600273.SH,20191225,10.8,11.17,10.72,10.9,10.8,0.1,0.9259,320159.24,349880.766
600273.SH,20191224,10.23,10.9,10.2,10.8,10.22,0.58,5.6751,345905.69,367818.667
600273.SH,20191223,10.38,10.63,10.2,10.22,10.44,-0.22,-2.1073,162402.21,168745.064
600273.SH,20191220,10.66,10.74,10.42,10.44,10.67,-0.23,-2.1556,169561.31,178904.077
600273.SH,20191219,10.6,10.8,10.54,10.67,10.58,0.09,0.8507,211301.66,225619.805
600273.SH,20191218,10.27,10.7,10.26,10.58,10.33,0.25,2.4201,264138.72,277850.233
600273.SH,20191217,10.26,10.38,10.16,10.33,10.26,0.07,0.6823,223055.91,229230.634
600273.SH,20191216,10.19,10.36,10.12,10.26,10.01,0.25,2.4975,231736.83,237504.848
600273.SH,20191213,10.01,10.09,9.95,10.01,9.94,0.07,0.7042,220435.54,221012.194
600273.SH,20191212,10.01,10.08,9.88,9.94,10.0,-0.06,-0.6,181221.86,180937.974
600273.SH,20191211,9.89,10.12,9.81,10.0,9.88,0.12,1.2146,202640.62,201293.448
600273.SH,20191210,9.88,9.92,9.72,9.88,9.86,0.02,0.2028,157418.1,155080.146
600273.SH,20191209,10.1,10.2,9.81,9.86,9.97,-0.11,-1.1033,186062.58,184826.739
600273.SH,20191206,9.86,10.03,9.84,9.97,9.87,0.1,1.0132,156853.0,155721.309
600273.SH,20191205,9.88,9.97,9.8,9.87,9.85,0.02,0.203,178334.81,176131.67
600273.SH,20191204,9.74,10.08,9.74,9.85,9.85,0.0,0.0,267885.1,265323.377
600273.SH,20191203,9.53,9.87,9.47,9.85,9.64,0.21,2.1784,314211.47,305208.345
600273.SH,20191202,9.18,9.64,9.15,9.64,9.13,0.51,5.586,334714.76,317738.04
600273.SH,20191129,9.11,9.18,8.95,9.13,9.11,0.02,0.2195,133670.94,121309.915
600273.SH,20191128,9.04,9.24,8.98,9.11,9.03,0.08,0.8859,135768.21,124090.292
600273.SH,20191127,8.91,9.1,8.87,9.03,8.87,0.16,1.8038,119907.82,107980.109
600273.SH,20191126,9.14,9.14,8.87,8.87,9.09,-0.22,-2.4202,119824.3,107654.793
600273.SH,20191125,9.0,9.11,8.76,9.09,8.98,0.11,1.2249,137688.87,123635.485
600273.SH,20191122,9.12,9.19,8.93,8.98,9.12,-0.14,-1.5351,154595.44,140218.125
600273.SH,20191121,9.1,9.16,9.08,9.12,9.15,-0.03,-0.3279,89964.17,81969.02
600273.SH,20191120,9.28,9.39,9.14,9.15,9.37,-0.22,-2.3479,147759.64,136176.258
600273.SH,20191119,9.18,9.42,9.11,9.37,9.13,0.24,2.6287,166736.22,153982.201
600273.SH,20191118,9.15,9.21,9.07,9.13,9.1,0.03,0.3297,83992.18,76823.023
600273.SH,20191115,9.36,9.36,9.1,9.1,9.29,-0.19,-2.0452,100863.0,92628.463
600273.SH,20191114,9.44,9.46,9.25,9.29,9.4,-0.11,-1.1702,117263.07,109424.957
600273.SH,20191113,9.19,9.57,9.17,9.4,9.18,0.22,2.3965,231053.0,217325.299
600273.SH,20191112,9.08,9.2,9.03,9.18,9.13,0.05,0.5476,93935.33,85653.266
600273.SH,20191111,9.5,9.5,9.04,9.13,9.58,-0.45,-4.6973,187770.61,173365.962
600273.SH,20191108,9.69,9.75,9.55,9.58,9.62,-0.04,-0.4158,117646.74,113564.22
600273.SH,20191107,9.58,9.66,9.53,9.62,9.58,0.04,0.4175,107403.11,103006.273
600273.SH,20191106,9.65,9.74,9.55,9.58,9.61,-0.03,-0.3122,107385.24,103378.916
600273.SH,20191105,9.73,9.74,9.5,9.61,9.71,-0.1,-1.0299,150948.64,144971.796
600273.SH,20191104,9.72,9.8,9.67,9.71,9.68,0.03,0.3099,93593.6,91116.664
600273.SH,20191101,9.67,9.78,9.53,9.68,9.67,0.01,0.1034,104987.34,101254.647
600273.SH,20191031,9.74,9.79,9.62,9.67,9.64,0.03,0.3112,109674.23,106412.581
600273.SH,20191030,9.8,9.81,9.62,9.64,9.82,-0.18,-1.833,100745.6,97618.705
600273.SH,20191029,9.87,9.96,9.78,9.82,9.96,-0.14,-1.4056,135875.89,133905.861
600273.SH,20191028,9.76,9.97,9.73,9.96,9.77,0.19,1.9447,182056.4,179217.359
600273.SH,20191025,9.67,9.88,9.65,9.77,9.64,0.13,1.3485,150350.52,146916.737
600273.SH,20191024,9.67,9.76,9.55,9.64,9.66,-0.02,-0.207,123519.52,119092.404
600273.SH,20191023,9.74,9.83,9.6,9.66,9.77,-0.11,-1.1259,117533.4,114106.766
600273.SH,20191022,9.68,9.81,9.47,9.77,9.57,0.2,2.0899,206871.48,198807.106
600273.SH,20191021,9.76,9.78,9.46,9.57,9.8,-0.23,-2.3469,227299.92,217976.264
600273.SH,20191018,10.21,10.27,9.68,9.8,10.21,-0.41,-4.0157,285850.24,283631.954
600273.SH,20191017,10.22,10.34,10.09,10.21,10.22,-0.01,-0.0978,81784.27,83668.661
600273.SH,20191016,10.23,10.44,10.21,10.22,10.21,0.01,0.0979,132622.21,136747.489
600273.SH,20191015,10.78,10.84,10.33,10.37,10.86,-0.49,-4.512,251626.84,262896.767
600273.SH,20191014,10.88,11.01,10.69,10.86,10.7,0.16,1.4953,228644.24,247657.318
600273.SH,20191011,10.74,10.85,10.66,10.7,10.78,-0.08,-0.7421,154227.46,165833.366
600273.SH,20191010,10.65,10.95,10.57,10.78,10.64,0.14,1.3158,165160.57,177552.308
600273.SH,20191009,10.5,10.67,10.36,10.64,10.63,0.01,0.0941,122917.19,129216.883
600273.SH,20191008,10.56,10.8,10.08,10.63,10.58,0.05,0.4726,226014.41,237106.375
600273.SH,20190930,10.85,10.92,10.56,10.58,10.85,-0.27,-2.4885,109834.6,117632.487
600273.SH,20190927,10.85,11.0,10.8,10.85,10.84,0.01,0.0923,134554.0,146561.317
600273.SH,20190926,11.12,11.12,10.64,10.84,11.0,-0.16,-1.4545,247343.36,269536.651
600273.SH,20190925,11.26,11.28,10.96,11.0,11.36,-0.36,-3.169,229919.17,253978.046
600273.SH,20190924,11.35,11.5,11.23,11.36,11.28,0.08,0.7092,246104.98,279507.144
600273.SH,20190923,11.62,11.63,11.08,11.28,11.63,-0.35,-3.0095,305750.2,344826.941
600273.SH,20190920,12.03,12.07,11.55,11.63,11.8,-0.17,-1.4407,278412.23,327364.731
600273.SH,20190919,12.08,12.1,11.46,11.8,12.08,-0.28,-2.3179,271216.11,319049.681
600273.SH,20190918,12.35,12.36,11.95,12.08,12.12,-0.04,-0.33,236827.41,285913.445
600273.SH,20190917,12.6,12.69,11.88,12.12,12.61,-0.49,-3.8858,348341.59,427288.089
600273.SH,20190916,12.74,12.93,12.48,12.61,12.55,0.06,0.4781,229901.64,290948.388
600273.SH,20190912,12.61,12.66,12.25,12.55,12.7,-0.15,-1.1811,284892.04,354529.754
600273.SH,20190911,12.24,13.08,12.18,12.7,12.18,0.52,4.2693,423173.61,538414.561
600273.SH,20190910,12.25,12.36,12.0,12.18,12.15,0.03,0.2469,306658.99,374544.467
600273.SH,20190909,11.69,12.18,11.4,12.15,11.52,0.63,5.4688,435611.25,519223.08
600273.SH,20190906,11.05,11.62,10.92,11.52,10.9,0.62,5.6881,344098.14,389671.623
600273.SH,20190905,10.55,11.05,10.5,10.9,10.51,0.39,3.7108,354824.99,385464.668
600273.SH,20190904,10.26,10.51,10.24,10.51,10.3,0.21,2.0388,151679.77,158017.882
600273.SH,20190903,10.43,10.49,10.24,10.3,10.48,-0.18,-1.7176,213159.76,220339.378
600273.SH,20190902,10.65,10.72,10.2,10.48,10.66,-0.18,-1.6886,320869.99,335115.991
600273.SH,20190830,10.51,10.72,10.45,10.66,10.45,0.21,2.0096,222191.3,235053.75
600273.SH,20190829,10.48,10.5,10.33,10.45,10.44,0.01,0.0958,106464.49,110996.726
600273.SH,20190828,10.52,10.59,10.4,10.44,10.5,-0.06,-0.5714,137282.52,143829.257
600273.SH,20190827,10.41,10.83,10.41,10.5,10.33,0.17,1.6457,338706.6,358881.951
600273.SH,20190826,10.15,10.52,9.88,10.33,10.22,0.11,1.0763,284320.52,291063.819
600273.SH,20190823,10.35,10.38,10.19,10.22,10.35,-0.13,-1.256,86091.74,88192.392
600273.SH,20190822,10.44,10.5,10.27,10.35,10.39,-0.04,-0.385,97438.48,101009.022
600273.SH,20190821,10.29,10.51,10.25,10.39,10.39,0.0,0.0,131109.4,136195.813
600273.SH,20190820,10.59,10.6,10.24,10.39,10.47,-0.08,-0.7641,171116.92,177366.175
600273.SH,20190819,10.33,10.55,10.3,10.47,10.3,0.17,1.6505,191163.83,199680.488
600273.SH,20190816,10.34,10.45,10.18,10.3,10.32,-0.02,-0.1938,199873.49,206404.043
600273.SH,20190815,9.99,10.36,9.83,10.32,10.04,0.28,2.7888,261745.74,265193.908
600273.SH,20190814,10.0,10.35,10.0,10.04,9.9,0.14,1.4141,291230.81,295653.159
600273.SH,20190813,9.47,10.06,9.4,9.9,9.49,0.41,4.3203,355979.33,347703.797
600273.SH,20190812,9.28,9.52,9.25,9.49,9.33,0.16,1.7149,168968.33,158891.772
600273.SH,20190809,9.34,9.47,9.19,9.33,9.34,-0.01,-0.1071,170179.33,158723.078
600273.SH,20190808,9.3,9.42,9.26,9.34,9.33,0.01,0.1072,188662.36,176128.155
600273.SH,20190807,9.39,9.5,9.09,9.33,9.35,-0.02,-0.2139,302948.69,280940.522
600273.SH,20190806,10.21,10.21,9.35,9.35,10.39,-1.04,-10.0096,544150.28,517647.192
600273.SH,20190805,10.55,10.65,10.35,10.39,10.6,-0.21,-1.9811,127234.36,133336.84
600273.SH,20190802,10.51,10.65,10.43,10.6,10.79,-0.19,-1.7609,133804.01,141236.731
600273.SH,20190801,10.85,10.91,10.71,10.79,10.88,-0.09,-0.8272,116230.94,125425.674
600273.SH,20190731,10.98,11.03,10.86,10.88,11.03,-0.15,-1.3599,95050.52,103740.847
600273.SH,20190730,10.81,11.13,10.81,11.03,10.84,0.19,1.7528,139919.72,153941.414
600273.SH,20190729,10.99,11.0,10.78,10.84,10.95,-0.11,-1.0046,99241.31,107655.939
600273.SH,20190726,11.04,11.08,10.88,10.95,11.03,-0.08,-0.7253,95115.05,104340.762
600273.SH,20190725,11.08,11.17,11.0,11.03,11.1,-0.07,-0.6306,116544.45,129124.647
600273.SH,20190724,10.91,11.2,10.89,11.1,10.87,0.23,2.1159,151240.98,167804.132
600273.SH,20190723,10.71,10.91,10.71,10.87,10.8,0.07,0.6481,95440.24,103494.198
600273.SH,20190722,11.06,11.11,10.49,10.8,11.06,-0.26,-2.3508,193674.07,209130.954
600273.SH,20190719,11.04,11.29,11.01,11.06,10.9,0.16,1.4679,212449.59,236965.863
600273.SH,20190718,11.25,11.25,10.89,10.9,11.33,-0.43,-3.7952,205763.24,226635.3
600273.SH,20190717,11.4,11.49,11.25,11.33,11.4,-0.07,-0.614,133569.87,151482.355
600273.SH,20190716,11.1,11.4,11.1,11.4,11.19,0.21,1.8767,219042.44,247171.576
600273.SH,20190715,11.06,11.3,10.87,11.19,11.1,0.09,0.8108,175518.75,195122.178
600273.SH,20190712,11.02,11.2,11.01,11.1,11.09,0.01,0.0902,136370.55,151540.424
600273.SH,20190711,11.13,11.3,10.95,11.09,11.09,0.0,0.0,164290.04,182853.5
600273.SH,20190710,11.15,11.23,11.02,11.09,11.11,-0.02,-0.18,159696.93,177751.557
600273.SH,20190709,11.07,11.2,10.98,11.11,10.97,0.14,1.2762,201583.93,223237.206
600273.SH,20190708,11.63,11.65,10.87,10.97,11.67,-0.7,-5.9983,331126.66,368160.783
600273.SH,20190705,11.63,11.75,11.52,11.67,11.67,0.0,0.0,157132.19,183157.14
600273.SH,20190704,11.81,11.83,11.53,11.67,11.8,-0.13,-1.1017,219484.18,256332.96
600273.SH,20190703,11.9,11.9,11.68,11.8,11.97,-0.17,-1.4202,220593.47,259918.277
600273.SH,20190702,11.98,12.15,11.81,11.97,12.03,-0.06,-0.4988,339877.74,406692.18
600273.SH,20190701,11.89,12.15,11.62,12.03,11.56,0.47,4.0657,487362.79,579558.297
600273.SH,20190628,11.68,11.69,11.31,11.56,11.65,-0.09,-0.7725,214822.61,246564.475
600273.SH,20190627,11.41,11.83,11.36,11.65,11.33,0.32,2.8244,422004.55,490935.733
600273.SH,20190626,11.29,11.45,11.14,11.33,11.32,0.01,0.0883,193286.67,218619.893
600273.SH,20190625,11.49,11.52,11.17,11.32,11.55,-0.23,-1.9913,276488.64,312617.122
600273.SH,20190624,11.66,11.7,11.47,11.55,11.62,-0.07,-0.6024,243653.55,281875.733
600273.SH,20190621,11.61,11.79,11.46,11.62,11.56,0.06,0.519,394951.77,458887.941
600273.SH,20190620,11.2,11.69,11.08,11.56,11.18,0.38,3.3989,484323.44,554846.513
600273.SH,20190619,11.48,11.55,11.1,11.18,11.05,0.13,1.1765,444936.24,505487.117
600273.SH,20190618,10.92,11.2,10.86,11.05,10.95,0.1,0.9132,187951.77,207284.737
600273.SH,20190617,10.91,11.13,10.8,10.95,10.9,0.05,0.4587,200313.02,219545.028
600273.SH,20190614,11.59,11.59,10.84,10.9,11.58,-0.68,-5.8722,439480.16,493424.495
600273.SH,20190613,10.91,11.76,10.82,11.58,10.95,0.63,5.7534,587789.14,668435.085
600273.SH,20190612,11.12,11.23,10.86,10.95,11.15,-0.2,-1.7937,315555.42,347330.339
600273.SH,20190611,10.42,11.28,10.38,11.15,10.46,0.69,6.5966,478277.92,521591.192
600273.SH,20190610,10.69,10.69,10.09,10.46,10.56,-0.1,-0.947,227299.54,235337.716
600273.SH,20190606,10.65,10.85,10.5,10.56,10.55,0.01,0.0948,335976.01,359525.632
