ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002486.SZ,20200110,3.41,3.42,3.36,3.38,3.43,-0.05,-1.4577,163201.11,55130.79
002486.SZ,20200109,3.4,3.47,3.39,3.43,3.37,0.06,1.7804,174824.0,59901.115
002486.SZ,20200108,3.46,3.47,3.37,3.37,3.5,-0.13,-3.7143,235043.91,80326.786
002486.SZ,20200107,3.43,3.55,3.41,3.5,3.41,0.09,2.6393,344941.0,119468.219
002486.SZ,20200106,3.39,3.44,3.36,3.41,3.42,-0.01,-0.2924,208648.3,70982.487
002486.SZ,20200103,3.39,3.43,3.35,3.42,3.38,0.04,1.1834,232691.3,79070.237
002486.SZ,20200102,3.28,3.45,3.28,3.38,3.27,0.11,3.3639,248511.01,83424.233
002486.SZ,20191231,3.25,3.31,3.24,3.27,3.26,0.01,0.3067,116219.94,38066.578
002486.SZ,20191230,3.3,3.3,3.19,3.26,3.36,-0.1,-2.9762,233843.46,76018.807
002486.SZ,20191227,3.32,3.4,3.29,3.36,3.32,0.04,1.2048,263442.02,88452.523
002486.SZ,20191226,3.34,3.35,3.27,3.32,3.33,-0.01,-0.3003,128531.02,42410.697
002486.SZ,20191225,3.35,3.39,3.32,3.33,3.36,-0.03,-0.8929,128684.0,43108.962
002486.SZ,20191224,3.29,3.37,3.26,3.36,3.26,0.1,3.0675,148141.0,49286.67
002486.SZ,20191223,3.36,3.38,3.26,3.26,3.38,-0.12,-3.5503,160838.0,53406.692
002486.SZ,20191220,3.48,3.5,3.37,3.38,3.44,-0.06,-1.7442,161980.88,55463.686
002486.SZ,20191219,3.44,3.47,3.39,3.44,3.41,0.03,0.8798,206691.38,70871.201
002486.SZ,20191218,3.44,3.57,3.38,3.41,3.45,-0.04,-1.1594,332683.0,115118.639
002486.SZ,20191217,3.31,3.53,3.27,3.45,3.28,0.17,5.1829,425923.03,144902.175
002486.SZ,20191216,3.19,3.31,3.18,3.28,3.18,0.1,3.1447,240987.0,78415.727
002486.SZ,20191213,3.16,3.22,3.14,3.18,3.15,0.03,0.9524,144099.01,45889.711
002486.SZ,20191212,3.13,3.18,3.11,3.15,3.16,-0.01,-0.3165,122130.01,38421.605
002486.SZ,20191211,3.21,3.21,3.14,3.16,3.21,-0.05,-1.5576,166664.98,52825.687
002486.SZ,20191210,3.24,3.24,3.18,3.21,3.24,-0.03,-0.9259,139670.38,44788.044
002486.SZ,20191209,3.23,3.27,3.21,3.24,3.28,-0.04,-1.2195,166257.0,53756.456
002486.SZ,20191206,3.3,3.31,3.24,3.28,3.3,-0.02,-0.6061,135340.22,44185.355
002486.SZ,20191205,3.26,3.31,3.26,3.3,3.26,0.04,1.227,116143.48,38162.591
002486.SZ,20191204,3.28,3.29,3.24,3.26,3.29,-0.03,-0.9119,94013.81,30696.22
002486.SZ,20191203,3.24,3.3,3.18,3.29,3.26,0.03,0.9202,160516.04,52030.773
002486.SZ,20191202,3.28,3.3,3.21,3.26,3.32,-0.06,-1.8072,150837.04,49223.327
002486.SZ,20191129,3.28,3.33,3.26,3.32,3.3,0.02,0.6061,138175.1,45575.373
002486.SZ,20191128,3.41,3.48,3.28,3.3,3.43,-0.13,-3.7901,276092.0,92422.486
