ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
601107.SH,20200110,4.07,4.07,4.01,4.03,4.06,-0.03,-0.7389,77186.75,31101.447
601107.SH,20200109,4.02,4.07,4.02,4.06,4.0,0.06,1.5,101317.87,41049.057
601107.SH,20200108,4.06,4.08,3.99,4.0,4.09,-0.09,-2.2005,167671.81,67638.18
601107.SH,20200107,4.07,4.12,4.05,4.09,4.13,-0.04,-0.9685,213389.4,87174.593
601107.SH,20200106,4.16,4.24,3.95,4.13,4.38,-0.25,-5.7078,537006.15,219236.778
601107.SH,20200103,4.24,4.38,4.17,4.38,4.23,0.15,3.5461,228848.49,97504.299
601107.SH,20200102,4.22,4.29,4.16,4.23,4.21,0.02,0.4751,166342.49,70213.572
601107.SH,20191231,3.97,4.28,3.96,4.21,3.99,0.22,5.5138,364245.03,151862.288
601107.SH,20191230,3.84,3.99,3.83,3.99,3.84,0.15,3.9063,143330.37,56448.3
601107.SH,20191227,3.87,3.89,3.83,3.84,3.87,-0.03,-0.7752,48696.43,18842.059
601107.SH,20191226,3.82,3.87,3.8,3.87,3.82,0.05,1.3089,39970.54,15354.73
601107.SH,20191225,3.83,3.83,3.81,3.82,3.83,-0.01,-0.2611,27620.0,10553.404
601107.SH,20191224,3.8,3.84,3.8,3.83,3.8,0.03,0.7895,31044.0,11848.289
601107.SH,20191223,3.87,3.87,3.79,3.8,3.87,-0.07,-1.8088,43173.01,16553.028
601107.SH,20191220,3.89,3.92,3.84,3.87,3.9,-0.03,-0.7692,66575.78,25831.661
601107.SH,20191219,3.89,3.91,3.86,3.9,3.9,0.0,0.0,49790.0,19333.522
601107.SH,20191218,3.87,3.94,3.85,3.9,3.88,0.02,0.5155,84969.06,33106.56
601107.SH,20191217,3.85,3.9,3.82,3.88,3.85,0.03,0.7792,102974.45,39774.208
601107.SH,20191216,3.82,3.85,3.81,3.85,3.82,0.03,0.7853,53813.82,20638.362
601107.SH,20191213,3.78,3.83,3.78,3.82,3.77,0.05,1.3263,51219.03,19481.82
601107.SH,20191212,3.82,3.83,3.76,3.77,3.83,-0.06,-1.5666,52331.94,19851.178
601107.SH,20191211,3.82,3.84,3.82,3.83,3.83,0.0,0.0,33750.13,12915.226
601107.SH,20191210,3.86,3.86,3.82,3.83,3.86,-0.03,-0.7772,33268.88,12749.789
601107.SH,20191209,3.83,3.86,3.82,3.86,3.83,0.03,0.7833,49879.52,19125.915
601107.SH,20191206,3.84,3.85,3.81,3.83,3.84,-0.01,-0.2604,41916.99,16030.623
601107.SH,20191205,3.84,3.86,3.82,3.84,3.84,0.0,0.0,35788.77,13744.302
601107.SH,20191204,3.87,3.88,3.81,3.84,3.86,-0.02,-0.5181,52228.82,20084.321
601107.SH,20191203,3.82,3.87,3.8,3.86,3.83,0.03,0.7833,33398.52,12815.762
601107.SH,20191202,3.86,3.87,3.81,3.83,3.87,-0.04,-1.0336,50005.29,19209.247
601107.SH,20191129,3.83,3.88,3.81,3.87,3.81,0.06,1.5748,64972.23,25077.735
601107.SH,20191128,3.79,3.84,3.79,3.81,3.81,0.0,0.0,41051.82,15665.959
601107.SH,20191127,3.82,3.84,3.78,3.81,3.82,-0.01,-0.2618,41256.0,15702.612
