ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
603838.SH,20200110,8.6,8.6,8.4,8.47,8.54,-0.07,-0.8197,11613.91,9837.559
603838.SH,20200109,8.55,8.65,8.51,8.54,8.5,0.04,0.4706,10821.21,9276.636
603838.SH,20200108,8.49,8.6,8.43,8.5,8.55,-0.05,-0.5848,15555.06,13248.698
603838.SH,20200107,8.24,8.58,8.24,8.55,8.3,0.25,3.012,18570.11,15744.101
603838.SH,20200106,8.3,8.4,8.2,8.3,8.32,-0.02,-0.2404,11328.06,9423.484
603838.SH,20200103,8.29,8.36,8.27,8.32,8.36,-0.04,-0.4785,10506.48,8749.599
603838.SH,20200102,8.36,8.4,8.29,8.36,8.38,-0.02,-0.2387,14900.93,12456.074
603838.SH,20191231,8.16,8.39,8.09,8.38,8.16,0.22,2.6961,20985.0,17269.167
603838.SH,20191230,8.14,8.19,8.03,8.16,8.12,0.04,0.4926,14573.0,11775.326
603838.SH,20191227,8.15,8.17,8.12,8.12,8.13,-0.01,-0.123,4905.0,3994.524
603838.SH,20191226,8.18,8.2,8.11,8.13,8.13,0.0,0.0,4890.22,3986.542
603838.SH,20191225,8.12,8.19,8.08,8.13,8.11,0.02,0.2466,7897.93,6423.456
603838.SH,20191224,8.15,8.15,8.05,8.11,8.06,0.05,0.6203,7431.02,6004.314
603838.SH,20191223,8.21,8.21,8.06,8.06,8.27,-0.21,-2.5393,9124.0,7415.765
603838.SH,20191220,8.21,8.29,8.18,8.27,8.25,0.02,0.2424,11714.74,9656.608
603838.SH,20191219,8.17,8.53,8.17,8.25,8.17,0.08,0.9792,18402.0,15249.659
603838.SH,20191218,8.16,8.25,8.1,8.17,8.16,0.01,0.1225,14265.0,11637.768
603838.SH,20191217,8.11,8.19,8.05,8.16,8.09,0.07,0.8653,19735.74,16061.871
603838.SH,20191216,8.15,8.19,8.01,8.09,8.06,0.03,0.3722,13743.74,11064.848
603838.SH,20191213,7.99,8.06,7.9,8.06,7.95,0.11,1.3836,13470.93,10805.461
603838.SH,20191212,8.03,8.03,7.93,7.95,7.99,-0.04,-0.5006,5867.0,4668.117
603838.SH,20191211,8.05,8.05,7.96,7.99,8.04,-0.05,-0.6219,7579.0,6057.016
603838.SH,20191210,7.97,8.06,7.93,8.04,7.99,0.05,0.6258,9887.0,7899.668
