ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600766.SH,20200110,8.4,8.49,8.18,8.28,8.6,-0.32,-3.7209,192003.96,159175.986
600766.SH,20200109,8.39,8.72,8.38,8.6,9.2,-0.6,-6.5217,319914.69,272844.949
600766.SH,20200108,8.88,9.2,8.56,9.2,8.36,0.84,10.0478,473206.67,421125.197
600766.SH,20200107,8.24,8.49,8.21,8.36,8.58,-0.22,-2.5641,229972.82,191530.102
600766.SH,20200106,8.18,8.58,8.03,8.58,7.8,0.78,10.0,387176.02,320245.846
600766.SH,20200103,7.61,7.94,7.53,7.8,7.53,0.27,3.5857,215062.89,166940.39
600766.SH,20200102,7.43,7.55,7.39,7.53,7.45,0.08,1.0738,83411.55,62547.879
600766.SH,20191231,7.37,7.47,7.35,7.45,7.36,0.09,1.2228,72824.33,54107.592
600766.SH,20191230,7.4,7.49,7.26,7.36,7.46,-0.1,-1.3405,85515.0,62849.95
600766.SH,20191227,7.47,7.67,7.44,7.46,7.45,0.01,0.1342,113309.12,85469.987
600766.SH,20191226,7.36,7.51,7.35,7.45,7.44,0.01,0.1344,75832.0,56451.422
600766.SH,20191225,7.52,7.55,7.39,7.44,7.43,0.01,0.1346,89921.0,67118.81
600766.SH,20191224,7.38,7.49,7.3,7.43,7.4,0.03,0.4054,70318.01,52189.239
600766.SH,20191223,7.58,7.64,7.36,7.4,7.6,-0.2,-2.6316,90554.01,67704.068
600766.SH,20191220,7.56,7.72,7.49,7.6,7.6,0.0,0.0,99538.01,75954.789
600766.SH,20191219,7.58,7.75,7.53,7.6,7.71,-0.11,-1.4267,112663.1,85997.591
600766.SH,20191218,7.48,7.78,7.44,7.71,7.57,0.14,1.8494,174152.25,132966.733
600766.SH,20191217,7.26,7.58,7.24,7.57,7.26,0.31,4.27,143837.75,106473.055
600766.SH,20191216,7.2,7.27,7.16,7.26,7.23,0.03,0.4149,67333.98,48699.731
600766.SH,20191213,7.16,7.25,7.12,7.23,7.32,-0.09,-1.2295,83746.65,60330.232
600766.SH,20191212,7.35,7.48,7.21,7.32,7.35,-0.03,-0.4082,116774.24,85393.127
600766.SH,20191211,7.15,7.35,7.15,7.35,7.2,0.15,2.0833,111356.24,81047.107
600766.SH,20191210,7.16,7.25,7.1,7.2,7.14,0.06,0.8403,69288.0,49700.434
600766.SH,20191209,7.07,7.2,7.05,7.14,7.18,-0.04,-0.5571,53499.0,38143.492
600766.SH,20191206,7.13,7.27,7.12,7.18,7.15,0.03,0.4196,70844.93,50951.417
