ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000728.SZ,20200110,9.32,9.46,9.26,9.28,9.31,-0.03,-0.3222,208635.14,195197.293
000728.SZ,20200109,9.25,9.41,9.24,9.31,9.13,0.18,1.9715,184454.6,171824.331
000728.SZ,20200108,9.3,9.37,9.12,9.13,9.38,-0.25,-2.6652,238362.88,220584.344
000728.SZ,20200107,9.36,9.47,9.22,9.38,9.38,0.0,0.0,280528.16,262092.941
000728.SZ,20200106,9.16,9.43,9.13,9.38,9.24,0.14,1.5152,310850.31,289286.119
000728.SZ,20200103,9.28,9.37,9.2,9.24,9.27,-0.03,-0.3236,203078.38,188391.345
000728.SZ,20200102,9.38,9.47,9.25,9.27,9.27,0.0,0.0,350597.14,327934.42
000728.SZ,20191231,9.26,9.35,9.17,9.27,9.32,-0.05,-0.5365,272169.47,252072.655
000728.SZ,20191230,8.99,9.38,8.93,9.32,8.98,0.34,3.7862,475081.3,437939.5
000728.SZ,20191227,9.18,9.25,8.97,8.98,9.19,-0.21,-2.2851,334705.14,305359.006
000728.SZ,20191226,8.9,9.2,8.88,9.19,8.92,0.27,3.0269,326307.08,295903.551
000728.SZ,20191225,8.86,9.03,8.81,8.92,8.88,0.04,0.4505,151628.13,135137.655
000728.SZ,20191224,8.86,8.9,8.76,8.88,8.8,0.08,0.9091,128049.45,113125.453
000728.SZ,20191223,9.01,9.16,8.77,8.8,9.04,-0.24,-2.6549,270701.89,243469.003
000728.SZ,20191220,8.96,9.19,8.95,9.04,8.96,0.08,0.8929,317426.67,288418.258
000728.SZ,20191219,9.0,9.03,8.91,8.96,8.98,-0.02,-0.2227,152927.85,137027.219
000728.SZ,20191218,8.91,9.12,8.9,8.98,8.95,0.03,0.3352,288681.64,260173.723
000728.SZ,20191217,8.7,9.19,8.67,8.95,8.7,0.25,2.8736,457970.41,409965.325
000728.SZ,20191216,8.62,8.76,8.55,8.7,8.61,0.09,1.0453,226045.79,195675.96
000728.SZ,20191213,8.44,8.71,8.41,8.61,8.35,0.26,3.1138,303053.83,259211.345
000728.SZ,20191212,8.43,8.44,8.33,8.35,8.45,-0.1,-1.1834,56692.53,47520.99
000728.SZ,20191211,8.42,8.51,8.38,8.45,8.41,0.04,0.4756,74651.43,63011.205
000728.SZ,20191210,8.4,8.44,8.37,8.41,8.42,-0.01,-0.1188,44488.71,37367.75
000728.SZ,20191209,8.41,8.44,8.38,8.42,8.44,-0.02,-0.237,51192.46,43034.372
000728.SZ,20191206,8.45,8.47,8.37,8.44,8.5,-0.06,-0.7059,82602.26,69484.902
000728.SZ,20191205,8.43,8.52,8.42,8.5,8.43,0.07,0.8304,91874.8,77875.427
000728.SZ,20191204,8.37,8.44,8.35,8.43,8.39,0.04,0.4768,63976.29,53836.032
000728.SZ,20191203,8.3,8.4,8.27,8.39,8.36,0.03,0.3589,59722.83,49854.532
000728.SZ,20191202,8.42,8.49,8.35,8.36,8.36,0.0,0.0,75645.65,63682.11
000728.SZ,20191129,8.26,8.39,8.26,8.36,8.31,0.05,0.6017,53929.07,44959.702
000728.SZ,20191128,8.29,8.32,8.25,8.31,8.28,0.03,0.3623,38604.52,32007.788
000728.SZ,20191127,8.35,8.38,8.26,8.28,8.43,-0.15,-1.7794,68805.65,57282.545
000728.SZ,20191126,8.3,8.43,8.25,8.43,8.28,0.15,1.8116,104648.75,87338.247
000728.SZ,20191125,8.22,8.3,8.19,8.28,8.23,0.05,0.6075,63221.32,52166.874
000728.SZ,20191122,8.19,8.3,8.18,8.23,8.22,0.01,0.1217,59376.19,48870.184
000728.SZ,20191121,8.15,8.23,8.14,8.22,8.19,0.03,0.3663,52118.61,42766.321
000728.SZ,20191120,8.25,8.28,8.18,8.19,8.27,-0.08,-0.9674,48840.12,40154.592
000728.SZ,20191119,8.19,8.28,8.15,8.27,8.21,0.06,0.7308,57812.34,47639.355
000728.SZ,20191118,8.09,8.22,8.05,8.21,8.09,0.12,1.4833,62689.22,51194.081
000728.SZ,20191115,8.23,8.23,8.08,8.09,8.21,-0.12,-1.4616,62866.8,51196.112
000728.SZ,20191114,8.2,8.26,8.19,8.21,8.21,0.0,0.0,57935.43,47632.152
000728.SZ,20191113,8.32,8.32,8.17,8.21,8.27,-0.06,-0.7255,57869.56,47603.896
000728.SZ,20191112,8.27,8.31,8.22,8.27,8.26,0.01,0.1211,58197.73,48124.28
000728.SZ,20191111,8.46,8.49,8.29,8.36,8.47,-0.11,-1.2987,100865.27,84582.258
000728.SZ,20191108,8.54,8.59,8.45,8.47,8.5,-0.03,-0.3529,75222.51,64113.597
000728.SZ,20191107,8.46,8.55,8.42,8.5,8.48,0.02,0.2358,65244.02,55428.427
000728.SZ,20191106,8.58,8.62,8.42,8.48,8.58,-0.1,-1.1655,77958.82,66528.108
000728.SZ,20191105,8.54,8.67,8.51,8.58,8.52,0.06,0.7042,144953.45,124740.442
000728.SZ,20191104,8.51,8.58,8.49,8.52,8.53,-0.01,-0.1172,83939.73,71612.159
000728.SZ,20191101,8.45,8.54,8.41,8.53,8.45,0.08,0.9467,67937.0,57728.93
000728.SZ,20191031,8.44,8.48,8.38,8.45,8.39,0.06,0.7151,63800.92,53767.362
000728.SZ,20191030,8.48,8.52,8.38,8.39,8.48,-0.09,-1.0613,68704.1,57876.249
000728.SZ,20191029,8.59,8.62,8.48,8.48,8.62,-0.14,-1.6241,77508.81,66174.613
000728.SZ,20191028,8.51,8.68,8.51,8.62,8.53,0.09,1.0551,92965.88,79892.655
000728.SZ,20191025,8.46,8.56,8.39,8.53,8.45,0.08,0.9467,95676.87,81393.547
000728.SZ,20191024,8.4,8.52,8.39,8.45,8.43,0.02,0.2372,50558.96,42768.193
000728.SZ,20191023,8.41,8.46,8.39,8.43,8.41,0.02,0.2378,62421.89,52586.542
000728.SZ,20191022,8.37,8.43,8.35,8.41,8.35,0.06,0.7186,58535.19,49118.49
000728.SZ,20191021,8.37,8.37,8.26,8.35,8.38,-0.03,-0.358,63938.19,53225.399
000728.SZ,20191018,8.56,8.58,8.38,8.38,8.53,-0.15,-1.7585,98561.0,83321.67
000728.SZ,20191017,8.56,8.61,8.51,8.53,8.58,-0.05,-0.5828,64221.4,54904.095
000728.SZ,20191016,8.62,8.71,8.56,8.58,8.6,-0.02,-0.2326,90589.22,78108.206
000728.SZ,20191015,8.7,8.72,8.6,8.6,8.79,-0.19,-2.1615,137408.05,118742.687
000728.SZ,20191014,8.76,8.92,8.76,8.79,8.68,0.11,1.2673,170153.91,150368.067
000728.SZ,20191011,8.64,8.78,8.53,8.68,8.59,0.09,1.0477,117811.68,102159.73
000728.SZ,20191010,8.56,8.62,8.53,8.59,8.56,0.03,0.3505,70678.68,60667.089
000728.SZ,20191009,8.45,8.56,8.41,8.56,8.51,0.05,0.5875,67388.35,57247.503
000728.SZ,20191008,8.57,8.59,8.49,8.51,8.54,-0.03,-0.3513,71676.46,61161.59
000728.SZ,20190930,8.68,8.7,8.54,8.54,8.68,-0.14,-1.6129,83916.99,72455.285
000728.SZ,20190927,8.66,8.75,8.65,8.68,8.66,0.02,0.2309,83814.28,72807.466
000728.SZ,20190926,8.79,8.84,8.63,8.66,8.75,-0.09,-1.0286,113519.16,99229.875
000728.SZ,20190925,8.79,8.85,8.73,8.75,8.83,-0.08,-0.906,96156.27,84441.105
000728.SZ,20190924,8.85,8.93,8.78,8.83,8.83,0.0,0.0,104447.03,92437.092
000728.SZ,20190923,8.94,8.94,8.76,8.83,8.99,-0.16,-1.7798,144243.47,127361.036
000728.SZ,20190920,8.96,8.99,8.87,8.99,8.96,0.03,0.3348,140645.74,125625.03
000728.SZ,20190919,8.93,8.98,8.88,8.96,8.89,0.07,0.7874,106790.56,95379.841
000728.SZ,20190918,9.04,9.05,8.87,8.89,8.98,-0.09,-1.0022,136132.46,121750.75
000728.SZ,20190917,9.17,9.21,8.93,8.98,9.19,-0.21,-2.2851,193269.24,175101.838
000728.SZ,20190916,9.3,9.33,9.12,9.19,9.27,-0.08,-0.863,183015.35,169111.004
000728.SZ,20190912,9.2,9.3,9.13,9.27,9.16,0.11,1.2009,220446.79,203479.39
000728.SZ,20190911,9.21,9.3,9.13,9.16,9.14,0.02,0.2188,303891.07,279857.5
000728.SZ,20190910,9.11,9.22,9.02,9.14,9.14,0.0,0.0,272289.66,248329.492
000728.SZ,20190909,9.2,9.25,9.08,9.14,9.02,0.12,1.3304,282822.91,258845.538
000728.SZ,20190906,8.99,9.04,8.92,9.02,8.94,0.08,0.8949,209298.41,187979.197
000728.SZ,20190905,8.89,9.26,8.88,8.94,8.77,0.17,1.9384,515983.56,466897.204
000728.SZ,20190904,8.62,8.85,8.57,8.77,8.62,0.15,1.7401,216613.11,188994.911
000728.SZ,20190903,8.61,8.64,8.54,8.62,8.6,0.02,0.2326,98237.99,84415.641
000728.SZ,20190902,8.49,8.67,8.46,8.6,8.48,0.12,1.4151,149399.43,128489.518
000728.SZ,20190830,8.6,8.67,8.42,8.48,8.53,-0.05,-0.5862,115036.53,98324.11
000728.SZ,20190829,8.61,8.67,8.52,8.53,8.6,-0.07,-0.814,93602.89,80270.17
000728.SZ,20190828,8.68,8.69,8.57,8.6,8.68,-0.08,-0.9217,89175.46,76767.757
000728.SZ,20190827,8.58,8.88,8.58,8.68,8.55,0.13,1.5205,169157.06,147768.344
000728.SZ,20190826,8.6,8.65,8.52,8.55,8.76,-0.21,-2.3973,143102.55,122852.954
