ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002749.SZ,20200110,12.27,12.41,12.18,12.23,12.23,0.0,0.0,13812.55,16987.529
002749.SZ,20200109,12.19,12.33,12.08,12.23,12.06,0.17,1.4096,15789.41,19253.342
002749.SZ,20200108,12.5,12.5,12.02,12.06,12.55,-0.49,-3.9044,25859.66,31620.767
002749.SZ,20200107,12.59,12.67,12.41,12.55,12.6,-0.05,-0.3968,20918.37,26148.098
002749.SZ,20200106,12.65,12.8,12.43,12.6,12.83,-0.23,-1.7927,32572.46,41046.183
002749.SZ,20200103,12.29,12.87,12.23,12.83,12.41,0.42,3.3844,46577.85,58699.66
002749.SZ,20200102,12.33,12.43,12.05,12.41,12.34,0.07,0.5673,32071.14,39254.14
002749.SZ,20191231,12.63,12.63,12.27,12.34,12.78,-0.44,-3.4429,30100.19,37312.571
002749.SZ,20191230,12.3,13.3,12.21,12.78,12.8,-0.02,-0.1563,59862.38,75137.647
002749.SZ,20191227,12.27,12.8,11.81,12.8,12.28,0.52,4.2345,36744.43,44485.359
002749.SZ,20191226,11.6,12.28,11.52,12.28,11.65,0.63,5.4077,26049.83,31077.606
002749.SZ,20191225,11.41,11.68,11.39,11.65,11.41,0.24,2.1034,13891.43,16002.885
002749.SZ,20191224,11.2,11.49,11.15,11.41,11.17,0.24,2.1486,13574.48,15432.369
002749.SZ,20191223,11.21,11.25,11.09,11.17,11.21,-0.04,-0.3568,10062.27,11239.714
002749.SZ,20191220,11.28,11.35,11.13,11.21,11.25,-0.04,-0.3556,8863.42,9933.2
002749.SZ,20191219,11.32,11.34,11.2,11.25,11.3,-0.05,-0.4425,6240.62,7022.46
002749.SZ,20191218,11.31,11.5,11.25,11.3,11.32,-0.02,-0.1767,10727.04,12169.561
002749.SZ,20191217,11.18,11.33,11.12,11.32,11.18,0.14,1.2522,13533.46,15197.934
002749.SZ,20191216,11.25,11.27,11.01,11.18,11.24,-0.06,-0.5338,14887.29,16527.548
002749.SZ,20191213,11.3,11.33,11.2,11.24,11.2,0.04,0.3571,5676.82,6380.039
002749.SZ,20191212,11.2,11.35,11.19,11.2,11.19,0.01,0.0894,6325.25,7115.394
002749.SZ,20191211,11.22,11.32,11.17,11.19,11.33,-0.14,-1.2357,4743.93,5324.172
002749.SZ,20191210,11.24,11.35,11.07,11.33,11.25,0.08,0.7111,10119.53,11354.511
002749.SZ,20191209,10.94,11.31,10.9,11.25,10.96,0.29,2.646,14615.21,16328.441
002749.SZ,20191206,10.88,11.17,10.86,10.96,10.93,0.03,0.2745,9849.79,10844.134
002749.SZ,20191205,10.89,10.95,10.83,10.93,10.83,0.1,0.9234,5392.5,5879.936
002749.SZ,20191204,10.85,10.85,10.71,10.83,10.8,0.03,0.2778,4597.14,4957.258
002749.SZ,20191203,10.86,10.88,10.7,10.8,10.86,-0.06,-0.5525,5642.15,6084.052
002749.SZ,20191202,10.79,10.97,10.71,10.86,10.79,0.07,0.6487,8241.95,8970.852
002749.SZ,20191129,10.75,10.99,10.65,10.79,10.76,0.03,0.2788,7543.96,8172.588
002749.SZ,20191128,10.55,10.82,10.51,10.76,10.6,0.16,1.5094,8037.89,8620.558
002749.SZ,20191127,10.45,10.75,10.45,10.6,10.43,0.17,1.6299,8051.36,8572.671
002749.SZ,20191126,10.64,10.69,10.4,10.43,10.54,-0.11,-1.0436,9069.55,9514.034
002749.SZ,20191125,10.56,10.75,10.46,10.54,10.56,-0.02,-0.1894,8627.31,9148.432
002749.SZ,20191122,10.68,10.83,10.45,10.56,10.69,-0.13,-1.2161,6817.44,7274.707
002749.SZ,20191121,10.7,10.78,10.63,10.69,10.73,-0.04,-0.3728,5593.1,5981.961
002749.SZ,20191120,11.01,11.03,10.72,10.73,11.0,-0.27,-2.4545,7825.03,8490.944
002749.SZ,20191119,10.91,11.04,10.86,11.0,11.04,-0.04,-0.3623,7204.68,7891.575
002749.SZ,20191118,10.7,11.07,10.7,11.04,10.73,0.31,2.8891,6808.0,7439.417
002749.SZ,20191115,10.94,10.96,10.71,10.73,10.92,-0.19,-1.7399,4226.19,4575.06
002749.SZ,20191114,10.78,10.95,10.76,10.92,10.78,0.14,1.2987,5421.92,5902.485
002749.SZ,20191113,11.06,11.18,10.68,10.78,11.05,-0.27,-2.4434,11467.97,12432.025
002749.SZ,20191112,11.26,11.37,11.02,11.05,11.26,-0.21,-1.865,12701.89,14094.994
002749.SZ,20191111,11.85,11.87,11.16,11.26,11.89,-0.63,-5.2986,22959.13,26329.963
002749.SZ,20191108,11.6,12.05,11.6,11.89,11.59,0.3,2.5884,20322.64,24139.459
002749.SZ,20191107,11.77,11.77,11.57,11.59,11.63,-0.04,-0.3439,7093.6,8257.716
002749.SZ,20191106,11.58,11.82,11.54,11.63,11.64,-0.01,-0.0859,7623.4,8909.632
002749.SZ,20191105,11.7,11.76,11.53,11.64,11.64,0.0,0.0,6971.39,8128.967
002749.SZ,20191104,11.61,11.71,11.52,11.64,11.52,0.12,1.0417,9048.82,10513.493
002749.SZ,20191101,11.35,11.6,11.2,11.52,11.33,0.19,1.677,9392.04,10739.551
002749.SZ,20191031,11.6,11.7,11.28,11.33,11.51,-0.18,-1.5639,9554.54,10946.702
002749.SZ,20191030,11.67,11.83,11.49,11.51,11.67,-0.16,-1.371,9627.98,11193.806
