ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600898.SH,20200110,7.95,7.95,7.68,7.77,8.07,-0.3,-3.7175,118270.32,92237.504
600898.SH,20200109,7.67,8.35,7.66,8.07,7.59,0.48,6.3241,188682.72,155048.984
600898.SH,20200108,7.76,7.79,7.52,7.59,7.82,-0.23,-2.9412,36939.08,28277.921
600898.SH,20200107,7.77,7.82,7.71,7.82,7.78,0.04,0.5141,23972.08,18670.608
600898.SH,20200106,7.79,7.89,7.67,7.78,7.91,-0.13,-1.6435,52142.85,40543.339
600898.SH,20200103,7.92,8.03,7.9,7.91,7.96,-0.05,-0.6281,22604.0,17934.331
600898.SH,20200102,7.98,8.03,7.88,7.96,7.86,0.1,1.2723,36092.18,28771.298
600898.SH,20191231,7.94,7.99,7.76,7.86,7.96,-0.1,-1.2563,33544.58,26453.044
600898.SH,20191230,8.0,8.08,7.87,7.96,8.05,-0.09,-1.118,31004.07,24756.894
600898.SH,20191227,8.08,8.16,7.89,8.05,8.0,0.05,0.625,66634.86,53735.353
600898.SH,20191226,7.85,8.2,7.85,8.0,7.82,0.18,2.3018,68049.03,54770.452
600898.SH,20191225,7.6,8.17,7.59,7.82,7.6,0.22,2.8947,78155.43,61598.24
600898.SH,20191224,7.29,7.65,7.29,7.6,7.35,0.25,3.4014,47193.36,35547.459
600898.SH,20191223,7.56,7.56,7.23,7.35,7.51,-0.16,-2.1305,30099.98,22294.958
600898.SH,20191220,7.51,7.53,7.45,7.51,7.51,0.0,0.0,19528.44,14642.811
600898.SH,20191219,7.55,7.55,7.46,7.51,7.52,-0.01,-0.133,27888.01,20894.248
600898.SH,20191218,7.58,7.6,7.5,7.52,7.58,-0.06,-0.7916,31883.05,24048.969
600898.SH,20191217,7.56,7.64,7.5,7.58,7.55,0.03,0.3974,31180.99,23698.504
600898.SH,20191216,7.53,7.6,7.47,7.55,7.52,0.03,0.3989,31422.3,23674.443
600898.SH,20191213,7.49,7.56,7.46,7.52,7.49,0.03,0.4005,18222.56,13669.804
600898.SH,20191212,7.47,7.68,7.45,7.49,7.48,0.01,0.1337,14051.0,10599.14
600898.SH,20191211,7.56,7.58,7.47,7.48,7.56,-0.08,-1.0582,16387.0,12346.079
600898.SH,20191210,7.53,7.59,7.43,7.56,7.51,0.05,0.6658,16499.58,12382.891
600898.SH,20191209,7.54,7.63,7.43,7.51,7.54,-0.03,-0.3979,19297.41,14516.516
