ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600511.SH,20200110,29.99,30.6,29.45,29.76,29.93,-0.17,-0.568,48522.38,145225.708
600511.SH,20200109,29.87,30.18,29.51,29.93,29.87,0.06,0.2009,47010.13,140295.852
600511.SH,20200108,29.47,30.15,28.83,29.87,29.66,0.21,0.708,57762.5,171187.313
600511.SH,20200107,29.6,30.2,29.15,29.66,29.8,-0.14,-0.4698,64044.78,189333.508
600511.SH,20200106,28.71,30.5,28.55,29.8,28.82,0.98,3.4004,114336.03,340626.578
600511.SH,20200103,28.49,30.5,28.42,28.82,28.54,0.28,0.9811,108933.5,319803.559
600511.SH,20200102,27.33,29.05,26.88,28.54,27.29,1.25,4.5804,95522.75,267384.933
600511.SH,20191231,26.88,27.32,26.54,27.29,26.88,0.41,1.5253,73003.09,197271.374
600511.SH,20191230,26.4,26.9,26.1,26.88,26.38,0.5,1.8954,55391.07,147265.603
600511.SH,20191227,26.54,26.59,26.26,26.38,26.53,-0.15,-0.5654,40776.98,107714.031
600511.SH,20191226,26.58,26.92,26.25,26.53,26.6,-0.07,-0.2632,34356.86,91111.89
600511.SH,20191225,26.37,26.6,26.13,26.6,26.36,0.24,0.9105,38522.97,101483.412
600511.SH,20191224,26.0,26.44,25.9,26.36,26.18,0.18,0.6875,37540.1,98336.325
600511.SH,20191223,26.39,26.46,26.01,26.18,26.5,-0.32,-1.2075,55465.55,145204.303
600511.SH,20191220,26.27,26.86,26.03,26.5,26.4,0.1,0.3788,46829.85,123901.978
600511.SH,20191219,26.36,26.68,26.17,26.4,26.29,0.11,0.4184,51064.39,134992.204
600511.SH,20191218,27.09,27.09,26.15,26.29,26.89,-0.6,-2.2313,66211.14,175601.206
600511.SH,20191217,26.62,27.16,26.38,26.89,26.61,0.28,1.0522,80058.62,213975.232
600511.SH,20191216,24.4,26.61,24.4,26.61,24.19,2.42,10.0041,118828.32,305199.161
600511.SH,20191213,24.1,24.19,23.99,24.19,23.94,0.25,1.0443,26528.95,63922.472
600511.SH,20191212,24.24,24.24,23.91,23.94,24.23,-0.29,-1.1969,20003.14,47994.572
600511.SH,20191211,24.25,24.25,23.96,24.23,24.28,-0.05,-0.2059,19106.58,46089.848
600511.SH,20191210,23.9,24.3,23.84,24.28,23.92,0.36,1.505,31015.09,74873.763
600511.SH,20191209,24.39,24.46,23.84,23.92,24.39,-0.47,-1.927,41302.71,99129.165
600511.SH,20191206,24.6,24.64,24.22,24.39,24.6,-0.21,-0.8537,26478.2,64446.714
600511.SH,20191205,24.46,24.85,24.46,24.6,24.51,0.09,0.3672,25036.07,61610.691
600511.SH,20191204,24.43,24.61,24.26,24.51,24.74,-0.23,-0.9297,23797.92,58070.716
600511.SH,20191203,24.18,24.79,23.5,24.74,24.17,0.57,2.3583,57510.02,139182.513
600511.SH,20191202,24.3,24.48,24.12,24.17,24.43,-0.26,-1.0643,26568.51,64448.129
600511.SH,20191129,24.62,24.65,24.2,24.43,24.5,-0.07,-0.2857,20205.95,49293.12
600511.SH,20191128,24.7,24.84,24.42,24.5,24.69,-0.19,-0.7695,30760.6,75715.374
600511.SH,20191127,24.72,24.93,24.59,24.69,24.47,0.22,0.8991,32411.25,80253.161
600511.SH,20191126,25.17,25.26,24.47,24.47,25.18,-0.71,-2.8197,65260.34,161642.724
600511.SH,20191125,25.18,25.25,24.86,25.18,25.1,0.08,0.3187,27665.48,69348.417
600511.SH,20191122,25.4,25.6,24.93,25.1,25.43,-0.33,-1.2977,33683.57,85062.715
600511.SH,20191121,25.52,25.52,25.16,25.43,25.32,0.11,0.4344,20915.88,53085.494
600511.SH,20191120,25.53,25.8,25.31,25.32,25.52,-0.2,-0.7837,30243.26,77313.253
600511.SH,20191119,25.21,25.55,25.16,25.52,25.4,0.12,0.4724,21233.13,54046.84
600511.SH,20191118,25.01,25.44,25.01,25.4,25.26,0.14,0.5542,20744.45,52411.701
600511.SH,20191115,25.18,25.55,25.16,25.26,25.18,0.08,0.3177,32764.98,83186.254
600511.SH,20191114,25.37,25.55,25.03,25.18,25.24,-0.06,-0.2377,31545.63,79747.386
600511.SH,20191113,25.23,25.43,24.88,25.24,25.15,0.09,0.3579,28280.28,71257.218
600511.SH,20191112,25.18,25.29,24.9,25.15,25.18,-0.03,-0.1191,28446.4,71225.069
