ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000516.SZ,20200110,5.05,5.17,5.01,5.12,5.05,0.07,1.3861,231883.94,118158.831
000516.SZ,20200109,4.87,5.12,4.85,5.05,4.85,0.2,4.1237,321054.19,161611.693
000516.SZ,20200108,4.89,4.91,4.8,4.85,4.91,-0.06,-1.222,135621.63,65776.325
000516.SZ,20200107,4.87,4.92,4.85,4.91,4.88,0.03,0.6148,98986.47,48457.428
000516.SZ,20200106,4.86,4.93,4.81,4.88,4.84,0.04,0.8264,147133.75,71947.269
000516.SZ,20200103,4.88,4.94,4.81,4.84,4.86,-0.02,-0.4115,114910.28,55786.427
000516.SZ,20200102,4.87,4.91,4.82,4.86,4.85,0.01,0.2062,185171.09,90077.972
000516.SZ,20191231,4.65,4.91,4.65,4.85,4.65,0.2,4.3011,301950.85,145679.211
000516.SZ,20191230,4.54,4.69,4.52,4.65,4.55,0.1,2.1978,164989.22,76398.355
000516.SZ,20191227,4.54,4.59,4.52,4.55,4.54,0.01,0.2203,87140.44,39748.599
000516.SZ,20191226,4.54,4.56,4.5,4.54,4.53,0.01,0.2208,73362.09,33241.097
000516.SZ,20191225,4.54,4.57,4.51,4.53,4.55,-0.02,-0.4396,58521.65,26552.704
000516.SZ,20191224,4.53,4.56,4.53,4.55,4.52,0.03,0.6637,56951.5,25869.978
000516.SZ,20191223,4.65,4.65,4.51,4.52,4.63,-0.11,-2.3758,83796.57,38397.152
000516.SZ,20191220,4.73,4.73,4.61,4.63,4.72,-0.09,-1.9068,100934.44,47126.0
000516.SZ,20191219,4.71,4.74,4.7,4.72,4.71,0.01,0.2123,59229.38,27937.463
000516.SZ,20191218,4.78,4.78,4.7,4.71,4.76,-0.05,-1.0504,100513.0,47597.63
000516.SZ,20191217,4.65,4.79,4.62,4.76,4.65,0.11,2.3656,190309.07,90124.686
000516.SZ,20191216,4.47,4.67,4.46,4.65,4.47,0.18,4.0268,166630.01,76608.282
000516.SZ,20191213,4.45,4.48,4.41,4.47,4.41,0.06,1.3605,89665.81,39854.853
000516.SZ,20191212,4.52,4.52,4.4,4.41,4.52,-0.11,-2.4336,115694.38,51655.453
000516.SZ,20191211,4.53,4.55,4.51,4.52,4.53,-0.01,-0.2208,41557.88,18840.535
000516.SZ,20191210,4.53,4.55,4.5,4.53,4.53,0.0,0.0,43415.13,19627.617
000516.SZ,20191209,4.57,4.57,4.52,4.53,4.55,-0.02,-0.4396,44858.0,20344.84
000516.SZ,20191206,4.54,4.58,4.53,4.55,4.54,0.01,0.2203,38774.0,17669.718
000516.SZ,20191205,4.5,4.55,4.5,4.54,4.49,0.05,1.1136,49316.75,22317.613
000516.SZ,20191204,4.49,4.51,4.48,4.49,4.5,-0.01,-0.2222,40449.13,18173.399
000516.SZ,20191203,4.52,4.52,4.47,4.5,4.52,-0.02,-0.4425,59239.82,26596.935
000516.SZ,20191202,4.57,4.58,4.51,4.52,4.57,-0.05,-1.0941,53549.5,24305.796
000516.SZ,20191129,4.58,4.59,4.51,4.57,4.58,-0.01,-0.2183,53649.18,24397.808
000516.SZ,20191128,4.58,4.62,4.57,4.58,4.59,-0.01,-0.2179,43725.5,20064.799
000516.SZ,20191127,4.61,4.63,4.59,4.59,4.61,-0.02,-0.4338,34887.5,16077.784
000516.SZ,20191126,4.65,4.66,4.61,4.61,4.65,-0.04,-0.8602,41124.5,19013.352
000516.SZ,20191125,4.62,4.66,4.6,4.65,4.63,0.02,0.432,45116.92,20894.861
000516.SZ,20191122,4.63,4.68,4.61,4.63,4.63,0.0,0.0,44094.35,20473.843
000516.SZ,20191121,4.65,4.68,4.61,4.63,4.64,-0.01,-0.2155,43400.85,20127.833
000516.SZ,20191120,4.68,4.68,4.64,4.64,4.68,-0.04,-0.8547,40402.0,18823.368
000516.SZ,20191119,4.64,4.68,4.62,4.68,4.63,0.05,1.0799,59683.5,27806.422
000516.SZ,20191118,4.63,4.64,4.6,4.63,4.63,0.0,0.0,42237.07,19539.837
000516.SZ,20191115,4.64,4.67,4.63,4.63,4.64,-0.01,-0.2155,35928.78,16680.803
000516.SZ,20191114,4.66,4.68,4.63,4.64,4.66,-0.02,-0.4292,51318.01,23859.535
000516.SZ,20191113,4.68,4.69,4.65,4.66,4.67,-0.01,-0.2141,36572.95,17047.119
000516.SZ,20191112,4.68,4.7,4.63,4.67,4.67,0.0,0.0,55002.34,25626.866
000516.SZ,20191111,4.77,4.77,4.65,4.67,4.78,-0.11,-2.3013,112853.0,53134.838
000516.SZ,20191108,4.83,4.84,4.78,4.78,4.81,-0.03,-0.6237,54806.2,26335.586
000516.SZ,20191107,4.82,4.85,4.8,4.81,4.81,0.0,0.0,49342.0,23785.865
000516.SZ,20191106,4.9,4.9,4.8,4.81,4.91,-0.1,-2.0367,89685.19,43413.045
000516.SZ,20191105,4.85,4.91,4.84,4.91,4.87,0.04,0.8214,88815.57,43327.603
000516.SZ,20191104,4.81,4.89,4.8,4.87,4.81,0.06,1.2474,99453.96,48148.018
000516.SZ,20191101,4.83,4.83,4.78,4.81,4.83,-0.02,-0.4141,61903.01,29736.909
000516.SZ,20191031,4.89,4.9,4.78,4.83,4.9,-0.07,-1.4286,108391.84,52379.287
000516.SZ,20191030,4.81,4.99,4.75,4.9,4.8,0.1,2.0833,164745.5,79940.36
