ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600648.SH,20200110,17.47,17.56,17.41,17.52,17.48,0.04,0.2288,22582.88,39503.489
600648.SH,20200109,17.45,17.51,17.37,17.48,17.35,0.13,0.7493,19408.05,33857.909
600648.SH,20200108,17.64,17.65,17.3,17.35,17.73,-0.38,-2.1433,37905.27,66232.478
600648.SH,20200107,17.51,17.74,17.48,17.73,17.55,0.18,1.0256,45280.31,79704.016
600648.SH,20200106,17.58,17.58,17.42,17.55,17.64,-0.09,-0.5102,36352.78,63634.315
600648.SH,20200103,17.56,17.8,17.46,17.64,17.58,0.06,0.3413,35928.52,63158.859
600648.SH,20200102,17.46,17.58,17.42,17.58,17.37,0.21,1.209,33126.02,58055.813
600648.SH,20191231,17.38,17.45,17.24,17.37,17.34,0.03,0.173,23582.23,40895.362
600648.SH,20191230,17.27,17.44,17.08,17.34,17.27,0.07,0.4053,26744.55,46264.787
600648.SH,20191227,17.3,17.37,17.25,17.27,17.36,-0.09,-0.5184,29609.15,51212.488
600648.SH,20191226,17.3,17.53,17.26,17.36,17.3,0.06,0.3468,22390.8,38810.397
600648.SH,20191225,17.29,17.35,17.24,17.3,17.38,-0.08,-0.4603,19673.5,34018.537
600648.SH,20191224,17.49,17.5,17.26,17.38,17.48,-0.1,-0.5721,29684.33,51444.648
600648.SH,20191223,17.56,17.8,17.35,17.48,17.63,-0.15,-0.8508,52476.76,92065.065
600648.SH,20191220,17.64,17.77,17.46,17.63,17.63,0.0,0.0,41583.88,73124.602
600648.SH,20191219,17.52,17.97,17.5,17.63,17.35,0.28,1.6138,44800.73,79197.58
600648.SH,20191218,17.35,17.42,17.27,17.35,17.45,-0.1,-0.5731,22787.07,39487.136
600648.SH,20191217,17.12,17.48,17.05,17.45,17.12,0.33,1.9276,45641.66,78965.96
600648.SH,20191216,17.08,17.16,16.92,17.12,17.12,0.0,0.0,31275.73,53289.897
600648.SH,20191213,17.03,17.13,16.94,17.12,16.89,0.23,1.3618,32969.86,56078.5
600648.SH,20191212,16.9,16.95,16.84,16.89,16.97,-0.08,-0.4714,15314.07,25867.298
600648.SH,20191211,17.09,17.09,16.82,16.97,16.95,0.02,0.118,16804.46,28434.03
600648.SH,20191210,16.94,16.95,16.79,16.95,16.92,0.03,0.1773,13919.2,23478.882
600648.SH,20191209,16.88,17.0,16.84,16.92,16.94,-0.02,-0.1181,14190.66,23974.804
600648.SH,20191206,16.85,16.97,16.75,16.94,16.86,0.08,0.4745,15497.5,26097.57
600648.SH,20191205,16.8,16.86,16.67,16.86,16.78,0.08,0.4768,18264.0,30659.74
600648.SH,20191204,16.67,16.78,16.6,16.78,16.75,0.03,0.1791,14193.28,23721.156
600648.SH,20191203,16.6,16.75,16.51,16.75,16.63,0.12,0.7216,15122.05,25175.437
600648.SH,20191202,16.51,16.79,16.51,16.63,16.55,0.08,0.4834,14955.39,24871.388
600648.SH,20191129,16.4,16.65,16.27,16.55,16.43,0.12,0.7304,26882.2,44239.731
600648.SH,20191128,16.72,16.74,16.15,16.43,16.7,-0.27,-1.6168,46572.48,76256.053
600648.SH,20191127,17.25,17.25,16.7,16.7,17.0,-0.3,-1.7647,40779.85,68943.821
600648.SH,20191126,17.49,17.54,17.0,17.0,17.46,-0.46,-2.6346,42131.37,72564.441
600648.SH,20191125,17.46,17.46,17.28,17.46,17.42,0.04,0.2296,17532.94,30484.955
600648.SH,20191122,17.46,17.72,17.3,17.42,17.43,-0.01,-0.0574,34581.34,60475.739
600648.SH,20191121,17.56,17.59,17.27,17.43,17.63,-0.2,-1.1344,27494.08,47817.955
600648.SH,20191120,17.75,17.75,17.63,17.63,17.76,-0.13,-0.732,10283.0,18187.433
600648.SH,20191119,17.65,17.76,17.54,17.76,17.68,0.08,0.4525,14481.3,25607.923
