ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002385.SZ,20200110,7.4,7.51,6.75,6.79,7.43,-0.64,-8.6137,5510817.96,3893778.544
002385.SZ,20200109,7.8,7.95,7.23,7.43,8.02,-0.59,-7.3566,8004779.25,6109623.509
002385.SZ,20200108,8.02,8.02,8.02,8.02,7.29,0.73,10.0137,2176805.32,1745797.866
002385.SZ,20200107,7.29,7.29,7.29,7.29,6.63,0.66,9.9548,91526.88,66723.095
002385.SZ,20200106,6.63,6.63,6.63,6.63,6.03,0.6,9.9502,124423.62,82492.86
002385.SZ,20200103,6.03,6.03,6.03,6.03,5.48,0.55,10.0365,246527.21,148655.907
002385.SZ,20200102,5.48,5.48,5.48,5.48,4.98,0.5,10.0402,566075.12,310209.165
002385.SZ,20191231,4.98,4.98,4.98,4.98,4.53,0.45,9.9338,573208.17,285457.668
002385.SZ,20191230,4.1,4.53,4.02,4.53,4.12,0.41,9.9515,1314582.05,567169.254
002385.SZ,20191227,4.08,4.15,4.05,4.12,4.07,0.05,1.2285,509072.39,208684.652
002385.SZ,20191226,4.06,4.11,4.05,4.07,4.08,-0.01,-0.2451,216238.33,88110.413
002385.SZ,20191225,4.12,4.12,4.06,4.08,4.12,-0.04,-0.9709,246503.58,100645.178
002385.SZ,20191224,4.13,4.17,4.11,4.12,4.11,0.01,0.2433,235359.04,97050.811
002385.SZ,20191223,4.23,4.29,4.17,4.17,4.27,-0.1,-2.3419,445880.5,188809.909
002385.SZ,20191220,4.2,4.29,4.19,4.27,4.2,0.07,1.6667,480305.89,204371.248
002385.SZ,20191219,4.2,4.22,4.17,4.2,4.19,0.01,0.2387,266378.87,111694.261
002385.SZ,20191218,4.21,4.26,4.18,4.19,4.22,-0.03,-0.7109,372395.72,156843.329
002385.SZ,20191217,4.07,4.24,4.05,4.22,4.07,0.15,3.6855,634935.19,264448.8
002385.SZ,20191216,4.05,4.07,4.02,4.07,4.05,0.02,0.4938,393806.24,159417.376
002385.SZ,20191213,4.06,4.07,3.99,4.05,4.05,0.0,0.0,387698.95,155821.598
002385.SZ,20191212,4.08,4.1,4.02,4.05,4.08,-0.03,-0.7353,276256.67,112061.827
002385.SZ,20191211,4.19,4.19,4.06,4.08,4.18,-0.1,-2.3923,379049.44,155200.086
002385.SZ,20191210,4.26,4.26,4.15,4.18,4.26,-0.08,-1.8779,324942.51,136002.741
002385.SZ,20191209,4.3,4.31,4.25,4.26,4.29,-0.03,-0.6993,208167.08,88822.357
002385.SZ,20191206,4.28,4.31,4.26,4.29,4.29,0.0,0.0,141979.93,60767.203
002385.SZ,20191205,4.3,4.3,4.25,4.29,4.29,0.0,0.0,154461.8,65954.192
002385.SZ,20191204,4.3,4.32,4.26,4.29,4.32,-0.03,-0.6944,134962.82,57836.229
002385.SZ,20191203,4.35,4.37,4.23,4.32,4.36,-0.04,-0.9174,173690.97,74739.067
002385.SZ,20191202,4.37,4.42,4.34,4.36,4.34,0.02,0.4608,148778.46,65081.817
002385.SZ,20191129,4.33,4.36,4.3,4.34,4.35,-0.01,-0.2299,150665.73,65170.263
002385.SZ,20191128,4.31,4.41,4.3,4.35,4.32,0.03,0.6944,251303.34,109615.285
002385.SZ,20191127,4.32,4.39,4.31,4.32,4.34,-0.02,-0.4608,208964.36,90819.393
002385.SZ,20191126,4.27,4.36,4.26,4.34,4.27,0.07,1.6393,235382.56,101404.962
002385.SZ,20191125,4.32,4.36,4.25,4.27,4.29,-0.02,-0.4662,177188.64,75850.002
002385.SZ,20191122,4.2,4.4,4.2,4.29,4.21,0.08,1.9002,341739.74,146828.655
002385.SZ,20191121,4.25,4.26,4.18,4.21,4.27,-0.06,-1.4052,214248.7,90273.341
002385.SZ,20191120,4.31,4.32,4.25,4.27,4.33,-0.06,-1.3857,209846.84,89814.764
002385.SZ,20191119,4.33,4.38,4.3,4.33,4.32,0.01,0.2315,203957.78,88257.177
002385.SZ,20191118,4.25,4.34,4.18,4.32,4.31,0.01,0.232,227557.57,97703.945
002385.SZ,20191115,4.4,4.41,4.27,4.31,4.41,-0.1,-2.2676,288043.3,124404.418
002385.SZ,20191114,4.44,4.45,4.37,4.41,4.43,-0.02,-0.4515,225513.9,99393.815
002385.SZ,20191113,4.52,4.53,4.41,4.43,4.53,-0.1,-2.2075,289083.06,128669.613
002385.SZ,20191112,4.5,4.57,4.45,4.53,4.52,0.01,0.2212,286991.87,129358.083
002385.SZ,20191111,4.54,4.63,4.48,4.52,4.61,-0.09,-1.9523,397729.55,180211.264
002385.SZ,20191108,4.72,4.74,4.59,4.61,4.72,-0.11,-2.3305,449466.83,208562.639
002385.SZ,20191107,4.51,4.8,4.48,4.72,4.52,0.2,4.4248,744910.37,348931.059
002385.SZ,20191106,4.66,4.7,4.48,4.52,4.8,-0.28,-5.8333,778481.49,355523.147
002385.SZ,20191105,4.8,4.88,4.78,4.8,4.8,0.0,0.0,378004.48,182233.816
002385.SZ,20191104,4.76,4.87,4.74,4.8,4.82,-0.02,-0.4149,330433.16,158533.43
002385.SZ,20191101,4.8,4.85,4.66,4.82,4.84,-0.02,-0.4132,366771.33,174956.565
002385.SZ,20191031,5.05,5.05,4.78,4.84,5.05,-0.21,-4.1584,692912.38,338708.078
002385.SZ,20191030,5.14,5.23,4.98,5.05,5.17,-0.12,-2.3211,773022.52,391107.325
002385.SZ,20191029,4.98,5.22,4.94,5.17,4.99,0.18,3.6072,1163548.39,597425.741
002385.SZ,20191028,4.85,5.09,4.8,4.99,4.93,0.06,1.217,925445.98,460154.615
002385.SZ,20191025,4.73,5.02,4.65,4.93,4.74,0.19,4.0084,1044695.02,510627.963
002385.SZ,20191024,4.84,4.85,4.67,4.74,4.84,-0.1,-2.0661,582940.94,275793.316
002385.SZ,20191023,4.81,5.01,4.78,4.84,4.84,0.0,0.0,582599.56,285039.917
002385.SZ,20191022,4.91,4.96,4.78,4.84,5.05,-0.21,-4.1584,888586.75,431321.032
002385.SZ,20191021,4.61,5.05,4.61,5.05,4.6,0.45,9.7826,1151811.35,559445.55
002385.SZ,20191018,4.59,4.68,4.55,4.6,4.62,-0.02,-0.4329,316271.0,146132.097
002385.SZ,20191017,4.58,4.65,4.53,4.62,4.57,0.05,1.0941,279659.54,128608.969
002385.SZ,20191016,4.62,4.64,4.56,4.57,4.65,-0.08,-1.7204,301161.82,138291.654
002385.SZ,20191015,4.64,4.77,4.6,4.65,4.63,0.02,0.432,425382.95,198403.37
002385.SZ,20191014,4.6,4.69,4.49,4.63,4.66,-0.03,-0.6438,461472.67,212853.834
002385.SZ,20191011,4.72,4.76,4.61,4.66,4.71,-0.05,-1.0616,405029.53,189337.358
002385.SZ,20191010,4.6,4.77,4.57,4.71,4.6,0.11,2.3913,605918.98,283773.818
002385.SZ,20191009,4.57,4.62,4.5,4.6,4.59,0.01,0.2179,369743.55,168461.345
002385.SZ,20191008,4.74,4.76,4.55,4.59,4.57,0.02,0.4376,535954.48,247521.929
002385.SZ,20190930,4.56,4.7,4.55,4.57,4.53,0.04,0.883,517397.34,239010.467
002385.SZ,20190927,4.3,4.6,4.29,4.53,4.27,0.26,6.089,803317.82,359560.535
002385.SZ,20190926,4.68,4.7,4.23,4.27,4.66,-0.39,-8.3691,1002732.36,441844.691
002385.SZ,20190925,4.73,4.74,4.66,4.66,4.78,-0.12,-2.5105,458227.48,215001.132
002385.SZ,20190924,4.71,4.85,4.71,4.78,5.12,-0.34,-6.6406,1152879.26,551851.543
002385.SZ,20190923,5.2,5.2,5.07,5.12,5.23,-0.11,-2.1033,352372.88,180354.177
002385.SZ,20190920,5.27,5.33,5.19,5.23,5.3,-0.07,-1.3208,413156.59,216429.327
002385.SZ,20190919,5.19,5.32,5.06,5.3,5.16,0.14,2.7132,632083.01,329429.779
002385.SZ,20190918,5.21,5.25,5.12,5.16,5.21,-0.05,-0.9597,439433.03,227347.583
002385.SZ,20190917,5.38,5.43,5.19,5.21,5.41,-0.2,-3.6969,777089.03,411072.322
002385.SZ,20190916,5.42,5.48,5.36,5.41,5.41,0.0,0.0,562783.3,304333.446
002385.SZ,20190912,5.54,5.55,5.35,5.41,5.52,-0.11,-1.9928,947333.09,513486.208
002385.SZ,20190911,5.78,5.83,5.51,5.52,5.76,-0.24,-4.1667,1154044.15,652178.553
002385.SZ,20190910,5.6,5.9,5.6,5.76,5.62,0.14,2.4911,1251478.27,721247.904
002385.SZ,20190909,5.6,5.65,5.5,5.62,5.6,0.02,0.3571,817025.13,455389.239
002385.SZ,20190906,5.78,5.87,5.52,5.6,5.7,-0.1,-1.7544,1189435.27,674052.882
002385.SZ,20190905,5.63,5.77,5.5,5.7,5.61,0.09,1.6043,1156109.35,655574.435
002385.SZ,20190904,5.61,5.75,5.49,5.61,5.64,-0.03,-0.5319,879611.76,493059.724
002385.SZ,20190903,5.58,5.8,5.53,5.64,5.52,0.12,2.1739,1217053.46,687824.498
002385.SZ,20190902,5.59,5.64,5.4,5.52,5.57,-0.05,-0.8977,1035495.01,569977.647
002385.SZ,20190830,5.6,5.87,5.56,5.57,5.65,-0.08,-1.4159,1460490.05,828170.339
002385.SZ,20190829,5.6,5.75,5.53,5.65,5.46,0.19,3.4799,2024401.94,1141896.663
002385.SZ,20190828,4.98,5.46,4.95,5.46,4.96,0.5,10.0806,1321774.96,703105.469
002385.SZ,20190827,4.85,5.02,4.82,4.96,4.83,0.13,2.6915,624033.73,307729.822
