ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300021.SZ,20200110,5.53,5.61,5.51,5.57,5.56,0.01,0.1799,151619.55,84390.524
300021.SZ,20200109,5.39,5.68,5.39,5.56,5.33,0.23,4.3152,300052.29,166814.644
300021.SZ,20200108,5.46,5.48,5.3,5.33,5.5,-0.17,-3.0909,161041.0,86754.85
300021.SZ,20200107,5.46,5.52,5.43,5.5,5.47,0.03,0.5484,138261.67,75750.982
300021.SZ,20200106,5.49,5.54,5.43,5.47,5.47,0.0,0.0,159948.75,87500.673
300021.SZ,20200103,5.38,5.52,5.38,5.47,5.38,0.09,1.6729,188635.84,102936.392
300021.SZ,20200102,5.31,5.42,5.31,5.38,5.3,0.08,1.5094,140537.55,75525.432
300021.SZ,20191231,5.24,5.33,5.21,5.3,5.23,0.07,1.3384,129532.27,68379.86
300021.SZ,20191230,5.24,5.28,5.15,5.23,5.25,-0.02,-0.381,125616.03,65301.717
300021.SZ,20191227,5.3,5.32,5.25,5.25,5.3,-0.05,-0.9434,94245.99,49760.816
300021.SZ,20191226,5.3,5.34,5.26,5.3,5.28,0.02,0.3788,92896.98,49202.091
300021.SZ,20191225,5.33,5.34,5.24,5.28,5.34,-0.06,-1.1236,116215.55,61439.55
300021.SZ,20191224,5.28,5.38,5.28,5.34,5.33,0.01,0.1876,116503.52,62160.675
300021.SZ,20191223,5.39,5.59,5.3,5.33,5.52,-0.19,-3.442,278410.02,151939.02
300021.SZ,20191220,5.34,5.68,5.25,5.52,5.32,0.2,3.7594,211100.05,114373.17
300021.SZ,20191219,5.29,5.34,5.26,5.32,5.28,0.04,0.7576,103096.03,54701.93
300021.SZ,20191218,5.34,5.36,5.26,5.28,5.33,-0.05,-0.9381,94700.83,50193.206
300021.SZ,20191217,5.26,5.35,5.23,5.33,5.24,0.09,1.7176,128669.17,68175.993
300021.SZ,20191216,5.16,5.26,5.13,5.24,5.14,0.1,1.9455,97484.43,50679.602
