ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600535.SH,20200110,15.94,16.16,15.73,15.84,15.94,-0.1,-0.6274,149498.83,237288.981
600535.SH,20200109,15.5,15.98,15.5,15.94,15.41,0.53,3.4393,253439.46,400226.558
600535.SH,20200108,15.72,15.72,15.4,15.41,15.76,-0.35,-2.2208,172355.93,267471.494
600535.SH,20200107,15.6,15.78,15.6,15.76,15.6,0.16,1.0256,148311.88,232910.495
600535.SH,20200106,15.55,15.74,15.48,15.6,15.66,-0.06,-0.3831,170337.5,265807.193
600535.SH,20200103,15.7,15.84,15.56,15.66,15.55,0.11,0.7074,215595.82,338168.687
600535.SH,20200102,15.5,15.63,15.36,15.55,15.42,0.13,0.8431,235769.95,365626.964
600535.SH,20191231,15.18,15.5,15.13,15.42,15.17,0.25,1.648,202571.04,311830.647
600535.SH,20191230,15.12,15.17,14.98,15.17,15.12,0.05,0.3307,122867.73,185316.816
600535.SH,20191227,15.3,15.3,15.1,15.12,15.16,-0.04,-0.2639,125127.15,189982.623
600535.SH,20191226,15.09,15.24,15.06,15.16,15.08,0.08,0.5305,95061.72,143755.719
600535.SH,20191225,15.1,15.15,14.98,15.08,15.16,-0.08,-0.5277,109716.48,165418.638
600535.SH,20191224,15.1,15.18,15.0,15.16,15.09,0.07,0.4639,94416.7,142620.427
600535.SH,20191223,15.5,15.5,15.07,15.09,15.53,-0.44,-2.8332,153017.61,233398.741
600535.SH,20191220,15.79,15.84,15.51,15.53,15.78,-0.25,-1.5843,150839.94,235686.931
600535.SH,20191219,15.33,15.84,15.3,15.78,15.3,0.48,3.1373,276049.33,430178.254
600535.SH,20191218,15.36,15.42,15.26,15.3,15.35,-0.05,-0.3257,141138.96,216388.744
600535.SH,20191217,15.5,15.57,15.28,15.35,15.29,0.06,0.3924,275265.52,424134.077
600535.SH,20191216,15.08,15.33,14.97,15.29,14.98,0.31,2.0694,191069.52,289703.196
600535.SH,20191213,14.95,15.06,14.91,14.98,14.9,0.08,0.5369,141843.0,212277.42
600535.SH,20191212,14.83,14.93,14.74,14.9,14.84,0.06,0.4043,73797.62,109704.895
600535.SH,20191211,14.9,14.92,14.8,14.84,14.9,-0.06,-0.4027,74688.93,110835.777
600535.SH,20191210,14.82,14.94,14.78,14.9,14.86,0.04,0.2692,66538.93,98970.875
600535.SH,20191209,14.96,14.98,14.81,14.86,14.95,-0.09,-0.602,75528.66,112225.426
600535.SH,20191206,14.96,15.02,14.86,14.95,14.96,-0.01,-0.0668,66459.46,99187.846
600535.SH,20191205,14.88,15.01,14.87,14.96,14.88,0.08,0.5376,77484.13,115716.202
600535.SH,20191204,14.76,14.94,14.74,14.88,14.88,0.0,0.0,51378.38,76259.328
600535.SH,20191203,15.0,15.04,14.7,14.88,15.08,-0.2,-1.3263,111147.92,164770.966
600535.SH,20191202,15.11,15.25,15.06,15.08,15.26,-0.18,-1.1796,112093.8,169578.811
600535.SH,20191129,15.51,15.71,15.22,15.26,15.05,0.21,1.3953,229206.49,353612.337
600535.SH,20191128,14.98,15.26,14.94,15.05,15.01,0.04,0.2665,89155.33,134738.823
600535.SH,20191127,15.07,15.07,14.92,15.01,15.08,-0.07,-0.4642,54939.5,82392.869
600535.SH,20191126,15.21,15.26,15.04,15.08,15.18,-0.1,-0.6588,65309.97,98708.687
600535.SH,20191125,15.36,15.36,15.08,15.18,15.42,-0.24,-1.5564,85845.58,130330.164
600535.SH,20191122,15.3,15.64,15.18,15.42,15.35,0.07,0.456,154369.44,237836.509
600535.SH,20191121,15.06,15.41,14.92,15.35,15.12,0.23,1.5212,129732.1,197639.327
600535.SH,20191120,15.03,15.25,14.98,15.12,15.05,0.07,0.4651,109498.19,165770.619
600535.SH,20191119,14.86,15.06,14.85,15.05,14.88,0.17,1.1425,71914.08,107700.449
600535.SH,20191118,14.89,14.94,14.66,14.88,14.91,-0.03,-0.2012,64545.79,95566.15
600535.SH,20191115,14.88,15.15,14.87,14.91,14.83,0.08,0.5394,91873.22,137797.425
600535.SH,20191114,14.7,14.89,14.7,14.83,14.76,0.07,0.4743,52163.05,77223.122
600535.SH,20191113,14.89,14.9,14.61,14.76,14.88,-0.12,-0.8065,61927.39,91200.009
600535.SH,20191112,14.83,14.9,14.7,14.88,14.82,0.06,0.4049,66864.32,98992.828
600535.SH,20191111,15.28,15.28,14.79,14.82,15.34,-0.52,-3.3898,112328.21,168153.312
600535.SH,20191108,15.49,15.55,15.29,15.34,15.44,-0.1,-0.6477,95395.45,146726.768
600535.SH,20191107,15.18,15.5,15.18,15.44,15.17,0.27,1.7798,132911.94,204497.595
600535.SH,20191106,15.3,15.33,15.13,15.17,15.27,-0.1,-0.6549,127345.18,193749.742
600535.SH,20191105,14.83,15.35,14.81,15.27,14.83,0.44,2.967,182328.12,275872.7
600535.SH,20191104,14.84,14.97,14.76,14.83,14.8,0.03,0.2027,116355.06,173027.639
600535.SH,20191101,14.63,14.81,14.51,14.8,14.63,0.17,1.162,143699.52,210634.191
600535.SH,20191031,14.58,14.88,14.57,14.63,14.62,0.01,0.0684,121473.58,178257.504
600535.SH,20191030,15.01,15.01,14.57,14.62,14.97,-0.35,-2.338,188106.36,276502.268
600535.SH,20191029,15.0,15.25,14.9,14.97,15.27,-0.3,-1.9646,172071.65,259119.5
600535.SH,20191028,15.12,15.4,15.12,15.27,15.02,0.25,1.6644,151606.58,231711.715
600535.SH,20191025,14.97,15.09,14.88,15.02,15.0,0.02,0.1333,127564.61,190957.236
600535.SH,20191024,15.16,15.25,14.94,15.0,15.21,-0.21,-1.3807,103858.33,155902.221
600535.SH,20191023,15.5,15.57,15.16,15.21,15.49,-0.28,-1.8076,119761.48,183233.544
600535.SH,20191022,15.52,15.64,15.41,15.49,15.44,0.05,0.3238,84251.46,130433.754
600535.SH,20191021,15.4,15.57,15.33,15.44,15.45,-0.01,-0.0647,52842.47,81475.054
600535.SH,20191018,15.72,15.85,15.45,15.45,15.64,-0.19,-1.2148,77751.62,121336.013
600535.SH,20191017,15.8,16.04,15.59,15.64,15.71,-0.07,-0.4456,90060.38,141754.871
600535.SH,20191016,15.95,16.09,15.68,15.71,15.94,-0.23,-1.4429,87039.35,137990.253
600535.SH,20191015,16.14,16.19,15.91,15.94,16.13,-0.19,-1.1779,68712.29,110183.042
600535.SH,20191014,16.08,16.24,15.98,16.13,15.9,0.23,1.4465,78963.46,127312.12
600535.SH,20191011,15.85,15.96,15.74,15.9,15.76,0.14,0.8883,85861.29,136152.929
600535.SH,20191010,15.69,15.85,15.63,15.76,15.65,0.11,0.7029,76554.45,120721.31
600535.SH,20191009,15.57,15.65,15.24,15.65,15.62,0.03,0.1921,57733.63,89201.842
600535.SH,20191008,15.59,15.88,15.59,15.62,15.58,0.04,0.2567,59761.3,93965.871
600535.SH,20190930,15.61,15.74,15.52,15.58,15.56,0.02,0.1285,62433.57,97678.007
600535.SH,20190927,15.47,15.64,15.43,15.56,15.48,0.08,0.5168,75325.41,117354.031
600535.SH,20190926,15.9,15.98,15.41,15.48,15.88,-0.4,-2.5189,143400.73,222840.948
600535.SH,20190925,16.77,16.77,15.86,15.88,16.91,-1.03,-6.0911,279735.49,449010.25
600535.SH,20190924,16.9,17.17,16.86,16.91,16.9,0.01,0.0592,118930.66,202531.231
600535.SH,20190923,17.08,17.08,16.75,16.9,17.09,-0.19,-1.1118,82527.25,138871.873
600535.SH,20190920,16.93,17.15,16.9,17.09,16.98,0.11,0.6478,91532.68,155904.375
600535.SH,20190919,17.01,17.08,16.85,16.98,16.92,0.06,0.3546,105462.42,178858.48
600535.SH,20190918,16.95,17.07,16.88,16.92,16.89,0.03,0.1776,91870.09,155901.999
600535.SH,20190917,17.38,17.38,16.88,16.89,17.37,-0.48,-2.7634,169777.23,289428.692
600535.SH,20190916,17.61,17.64,17.35,17.37,17.55,-0.18,-1.0256,154592.77,269652.81
600535.SH,20190912,17.65,17.72,17.4,17.55,17.58,-0.03,-0.1706,123320.28,216529.536
600535.SH,20190911,18.26,18.26,17.58,17.58,18.07,-0.49,-2.7117,239057.69,424951.783
600535.SH,20190910,17.43,18.1,17.36,18.07,17.42,0.65,3.7313,374691.36,667069.851
600535.SH,20190909,17.26,17.42,17.01,17.42,17.1,0.32,1.8713,261246.29,448442.567
600535.SH,20190906,17.24,17.32,17.01,17.1,17.25,-0.15,-0.8696,180389.26,308306.793
600535.SH,20190905,17.21,17.55,17.21,17.25,17.14,0.11,0.6418,248602.92,431717.731
