ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000627.SZ,20200110,6.95,6.98,6.88,6.88,6.92,-0.04,-0.578,75525.79,52270.056
000627.SZ,20200109,6.94,7.0,6.88,6.92,6.9,0.02,0.2899,116889.89,80909.167
000627.SZ,20200108,7.0,7.03,6.88,6.9,7.05,-0.15,-2.1277,146767.14,101919.824
000627.SZ,20200107,7.02,7.08,7.0,7.05,7.02,0.03,0.4274,117686.75,82818.237
000627.SZ,20200106,7.02,7.06,6.95,7.02,7.04,-0.02,-0.2841,159472.1,111741.498
000627.SZ,20200103,7.06,7.14,7.01,7.04,7.04,0.0,0.0,106738.22,75349.758
000627.SZ,20200102,7.09,7.16,7.03,7.04,7.04,0.0,0.0,164144.86,116516.347
000627.SZ,20191231,7.1,7.1,6.98,7.04,7.11,-0.07,-0.9845,127711.0,89789.611
000627.SZ,20191230,6.85,7.11,6.79,7.11,6.88,0.23,3.343,241145.95,168513.354
000627.SZ,20191227,6.94,7.03,6.88,6.88,6.93,-0.05,-0.7215,139978.68,97644.941
000627.SZ,20191226,6.9,6.93,6.85,6.93,6.88,0.05,0.7267,72920.94,50267.68
000627.SZ,20191225,6.9,6.93,6.83,6.88,6.9,-0.02,-0.2899,72197.01,49604.602
000627.SZ,20191224,6.86,6.91,6.75,6.9,6.82,0.08,1.173,106895.28,73001.337
000627.SZ,20191223,6.9,7.1,6.8,6.82,6.93,-0.11,-1.5873,197785.16,137768.772
000627.SZ,20191220,6.84,7.02,6.83,6.93,6.91,0.02,0.2894,217398.54,150855.81
000627.SZ,20191219,6.89,6.96,6.84,6.91,6.88,0.03,0.436,110316.09,76006.552
000627.SZ,20191218,6.85,6.96,6.8,6.88,6.9,-0.02,-0.2899,144800.6,99892.913
000627.SZ,20191217,6.76,7.03,6.73,6.9,6.77,0.13,1.9202,217880.4,150280.323
000627.SZ,20191216,6.75,6.77,6.68,6.77,6.75,0.02,0.2963,94583.46,63672.64
000627.SZ,20191213,6.61,6.76,6.61,6.75,6.57,0.18,2.7397,169654.66,113896.789
000627.SZ,20191212,6.63,6.64,6.57,6.57,6.61,-0.04,-0.6051,43572.88,28754.251
000627.SZ,20191211,6.62,6.67,6.6,6.61,6.62,-0.01,-0.1511,71546.04,47455.818
000627.SZ,20191210,6.65,6.66,6.61,6.62,6.65,-0.03,-0.4511,55233.96,36642.118
000627.SZ,20191209,6.7,6.74,6.61,6.65,6.7,-0.05,-0.7463,60305.94,40182.485
000627.SZ,20191206,6.71,6.73,6.64,6.7,6.71,-0.01,-0.149,47648.02,31851.111
000627.SZ,20191205,6.67,6.73,6.65,6.71,6.67,0.04,0.5997,52237.23,34973.76
000627.SZ,20191204,6.56,6.67,6.52,6.67,6.59,0.08,1.214,70743.54,46705.348
000627.SZ,20191203,6.58,6.6,6.53,6.59,6.6,-0.01,-0.1515,30166.1,19799.6
000627.SZ,20191202,6.66,6.72,6.59,6.6,6.7,-0.1,-1.4925,46838.61,31127.147
000627.SZ,20191129,6.64,6.74,6.63,6.7,6.64,0.06,0.9036,75214.93,50255.197
000627.SZ,20191128,6.68,6.7,6.61,6.64,6.68,-0.04,-0.5988,41135.52,27348.87
000627.SZ,20191127,6.62,6.69,6.57,6.68,6.7,-0.02,-0.2985,76825.46,50894.997
000627.SZ,20191126,6.54,6.7,6.49,6.7,6.52,0.18,2.7607,127754.39,84363.813
000627.SZ,20191125,6.52,6.54,6.48,6.52,6.52,0.0,0.0,45883.71,29906.094
000627.SZ,20191122,6.52,6.59,6.46,6.52,6.53,-0.01,-0.1531,53477.83,34823.474
000627.SZ,20191121,6.56,6.56,6.5,6.53,6.56,-0.03,-0.4573,51005.48,33271.529
000627.SZ,20191120,6.63,6.64,6.54,6.56,6.62,-0.06,-0.9063,45887.23,30268.172
000627.SZ,20191119,6.6,6.65,6.58,6.62,6.6,0.02,0.303,72527.55,47912.156
000627.SZ,20191118,6.51,6.63,6.51,6.6,6.53,0.07,1.072,65960.72,43445.088
000627.SZ,20191115,6.57,6.59,6.52,6.53,6.59,-0.06,-0.9105,39970.21,26185.984
000627.SZ,20191114,6.57,6.65,6.55,6.59,6.6,-0.01,-0.1515,73364.91,48463.669
000627.SZ,20191113,6.66,6.66,6.56,6.6,6.63,-0.03,-0.4525,77211.92,50939.778
000627.SZ,20191112,6.59,6.66,6.57,6.63,6.57,0.06,0.9132,44985.79,29801.06
000627.SZ,20191111,6.73,6.74,6.56,6.57,6.73,-0.16,-2.3774,79258.52,52573.602
000627.SZ,20191108,6.82,6.83,6.7,6.73,6.8,-0.07,-1.0294,64885.01,43806.238
000627.SZ,20191107,6.81,6.83,6.74,6.8,6.8,0.0,0.0,74002.5,50131.044
000627.SZ,20191106,6.98,6.99,6.79,6.8,6.96,-0.16,-2.2989,105411.37,72280.524
000627.SZ,20191105,6.94,7.06,6.91,6.96,6.94,0.02,0.2882,125060.9,87402.039
000627.SZ,20191104,6.88,6.94,6.85,6.94,6.87,0.07,1.0189,51912.85,35823.309
000627.SZ,20191101,6.82,6.9,6.82,6.87,6.81,0.06,0.8811,58484.34,40182.827
000627.SZ,20191031,6.96,6.97,6.81,6.81,6.93,-0.12,-1.7316,87285.0,60098.98
000627.SZ,20191030,6.95,7.01,6.92,6.93,6.94,-0.01,-0.1441,61430.68,42740.326
000627.SZ,20191029,7.04,7.04,6.93,6.94,7.01,-0.07,-0.9986,57805.07,40278.577
000627.SZ,20191028,6.94,7.05,6.94,7.01,7.0,0.01,0.1429,64389.88,45137.756
000627.SZ,20191025,6.98,7.01,6.93,7.0,6.98,0.02,0.2865,58077.63,40492.367
000627.SZ,20191024,6.95,7.01,6.94,6.98,6.98,0.0,0.0,37464.1,26114.34
000627.SZ,20191023,6.96,7.02,6.93,6.98,6.98,0.0,0.0,47273.65,32920.606
000627.SZ,20191022,7.04,7.04,6.94,6.98,7.04,-0.06,-0.8523,54476.25,38018.959
000627.SZ,20191021,6.98,7.08,6.92,7.04,6.99,0.05,0.7153,74026.96,51732.84
000627.SZ,20191018,7.07,7.1,6.93,6.99,7.07,-0.08,-1.1315,106165.0,74258.253
000627.SZ,20191017,7.21,7.25,7.04,7.07,7.28,-0.21,-2.8846,123326.49,87730.598
000627.SZ,20191016,7.29,7.6,7.25,7.28,7.25,0.03,0.4138,261260.67,193566.76
000627.SZ,20191015,7.21,7.29,7.17,7.25,7.22,0.03,0.4155,93739.18,67834.802
000627.SZ,20191014,7.13,7.3,7.11,7.22,7.07,0.15,2.1216,154369.98,111576.009
000627.SZ,20191011,7.06,7.14,6.96,7.07,7.03,0.04,0.569,82465.25,58120.704
000627.SZ,20191010,7.02,7.08,6.99,7.03,7.02,0.01,0.1425,57040.93,40133.601
000627.SZ,20191009,7.02,7.06,6.98,7.02,7.05,-0.03,-0.4255,52594.87,36906.641
000627.SZ,20191008,7.07,7.16,7.01,7.05,7.05,0.0,0.0,73331.85,51778.615
000627.SZ,20190930,6.96,7.13,6.96,7.05,7.02,0.03,0.4274,106522.11,75330.823
000627.SZ,20190927,7.01,7.04,6.96,7.02,6.96,0.06,0.8621,43268.95,30286.191
000627.SZ,20190926,7.01,7.07,6.89,6.96,6.97,-0.01,-0.1435,105098.51,73484.848
000627.SZ,20190925,7.06,7.09,6.97,7.0,7.08,-0.08,-1.1299,87476.87,61352.043
000627.SZ,20190924,7.13,7.17,7.05,7.08,7.09,-0.01,-0.141,85915.85,61052.42
000627.SZ,20190923,7.25,7.25,7.06,7.09,7.25,-0.16,-2.2069,90557.94,64381.735
000627.SZ,20190920,7.19,7.28,7.17,7.25,7.25,0.0,0.0,74349.86,53601.111
000627.SZ,20190919,7.3,7.31,7.17,7.25,7.25,0.0,0.0,67121.69,48445.4
000627.SZ,20190918,7.19,7.26,7.17,7.25,7.19,0.06,0.8345,58611.77,42329.492
000627.SZ,20190917,7.39,7.39,7.15,7.19,7.37,-0.18,-2.4423,122731.5,88616.012
000627.SZ,20190916,7.5,7.53,7.31,7.37,7.54,-0.17,-2.2546,140702.95,104192.295
000627.SZ,20190912,7.36,7.55,7.34,7.54,7.34,0.2,2.7248,172219.89,128448.545
000627.SZ,20190911,7.32,7.43,7.31,7.34,7.32,0.02,0.2732,112349.02,82731.162
000627.SZ,20190910,7.36,7.37,7.19,7.32,7.38,-0.06,-0.813,134331.91,97813.99
000627.SZ,20190909,7.35,7.4,7.2,7.38,7.28,0.1,1.3736,161242.44,118038.283
000627.SZ,20190906,7.37,7.42,7.22,7.28,7.28,0.0,0.0,133647.55,97267.338
000627.SZ,20190905,7.16,7.59,7.14,7.28,7.14,0.14,1.9608,369247.18,273093.536
000627.SZ,20190904,6.87,7.16,6.85,7.14,6.89,0.25,3.6284,264110.32,186320.222
000627.SZ,20190903,7.06,7.06,6.84,6.89,7.04,-0.15,-2.1307,185283.6,128007.324
000627.SZ,20190902,6.98,7.1,6.91,7.04,7.02,0.02,0.2849,180653.59,126326.065
000627.SZ,20190830,7.16,7.25,6.93,7.02,7.06,-0.04,-0.5666,183813.86,129828.794
000627.SZ,20190829,7.21,7.32,7.06,7.06,7.32,-0.26,-3.5519,280292.99,201586.606
