ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
603848.SH,20200110,14.19,14.27,14.04,14.2,14.17,0.03,0.2117,12043.0,17051.363
603848.SH,20200109,14.17,14.3,14.12,14.17,14.09,0.08,0.5678,11034.83,15650.413
603848.SH,20200108,14.31,14.31,14.05,14.09,14.24,-0.15,-1.0534,15525.0,21940.392
603848.SH,20200107,14.15,14.28,14.08,14.24,14.23,0.01,0.0703,13714.42,19510.933
603848.SH,20200106,14.26,14.3,14.01,14.23,14.17,0.06,0.4234,17917.77,25449.061
603848.SH,20200103,14.2,14.28,14.09,14.17,14.15,0.02,0.1413,13061.0,18511.193
603848.SH,20200102,13.96,14.2,13.91,14.15,13.87,0.28,2.0187,18209.77,25690.201
603848.SH,20191231,13.83,13.94,13.8,13.87,13.83,0.04,0.2892,7125.0,9867.898
603848.SH,20191230,13.78,13.87,13.53,13.83,13.77,0.06,0.4357,8137.0,11169.415
603848.SH,20191227,13.87,14.09,13.77,13.77,13.8,-0.03,-0.2174,13574.85,18922.667
603848.SH,20191226,13.7,13.85,13.7,13.8,13.79,0.01,0.0725,6121.85,8431.851
603848.SH,20191225,13.87,13.87,13.7,13.79,13.86,-0.07,-0.5051,8845.0,12178.63
603848.SH,20191224,13.62,13.87,13.58,13.86,13.7,0.16,1.1679,8750.83,12056.564
603848.SH,20191223,14.1,14.1,13.65,13.7,14.2,-0.5,-3.5211,18578.36,25735.662
603848.SH,20191220,14.43,14.56,14.18,14.2,14.43,-0.23,-1.5939,30135.08,43291.872
603848.SH,20191219,13.88,14.43,13.88,14.43,13.96,0.47,3.3668,32318.0,46029.656
603848.SH,20191218,14.05,14.11,13.8,13.96,14.11,-0.15,-1.0631,18926.09,26396.447
603848.SH,20191217,13.45,14.49,13.45,14.11,13.45,0.66,4.9071,38572.32,53749.948
603848.SH,20191216,13.43,13.45,13.27,13.45,13.31,0.14,1.0518,10567.75,14133.118
603848.SH,20191213,13.25,13.37,13.21,13.31,13.22,0.09,0.6808,6913.06,9184.782
603848.SH,20191212,13.36,13.37,13.2,13.22,13.35,-0.13,-0.9738,5434.0,7201.478
603848.SH,20191211,13.4,13.42,13.25,13.35,13.42,-0.07,-0.5216,6682.31,8898.474
603848.SH,20191210,13.53,13.57,13.35,13.42,13.53,-0.11,-0.813,8509.35,11409.241
603848.SH,20191209,13.46,13.6,13.44,13.53,13.44,0.09,0.6696,9036.43,12213.515
603848.SH,20191206,13.43,13.46,13.35,13.44,13.41,0.03,0.2237,7283.55,9764.252
603848.SH,20191205,13.37,13.55,13.36,13.41,13.36,0.05,0.3743,6744.85,9047.964
603848.SH,20191204,13.46,13.46,13.3,13.36,13.47,-0.11,-0.8166,7239.0,9658.734
603848.SH,20191203,13.28,13.5,13.2,13.47,13.22,0.25,1.8911,14278.3,19103.664
603848.SH,20191202,13.11,13.23,12.8,13.22,13.09,0.13,0.9931,6968.61,9131.871
603848.SH,20191129,13.15,13.22,13.06,13.09,13.17,-0.08,-0.6074,6228.0,8162.502
603848.SH,20191128,13.18,13.27,13.17,13.17,13.24,-0.07,-0.5287,4276.0,5647.18
603848.SH,20191127,13.21,13.32,13.16,13.24,13.35,-0.11,-0.824,4064.0,5373.289
603848.SH,20191126,13.25,13.35,13.17,13.35,13.26,0.09,0.6787,8098.66,10710.323
603848.SH,20191125,13.4,13.4,13.21,13.26,13.35,-0.09,-0.6742,6261.61,8309.32
603848.SH,20191122,13.31,13.44,13.18,13.35,13.3,0.05,0.3759,9502.85,12658.17
603848.SH,20191121,13.42,13.42,13.26,13.3,13.42,-0.12,-0.8942,7304.0,9735.105
603848.SH,20191120,13.66,13.8,13.4,13.42,13.66,-0.24,-1.757,8418.79,11408.556
603848.SH,20191119,13.51,13.78,13.51,13.66,13.5,0.16,1.1852,10706.79,14634.801
603848.SH,20191118,13.35,13.69,13.22,13.5,13.43,0.07,0.5212,8505.49,11468.994
603848.SH,20191115,13.3,13.74,13.21,13.43,13.31,0.12,0.9016,12201.83,16496.054
603848.SH,20191114,13.34,13.38,13.08,13.31,13.39,-0.08,-0.5975,11083.85,14677.072
603848.SH,20191113,13.55,13.55,13.33,13.39,13.56,-0.17,-1.2537,7085.61,9491.893
603848.SH,20191112,13.75,13.85,13.45,13.56,13.75,-0.19,-1.3818,8727.93,11837.562
603848.SH,20191111,14.11,14.11,13.66,13.75,14.1,-0.35,-2.4823,12370.03,17103.625
603848.SH,20191108,14.17,14.21,14.08,14.1,14.08,0.02,0.142,5876.46,8294.641
603848.SH,20191107,14.16,14.16,14.03,14.08,14.09,-0.01,-0.071,5459.03,7692.038
603848.SH,20191106,14.23,14.23,14.07,14.09,14.23,-0.14,-0.9838,6348.0,8961.768
603848.SH,20191105,14.17,14.26,14.01,14.23,14.12,0.11,0.779,10365.05,14676.352
603848.SH,20191104,14.3,14.3,14.09,14.12,14.17,-0.05,-0.3529,8093.03,11475.269
603848.SH,20191101,14.02,14.24,14.02,14.17,14.13,0.04,0.2831,8079.0,11434.717
603848.SH,20191031,14.02,14.37,14.02,14.13,14.15,-0.02,-0.1413,9353.0,13232.031
603848.SH,20191030,14.2,14.26,14.01,14.15,14.4,-0.25,-1.7361,9912.0,14033.112
603848.SH,20191029,14.77,14.79,14.38,14.4,14.81,-0.41,-2.7684,17303.0,25131.835
603848.SH,20191028,14.64,15.0,14.62,14.81,14.78,0.03,0.203,20424.0,30292.457
603848.SH,20191025,14.11,15.1,13.87,14.78,14.16,0.62,4.3785,35041.63,50620.438
603848.SH,20191024,14.32,14.47,14.04,14.16,14.39,-0.23,-1.5983,14564.0,20688.787
603848.SH,20191023,14.5,14.57,14.38,14.39,14.52,-0.13,-0.8953,11122.0,16072.609
603848.SH,20191022,14.39,14.64,14.39,14.52,14.39,0.13,0.9034,14783.39,21437.934
603848.SH,20191021,14.69,14.69,14.32,14.39,14.69,-0.3,-2.0422,15148.0,21828.863
603848.SH,20191018,14.96,14.97,14.58,14.69,14.93,-0.24,-1.6075,15607.0,23075.519
603848.SH,20191017,15.1,15.1,14.9,14.93,15.01,-0.08,-0.533,9462.44,14169.101
603848.SH,20191016,15.05,15.12,14.99,15.01,15.01,0.0,0.0,7924.0,11907.241
603848.SH,20191015,15.28,15.29,14.98,15.01,15.26,-0.25,-1.6383,13256.0,19971.384
603848.SH,20191014,15.26,15.37,15.22,15.26,15.19,0.07,0.4608,17449.69,26678.693
603848.SH,20191011,15.3,15.37,15.15,15.19,15.3,-0.11,-0.719,10152.0,15435.812
603848.SH,20191010,15.32,15.53,15.22,15.3,15.33,-0.03,-0.1957,19295.0,29595.953
603848.SH,20191009,14.9,15.34,14.77,15.33,14.97,0.36,2.4048,20183.03,30492.572
603848.SH,20191008,15.0,15.12,14.88,14.97,15.02,-0.05,-0.3329,9373.0,14071.197
603848.SH,20190930,14.92,15.24,14.92,15.02,14.9,0.12,0.8054,11850.79,17835.57
603848.SH,20190927,14.9,15.08,14.83,14.9,14.9,0.0,0.0,11092.8,16578.941
603848.SH,20190926,15.13,15.25,14.9,14.9,15.13,-0.23,-1.5202,16504.8,24789.154
603848.SH,20190925,15.45,15.47,15.13,15.13,15.45,-0.32,-2.0712,17242.0,26262.222
603848.SH,20190924,15.53,15.63,15.35,15.45,15.57,-0.12,-0.7707,17818.0,27551.521
603848.SH,20190923,15.88,15.88,15.44,15.57,15.84,-0.27,-1.7045,18404.43,28617.411
603848.SH,20190920,15.92,15.99,15.74,15.84,15.92,-0.08,-0.5025,24044.38,38090.715
603848.SH,20190919,15.84,16.02,15.66,15.92,15.82,0.1,0.6321,26540.0,41999.808
603848.SH,20190918,15.5,16.08,15.5,15.82,15.45,0.37,2.3948,38557.0,61090.007
603848.SH,20190917,15.71,15.84,15.37,15.45,15.78,-0.33,-2.0913,22985.22,35767.977
603848.SH,20190916,15.89,15.93,15.71,15.78,15.86,-0.08,-0.5044,23408.69,37055.014
603848.SH,20190912,15.88,15.9,15.55,15.86,15.78,0.08,0.507,27132.03,42749.087
603848.SH,20190911,15.91,16.04,15.76,15.78,15.95,-0.17,-1.0658,23306.46,36992.147
603848.SH,20190910,16.02,16.09,15.85,15.95,16.09,-0.14,-0.8701,30606.83,48784.493
603848.SH,20190909,15.8,16.1,15.78,16.09,15.79,0.3,1.8999,41966.3,67136.687
603848.SH,20190906,15.9,16.0,15.7,15.79,15.9,-0.11,-0.6918,30554.53,48297.681
603848.SH,20190905,16.0,16.12,15.85,15.9,15.99,-0.09,-0.5629,51182.5,81773.127
603848.SH,20190904,16.07,16.39,15.73,15.99,16.06,-0.07,-0.4359,49145.0,78265.894
603848.SH,20190903,15.38,16.1,15.34,16.06,15.38,0.68,4.4213,61353.71,97499.367
603848.SH,20190902,15.05,15.48,14.94,15.38,15.06,0.32,2.1248,28746.22,43898.619
603848.SH,20190830,15.26,15.44,14.95,15.06,15.22,-0.16,-1.0512,29204.66,44280.346
