ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
603700.SH,20200110,24.16,24.3,23.85,24.0,24.16,-0.16,-0.6623,10009.53,24030.401
603700.SH,20200109,24.04,24.25,24.01,24.16,23.95,0.21,0.8768,13688.04,33006.978
603700.SH,20200108,24.58,24.78,23.95,23.95,24.88,-0.93,-3.7379,31194.0,75411.967
603700.SH,20200107,24.68,25.21,24.51,24.88,24.81,0.07,0.2821,33859.0,84215.159
603700.SH,20200106,23.25,25.58,23.11,24.81,23.35,1.46,6.2527,47720.42,116622.488
603700.SH,20200103,23.22,23.4,23.11,23.35,23.22,0.13,0.5599,13495.53,31343.599
603700.SH,20200102,23.16,23.27,23.09,23.22,23.03,0.19,0.825,12131.0,28125.014
603700.SH,20191231,23.18,23.27,22.9,23.03,23.18,-0.15,-0.6471,9036.0,20862.318
603700.SH,20191230,23.31,23.31,22.8,23.18,23.42,-0.24,-1.0248,12073.5,27790.695
603700.SH,20191227,23.52,23.68,23.36,23.42,23.5,-0.08,-0.3404,8128.89,19127.925
603700.SH,20191226,23.45,23.58,23.32,23.5,23.45,0.05,0.2132,5986.61,14036.58
603700.SH,20191225,23.4,23.76,23.36,23.45,23.53,-0.08,-0.34,5640.0,13269.051
603700.SH,20191224,23.54,23.7,23.25,23.53,23.56,-0.03,-0.1273,9051.89,21216.357
603700.SH,20191223,24.44,24.44,23.5,23.56,24.04,-0.48,-1.9967,14694.0,35215.774
603700.SH,20191220,24.11,24.23,23.83,24.04,24.04,0.0,0.0,11457.89,27487.397
603700.SH,20191219,23.36,24.46,23.16,24.04,23.3,0.74,3.176,21092.0,50351.776
603700.SH,20191218,23.41,23.7,23.29,23.3,23.36,-0.06,-0.2568,9252.61,21718.893
603700.SH,20191217,23.2,23.46,23.01,23.36,23.15,0.21,0.9071,9050.89,21116.572
603700.SH,20191216,22.9,23.2,22.88,23.15,22.8,0.35,1.5351,8798.89,20294.187
603700.SH,20191213,22.6,22.88,22.6,22.8,22.7,0.1,0.4405,6647.29,15149.767
603700.SH,20191212,22.68,22.86,22.57,22.7,22.67,0.03,0.1323,6285.0,14248.141
603700.SH,20191211,23.11,23.11,22.48,22.67,23.0,-0.33,-1.4348,6024.0,13701.348
603700.SH,20191210,23.18,23.18,22.88,23.0,22.96,0.04,0.1742,3974.0,9135.741
603700.SH,20191209,22.94,23.29,22.86,22.96,22.92,0.04,0.1745,5379.0,12385.523
603700.SH,20191206,22.94,23.06,22.84,22.92,22.94,-0.02,-0.0872,5556.51,12750.756
603700.SH,20191205,22.64,23.05,22.57,22.94,22.47,0.47,2.0917,8688.0,19906.652
603700.SH,20191204,22.38,22.59,22.23,22.47,22.49,-0.02,-0.0889,4950.0,11126.876
603700.SH,20191203,22.2,22.5,22.01,22.49,22.2,0.29,1.3063,4433.0,9887.848
603700.SH,20191202,22.31,22.36,22.12,22.2,22.23,-0.03,-0.135,3446.4,7660.483
603700.SH,20191129,22.34,22.34,21.87,22.23,22.29,-0.06,-0.2692,6738.45,14870.003
603700.SH,20191128,22.58,22.58,22.23,22.29,22.38,-0.09,-0.4021,3997.0,8930.982
603700.SH,20191127,22.58,22.58,22.22,22.38,22.48,-0.1,-0.4448,6293.0,14080.81
603700.SH,20191126,22.59,22.71,22.4,22.48,22.55,-0.07,-0.3104,3913.0,8812.667
603700.SH,20191125,22.9,22.9,22.4,22.55,22.77,-0.22,-0.9662,7073.0,15954.002
603700.SH,20191122,23.08,23.27,22.7,22.77,22.95,-0.18,-0.7843,5365.0,12319.705
603700.SH,20191121,23.04,23.17,22.81,22.95,23.05,-0.1,-0.4338,4941.51,11377.778
603700.SH,20191120,23.44,23.44,23.0,23.05,23.43,-0.38,-1.6219,6471.0,14986.784
603700.SH,20191119,23.35,23.55,23.28,23.43,23.36,0.07,0.2997,7930.0,18536.2
603700.SH,20191118,23.09,23.53,22.55,23.36,23.23,0.13,0.5596,10213.0,23691.759
603700.SH,20191115,22.88,23.5,22.88,23.23,22.87,0.36,1.5741,13052.56,30416.048
603700.SH,20191114,22.59,23.08,22.52,22.87,22.48,0.39,1.7349,7906.0,18084.097
603700.SH,20191113,22.89,22.89,22.24,22.48,22.9,-0.42,-1.8341,8343.0,18776.6
603700.SH,20191112,23.22,23.22,22.5,22.9,23.06,-0.16,-0.6938,8028.56,18262.621
603700.SH,20191111,23.64,23.64,22.88,23.06,23.52,-0.46,-1.9558,7050.89,16320.42
603700.SH,20191108,23.8,23.8,23.5,23.52,23.48,0.04,0.1704,5772.0,13655.812
603700.SH,20191107,23.69,23.69,23.3,23.48,23.48,0.0,0.0,6245.0,14661.49
603700.SH,20191106,24.1,24.13,23.41,23.48,23.89,-0.41,-1.7162,7968.0,18903.495
603700.SH,20191105,23.82,24.1,23.65,23.89,23.99,-0.1,-0.4168,7238.61,17285.593
603700.SH,20191104,23.69,24.21,23.52,23.99,23.69,0.3,1.2664,8636.0,20766.643
603700.SH,20191101,23.55,23.69,23.01,23.69,23.46,0.23,0.9804,10461.0,24552.843
603700.SH,20191031,24.3,24.52,23.38,23.46,24.38,-0.92,-3.7736,15395.15,36705.892
603700.SH,20191030,24.63,25.0,24.36,24.38,24.44,-0.06,-0.2455,10262.89,25255.783
603700.SH,20191029,24.68,25.09,24.41,24.44,25.03,-0.59,-2.3572,10402.0,25682.901
603700.SH,20191028,24.7,25.05,24.52,25.03,24.5,0.53,2.1633,12900.89,32069.754
603700.SH,20191025,24.8,24.8,24.13,24.5,24.62,-0.12,-0.4874,8419.0,20531.786
603700.SH,20191024,24.75,24.75,24.33,24.62,24.63,-0.01,-0.0406,6817.0,16718.459
603700.SH,20191023,24.78,24.9,24.4,24.63,24.58,0.05,0.2034,8505.0,20990.105
603700.SH,20191022,24.69,24.69,24.35,24.58,24.49,0.09,0.3675,7818.0,19158.721
603700.SH,20191021,24.57,24.78,24.08,24.49,25.0,-0.51,-2.04,13050.5,31862.131
603700.SH,20191018,25.91,25.98,24.83,25.0,25.81,-0.81,-3.1383,19129.3,48398.044
603700.SH,20191017,25.8,26.18,25.42,25.81,25.71,0.1,0.389,14609.69,37667.025
603700.SH,20191016,26.45,26.6,25.53,25.71,26.45,-0.74,-2.7977,26801.0,69407.532
603700.SH,20191015,25.75,26.63,25.55,26.45,25.8,0.65,2.5194,33350.53,87632.154
603700.SH,20191014,26.0,26.28,25.6,25.8,25.7,0.1,0.3891,25824.0,66743.84
603700.SH,20191011,26.36,26.64,25.54,25.7,26.76,-1.06,-3.9611,45116.19,116760.864
603700.SH,20191010,26.17,27.21,25.87,26.76,25.95,0.81,3.1214,58026.5,155139.982
603700.SH,20191009,25.81,25.95,25.01,25.95,25.33,0.62,2.4477,29610.06,76021.891
603700.SH,20191008,25.07,26.5,25.07,25.33,25.12,0.21,0.836,33897.17,86735.903
603700.SH,20190930,24.48,25.52,24.41,25.12,24.77,0.35,1.413,34192.3,86090.338
603700.SH,20190927,23.43,24.85,23.43,24.77,23.38,1.39,5.9453,25829.42,62781.409
603700.SH,20190926,24.81,24.99,23.26,23.38,25.0,-1.62,-6.48,25902.17,62249.094
603700.SH,20190925,24.45,26.7,24.35,25.0,24.37,0.63,2.5851,31028.29,78531.796
603700.SH,20190924,24.36,24.83,24.25,24.37,24.23,0.14,0.5778,11067.61,27154.756
603700.SH,20190923,24.39,24.57,24.05,24.23,24.63,-0.4,-1.624,11991.0,29081.929
603700.SH,20190920,25.2,25.7,24.57,24.63,25.21,-0.58,-2.3007,18055.28,45093.072
603700.SH,20190919,24.88,25.49,24.7,25.21,24.88,0.33,1.3264,25810.5,64922.162
603700.SH,20190918,24.18,25.08,24.04,24.88,24.18,0.7,2.895,22900.89,56798.374
603700.SH,20190917,24.6,24.72,24.02,24.18,24.73,-0.55,-2.224,12917.89,31442.737
603700.SH,20190916,24.73,24.85,24.54,24.73,24.73,0.0,0.0,11583.61,28615.945
603700.SH,20190912,24.8,24.86,24.5,24.73,24.61,0.12,0.4876,13877.3,34307.12
603700.SH,20190911,25.19,25.4,24.28,24.61,25.17,-0.56,-2.2249,27675.48,68389.781
603700.SH,20190910,25.6,26.03,25.01,25.17,25.71,-0.54,-2.1004,36927.74,93679.412
603700.SH,20190909,24.48,25.96,24.05,25.71,24.35,1.36,5.5852,52165.83,130809.271
603700.SH,20190906,23.53,24.47,23.24,24.35,23.33,1.02,4.3721,37672.15,90777.972
603700.SH,20190905,23.56,23.71,23.3,23.33,23.32,0.01,0.0429,15661.78,36841.843
603700.SH,20190904,23.03,23.67,23.03,23.32,23.2,0.12,0.5172,15842.78,37101.02
603700.SH,20190903,23.0,23.21,22.9,23.2,22.95,0.25,1.0893,11517.89,26576.404
603700.SH,20190902,22.73,23.13,22.37,22.95,22.6,0.35,1.5487,9751.39,22258.622
603700.SH,20190830,23.12,23.13,22.43,22.6,22.93,-0.33,-1.4392,10294.0,23414.583
603700.SH,20190829,23.05,23.25,22.89,22.93,23.06,-0.13,-0.5637,9987.0,23041.315
603700.SH,20190828,23.29,23.29,22.95,23.06,23.14,-0.08,-0.3457,8902.0,20562.357
603700.SH,20190827,23.02,23.41,22.96,23.14,22.8,0.34,1.4912,11747.35,27199.16
603700.SH,20190826,22.7,22.98,22.44,22.8,23.1,-0.3,-1.2987,9511.61,21601.955
603700.SH,20190823,23.3,23.4,22.78,23.1,23.34,-0.24,-1.0283,14556.06,33531.211
603700.SH,20190822,22.99,23.37,22.93,23.34,22.87,0.47,2.0551,16314.0,37795.833
603700.SH,20190821,22.91,23.13,22.85,22.87,22.95,-0.08,-0.3486,11393.59,26187.085
603700.SH,20190820,22.99,23.18,22.71,22.95,22.99,-0.04,-0.174,18613.21,42718.993
603700.SH,20190819,22.1,23.33,22.1,22.99,22.0,0.99,4.5,27361.88,62210.615
603700.SH,20190816,22.44,22.84,21.89,22.0,21.86,0.14,0.6404,19336.0,43253.47
603700.SH,20190815,21.0,21.98,20.65,21.86,21.67,0.19,0.8768,10726.0,22907.623
603700.SH,20190814,21.99,22.27,21.62,21.67,21.61,0.06,0.2776,10239.0,22387.886
603700.SH,20190813,20.8,22.66,20.66,21.61,21.08,0.53,2.5142,16879.33,36882.654
603700.SH,20190812,21.23,21.32,19.51,21.08,21.4,-0.32,-1.4953,14986.89,31041.478
603700.SH,20190809,22.15,22.15,21.4,21.4,21.85,-0.45,-2.0595,6627.0,14395.363
