ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002142.SZ,20200110,29.48,29.56,29.05,29.16,29.5,-0.34,-1.1525,111646.03,326359.153
002142.SZ,20200109,29.05,29.57,29.05,29.5,28.9,0.6,2.0761,143673.88,422920.948
002142.SZ,20200108,29.16,29.26,28.75,28.9,29.41,-0.51,-1.7341,127126.74,367269.839
002142.SZ,20200107,29.36,29.76,29.2,29.41,29.27,0.14,0.4783,123586.94,364420.7
002142.SZ,20200106,29.0,29.75,28.88,29.27,29.2,0.07,0.2397,151504.93,444011.931
002142.SZ,20200103,29.03,29.25,28.73,29.2,29.1,0.1,0.3436,172788.99,502067.849
002142.SZ,20200102,28.6,29.27,28.5,29.1,28.15,0.95,3.3748,298693.44,864350.753
002142.SZ,20191231,27.86,28.15,27.6,28.15,27.85,0.3,1.0772,176024.55,491004.082
002142.SZ,20191230,27.62,27.88,27.4,27.85,28.02,-0.17,-0.6067,292698.77,809734.06
002142.SZ,20191227,28.1,28.27,27.9,28.02,28.15,-0.13,-0.4618,131983.66,370640.493
002142.SZ,20191226,28.1,28.28,27.8,28.15,28.16,-0.01,-0.0355,104904.1,293765.448
002142.SZ,20191225,28.24,28.52,27.82,28.16,28.22,-0.06,-0.2126,163557.25,460095.353
002142.SZ,20191224,27.74,28.57,27.71,28.22,27.74,0.48,1.7304,155186.37,437526.819
002142.SZ,20191223,28.25,28.26,27.65,27.74,28.1,-0.36,-1.2811,154393.56,430375.681
002142.SZ,20191220,28.35,28.83,28.1,28.1,28.35,-0.25,-0.8818,128335.31,365342.971
002142.SZ,20191219,27.9,28.39,27.8,28.35,27.75,0.6,2.1622,168348.11,474798.666
002142.SZ,20191218,27.88,28.01,27.67,27.75,27.9,-0.15,-0.5376,125942.28,350671.068
002142.SZ,20191217,27.51,28.22,27.44,27.9,27.68,0.22,0.7948,212192.85,590696.082
002142.SZ,20191216,28.23,28.23,27.56,27.68,28.25,-0.57,-2.0177,293418.95,813018.989
002142.SZ,20191213,27.48,28.25,27.47,28.25,27.22,1.03,3.784,198176.71,553369.847
002142.SZ,20191212,27.35,27.36,27.11,27.22,27.43,-0.21,-0.7656,95397.97,259520.605
002142.SZ,20191211,26.65,27.57,26.65,27.43,26.74,0.69,2.5804,164758.41,448619.513
002142.SZ,20191210,27.01,27.16,26.62,26.74,27.05,-0.31,-1.146,132082.27,353729.476
002142.SZ,20191209,27.38,27.4,26.92,27.05,27.36,-0.31,-1.133,136781.82,370829.823
002142.SZ,20191206,27.11,27.43,27.05,27.36,26.93,0.43,1.5967,130040.77,354640.845
002142.SZ,20191205,26.77,27.09,26.7,26.93,26.61,0.32,1.2026,143373.61,385725.625
002142.SZ,20191204,26.55,26.77,26.32,26.61,26.59,0.02,0.0752,88360.75,234974.29
