ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300674.SZ,20200110,33.65,36.41,32.96,36.41,33.1,3.31,10.0,150451.97,521968.432
300674.SZ,20200109,36.77,36.77,31.11,33.1,33.43,-0.33,-0.9871,176247.26,600113.673
300674.SZ,20200108,33.1,33.43,32.5,33.43,30.39,3.04,10.0033,63283.56,209529.347
300674.SZ,20200107,30.39,30.39,30.2,30.39,27.63,2.76,9.9891,58689.59,178328.85
300674.SZ,20200106,28.0,28.4,27.48,27.63,28.01,-0.38,-1.3567,47271.81,132159.657
300674.SZ,20200103,27.5,28.18,27.3,28.01,27.9,0.11,0.3943,45781.98,126908.007
300674.SZ,20200102,26.51,28.55,26.36,27.9,26.35,1.55,5.8824,68531.26,189549.563
300674.SZ,20191231,25.91,28.0,25.54,26.35,25.5,0.85,3.3333,43330.91,115490.278
300674.SZ,20191230,25.41,25.71,24.66,25.5,25.41,0.09,0.3542,19364.8,49070.452
300674.SZ,20191227,26.19,26.2,25.2,25.41,25.99,-0.58,-2.2316,19246.0,49530.328
300674.SZ,20191226,26.03,26.31,25.65,25.99,26.0,-0.01,-0.0385,15452.41,40075.738
300674.SZ,20191225,25.75,26.66,25.62,26.0,25.75,0.25,0.9709,17843.41,46756.004
300674.SZ,20191224,25.49,25.86,25.4,25.75,25.41,0.34,1.3381,13884.8,35656.703
300674.SZ,20191223,26.53,26.53,25.39,25.41,26.53,-1.12,-4.2216,23968.46,61583.488
300674.SZ,20191220,26.95,27.35,26.48,26.53,26.76,-0.23,-0.8595,22649.41,60784.048
300674.SZ,20191219,26.93,26.99,26.55,26.76,26.79,-0.03,-0.112,23871.21,63833.917
300674.SZ,20191218,27.14,27.47,26.7,26.79,27.26,-0.47,-1.7241,32672.06,88337.225
300674.SZ,20191217,27.06,27.86,26.87,27.26,27.05,0.21,0.7763,40464.39,110428.666
300674.SZ,20191216,26.98,27.15,26.6,27.05,26.77,0.28,1.0459,37459.57,100585.649
300674.SZ,20191213,26.65,27.3,26.3,26.77,26.92,-0.15,-0.5572,48931.0,130561.396
300674.SZ,20191212,25.02,27.4,24.93,26.92,24.91,2.01,8.069,73359.12,194872.101
300674.SZ,20191211,25.54,25.54,24.82,24.91,25.42,-0.51,-2.0063,20730.0,52133.979
300674.SZ,20191210,25.43,25.66,24.81,25.42,25.36,0.06,0.2366,29718.84,75243.141
300674.SZ,20191209,25.02,25.77,24.9,25.36,24.86,0.5,2.0113,30123.45,76455.067
300674.SZ,20191206,24.15,25.13,24.15,24.86,24.29,0.57,2.3466,26574.67,65955.233
300674.SZ,20191205,23.83,24.65,23.83,24.29,23.81,0.48,2.016,27942.0,68151.609
300674.SZ,20191204,23.53,23.95,23.12,23.81,23.51,0.3,1.2761,17590.0,41776.54
300674.SZ,20191203,22.56,23.57,22.48,23.51,23.12,0.39,1.6869,16589.0,38465.877
300674.SZ,20191202,23.1,23.45,23.03,23.12,23.1,0.02,0.0866,13961.0,32419.332
300674.SZ,20191129,22.8,23.14,22.69,23.1,22.9,0.2,0.8734,14446.0,33193.692
300674.SZ,20191128,22.95,23.22,22.22,22.9,22.58,0.32,1.4172,19983.0,45915.349
300674.SZ,20191127,23.33,23.33,22.45,22.58,23.38,-0.8,-3.4217,28071.1,64022.966
300674.SZ,20191126,24.01,24.01,22.5,23.38,24.5,-1.12,-4.5714,37453.72,86379.657
300674.SZ,20191125,25.16,25.3,24.03,24.5,25.35,-0.85,-3.3531,26746.35,65733.015
300674.SZ,20191122,25.7,26.08,25.13,25.35,25.67,-0.32,-1.2466,24497.0,62641.878
300674.SZ,20191121,25.09,26.09,25.03,25.67,25.18,0.49,1.946,31819.78,81701.36
300674.SZ,20191120,25.5,25.86,25.08,25.18,25.52,-0.34,-1.3323,26872.0,68355.972
300674.SZ,20191119,24.82,25.6,24.77,25.52,25.03,0.49,1.9577,28334.0,71645.065
300674.SZ,20191118,24.89,25.18,24.5,25.03,24.63,0.4,1.624,17277.0,42996.516
300674.SZ,20191115,25.5,25.56,24.61,24.63,25.32,-0.69,-2.7251,21849.0,54450.55
300674.SZ,20191114,24.98,25.38,24.77,25.32,25.03,0.29,1.1586,19133.0,48155.759
300674.SZ,20191113,25.41,25.51,24.83,25.03,25.38,-0.35,-1.379,20119.0,50557.761
300674.SZ,20191112,25.41,25.47,24.6,25.38,25.25,0.13,0.5149,23908.35,59858.862
300674.SZ,20191111,25.6,25.61,25.1,25.25,26.13,-0.88,-3.3678,19490.0,49387.511
300674.SZ,20191108,26.84,26.86,26.02,26.13,26.5,-0.37,-1.3962,22150.0,58453.982
300674.SZ,20191107,25.31,26.6,25.3,26.5,25.7,0.8,3.1128,28391.36,74616.429
300674.SZ,20191106,26.48,26.48,25.58,25.7,26.5,-0.8,-3.0189,27443.5,71078.442
300674.SZ,20191105,26.47,26.73,26.36,26.5,26.5,0.0,0.0,21711.0,57624.8
300674.SZ,20191104,26.67,27.28,26.18,26.5,26.67,-0.17,-0.6374,29829.78,79674.5
300674.SZ,20191101,26.25,26.96,26.25,26.67,26.34,0.33,1.2528,24247.0,64812.964
300674.SZ,20191031,28.01,28.28,25.87,26.34,28.01,-1.67,-5.9622,53506.65,144249.749
300674.SZ,20191030,28.16,28.97,27.8,28.01,29.16,-1.15,-3.9438,52424.56,148267.487
300674.SZ,20191029,30.5,31.9,29.12,29.16,30.64,-1.48,-4.8303,97715.69,299422.479
300674.SZ,20191028,30.64,30.64,29.63,30.64,27.85,2.79,10.018,73821.51,225101.901
