ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300370.SZ,20200110,3.74,3.75,3.66,3.68,3.72,-0.04,-1.0753,239451.6,88355.903
300370.SZ,20200109,3.63,3.75,3.63,3.72,3.59,0.13,3.6212,411771.77,151933.555
300370.SZ,20200108,3.67,3.72,3.59,3.59,3.72,-0.13,-3.4946,373770.27,136652.253
300370.SZ,20200107,3.67,3.77,3.66,3.72,3.63,0.09,2.4793,490409.97,182056.165
300370.SZ,20200106,3.53,3.69,3.49,3.63,3.61,0.02,0.554,457459.74,165367.572
300370.SZ,20200103,3.59,3.64,3.54,3.61,3.6,0.01,0.2778,334349.77,120288.851
300370.SZ,20200102,3.51,3.62,3.5,3.6,3.49,0.11,3.1519,331762.79,118541.323
300370.SZ,20191231,3.48,3.52,3.46,3.49,3.48,0.01,0.2874,236890.0,82632.134
300370.SZ,20191230,3.5,3.51,3.36,3.48,3.55,-0.07,-1.9718,386547.79,133337.663
300370.SZ,20191227,3.63,3.66,3.54,3.55,3.65,-0.1,-2.7397,442895.62,159763.362
300370.SZ,20191226,3.73,3.73,3.57,3.65,3.72,-0.07,-1.8817,573626.37,208588.876
300370.SZ,20191225,3.71,3.8,3.63,3.72,3.75,-0.03,-0.8,494977.77,183951.028
300370.SZ,20191224,3.68,3.77,3.61,3.75,3.67,0.08,2.1798,547598.47,201789.994
300370.SZ,20191223,3.83,3.91,3.62,3.67,3.96,-0.29,-7.3232,841051.64,316718.881
300370.SZ,20191220,4.18,4.35,3.9,3.96,4.04,-0.08,-1.9802,1713967.73,705802.951
300370.SZ,20191219,3.7,4.04,3.66,4.04,3.67,0.37,10.0817,1164701.61,451740.842
300370.SZ,20191218,3.56,3.87,3.51,3.67,3.52,0.15,4.2614,910478.03,334467.624
300370.SZ,20191217,3.43,3.54,3.41,3.52,3.45,0.07,2.029,515000.32,179823.936
300370.SZ,20191216,3.41,3.48,3.39,3.45,3.4,0.05,1.4706,418861.08,144015.599
300370.SZ,20191213,3.42,3.43,3.34,3.4,3.39,0.01,0.295,410468.04,139046.097
300370.SZ,20191212,3.39,3.46,3.35,3.39,3.42,-0.03,-0.8772,531939.5,180853.215
300370.SZ,20191211,3.28,3.59,3.25,3.42,3.27,0.15,4.5872,900389.83,308001.779
300370.SZ,20191210,3.24,3.29,3.18,3.27,3.25,0.02,0.6154,335364.54,108490.127
300370.SZ,20191209,3.29,3.3,3.22,3.25,3.27,-0.02,-0.6116,344583.32,111825.466
300370.SZ,20191206,3.27,3.3,3.22,3.27,3.31,-0.04,-1.2085,394442.14,128316.546
300370.SZ,20191205,3.18,3.4,3.18,3.31,3.24,0.07,2.1605,555291.29,184051.961
300370.SZ,20191204,3.15,3.3,3.15,3.24,3.3,-0.06,-1.8182,686819.46,220367.72
300370.SZ,20191203,3.53,3.66,3.29,3.3,3.37,-0.07,-2.0772,1309149.65,456189.584
300370.SZ,20191202,3.37,3.37,3.37,3.37,3.06,0.31,10.1307,200306.67,67503.347
300370.SZ,20191129,3.04,3.07,3.01,3.06,3.03,0.03,0.9901,111675.69,33991.94
300370.SZ,20191128,3.05,3.1,3.0,3.03,3.1,-0.07,-2.2581,248598.72,75851.25
300370.SZ,20191127,3.15,3.24,3.04,3.1,3.15,-0.05,-1.5873,365863.03,114821.306
300370.SZ,20191126,3.02,3.25,3.02,3.15,3.03,0.12,3.9604,433855.03,136138.915
300370.SZ,20191125,3.08,3.09,3.02,3.03,3.08,-0.05,-1.6234,139277.56,42398.607
300370.SZ,20191122,3.14,3.17,3.06,3.08,3.14,-0.06,-1.9108,169375.62,52799.276
300370.SZ,20191121,3.14,3.14,3.09,3.14,3.15,-0.01,-0.3175,171881.12,53493.27
300370.SZ,20191120,3.12,3.17,3.1,3.15,3.13,0.02,0.639,139793.19,43780.932
300370.SZ,20191119,3.06,3.13,3.04,3.13,3.06,0.07,2.2876,142494.2,44343.616
300370.SZ,20191118,3.03,3.07,3.01,3.06,3.03,0.03,0.9901,76856.27,23454.728
300370.SZ,20191115,3.07,3.08,3.03,3.03,3.07,-0.04,-1.3029,97991.0,29927.921
300370.SZ,20191114,3.06,3.12,3.03,3.07,3.09,-0.02,-0.6472,147260.13,45157.987
300370.SZ,20191113,3.03,3.19,2.95,3.09,3.02,0.07,2.3179,251918.39,77246.69
300370.SZ,20191112,3.02,3.05,2.95,3.02,3.04,-0.02,-0.6579,131069.24,39208.672
300370.SZ,20191111,3.12,3.13,3.02,3.04,3.14,-0.1,-3.1847,123516.22,37768.014
300370.SZ,20191108,3.19,3.21,3.13,3.14,3.17,-0.03,-0.9464,104450.0,33070.136
300370.SZ,20191107,3.17,3.18,3.14,3.17,3.12,0.05,1.6026,100901.7,31911.251
300370.SZ,20191106,3.18,3.19,3.11,3.12,3.19,-0.07,-2.1944,110751.7,34889.582
300370.SZ,20191105,3.17,3.2,3.11,3.19,3.2,-0.01,-0.3125,170703.53,53958.758
300370.SZ,20191104,3.26,3.27,3.19,3.2,3.24,-0.04,-1.2346,135748.0,43788.73
300370.SZ,20191101,3.21,3.26,3.16,3.24,3.25,-0.01,-0.3077,185667.11,59728.062
300370.SZ,20191031,3.32,3.35,3.23,3.25,3.29,-0.04,-1.2158,209216.0,68943.445
300370.SZ,20191030,3.36,3.4,3.27,3.29,3.42,-0.13,-3.8012,336089.26,111712.768
300370.SZ,20191029,3.54,3.6,3.42,3.42,3.6,-0.18,-5.0,519009.32,182065.013
300370.SZ,20191028,3.48,3.67,3.41,3.6,3.34,0.26,7.7844,821795.04,293459.129
300370.SZ,20191025,3.33,3.35,3.27,3.34,3.34,0.0,0.0,146082.61,48276.746
300370.SZ,20191024,3.38,3.4,3.31,3.34,3.41,-0.07,-2.0528,184317.59,61556.052
300370.SZ,20191023,3.48,3.48,3.38,3.41,3.42,-0.01,-0.2924,197099.59,67527.938
300370.SZ,20191022,3.38,3.42,3.34,3.42,3.39,0.03,0.885,167273.8,56651.722
300370.SZ,20191021,3.34,3.43,3.31,3.39,3.3,0.09,2.7273,259754.09,87852.494
300370.SZ,20191018,3.39,3.44,3.28,3.3,3.4,-0.1,-2.9412,218954.76,73600.611
300370.SZ,20191017,3.47,3.49,3.38,3.4,3.46,-0.06,-1.7341,168130.59,57692.275
300370.SZ,20191016,3.47,3.51,3.45,3.46,3.46,0.0,0.0,135300.18,46925.3
300370.SZ,20191015,3.49,3.54,3.43,3.46,3.48,-0.02,-0.5747,197616.38,68789.366
300370.SZ,20191014,3.5,3.53,3.46,3.48,3.45,0.03,0.8696,251010.56,87575.661
300370.SZ,20191011,3.37,3.45,3.33,3.45,3.38,0.07,2.071,238697.6,81079.664
300370.SZ,20191010,3.34,3.38,3.32,3.38,3.35,0.03,0.8955,222248.4,74539.92
300370.SZ,20191009,3.27,3.35,3.22,3.35,3.32,0.03,0.9036,136764.08,44984.94
300370.SZ,20191008,3.3,3.38,3.3,3.32,3.32,0.0,0.0,121591.26,40572.716
300370.SZ,20190930,3.39,3.41,3.29,3.32,3.38,-0.06,-1.7751,165010.13,55322.761
300370.SZ,20190927,3.29,3.42,3.27,3.38,3.26,0.12,3.681,252782.8,84986.834
300370.SZ,20190926,3.41,3.46,3.26,3.26,3.41,-0.15,-4.3988,299186.4,100373.128
300370.SZ,20190925,3.51,3.55,3.39,3.41,3.55,-0.14,-3.9437,337112.43,116463.244
300370.SZ,20190924,3.59,3.65,3.53,3.55,3.59,-0.04,-1.1142,261175.0,93601.893
300370.SZ,20190923,3.6,3.6,3.47,3.59,3.62,-0.03,-0.8287,325539.74,114860.954
300370.SZ,20190920,3.69,3.71,3.6,3.62,3.71,-0.09,-2.4259,338520.69,123344.088
300370.SZ,20190919,3.68,3.74,3.59,3.71,3.67,0.04,1.0899,322044.62,118216.078
300370.SZ,20190918,3.76,3.79,3.57,3.67,3.76,-0.09,-2.3936,435668.67,160151.004
300370.SZ,20190917,3.9,3.92,3.71,3.76,3.96,-0.2,-5.0505,486082.01,184710.84
300370.SZ,20190916,3.86,4.02,3.84,3.96,3.84,0.12,3.125,696001.88,273488.399
300370.SZ,20190912,3.84,3.86,3.75,3.84,3.88,-0.04,-1.0309,502443.26,191149.705
300370.SZ,20190911,3.76,3.95,3.69,3.88,3.75,0.13,3.4667,789740.02,300318.995
300370.SZ,20190910,3.86,3.97,3.74,3.75,3.77,-0.02,-0.5305,884170.14,340634.443
300370.SZ,20190909,3.66,3.79,3.59,3.77,3.61,0.16,4.4321,656155.37,243116.117
300370.SZ,20190906,3.6,3.7,3.57,3.61,3.57,0.04,1.1204,613905.84,222383.118
300370.SZ,20190905,3.55,3.78,3.47,3.57,3.5,0.07,2.0,856643.59,308712.632
300370.SZ,20190904,3.46,3.52,3.39,3.5,3.46,0.04,1.1561,548743.4,189893.041
300370.SZ,20190903,3.38,3.53,3.34,3.46,3.36,0.1,2.9762,595815.0,204118.753
300370.SZ,20190902,3.22,3.38,3.22,3.36,3.22,0.14,4.3478,353572.05,117285.002
300370.SZ,20190830,3.39,3.4,3.21,3.22,3.36,-0.14,-4.1667,399868.05,131953.15
300370.SZ,20190829,3.49,3.49,3.35,3.36,3.46,-0.1,-2.8902,478895.0,162329.441
300370.SZ,20190828,3.32,3.51,3.32,3.46,3.34,0.12,3.5928,573746.88,195682.062
300370.SZ,20190827,3.31,3.37,3.26,3.34,3.27,0.07,2.1407,386014.35,128038.926
300370.SZ,20190826,3.16,3.28,3.14,3.27,3.24,0.03,0.9259,310000.51,100359.577
300370.SZ,20190823,3.29,3.32,3.22,3.24,3.29,-0.05,-1.5198,275673.16,89824.077
300370.SZ,20190822,3.24,3.32,3.23,3.29,3.26,0.03,0.9202,327174.76,106930.4
300370.SZ,20190821,3.26,3.36,3.24,3.26,3.29,-0.03,-0.9119,495880.61,162991.711
300370.SZ,20190820,3.18,3.47,3.14,3.29,3.18,0.11,3.4591,871789.22,285191.442
300370.SZ,20190819,3.05,3.2,3.03,3.18,3.04,0.14,4.6053,459462.46,143515.28
300370.SZ,20190816,3.02,3.15,2.99,3.04,2.99,0.05,1.6722,282707.4,86423.481
300370.SZ,20190815,2.89,3.0,2.86,2.99,2.98,0.01,0.3356,200003.84,58645.995
300370.SZ,20190814,3.07,3.07,2.97,2.98,2.99,-0.01,-0.3344,157040.6,47327.986
300370.SZ,20190813,2.99,3.0,2.95,2.99,3.01,-0.02,-0.6645,114258.4,33974.204
300370.SZ,20190812,2.93,3.02,2.93,3.01,2.96,0.05,1.6892,159233.8,47502.894
300370.SZ,20190809,3.0,3.06,2.93,2.96,3.0,-0.04,-1.3333,202652.27,60759.963
300370.SZ,20190808,2.92,3.14,2.92,3.0,2.89,0.11,3.8062,357564.83,108067.353
300370.SZ,20190807,2.96,2.99,2.87,2.89,2.92,-0.03,-1.0274,226890.27,66791.658
300370.SZ,20190806,3.01,3.02,2.81,2.92,3.06,-0.14,-4.5752,323507.6,94207.04
300370.SZ,20190805,3.05,3.11,3.03,3.06,3.06,0.0,0.0,190275.4,58465.388
300370.SZ,20190802,3.05,3.1,3.01,3.06,3.16,-0.1,-3.1646,246759.0,75270.693
300370.SZ,20190801,3.17,3.23,3.11,3.16,3.19,-0.03,-0.9404,235626.48,74618.686
300370.SZ,20190731,3.26,3.28,3.18,3.19,3.27,-0.08,-2.4465,239400.39,76828.984
300370.SZ,20190730,3.22,3.33,3.22,3.27,3.23,0.04,1.2384,267786.6,88006.278
300370.SZ,20190729,3.3,3.3,3.19,3.23,3.27,-0.04,-1.2232,221680.48,71909.91
300370.SZ,20190726,3.35,3.35,3.25,3.27,3.36,-0.09,-2.6786,266489.58,87760.098
300370.SZ,20190725,3.31,3.37,3.28,3.36,3.27,0.09,2.7523,298318.15,99574.089
300370.SZ,20190724,3.29,3.37,3.26,3.27,3.26,0.01,0.3067,234323.3,77843.88
300370.SZ,20190723,3.17,3.27,3.17,3.26,3.2,0.06,1.875,165296.5,53464.011
300370.SZ,20190722,3.35,3.37,3.19,3.2,3.33,-0.13,-3.9039,227744.0,73844.309
300370.SZ,20190719,3.3,3.37,3.3,3.33,3.3,0.03,0.9091,151462.58,50441.849
300370.SZ,20190718,3.37,3.39,3.3,3.3,3.42,-0.12,-3.5088,215227.0,71621.491
300370.SZ,20190717,3.33,3.47,3.32,3.42,3.35,0.07,2.0896,300642.1,102339.496
300370.SZ,20190716,3.3,3.35,3.29,3.35,3.3,0.05,1.5152,208326.41,69410.077
300370.SZ,20190715,3.24,3.33,3.18,3.3,3.22,0.08,2.4845,227122.46,74376.949
300370.SZ,20190712,3.22,3.26,3.18,3.22,3.22,0.0,0.0,126403.4,40614.866
300370.SZ,20190711,3.29,3.31,3.19,3.22,3.28,-0.06,-1.8293,194224.95,63082.869
300370.SZ,20190710,3.3,3.32,3.25,3.28,3.31,-0.03,-0.9063,176217.0,57888.21
300370.SZ,20190709,3.25,3.32,3.25,3.31,3.25,0.06,1.8462,242228.0,79529.511
